time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,97.166,98.038,97.055,97.717,140488,1,0
2025-01-03,97.687,97.897,97.493,97.786,104566,0,0
2025-01-06,97.555,98.914,97.551,98.448,148674,0,0
2025-01-07,98.383,99.168,98.234,98.482,140313,0,0
2025-01-08,98.436,98.663,98.055,98.429,139683,0,0
2025-01-09,98.412,98.43,97.67,97.951,95467,1,0
2025-01-10,97.915,98.201,96.797,96.915,145432,1,0
2025-01-13,96.852,97.286,96.381,97.274,133179,0,0
2025-01-14,97.273,97.96,97.126,97.857,141617,0,0
2025-01-15,97.847,97.868,97.188,97.424,128433,1,0
2025-01-16,97.418,97.695,96.322,96.362,139812,1,0
2025-01-17,96.333,97.164,96.064,96.75,117519,0,0
2025-01-20,96.728,97.775,96.669,97.632,125724,0,0
2025-01-21,97.591,97.658,96.776,97.538,158309,0,0
2025-01-22,97.521,98.336,97.386,98.195,120834,0,0
2025-01-23,98.16,98.316,97.802,98.069,114345,1,0
2025-01-24,98.064,98.765,97.882,98.462,145772,1,0
2025-01-27,97.96,98.25,96.765,97.217,158049,1,0
2025-01-28,97.214,97.508,96.839,97.235,129268,0,0
2025-01-29,97.199,97.341,96.48,96.741,124908,1,0
2025-01-30,96.606,96.838,95.68,95.779,130103,1,0
2025-01-31,95.774,96.935,95.602,96.336,145608,0,0
2025-02-03,94.917,96.455,94.622,96.347,211851,0,0
2025-02-04,96.345,96.754,95.57,96.544,133849,0,0
2025-02-05,96.452,96.606,95.682,95.896,138472,0,0
2025-02-06,95.908,95.982,94.968,95.167,120618,0,0
2025-02-07,95.07,95.677,94.492,94.895,141403,0,0
2025-02-10,94.258,95.677,94.239,95.416,105473,0,0
2025-02-11,95.41,96.109,95.075,95.989,99349,0,0
2025-02-12,95.978,97.334,95.842,96.942,132063,0,0
2025-02-13,96.958,97.281,96.0,96.532,135782,0,0
2025-02-14,96.519,96.992,96.324,96.755,113383,0,0
2025-02-17,96.533,96.846,96.201,96.305,89325,0,0
2025-02-18,96.278,96.788,96.068,96.585,110914,0,0
2025-02-19,96.593,96.766,95.997,96.1,122574,0,0
2025-02-20,96.074,96.092,95.33,95.765,142382,1,0
2025-02-21,95.738,96.495,94.646,94.905,147399,1,0
2025-02-24,94.904,95.457,94.693,95.045,163711,0,0
2025-02-25,95.044,95.315,94.016,94.532,175518,0,0
2025-02-26,94.483,94.74,93.78,93.985,170653,0,0
2025-02-27,93.974,94.515,93.312,93.402,182391,0,0
2025-02-28,93.412,93.861,92.729,93.411,184174,0,0
2025-03-03,93.698,94.243,92.535,93.055,192165,0,0
2025-03-04,93.052,93.99,91.855,93.927,255667,0,0
2025-03-05,93.894,94.403,93.336,94.311,234772,0,0
2025-03-06,94.312,94.72,93.296,93.703,231268,0,0
2025-03-07,93.704,93.812,92.422,93.312,226543,0,0
2025-03-10,93.269,93.418,92.151,92.459,187183,0,0
2025-03-11,92.436,93.311,91.82,93.061,218497,0,0
2025-03-12,93.061,93.842,92.805,93.692,158419,0,0
2025-03-13,93.69,93.942,92.535,92.854,156553,0,0
2025-03-14,92.887,94.106,92.756,94.036,134299,0,0
2025-03-17,93.994,95.352,93.882,95.255,126293,0,0
2025-03-18,95.248,95.752,94.772,94.944,112627,1,0
2025-03-19,94.943,95.356,94.365,94.519,122989,0,0
2025-03-20,94.514,94.673,93.164,93.768,120708,0,0
2025-03-21,93.765,94.211,93.147,93.631,113230,0,0
2025-03-24,93.527,94.738,93.488,94.724,105858,1,0
2025-03-25,94.714,94.917,94.336,94.472,101787,0,0
2025-03-26,94.478,95.19,94.262,94.833,109881,0,0
2025-03-27,94.829,95.396,94.42,95.222,112744,0,0
2025-03-28,95.191,95.213,94.098,94.168,97728,0,0
2025-03-31,94.102,94.224,93.051,93.678,122994,0,0
2025-04-01,93.681,94.008,93.148,93.921,120634,0,0
2025-04-02,93.934,95.313,93.523,94.029,111020,0,0
2025-04-03,93.95,93.953,92.282,92.424,199015,0,0
2025-04-04,92.431,92.642,87.409,88.714,246449,0,0
2025-04-07,87.096,90.472,86.065,88.485,291188,0,0
2025-04-08,88.429,89.689,86.87,87.119,251760,0,0
2025-04-09,87.076,91.317,86.043,90.871,255883,0,0
2025-04-10,90.755,91.11,88.911,89.902,240732,0,0
2025-04-11,89.891,90.511,88.287,90.195,227008,0,0
2025-04-14,90.588,90.792,89.568,90.479,163760,0,0
2025-04-15,90.305,91.406,90.289,90.892,130117,0,0
2025-04-16,90.808,91.204,90.135,90.328,133795,0,0
2025-04-17,90.317,91.173,90.198,91.027,119432,0,0
2025-04-18,90.834,90.986,90.573,90.626,195790,0,0
2025-04-21,90.404,90.655,89.972,90.375,106655,0,0
2025-04-22,90.352,90.574,89.641,90.119,113306,0,0
2025-04-23,90.071,91.607,89.964,91.185,147673,0,0
2025-04-24,91.116,91.462,90.553,91.393,105890,0,0
2025-04-25,91.29,92.221,91.234,91.943,109355,0,0
2025-04-28,91.753,92.017,91.2,91.346,96708,0,0
2025-04-29,91.334,91.681,90.588,90.879,101596,0,0
2025-04-30,90.831,91.729,90.69,91.583,113801,0,0
2025-05-01,91.576,93.056,91.316,92.812,106172,0,0
2025-05-02,92.789,93.567,92.637,93.428,123574,0,0
2025-05-05,93.16,93.491,92.929,92.947,98758,0,0
2025-05-06,92.946,93.051,92.114,92.479,102343,0,0
2025-05-07,92.466,93.343,92.22,92.398,126799,0,0
2025-05-08,92.385,93.548,92.279,93.374,120061,0,0
2025-05-09,93.384,93.413,92.81,93.15,93706,0,0
2025-05-12,93.823,94.917,93.521,94.596,134590,0,0
2025-05-13,94.587,95.647,94.061,95.424,109593,0,0
2025-05-14,95.428,95.569,94.183,94.328,118860,0,0
2025-05-15,94.335,94.373,93.122,93.329,104600,0,0
2025-05-16,93.309,93.506,92.743,93.272,86206,0,0
2025-05-19,92.96,93.679,92.876,93.536,96324,0,0
2025-05-20,93.528,93.847,92.497,92.823,95664,0,0
2025-05-21,92.822,92.939,92.378,92.477,111251,0,0
2025-05-22,92.468,92.852,91.995,92.314,110691,0,0
2025-05-23,92.311,92.695,91.652,92.591,108649,0,0
2025-05-26,92.339,93.2,92.31,92.667,65789,0,0
2025-05-27,92.636,93.101,92.138,92.984,95633,0,0
2025-05-28,92.97,93.238,92.738,93.091,97600,0,0
2025-05-29,93.054,93.875,92.78,92.872,121653,0,0
2025-05-30,92.848,92.909,92.014,92.683,113687,0,0
2025-06-02,92.444,92.852,92.381,92.696,102320,0,0
2025-06-03,92.662,93.135,92.061,93.043,91941,0,0
2025-06-04,92.97,93.598,92.644,92.652,95636,0,0
2025-06-05,92.659,93.783,92.51,93.387,107578,0,0
2025-06-06,93.278,94.129,93.232,94.035,99225,0,0
2025-06-09,94.011,94.341,93.912,94.214,74026,0,0
2025-06-10,94.166,94.602,93.895,94.492,93249,0,0
2025-06-11,94.426,94.753,93.882,93.991,99181,0,0
2025-06-12,93.945,93.967,93.238,93.726,106903,0,0
2025-06-13,93.706,93.878,92.315,93.496,140032,0,0
2025-06-16,93.227,94.555,93.184,94.443,128425,0,0
2025-06-17,94.396,94.841,93.944,94.078,139312,1,0
2025-06-18,93.982,94.483,93.936,94.441,130357,0,0
2025-06-19,94.434,94.472,93.802,94.248,98441,0,0
2025-06-20,94.158,94.555,93.986,94.189,111820,0,0
2025-06-23,94.178,94.684,93.845,94.394,159227,0,0
2025-06-24,94.347,94.565,93.971,94.021,138547,0,0
2025-06-25,94.003,94.752,93.881,94.596,110495,0,0
2025-06-26,94.546,94.639,94.059,94.51,132735,0,0
2025-06-27,94.488,94.852,94.23,94.425,124638,1,0
2025-06-30,94.283,94.89,93.994,94.767,123404,1,0
2025-07-01,94.728,94.784,93.961,94.389,123058,0,0
2025-07-02,94.369,94.685,94.105,94.57,114995,0,0
2025-07-03,94.527,95.37,94.334,95.222,104981,0,0
2025-07-04,95.217,95.257,94.514,94.608,105492,1,0
2025-07-07,94.675,95.048,94.233,94.796,114716,0,0
2025-07-08,94.774,95.962,94.698,95.683,120729,0,0
2025-07-09,95.667,96.215,95.535,95.6,108775,0,0
2025-07-10,95.608,96.389,95.392,96.353,95481,0,0
2025-07-11,96.324,97.055,95.98,96.888,114030,0,0
2025-07-14,96.514,96.929,96.446,96.689,101228,0,0
2025-07-15,96.644,97.431,96.546,96.939,103295,1,0
2025-07-16,96.927,97.322,96.112,96.523,131881,0,0
2025-07-17,96.46,96.772,95.995,96.401,114472,1,0
2025-07-18,96.338,96.966,96.237,96.822,96205,1,0
2025-07-21,96.239,96.757,96.049,96.12,99709,1,0
2025-07-22,96.082,96.382,95.63,96.122,101573,1,0
2025-07-23,96.054,96.737,95.841,96.708,124222,0,0
2025-07-24,96.65,97.042,96.393,96.864,119788,0,0
2025-07-25,96.862,97.14,96.619,96.922,112303,0,0
2025-07-28,97.068,97.29,96.561,96.854,119870,0,0
2025-07-29,96.815,96.947,96.563,96.64,108352,0,0
2025-07-30,96.596,96.752,95.963,96.19,134551,0,0
2025-07-31,96.164,96.995,95.863,96.849,136835,1,0
2025-08-01,96.826,97.065,95.1,95.342,176050,1,0
2025-08-04,95.122,95.863,94.905,95.113,151710,0,0
