time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,0.61842,0.62228,0.61717,0.62034,72864,0,0
2025-01-03,0.62033,0.62254,0.61921,0.62168,56286,0,0
2025-01-06,0.6208,0.63024,0.62048,0.62453,85861,0,0
2025-01-07,0.62457,0.62882,0.6228,0.62311,73076,0,0
2025-01-08,0.6228,0.62422,0.61875,0.62162,78791,0,0
2025-01-09,0.6215,0.62159,0.61721,0.61952,48448,0,0
2025-01-10,0.61951,0.62061,0.61393,0.61441,77291,0,0
2025-01-13,0.61431,0.61783,0.61311,0.61777,68899,0,0
2025-01-14,0.61772,0.62073,0.6166,0.61941,75896,0,0
2025-01-15,0.61942,0.62466,0.61812,0.6227,65263,0,0
2025-01-16,0.62261,0.62466,0.61919,0.62124,72722,0,0
2025-01-17,0.62123,0.62273,0.61645,0.61901,63447,0,0
2025-01-20,0.61969,0.62868,0.61898,0.62734,72528,0,0
2025-01-21,0.62734,0.6289,0.62083,0.62729,91573,0,0
2025-01-22,0.62735,0.62957,0.6253,0.62736,64858,0,0
2025-01-23,0.62734,0.62998,0.6255,0.62846,57514,0,0
2025-01-24,0.62847,0.63307,0.62786,0.63139,64894,0,0
2025-01-27,0.62931,0.63079,0.62748,0.62921,66320,0,0
2025-01-28,0.6292,0.62934,0.6237,0.62521,58157,0,0
2025-01-29,0.62516,0.62557,0.62102,0.62317,61882,0,0
2025-01-30,0.62235,0.62434,0.6199,0.62086,47929,0,0
2025-01-31,0.62071,0.62627,0.61988,0.62084,58817,0,0
2025-02-03,0.61263,0.62377,0.60876,0.62253,91071,0,0
2025-02-04,0.6226,0.6262,0.61706,0.62555,47798,0,0
2025-02-05,0.62496,0.6297,0.62402,0.62847,42146,0,0
2025-02-06,0.62849,0.62881,0.62552,0.62836,34592,0,0
2025-02-07,0.62816,0.63014,0.6253,0.62667,49038,0,0
2025-02-10,0.62317,0.62876,0.62317,0.62778,30529,0,0
2025-02-11,0.62773,0.6302,0.62606,0.62948,33407,0,0
2025-02-12,0.62944,0.63094,0.62351,0.62787,45290,0,0
2025-02-13,0.62793,0.6323,0.62548,0.63177,47213,0,0
2025-02-14,0.63167,0.63677,0.63104,0.63529,37795,0,0
2025-02-17,0.6323,0.63738,0.6323,0.63569,26704,0,0
2025-02-18,0.63555,0.63678,0.63343,0.63516,35053,0,0
2025-02-19,0.63525,0.637,0.63367,0.63446,34849,0,0
2025-02-20,0.6343,0.64042,0.63275,0.6401,40996,0,0
2025-02-21,0.63987,0.64085,0.63518,0.63566,40555,0,0
2025-02-24,0.63552,0.63924,0.63442,0.63488,47139,0,0
2025-02-25,0.63488,0.63566,0.63222,0.63438,46316,0,0
2025-02-26,0.63403,0.63538,0.62959,0.63044,46776,0,0
2025-02-27,0.63038,0.63146,0.62322,0.62356,53856,0,0
2025-02-28,0.62355,0.62383,0.61928,0.62039,53405,0,0
2025-03-03,0.62137,0.62547,0.61895,0.62247,54055,0,0
2025-03-04,0.62243,0.62718,0.61871,0.62707,75879,0,0
2025-03-05,0.62714,0.63424,0.62339,0.6335,76381,0,0
2025-03-06,0.63348,0.6364,0.63226,0.63325,70678,0,0
2025-03-07,0.63322,0.63378,0.62758,0.6304,68114,0,0
2025-03-10,0.63064,0.6331,0.62646,0.62789,54472,0,0
2025-03-11,0.62771,0.6312,0.62589,0.6298,65189,0,0
2025-03-12,0.62976,0.63229,0.62767,0.63198,52512,0,0
2025-03-13,0.63205,0.63337,0.62694,0.62823,45080,0,0
2025-03-14,0.62843,0.63314,0.62781,0.63267,42803,0,0
2025-03-17,0.63193,0.6391,0.63127,0.63844,35317,0,0
2025-03-18,0.63839,0.63909,0.6344,0.63609,32308,0,0
2025-03-19,0.63611,0.63666,0.63202,0.63569,40576,0,0
2025-03-20,0.63568,0.6364,0.62712,0.63027,41685,0,0
2025-03-21,0.63026,0.63062,0.6258,0.62713,34621,0,0
2025-03-24,0.62629,0.63055,0.62604,0.6286,35814,0,0
2025-03-25,0.62853,0.63256,0.62769,0.63025,33047,0,0
2025-03-26,0.63027,0.63306,0.62784,0.62973,44951,0,0
2025-03-27,0.62981,0.63184,0.62792,0.63046,51809,0,0
2025-03-28,0.63023,0.63122,0.62808,0.6286,44989,0,0
2025-03-31,0.62874,0.63004,0.62188,0.62468,53271,0,0
2025-04-01,0.62467,0.62832,0.6232,0.62777,58009,0,0
2025-04-02,0.62787,0.6341,0.62578,0.62979,54934,0,0
2025-04-03,0.6295,0.6389,0.6226,0.63283,114819,0,0
2025-04-04,0.63285,0.63318,0.59865,0.60369,150446,0,0
2025-04-07,0.59858,0.6127,0.59323,0.59845,194287,0,0
2025-04-08,0.59801,0.60853,0.59466,0.59562,149525,0,0
2025-04-09,0.59504,0.61758,0.59141,0.61527,168255,0,0
2025-04-10,0.61446,0.62494,0.61156,0.62239,158364,0,0
2025-04-11,0.62231,0.63002,0.61812,0.62845,157198,0,0
2025-04-14,0.62943,0.63427,0.62751,0.63267,98536,0,0
2025-04-15,0.63183,0.63831,0.63161,0.6345,78049,0,0
2025-04-16,0.63443,0.63915,0.63222,0.63706,81396,0,0
2025-04-17,0.63693,0.63942,0.63334,0.6391,68423,0,0
2025-04-18,0.638,0.63941,0.63671,0.63755,167010,0,0
2025-04-21,0.63627,0.64376,0.63627,0.64164,63639,0,0
2025-04-22,0.64153,0.64391,0.63612,0.63645,71441,0,0
2025-04-23,0.63629,0.64348,0.63492,0.6359,89306,0,0
2025-04-24,0.63541,0.64134,0.6344,0.64094,62084,0,0
2025-04-25,0.64032,0.64207,0.63746,0.63966,57409,0,0
