time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,0.62926,0.63409,0.62728,0.63339,65285,1,0
2025-01-03,0.63261,0.63422,0.62856,0.62869,50152,1,0
2025-01-06,0.62854,0.63263,0.62802,0.63114,80389,1,0
2025-01-07,0.63027,0.63409,0.6297,0.63303,68453,1,0
2025-01-08,0.63291,0.63518,0.63216,0.63387,68770,1,0
2025-01-09,0.63287,0.63436,0.63264,0.63381,47204,1,0
2025-01-10,0.63331,0.63723,0.63257,0.63528,71355,1,0
2025-01-13,0.63387,0.63816,0.63387,0.63784,65647,1,0
2025-01-14,0.63626,0.6382,0.63503,0.6358,70712,1,0
2025-01-15,0.63569,0.63721,0.63271,0.63645,61913,1,0
2025-01-16,0.63614,0.63687,0.63257,0.63276,65626,1,0
2025-01-17,0.63202,0.6347,0.63106,0.63165,59975,0,0
2025-01-20,0.63008,0.63621,0.62992,0.63316,65729,1,0
2025-01-21,0.63187,0.63403,0.62611,0.63203,88086,1,0
2025-01-22,0.63186,0.63292,0.63006,0.63052,61551,1,0
2025-01-23,0.62981,0.63277,0.62912,0.6307,73662,1,0
2025-01-24,0.63042,0.63328,0.62946,0.63145,78105,1,0
2025-01-27,0.6273,0.63077,0.62442,0.62744,87762,1,0
2025-01-28,0.62668,0.62989,0.6266,0.62754,70378,1,0
2025-01-29,0.62734,0.62999,0.62698,0.62883,77808,1,0
2025-01-30,0.62822,0.63121,0.62348,0.62718,72290,1,0
2025-01-31,0.6272,0.63154,0.62571,0.62642,99961,1,0
2025-02-03,0.61995,0.63245,0.61932,0.6307,147612,1,0
2025-02-04,0.63053,0.6328,0.62919,0.6318,81708,1,0
2025-02-05,0.63148,0.63327,0.62899,0.62978,69653,1,0
2025-02-06,0.62962,0.63279,0.62881,0.63256,58616,1,0
2025-02-07,0.63232,0.63744,0.63148,0.63634,74957,1,0
2025-02-10,0.63325,0.63708,0.63297,0.63659,53658,1,0
2025-02-11,0.63628,0.63946,0.6351,0.63935,50477,1,0
2025-02-12,0.63891,0.6398,0.6361,0.63837,70194,1,0
2025-02-13,0.63837,0.63943,0.63423,0.63626,76123,1,0
2025-02-14,0.63623,0.63885,0.63344,0.63446,62640,1,0
2025-02-17,0.63242,0.63571,0.63242,0.63487,43463,1,0
2025-02-18,0.6347,0.63722,0.63394,0.63627,52165,1,0
2025-02-19,0.63624,0.63777,0.63463,0.63521,59243,1,0
2025-02-20,0.63503,0.63579,0.63319,0.63337,62661,1,0
2025-02-21,0.63326,0.63478,0.63021,0.6304,67019,1,0
2025-02-24,0.62958,0.63317,0.62859,0.62907,76311,1,0
2025-02-25,0.62884,0.62994,0.62346,0.62361,78219,1,0
2025-02-26,0.62359,0.62493,0.62202,0.62389,76389,1,0
2025-02-27,0.62395,0.62692,0.62237,0.62322,80198,1,0
2025-02-28,0.62303,0.62673,0.622,0.62404,84448,1,0
2025-03-03,0.62304,0.62535,0.61643,0.61912,90872,1,0
2025-03-04,0.61904,0.61935,0.61147,0.61772,130797,1,0
2025-03-05,0.61733,0.62176,0.61558,0.62095,122807,1,0
2025-03-06,0.62084,0.62301,0.6153,0.61806,120617,1,0
2025-03-07,0.61768,0.61827,0.60832,0.61142,110563,1,0
2025-03-10,0.611,0.61311,0.60755,0.6099,101941,1,0
2025-03-11,0.60926,0.61355,0.60545,0.61141,123462,1,0
2025-03-12,0.61133,0.61478,0.60914,0.6135,86024,1,0
2025-03-13,0.61295,0.61516,0.61064,0.6107,88948,1,0
2025-03-14,0.61008,0.61648,0.60942,0.61595,82394,1,0
2025-03-17,0.61369,0.61703,0.61369,0.61633,67931,1,0
2025-03-18,0.61619,0.61691,0.61193,0.61304,66586,1,0
2025-03-19,0.6121,0.61519,0.6117,0.61235,70621,1,0
2025-03-20,0.61219,0.61681,0.61083,0.61559,75481,1,0
2025-03-21,0.61479,0.61736,0.61327,0.61515,65778,1,0
2025-03-24,0.6137,0.61901,0.6137,0.61638,65240,1,0
2025-03-25,0.61592,0.61842,0.61527,0.61812,59588,1,0
2025-03-26,0.61732,0.62113,0.61706,0.61923,59829,0,0
2025-03-27,0.6192,0.6196,0.61557,0.61637,45987,0,0
2025-03-28,0.616,0.61738,0.61454,0.61529,35704,0,0
2025-03-31,0.61344,0.61585,0.6127,0.61453,40600,0,0
2025-04-01,0.6144,0.61796,0.6124,0.61771,37230,0,0
2025-04-02,0.61775,0.61995,0.6145,0.61886,45089,0,0
2025-04-03,0.61895,0.62028,0.60826,0.6095,108242,0,0
2025-04-04,0.6095,0.6107,0.59741,0.6044,131888,0,0
2025-04-07,0.59833,0.61132,0.5935,0.60386,149371,0,0
2025-04-08,0.60183,0.60653,0.59355,0.59399,109709,0,0
2025-04-09,0.5938,0.6093,0.5892,0.60923,132852,0,0
2025-04-10,0.60793,0.60983,0.58895,0.5891,114728,0,0
2025-04-11,0.58875,0.59098,0.58307,0.5875,136122,0,0
2025-04-14,0.58933,0.59514,0.5849,0.58717,79952,0,0
2025-04-15,0.5862,0.5905,0.5856,0.5897,56776,0,0
2025-04-16,0.58905,0.58961,0.58399,0.58694,62627,0,0
2025-04-17,0.5866,0.59437,0.585,0.59239,52483,0,0
2025-04-18,0.5911,0.5915,0.58895,0.58895,257727,0,0
2025-04-21,0.58834,0.58974,0.58278,0.58445,48427,0,0
2025-04-22,0.58423,0.59321,0.58215,0.5929,51981,0,0
2025-04-23,0.5928,0.59877,0.5913,0.59821,71206,0,0
2025-04-24,0.5976,0.59834,0.59487,0.5967,45469,0,0
2025-04-25,0.5963,0.60038,0.5958,0.59744,45432,0,0
2025-04-28,0.59738,0.59923,0.59214,0.5929,41753,0,0
2025-04-29,0.5929,0.59696,0.59235,0.59555,49436,0,0
2025-04-30,0.59515,0.5999,0.59393,0.5989,64721,0,0
2025-05-01,0.59795,0.60281,0.5973,0.59868,60066,0,0
2025-05-02,0.59825,0.60086,0.5942,0.59807,74887,0,0
2025-05-05,0.59754,0.59923,0.59426,0.5947,60174,0,0
2025-05-06,0.59465,0.59913,0.59343,0.5965,61403,0,0
2025-05-07,0.59595,0.60041,0.59334,0.59517,73324,0,0
2025-05-08,0.5948,0.59854,0.59322,0.59738,71581,0,0
2025-05-09,0.5966,0.59832,0.59372,0.5965,54415,0,0
2025-05-12,0.6005,0.60604,0.59784,0.60499,87280,0,0
2025-05-13,0.60486,0.60518,0.60026,0.60235,62377,0,0
2025-05-14,0.6018,0.60352,0.5987,0.60235,67618,0,0
2025-05-15,0.602,0.60263,0.59681,0.59865,56448,0,0
2025-05-16,0.5986,0.60072,0.59686,0.59946,48387,0,0
2025-05-19,0.59644,0.59894,0.59644,0.59824,63687,0,0
2025-05-20,0.59725,0.59913,0.5952,0.59524,54569,0,0
2025-05-21,0.5952,0.59741,0.59141,0.5954,71562,0,0
2025-05-22,0.59475,0.599,0.59415,0.5982,66053,0,0
2025-05-23,0.59808,0.59862,0.59438,0.59819,67318,0,0
2025-05-26,0.59762,0.60011,0.59634,0.5976,44106,0,0
2025-05-27,0.5966,0.6012,0.59636,0.59885,53419,0,0
2025-05-28,0.59838,0.59997,0.59662,0.59766,56747,0,0
2025-05-29,0.59756,0.60244,0.5955,0.596,72947,0,0
2025-05-30,0.59432,0.59982,0.59296,0.59895,66257,0,0
