time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,109.162,109.768,108.557,109.38,120878,1,0
2025-01-03,109.25,109.476,108.59,108.862,90840,1,0
2025-01-06,108.68,110.026,108.672,109.987,135684,1,0
2025-01-07,109.808,110.462,109.744,109.984,123854,1,0
2025-01-08,109.961,110.288,109.877,110.153,121043,1,0
2025-01-09,110.071,110.199,109.495,109.862,83058,1,0
2025-01-10,109.803,110.186,109.148,109.365,133107,1,0
2025-01-13,109.238,109.587,108.757,109.519,122805,1,0
2025-01-14,109.388,110.157,109.227,110.104,130496,1,0
2025-01-15,110.082,110.146,108.908,109.11,118572,1,0
2025-01-16,109.07,109.216,107.773,107.78,127482,1,0
2025-01-17,107.729,108.522,107.645,107.931,107324,1,0
2025-01-20,107.881,109.019,107.761,108.691,110978,1,0
2025-01-21,108.604,108.78,107.323,108.539,149983,1,0
2025-01-22,108.514,109.082,108.429,108.866,110543,1,0
2025-01-23,108.778,108.912,108.36,108.498,113878,1,0
2025-01-24,108.502,109.253,108.056,108.716,144775,1,0
2025-01-27,108.11,108.614,107.072,107.483,163957,1,0
2025-01-28,107.432,108.288,107.38,107.964,131002,1,0
2025-01-29,107.932,108.169,107.268,107.658,129957,1,0
2025-01-30,107.599,107.802,105.749,106.364,134982,1,0
2025-01-31,106.453,107.716,106.236,106.672,159935,1,0
2025-02-03,104.933,107.504,104.878,107.225,224979,1,0
2025-02-04,107.232,108.025,106.78,107.745,144488,1,0
2025-02-05,107.73,107.832,106.416,106.579,145972,1,0
2025-02-06,106.558,106.694,105.644,105.883,127843,1,0
2025-02-07,105.771,106.467,105.381,105.921,145030,1,0
2025-02-10,105.241,106.451,105.156,106.175,112772,1,0
2025-02-11,106.134,106.84,105.804,106.759,102515,1,0
2025-02-12,106.682,108.289,106.623,107.898,136186,1,0
2025-02-13,107.904,108.317,107.355,107.662,138931,1,0
2025-02-14,107.66,107.883,107.248,107.412,117734,0,0
2025-02-17,107.322,107.427,106.668,106.788,89909,1,0
2025-02-18,106.762,107.236,106.596,107.112,113526,1,0
2025-02-19,107.109,107.35,106.365,106.366,130227,1,0
2025-02-20,106.35,106.367,105.32,105.553,146695,1,0
2025-02-21,105.533,106.333,104.67,104.889,153940,1,0
2025-02-24,104.772,105.458,104.764,104.985,166848,1,0
2025-02-25,104.96,105.344,103.948,104.079,184138,1,0
2025-02-26,104.079,104.538,103.775,103.972,177728,1,0
2025-02-27,103.973,104.679,103.573,103.77,183533,1,0
2025-02-28,103.751,104.765,103.204,104.056,190522,1,0
2025-03-03,104.205,104.973,102.548,103.215,199647,1,0
2025-03-04,103.208,104.213,102.197,104.044,259903,1,0
2025-03-05,103.958,104.286,103.024,103.784,236551,1,0
2025-03-06,103.792,104.237,102.586,103.516,237004,1,0
2025-03-07,103.474,103.66,101.917,102.918,229359,1,0
2025-03-10,102.822,102.897,101.634,101.969,199421,1,0
2025-03-11,101.902,102.8,101.375,102.368,233543,1,0
2025-03-12,102.369,103.642,102.191,103.157,169667,1,0
2025-03-13,103.113,103.298,102.045,102.341,176010,1,0
2025-03-14,102.334,103.559,102.23,103.462,150588,1,0
2025-03-17,103.32,104.523,103.292,104.415,138543,1,0
2025-03-18,104.402,105.033,104.175,104.386,128658,1,0
2025-03-19,104.302,104.929,103.723,103.789,131754,1,0
2025-03-20,103.794,104.045,103.153,103.871,127657,1,0
2025-03-21,103.852,104.502,103.481,103.99,124388,1,0
2025-03-24,103.977,105.496,103.955,105.219,114918,1,0
2025-03-25,105.205,105.411,104.534,104.987,110059,1,0
2025-03-26,104.901,105.864,104.901,105.542,115640,0,0
2025-03-27,105.545,105.822,105.023,105.594,117930,0,0
2025-03-28,105.586,105.646,104.524,104.645,103783,0,0
2025-03-31,104.621,104.696,103.741,104.219,137157,0,0
2025-04-01,104.228,104.632,103.494,104.596,121949,0,0
2025-04-02,104.602,105.456,104.01,104.776,123151,0,0
2025-04-03,104.769,104.878,103.295,103.613,202852,0,0
2025-04-04,103.612,104.105,101.872,103.21,246974,0,0
2025-04-07,102.086,104.369,101.6,103.76,271850,0,0
2025-04-08,103.744,104.344,102.369,102.552,216806,0,0
2025-04-09,102.553,105.07,101.626,104.898,239420,0,0
2025-04-10,104.828,104.833,102.848,103.303,207547,0,0
2025-04-11,103.309,103.754,102.231,103.442,213293,0,0
2025-04-14,103.762,103.893,102.655,103.042,159744,0,0
2025-04-15,103.004,103.51,102.314,102.599,128665,0,0
2025-04-16,102.567,102.912,102.025,102.337,134240,0,0
2025-04-17,102.31,103.159,102.173,102.978,126615,0,0
2025-04-18,102.858,102.892,102.552,102.608,118854,0,0
2025-04-21,102.471,102.673,101.536,101.769,104463,0,0
2025-04-22,101.7,102.542,101.256,102.516,115178,0,0
2025-04-23,102.479,103.417,102.324,103.327,147338,0,0
2025-04-24,103.326,103.326,102.561,102.955,105869,0,0
2025-04-25,102.935,103.953,102.899,103.743,100027,0,0
2025-04-28,103.538,103.803,102.6,102.699,85032,0,0
2025-04-29,102.689,103.142,102.502,102.908,98931,0,0
2025-04-30,102.87,103.837,102.715,103.676,108371,0,0
2025-05-01,103.674,105.283,103.574,104.97,101654,0,0
2025-05-02,104.942,105.411,104.264,104.879,123786,0,0
2025-05-05,104.751,104.9,103.927,103.943,96707,0,0
2025-05-06,103.941,104.217,103.252,103.373,103040,0,0
2025-05-07,103.323,104.206,103.297,103.923,119883,0,0
2025-05-08,103.92,104.96,103.826,104.808,121515,0,0
2025-05-09,104.79,104.951,103.99,104.284,94567,0,0
2025-05-12,105.231,106.256,104.563,106.233,139331,0,0
2025-05-13,106.233,106.237,105.47,105.823,110390,0,0
2025-05-14,105.822,105.952,104.487,104.948,117326,0,0
2025-05-15,104.956,104.997,103.95,104.369,103327,0,0
2025-05-16,104.347,104.502,103.884,104.257,89019,0,0
2025-05-19,103.845,104.227,103.691,103.829,101533,0,0
2025-05-20,103.828,104.209,103.396,103.84,100400,0,0
2025-05-21,103.844,104.007,103.356,103.661,117540,0,0
2025-05-22,103.667,104.12,103.133,103.945,117249,0,0
2025-05-23,103.939,103.952,103.008,103.848,115458,0,0
2025-05-26,103.637,104.303,103.61,103.981,67536,0,0
2025-05-27,103.975,104.981,103.534,104.498,100940,0,0
2025-05-28,104.503,104.981,104.211,104.689,102610,0,0
2025-05-29,104.662,105.573,104.316,104.427,125153,0,0
2025-05-30,104.398,105.044,103.87,104.851,117836,0,0
2025-06-02,104.707,104.882,104.017,104.055,113251,0,0
2025-06-03,104.027,105.037,103.837,104.94,93966,0,0
2025-06-04,104.869,105.303,104.327,104.334,102366,0,0
2025-06-05,104.348,105.349,104.262,105.005,113161,0,0
2025-06-06,104.885,106.015,104.792,105.742,102374,0,0
2025-06-09,105.687,105.861,105.282,105.548,82444,0,0
2025-06-10,105.49,106.032,105.33,105.982,96384,0,0
2025-06-11,105.916,106.31,105.583,105.754,103917,0,0
2025-06-12,105.69,105.732,105.134,105.503,109444,0,0
2025-06-13,105.461,106.152,104.797,106.08,143532,0,0
2025-06-16,105.848,106.741,105.785,106.68,135575,1,0
2025-06-17,106.632,106.891,106.079,106.204,134488,1,0
2025-06-18,106.124,106.327,105.63,105.966,131824,0,0
2025-06-19,105.939,106.335,105.612,106.167,94625,1,0
2025-06-20,106.058,106.425,105.946,106.305,111635,1,0
2025-06-23,106.528,107.346,106.232,106.4,157227,1,0
2025-06-24,106.358,106.43,105.41,105.573,133327,1,0
2025-06-25,105.555,106.234,105.365,105.817,110392,1,0
2025-06-26,105.751,106.007,105.035,105.856,130500,1,0
2025-06-27,105.783,106.16,105.226,105.657,124935,1,0
2025-06-30,105.32,105.945,105.235,105.822,132655,1,0
2025-07-01,105.765,105.838,104.851,105.085,122984,1,0
2025-07-02,105.068,105.784,105.051,105.693,116228,1,0
2025-07-03,105.639,107.029,105.586,106.661,104641,0,0
2025-07-04,106.68,106.716,106.107,106.148,115231,1,0
2025-07-07,106.11,107.031,105.951,106.752,114491,1,0
2025-07-08,106.724,107.437,106.647,107.261,114588,1,0
2025-07-09,107.249,107.544,106.821,106.894,103217,1,0
2025-07-10,106.9,107.174,106.583,107.112,95044,1,0
2025-07-11,107.1,107.854,106.578,107.661,110263,1,0
2025-07-14,107.341,107.914,107.274,107.793,104166,1,0
2025-07-15,107.75,108.609,107.704,108.46,100280,1,0
2025-07-16,108.426,108.744,107.23,108.075,128984,1,0
2025-07-17,108.007,108.405,107.861,108.06,112103,1,0
2025-07-18,107.986,108.432,107.93,108.432,97534,1,0
2025-07-21,107.716,108.322,107.429,107.682,103447,1,0
2025-07-22,107.632,108.066,107.19,107.774,96338,1,0
2025-07-23,107.73,108.233,107.393,107.728,117121,1,0
2025-07-24,107.674,107.861,107.237,107.793,114852,1,0
2025-07-25,107.758,108.162,107.548,107.765,114259,1,0
2025-07-28,107.681,108.254,107.642,108.117,116513,1,0
2025-07-29,108.076,108.217,107.689,107.804,109122,1,0
2025-07-30,107.767,108.12,107.343,108.11,127199,1,0
2025-07-31,108.085,108.934,107.481,108.799,134488,1,0
2025-08-01,108.761,108.956,106.814,106.939,173980,1,0
2025-08-04,106.758,107.434,106.59,106.743,147690,1,0
2025-08-05,106.739,107.216,106.525,107.142,131019,1,0
2025-08-06,107.158,107.425,106.989,107.238,120612,1,0
2025-08-07,107.2,107.514,106.898,107.036,135756,1,0
2025-08-08,107.011,107.694,106.853,107.334,121982,1,0
2025-08-11,107.15,107.567,107.005,107.515,104889,1,0
2025-08-12,107.509,107.759,107.2,107.357,136108,1,0
2025-08-13,107.341,107.532,106.857,107.115,114372,1,0
