time,open,high,low,close,tick_volume,spread,real_volume
2025-09-25,15085.65,15287.15,15080.76,15190.87,113437,450,0
2025-09-26,15193.15,15195.04,14953.75,14992.2,113445,450,0
2025-09-29,14997.25,15311.16,14965.55,15198.85,116811,450,0
2025-09-30,15199.45,15235.75,15105.75,15198.7,112854,450,0
2025-10-01,15198.14,15202.55,15132.65,15198.06,31386,450,0
2025-10-02,15193.25,15346.55,15166.75,15247.54,81178,450,0
2025-10-03,15247.41,15277.15,15154.75,15186.71,55305,450,0
2025-10-06,15181.55,15196.95,15119.59,15191.61,60441,450,0
2025-10-07,15191.62,15241.15,15136.55,15154.04,28669,450,0
2025-10-08,15150.25,15152.25,14974.15,15133.58,63717,450,0
2025-10-09,15133.87,15347.35,15091.55,15120.23,131954,450,0
2025-10-10,15120.18,15212.55,14315.25,14329.72,184297,450,0
2025-10-13,14696.35,14893.95,14635.35,14842.16,168108,450,0
2025-10-14,14871.25,14972.75,14684.35,14788.48,228198,450,0
2025-10-15,14805.95,15100.75,14760.35,15002.14,187789,450,0
2025-10-16,14989.55,15207.75,14956.95,15129.72,190484,450,0
2025-10-17,15129.7,15171.95,14842.55,15028.25,214804,450,0
2025-10-20,15015.35,15097.95,14941.75,15062.27,149389,450,0
2025-10-21,15064.25,15329.75,15029.76,15200.74,156408,450,0
2025-10-22,15198.75,15296.75,15158.02,15218.42,167401,450,0
2025-10-23,15225.35,15385.95,15127.15,15360.03,162529,450,0
2025-10-24,15359.97,15564.75,15353.35,15554.14,149947,450,0
2025-10-27,15674.25,15727.75,15556.55,15726.97,145687,450,0
2025-10-28,15712.25,15776.95,15603.75,15695.92,149608,450,0
2025-10-29,15674.95,15717.4,15592.75,15665.84,121080,450,0
2025-10-30,15715.95,15748.75,15522.54,15582.97,195262,450,0
2025-10-31,15582.95,15582.95,15220.75,15272.12,161230,450,0
2025-11-03,15283.75,15349.95,15173.15,15311.75,136895,450,0
2025-11-04,15317.09,15398.75,15195.75,15222.65,158496,450,0
2025-11-05,15211.41,15379.75,15104.37,15369.06,154811,450,0
2025-11-06,15381.67,15560.75,15344.59,15478.36,163386,450,0
2025-11-07,15454.54,15481.75,15345.75,15424.26,157582,450,0
2025-11-10,15429.25,15483.95,15272.55,15437.55,121301,450,0
