time,open,high,low,close,tick_volume,spread,real_volume
2025-09-25,9385.59,9501.22,9366.8,9395.84,131420,250,0
2025-09-26,9488.4,9488.4,9279.0,9346.6,136359,250,0
2025-09-29,9350.1,9503.2,9348.2,9484.01,135705,250,0
2025-09-30,9482.5,9580.6,9424.73,9518.55,126565,250,0
2025-10-02,9543.4,9773.73,9542.2,9695.4,124990,250,0
2025-10-03,9708.39,9715.3,9582.93,9625.92,89262,250,0
2025-10-06,9621.38,9644.63,9530.13,9637.2,102532,250,0
2025-10-08,9543.54,9582.2,9402.63,9522.16,99378,250,0
2025-10-09,9553.91,9623.13,9359.0,9362.0,160619,250,0
2025-10-10,9402.22,9469.73,8869.0,8870.03,156971,250,0
2025-10-13,9096.77,9227.0,9005.53,9173.58,201162,250,0
2025-10-14,9199.1,9304.13,9036.2,9187.28,246568,250,0
2025-10-15,9168.2,9286.13,9126.53,9235.08,201059,250,0
2025-10-16,9238.78,9326.33,9183.13,9253.5,213266,250,0
2025-10-17,9234.45,9263.7,8966.53,9236.78,243268,250,0
2025-10-20,9241.3,9372.0,9181.33,9369.88,164246,250,0
2025-10-21,9369.0,9436.63,9229.0,9246.1,166187,250,0
2025-10-22,9237.3,9267.33,9119.0,9175.17,195306,250,0
2025-10-23,9198.6,9389.0,9145.63,9362.62,181638,250,0
2025-10-24,9375.63,9426.0,9318.13,9393.21,149834,250,0
2025-10-27,9468.95,9518.0,9398.93,9498.63,140394,250,0
2025-10-28,9489.51,9514.9,9346.13,9457.71,138240,250,0
2025-10-30,9466.8,9478.4,9259.5,9315.5,223833,250,0
2025-10-31,9352.87,9356.2,9118.8,9195.91,175373,250,0
2025-11-03,9213.6,9292.13,9176.13,9240.36,151500,250,0
2025-11-04,9221.0,9310.33,9102.6,9150.8,172490,250,0
2025-11-05,9086.04,9228.0,9004.33,9224.54,179881,250,0
2025-11-06,9219.2,9390.0,9193.7,9343.22,180538,250,0
2025-11-07,9328.2,9339.7,9160.0,9212.0,181768,250,0
2025-11-10,9298.71,9453.0,9287.7,9408.0,120854,250,0
