time,open,high,low,close,tick_volume,spread,real_volume
2025-09-22,48.50181,48.83204,48.43207,48.81086,95952,1131,0
2025-09-23,48.75556,48.96124,48.73885,48.90002,130668,1128,0
2025-09-24,48.90598,48.96062,48.64511,48.66776,112033,1153,0
2025-09-25,48.62524,48.83779,48.37623,48.45211,112961,1753,0
2025-09-26,48.44775,48.68252,48.3565,48.64765,103088,1250,0
2025-09-29,48.61373,48.89723,48.43204,48.75115,94456,1250,0
2025-09-30,48.73786,48.93883,48.67232,48.79711,99163,1242,0
2025-10-01,48.79618,49.01884,48.48001,48.73459,120600,1127,0
2025-10-02,48.41796,49.02543,48.41796,48.81385,98422,1746,0
2025-10-03,48.72764,49.05037,48.50692,48.94121,93237,1107,0
2025-10-06,48.77712,48.91508,48.60872,48.83358,111828,1133,0
2025-10-07,48.81908,48.88473,48.2299,48.44108,98500,1009,0
2025-10-08,48.59881,48.64765,48.38682,48.49408,111788,1071,0
2025-10-09,48.47809,48.70535,48.12361,48.31391,122023,1491,0
2025-10-10,48.3138,48.64292,48.20613,48.57006,119607,519,0
2025-10-13,48.34782,48.65879,48.31349,48.36793,112857,1017,0
2025-10-14,48.36371,48.60015,48.30313,48.55013,125918,937,0
2025-10-15,48.54368,48.7615,48.45438,48.73387,113853,1011,0
2025-10-16,48.73294,49.02888,48.73294,48.98553,121119,1258,0
2025-10-17,48.99356,49.22466,48.73125,48.7438,121221,808,0
2025-10-20,48.76822,48.98899,48.58624,48.67365,94886,992,0
2025-10-21,48.40412,48.88985,48.40412,48.69231,103321,986,0
2025-10-22,48.35818,48.80313,48.35818,48.7396,85515,782,0
2025-10-23,48.50834,48.89616,48.50834,48.80367,104885,1312,0
2025-10-24,48.52203,48.93531,48.34353,48.76977,99432,975,0
2025-10-27,48.70632,48.98146,48.51623,48.78515,90191,1200,0
2025-10-28,48.65187,48.95021,48.56989,48.81235,108993,523,0
2025-10-29,48.80558,48.96453,48.57422,48.61947,106922,1435,0
2025-10-30,48.62037,48.93393,48.58863,48.60091,110240,1118,0
2025-10-31,48.60107,48.715,48.45874,48.50547,97045,739,0
2025-11-03,48.44792,48.59355,48.4069,48.43163,91180,740,0
2025-11-04,48.36685,48.57189,48.051,48.05498,86181,764,0
2025-11-05,48.27884,48.43723,48.25471,48.38035,87511,816,0
2025-11-06,48.38272,48.72955,48.38272,48.68323,89419,1371,0
2025-11-07,48.65474,48.9937,48.51682,48.84661,87994,1077,0
2025-11-10,48.75944,48.90855,48.72724,48.78733,62662,519,0
