time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,7363.15,7454.3,7348.15,7400.65,25876,50,0
2024-11-12,7400.35,7404.35,7207.0,7232.86,32908,100,0
2024-11-13,7233.85,7260.5,7160.0,7230.85,38068,100,0
2024-11-14,7233.95,7323.1,7201.95,7282.11,32222,100,0
2024-11-15,7283.15,7324.3,7236.9,7274.65,37685,50,0
2024-11-18,7277.15,7298.65,7238.0,7258.35,33229,50,0
2024-11-19,7258.35,7306.7,7137.3,7229.05,44243,100,0
2024-11-20,7228.75,7287.4,7193.4,7226.76,35508,100,0
2024-11-21,7225.35,7237.5,7133.1,7226.35,43539,100,0
2024-11-22,7225.85,7274.7,7157.8,7263.05,41314,50,0
2024-11-25,7288.35,7341.1,7224.35,7236.85,31781,100,0
2024-11-26,7238.45,7263.1,7165.95,7180.44,34071,100,0
2024-11-27,7179.55,7187.3,7095.2,7151.55,34545,50,0
2024-11-28,7154.85,7211.85,7146.1,7188.85,19807,50,0
2024-11-29,7188.85,7251.2,7147.3,7228.05,26219,100,0
2024-12-02,7226.95,7284.6,7124.2,7241.45,34780,100,0
2024-12-03,7241.45,7328.6,7222.1,7260.65,28253,50,0
2024-12-04,7262.35,7332.5,7239.0,7278.85,26410,50,0
2024-12-05,7278.05,7359.7,7262.8,7317.23,23749,100,0
2024-12-06,7316.25,7454.9,7309.75,7432.25,23951,50,0
2024-12-09,7433.75,7521.9,7424.5,7467.68,25949,100,0
2024-12-10,7469.85,7477.0,7379.35,7385.85,21789,100,0
2024-12-11,7389.05,7460.7,7372.55,7442.05,22460,50,0
2024-12-12,7443.65,7465.15,7402.83,7406.33,20847,50,0
2024-12-13,7414.35,7467.5,7393.5,7405.35,22991,100,0
2024-12-16,7415.05,7428.05,7342.55,7346.05,22452,50,0
2024-12-17,7347.15,7408.3,7321.13,7368.22,21359,100,0
2024-12-18,7372.35,7408.5,7258.35,7293.35,30746,50,0
2024-12-19,7304.95,7335.1,7267.6,7293.95,39554,30,0
2024-12-20,7296.95,7306.1,7197.2,7258.45,44023,100,0
2024-12-23,7275.95,7311.4,7234.7,7299.0,29479,100,0
2024-12-24,7303.95,7334.6,7286.6,7290.6,5124,100,0
2024-12-27,7288.2,7366.1,7275.7,7354.45,24005,100,0
2024-12-30,7357.95,7376.2,7301.2,7310.55,26944,100,0
2024-12-31,7310.15,7400.4,7288.8,7384.4,6509,100,0
2025-01-02,7367.9,7407.4,7282.5,7353.25,37403,100,0
2025-01-03,7355.85,7386.0,7267.0,7275.35,25336,100,0
2025-01-06,7289.75,7455.9,7272.75,7413.25,35933,100,0
2025-01-07,7415.85,7519.0,7399.35,7463.35,31202,100,0
2025-01-08,7463.85,7497.7,7395.2,7439.05,42263,100,0
2025-01-09,7439.15,7504.3,7402.4,7489.15,21433,100,0
2025-01-10,7487.75,7521.4,7416.4,7441.25,40955,100,0
2025-01-13,7445.65,7470.24,7351.9,7465.85,35068,100,0
2025-01-14,7465.35,7502.0,7411.0,7441.35,32523,100,0
2025-01-15,7440.95,7516.1,7413.25,7476.52,30076,100,0
2025-01-16,7480.65,7652.3,7468.12,7631.15,35738,30,0
2025-01-17,7632.25,7732.9,7630.25,7715.75,24596,100,0
