time,open,high,low,close,tick_volume,spread,real_volume
2025-09-25,55.7012,55.96189,55.34514,55.41537,154462,2013,0
2025-09-26,55.40506,55.78762,55.30808,55.713589999999996,134498,1435,0
2025-09-29,55.58434,55.98006,55.48592,55.83304,130038,1437,0
2025-09-30,55.79264,56.03143,55.7559,55.9104,131778,1428,0
2025-10-01,55.91143,56.29102,55.69191,55.98747,154656,1301,0
2025-10-02,55.646209999999996,56.31588,55.646209999999996,55.98828,126839,2009,0
2025-10-03,55.89059,56.23543,55.61735,56.18003,125630,1277,0
2025-10-06,55.91204,56.25538,55.8401,56.22249,150224,1308,0
2025-10-07,56.22375,56.28514,55.53621,55.77274,130579,1165,0
2025-10-08,55.9292,56.09533,55.78376,55.89338,139172,1241,0
2025-10-09,55.89099,56.1171,55.35992,55.57219,153622,1723,0
2025-10-10,55.54329,55.9193,55.46144,55.79886,162093,600,0
2025-10-13,55.52257,55.92359,55.48308,55.73625,148019,1177,0
2025-10-14,55.73072,55.85339,55.4534,55.70583,170276,1082,0
2025-10-15,55.69293,56.11388,55.60768,56.08054,149053,1165,0
2025-10-16,56.07037,56.44208,56.07037,56.30941,159223,1467,0
2025-10-17,56.31194,56.54961,56.11973,56.16146,144071,1194,0
2025-10-20,56.12565,56.42551,55.94134,56.03503,108670,1146,0
2025-10-21,55.72403,56.28061,55.72403,56.12093,127904,1140,0
2025-10-22,55.73302,56.1986,55.73302,56.06992,115669,1027,0
2025-10-23,55.79061,56.20756,55.66276,55.97231,121923,1511,0
2025-10-24,55.75528,56.1147,55.4503,55.8279,131550,1129,0
2025-10-27,55.73783,56.07733,55.57676,55.86361,111003,1385,0
2025-10-28,55.70353,56.08913,55.58219,55.58636,138399,601,0
2025-10-29,55.58399,55.73053,55.10631,55.29645,133145,1635,0
2025-10-30,55.29665,55.59635,55.19239,55.25773,134920,1277,0
2025-10-31,55.23932,55.36533,55.09743,55.27641,117531,844,0
2025-11-03,55.14325,55.36156,55.13895,55.23699,104387,850,0
2025-11-04,55.15978,55.33294,54.47665,54.48183,109472,912,0
2025-11-05,54.74272,55.00334,54.73624,54.9435,106931,936,0
2025-11-06,54.94064,55.44063,54.94064,55.38506,116125,1563,0
2025-11-07,55.3347,55.68953,55.17135,55.59045,114232,1228,0
2025-11-10,55.40794,55.70254,55.39341,55.5538,83191,594,0
