time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,33989.6,34377.1,33945.2,34259.4,8695,900,0
2024-11-12,34052.3,34163.1,33470.6,33610.5,12463,900,0
2024-11-13,33478.0,33848.9,33366.8,33732.1,13029,900,0
2024-11-14,33674.3,34379.8,33601.9,34273.6,12991,900,0
2024-11-15,34180.7,34472.4,34076.0,34203.3,13612,900,0
2024-11-18,33859.2,33921.5,33485.2,33686.5,12279,900,0
2024-11-19,33807.5,33825.2,32785.1,33323.5,18381,900,0
2024-11-20,33466.7,33554.3,33125.5,33351.2,13605,900,0
2024-11-21,33317.7,33412.2,32852.7,33367.4,17328,900,0
2024-11-22,33349.0,33599.3,32954.1,33582.0,15396,900,0
2024-11-25,33667.5,33772.4,33285.4,33320.7,13459,900,0
2024-11-26,33175.1,33388.0,32984.6,33126.6,13056,900,0
2024-11-27,33093.2,33153.1,32703.2,33087.6,13297,900,0
2024-11-28,33138.9,33353.4,33128.8,33271.7,8539,900,0
2024-11-29,33179.3,33419.5,33097.0,33375.3,9795,900,0
2024-12-02,33252.1,33592.9,33093.3,33531.9,12895,900,0
2024-12-03,33538.5,33955.6,33486.1,33843.1,10969,900,0
2024-12-04,33857.3,34266.7,33810.0,34029.1,9530,900,0
2024-12-05,34028.1,34663.7,33983.2,34537.2,9392,900,0
2024-12-06,34538.8,34883.5,34516.3,34737.8,9302,900,0
2024-12-09,34729.7,34989.5,34436.1,34443.6,9919,900,0
2024-12-10,34410.6,34617.3,34385.2,34502.6,8584,900,0
2024-12-11,34508.0,34812.1,34492.2,34797.2,9292,900,0
2024-12-12,34766.8,34949.4,34729.2,34814.6,9296,900,0
2024-12-13,34833.9,35005.7,34816.1,34895.8,8341,900,0
2024-12-16,34845.3,35007.9,34642.9,34642.9,8353,900,0
2024-12-17,34596.3,34623.8,34232.8,34324.8,5425,900,0
2024-12-18,34326.5,34499.7,33865.9,33883.3,3439,900,0
2024-12-19,33891.1,34158.9,33706.0,33743.5,6512,900,0
2024-12-20,33601.9,33849.0,33260.7,33697.9,17153,900,0
2024-12-23,33777.4,33950.4,33527.8,33930.6,11033,900,0
2024-12-27,33975.5,34165.7,33593.0,34131.5,10822,900,0
2024-12-30,34093.9,34333.9,33955.3,34178.9,10524,900,0
2025-01-02,34287.9,34450.4,33773.8,34211.7,17261,900,0
2025-01-03,34274.9,34384.8,34046.3,34171.6,10739,900,0
2025-01-06,34316.1,34808.2,34161.5,34602.6,14462,900,0
2025-01-07,34591.5,34965.1,34339.2,34836.5,12940,900,0
2025-01-08,34822.9,35264.5,34815.5,35101.3,17111,900,0
2025-01-09,35069.9,35388.8,34844.0,35372.0,7753,900,0
2025-01-10,35296.3,35432.4,35062.2,35134.8,16470,900,0
2025-01-13,35040.2,35045.2,34612.2,34943.3,14451,900,0
2025-01-14,35016.7,35224.6,34972.0,35177.6,11832,900,0
2025-01-15,35164.0,35716.0,35164.0,35673.8,9954,900,0
2025-01-16,35702.0,36008.7,35702.0,35846.6,10536,900,0
2025-01-17,35872.7,36314.5,35846.2,36280.3,8758,900,0
