time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,39153.55,39804.8,39102.3,39617.3,61868,300,0
2024-11-12,39617.3,39865.01,38980.26,39202.76,81934,300,0
2024-11-13,39202.76,39381.71,38479.46,38943.21,87562,300,0
2024-11-14,38943.21,39090.91,38492.61,38889.91,82040,300,0
2024-11-15,38889.91,39116.37,37756.62,37987.87,93386,300,0
2024-11-18,37978.03,38557.78,37941.78,38353.03,88630,300,0
2024-11-19,38353.03,38568.24,37695.99,38232.24,110616,300,0
2024-11-20,38232.24,38528.69,37842.69,38343.94,80720,300,0
2024-11-21,38345.19,38366.64,37692.09,38203.14,105694,300,0
2024-11-22,38203.14,38633.59,38033.79,38611.09,96406,300,0
2024-11-25,38672.53,39066.03,38588.98,38853.78,79361,300,0
2024-11-26,38853.78,38890.23,38015.23,38320.48,93665,300,0
2024-11-27,38320.48,38430.68,37630.93,37795.93,76617,300,0
2024-11-28,37795.93,38482.38,37782.63,38292.63,41953,300,0
2024-11-29,38339.33,38449.33,37977.83,38284.33,66302,300,0
2024-12-02,38255.8,38705.8,37949.3,38613.3,76507,300,0
2024-12-03,38613.3,39424.74,38589.74,39253.74,73136,300,0
2024-12-04,39253.74,39766.68,39030.18,39697.93,61245,300,0
2024-12-05,39697.93,39733.11,39255.86,39314.61,61324,300,0
2024-12-06,39314.61,39466.05,38936.05,39322.55,62339,300,0
2024-12-09,39320.49,39529.24,38972.74,39211.74,60196,300,0
2024-12-10,39211.74,39504.5,39150.75,39339.5,62858,300,0
2024-12-11,39339.5,40155.31,39132.56,39960.31,50877,300,0
2024-12-12,39960.31,40097.11,39549.86,39608.61,65297,300,0
2024-12-13,39608.61,39767.92,39240.42,39504.42,60872,300,0
2024-12-16,39604.37,39725.62,39369.12,39646.87,53288,300,0
2024-12-17,39646.87,39783.68,39215.18,39292.68,68788,300,0
2024-12-18,39292.68,39457.24,38258.49,38540.99,85769,300,0
2024-12-19,38554.74,39364.49,38210.29,38988.04,113932,300,0
2024-12-20,38989.29,39175.1,38347.6,38865.1,127627,300,0
2024-12-23,38905.06,39340.06,38848.56,39307.56,75002,300,0
2024-12-24,39307.56,39350.61,39008.11,39258.36,35347,300,0
2024-12-26,39239.97,39744.97,39114.72,39651.22,49136,300,0
2024-12-27,39651.22,40419.94,39548.69,40048.94,85328,300,0
2024-12-30,40126.41,40323.66,39241.41,39380.16,85554,300,0
2024-12-31,39380.16,39492.21,39148.66,39349.71,46444,300,0
2025-01-02,39391.32,39655.07,39153.82,39390.07,73964,300,0
2025-01-03,39390.07,39599.63,39197.33,39519.63,59288,300,0
2025-01-06,39594.59,39978.09,39208.09,39702.09,79066,300,0
2025-01-07,39702.09,40288.9,39603.9,39792.9,91799,300,0
2025-01-08,39792.9,40097.2,39685.95,39863.7,96070,300,0
2025-01-09,39863.7,39906.76,39370.51,39514.51,39949,300,0
2025-01-10,39514.51,39557.81,38607.81,38750.31,102499,300,0
2025-01-13,38755.28,38793.78,38113.78,38690.28,73257,300,0
2025-01-14,38690.28,39044.59,38294.59,38701.09,97632,300,0
2025-01-15,38701.09,38819.4,38209.6,38684.4,66666,300,0
2025-01-16,38684.4,38928.7,38245.2,38302.7,87330,300,0
2025-01-17,38302.7,38903.51,38047.01,38788.51,68232,300,0
2025-01-20,38780.99,39093.49,38674.49,38939.74,45549,300,0
2025-01-21,38958.05,39329.3,38625.3,39324.3,74875,300,0
2025-01-22,39324.3,39935.1,39303.6,39763.85,47671,300,0
2025-01-23,39763.85,40025.65,39665.65,39848.4,48485,300,0
2025-01-24,39845.9,40604.21,39801.46,40479.21,65231,300,0
2025-01-27,40331.7,40346.45,38644.4,39084.2,117054,300,0
2025-01-28,39082.95,39422.5,38876.0,39375.0,74066,300,0
2025-01-29,39375.0,39609.49,39110.54,39378.04,68639,300,0
2025-01-30,39378.04,39696.7,39205.2,39540.45,63185,300,0
2025-01-31,39540.45,39815.0,39281.25,39295.0,63729,300,0
2025-02-03,38604.94,39262.44,38370.94,39172.44,113892,300,0
2025-02-04,39172.44,39299.24,38569.24,39003.24,67588,300,0
2025-02-05,39003.24,39110.04,38556.54,38924.04,62188,300,0
2025-02-06,38924.04,39185.04,38822.34,38938.59,56874,300,0
2025-02-07,38939.84,39006.64,38325.64,38360.64,77858,300,0
2025-02-10,38258.1,38965.6,38258.1,38919.35,45816,300,0
2025-02-11,38918.1,39086.4,38757.85,39038.9,39113,300,0
2025-02-12,39038.9,39225.5,38755.5,39175.5,34134,140,0
2025-02-13,39175.5,39596.3,39111.3,39463.0,42260,340,0
2025-02-14,39479.0,39580.0,38997.0,39112.0,32293,200,0
2025-02-17,39141.0,39238.0,38995.0,39181.0,14219,200,0
2025-02-18,39188.0,39506.0,39118.0,39338.0,23443,200,0
2025-02-19,39335.0,39335.0,38766.0,38988.0,27629,200,0
2025-02-20,38986.0,38986.0,38397.0,38549.0,37158,200,0
2025-02-21,38537.0,38877.0,38062.0,38140.0,47747,200,0
2025-02-24,38179.0,38386.0,37884.0,38044.0,58720,200,0
2025-02-25,38077.0,38483.0,37682.0,38055.0,85980,200,0
2025-02-26,38100.0,38485.0,37736.0,38173.0,67300,200,0
2025-02-27,38135.0,38384.0,37544.0,37709.0,86270,200,0
