time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,13.788,13.954,13.781,13.926,54099,2,0
2024-11-12,13.918,13.98,13.866,13.952,52366,2,0
2024-11-13,13.943,14.015,13.892,13.952,56229,2,0
2024-11-14,13.95,14.061,13.85,14.004,51577,2,0
2024-11-15,14.004,14.062,13.875,13.91,64811,2,0
2024-11-18,13.842,14.069,13.842,14.053,55801,2,0
2024-11-19,14.051,14.096,13.848,14.078,64707,2,0
2024-11-20,14.075,14.161,13.984,14.046,55058,2,0
2024-11-21,14.043,14.047,13.92,13.948,64089,2,0
2024-11-22,13.953,14.017,13.81,13.973,61982,2,0
2024-11-25,13.96,14.025,13.856,13.895,61404,2,0
2024-11-26,13.891,13.891,13.686,13.706,89736,2,0
2024-11-27,13.696,13.734,13.604,13.649000000000001,85147,2,0
2024-11-28,13.643,13.756,13.491,13.709,50701,2,0
2024-11-29,13.704,13.705,13.498,13.533,61739,2,0
2024-12-02,13.44,13.591,13.395,13.468,67357,2,0
2024-12-03,13.468,13.581,13.378,13.511,53021,2,0
2024-12-04,13.511,13.653,13.45,13.613,58924,2,0
2024-12-05,13.605,13.67,13.538,13.593,51922,2,0
2024-12-06,13.576,13.632,13.411,13.436,57372,2,0
2024-12-09,13.388,13.648,13.379,13.584,42415,2,0
2024-12-10,13.58,13.672,13.516,13.619,49653,2,0
2024-12-11,13.618,13.705,13.509,13.67,48298,2,0
2024-12-12,13.664,13.748,13.566,13.649000000000001,52410,2,0
2024-12-13,13.643,13.838,13.59,13.783,51126,2,0
2024-12-16,13.624,13.836,13.608,13.808,51311,2,0
2024-12-17,13.803,13.844,13.673,13.693999999999999,43875,2,0
2024-12-18,13.67,13.739,13.551,13.585,52345,2,0
2024-12-19,13.566,13.912,13.509,13.745,64789,2,0
2024-12-20,13.735,13.82,13.665,13.792,60120,2,0
2024-12-23,13.684,13.866,13.667,13.826,57874,2,0
2024-12-24,13.813,13.844,13.741,13.769,28647,2,0
2024-12-26,13.786,13.918,13.735,13.862,30148,2,0
2024-12-27,13.837,13.914,13.799,13.877,37108,3,0
2024-12-30,13.724,13.924,13.724,13.834,39736,2,0
2024-12-31,13.832,13.855,13.697,13.796,35074,2,0
2025-01-02,13.779,13.877,13.712,13.82,44910,2,0
2025-01-03,13.804,13.856,13.766,13.83,30208,2,0
2025-01-06,13.72,13.994,13.685,13.95,45206,2,0
2025-01-07,13.94,14.016,13.86,13.928,37415,2,0
2025-01-08,13.85,13.975999999999999,13.793,13.879,43139,2,0
2025-01-09,13.878,13.887,13.802,13.868,31154,2,0
2025-01-10,13.861,13.891,13.711,13.734,42352,2,0
2025-01-13,13.612,13.797,13.612,13.773,59339,2,0
2025-01-14,13.776,13.888,13.744,13.882,38359,2,0
2025-01-15,13.874,13.881,13.766,13.8,40599,2,0
2025-01-16,13.798,13.821,13.641,13.643,40614,2,0
2025-01-17,13.632,13.71,13.589,13.64,34501,2,0
2025-01-20,13.573,13.785,13.568999999999999,13.766,78982,2,0
2025-01-21,13.76,13.768,13.641,13.754,54419,2,0
2025-01-22,13.756,13.903,13.734,13.87,38041,2,0
2025-01-23,13.865,13.888,13.802,13.827,39927,2,0
2025-01-24,13.83,13.967,13.766,13.918,60511,2,0
2025-01-27,13.816,13.894,13.682,13.736,54542,2,0
2025-01-28,13.735,13.816,13.696,13.781,51317,2,0
2025-01-29,13.775,13.799,13.689,13.744,46475,2,0
2025-01-30,13.742,13.748,13.594,13.607,53030,2,0
2025-01-31,13.600999999999999,13.749,13.532,13.682,80510,2,0
2025-02-03,13.452,13.644,13.443,13.635,75507,2,0
2025-02-04,13.632,13.759,13.54,13.725,45066,2,0
2025-02-05,13.719,13.732,13.562,13.586,44460,2,0
2025-02-06,13.579,13.604,13.475999999999999,13.502,37051,2,0
2025-02-07,13.494,13.576,13.337,13.459,56383,2,0
2025-02-10,13.356,13.581,13.343,13.549,34744,2,0
2025-02-11,13.519,13.641,13.477,13.613,27420,2,0
2025-02-12,13.608,13.754,13.531,13.693999999999999,40762,2,0
2025-02-13,13.695,13.769,13.611,13.701,49589,2,0
2025-02-14,13.7,13.76,13.6,13.681000000000001,42990,2,0
2025-02-17,13.636,13.7,13.607,13.641,30339,2,0
2025-02-18,13.636,13.678,13.544,13.622,32090,2,0
2025-02-19,13.623,13.65,13.479,13.593,32441,2,0
2025-02-20,13.574,13.593,13.435,13.482,38362,2,0
2025-02-21,13.479,13.568999999999999,13.36,13.367,42626,2,0
2025-02-24,13.296,13.489,13.282,13.458,48611,2,0
2025-02-25,13.458,13.498,13.362,13.399000000000001,50169,2,0
2025-02-26,13.39,13.44,13.329,13.363,39606,2,0
2025-02-27,13.348,13.431,13.298,13.312,50747,2,0
2025-02-28,13.3,13.428,13.229,13.356,53393,2,0
2025-03-03,13.315,13.555,13.285,13.344,56343,2,0
2025-03-04,13.339,13.5,13.188,13.494,82449,2,0
2025-03-05,13.472,13.663,13.415,13.627,88647,2,0
2025-03-06,13.597,13.697,13.497,13.577,78476,2,0
2025-03-07,13.546,13.665,13.516,13.62,75734,2,0
2025-03-10,13.504,13.719,13.504,13.672,79642,2,0
2025-03-11,13.668,13.942,13.578,13.863,72612,2,0
2025-03-12,13.845,13.981,13.765,13.941,64395,2,0
2025-03-13,13.854,13.958,13.793,13.818,50422,2,0
2025-03-14,13.808,13.974,13.744,13.952,55305,2,0
2025-03-17,13.864,14.166,13.863,14.147,46421,2,0
2025-03-18,14.13,14.287,14.025,14.121,38933,2,0
2025-03-19,14.12,14.2,14.029,14.068,50652,2,0
2025-03-20,14.066,14.109,13.918,14.082,47574,2,0
2025-03-21,14.078,14.196,14.038,14.147,44428,2,0
2025-03-24,14.052,14.339,14.05,14.314,49698,2,0
2025-03-25,14.298,14.362,14.231,14.245,39610,2,0
2025-03-26,14.24,14.324,14.182,14.26,34931,0,0
2025-03-27,14.17,14.419,14.151,14.407,30045,0,0
2025-03-28,14.39,14.417,14.19,14.267,23984,0,0
2025-03-31,14.242,14.29,14.117,14.256,32559,0,0
2025-04-01,14.232,14.308,14.138,14.285,31736,0,0
2025-04-02,14.267,14.531,14.178,14.344,31673,0,0
2025-04-03,14.257,14.346,14.1,14.134,66470,0,0
2025-04-04,14.089,14.193,13.398,13.617,100242,0,0
2025-04-07,13.286,13.667,13.274000000000001,13.436,98849,0,0
2025-04-08,13.382,13.614,13.322,13.337,81127,0,0
2025-04-09,13.246,13.867,13.084,13.689,114966,0,0
2025-04-10,13.606,13.695,13.26,13.34,110621,0,0
2025-04-11,13.288,13.515,13.214,13.419,111239,0,0
2025-04-14,13.339,13.617,13.29,13.528,151363,0,0
2025-04-15,13.471,13.589,13.402,13.452,124472,0,0
2025-04-16,13.342,13.508,13.285,13.412,89576,0,0
2025-04-17,13.384,13.606,13.342,13.577,100315,0,0
2025-04-18,13.499,13.608,13.499,13.536,174474,0,0
2025-04-21,13.508,13.604,13.416,13.574,86532,0,0
2025-04-22,13.483,13.642,13.354,13.607,121840,0,0
2025-04-23,13.556000000000001,13.713,13.483,13.604,112660,0,0
2025-04-24,13.557,13.724,13.342,13.701,93648,0,0
2025-04-25,13.543,13.842,13.444,13.759,90617,0,0
2025-04-28,13.671,13.818999999999999,13.574,13.732,83078,0,0
2025-04-29,13.676,13.788,13.599,13.709,92680,0,0
2025-04-30,13.643,13.811,13.616,13.737,118126,0,0
2025-05-01,13.701,13.963,13.652,13.927,79382,0,0
2025-05-02,13.825,13.99,13.825,13.916,102268,0,0
2025-05-05,13.85,13.901,13.801,13.81,42225,0,0
2025-05-06,13.744,13.908,13.722,13.85,84877,0,0
2025-05-07,13.762,13.968,13.756,13.89,80857,0,0
2025-05-08,13.868,14.012,13.756,13.986,78397,0,0
2025-05-09,13.943,14.041,13.909,14.011,79316,0,0
2025-05-12,13.967,14.234,13.966,14.195,56544,0,0
2025-05-13,14.17,14.268,14.1,14.214,55789,0,0
2025-05-14,14.187,14.246,14.103,14.118,97532,0,0
2025-05-15,14.068,14.14,13.96,13.982,79842,0,0
2025-05-16,13.962,14.039,13.905,14.011,40184,0,0
2025-05-19,13.922,14.095,13.921,14.052,79007,0,0
2025-05-20,14.01,14.1,13.96,14.081,75243,0,0
2025-05-21,14.077,14.189,14.001,14.1,69882,5,0
2025-05-22,14.056,14.16,14.035,14.096,64593,5,0
2025-05-23,14.046,14.178,13.975,14.086,70330,5,0
2025-05-26,14.038,14.202,14.036,14.143,61351,5,0
2025-05-27,14.122,14.258,14.045,14.196,64967,5,0
2025-05-28,14.155,14.249,14.138,14.207,36741,5,0
2025-05-29,14.178,14.313,14.162,14.208,56362,5,0
2025-05-30,14.201,14.225,14.066,14.088,58257,5,0
2025-06-02,14.037,14.18,14.031,14.152,55609,5,0
2025-06-03,14.128,14.195,14.086,14.162,39823,5,0
2025-06-04,14.098,14.266,14.066,14.091,46195,5,0
2025-06-05,14.045,14.298,13.926,14.218,47089,5,0
2025-06-06,14.157,14.334,14.13,14.304,57513,5,0
2025-06-09,14.292,14.382,14.28,14.359,71559,5,0
2025-06-10,14.33,14.391,14.273,14.326,56370,5,0
2025-06-11,14.309,14.389,14.243,14.345,41825,5,0
2025-06-12,14.318,14.459,14.298,14.416,56191,5,0
2025-06-13,14.315,14.556000000000001,14.256,14.539,66818,5,0
2025-06-16,14.434,14.627,14.431,14.596,56253,5,0
2025-06-17,14.566,14.678,14.534,14.596,59303,5,0
2025-06-18,14.452,14.626,14.431,14.533,53847,5,0
2025-06-19,14.505,14.534,14.302,14.461,47856,5,0
2025-06-20,14.43,14.528,14.381,14.432,48950,5,0
2025-06-23,14.424,14.564,14.405,14.48,69712,5,0
2025-06-24,14.466,14.475,14.289,14.295,73901,5,0
2025-06-25,14.281,14.379,14.254,14.326,46808,5,0
2025-06-26,14.303,14.369,14.237,14.32,49585,5,0
2025-06-27,14.307,14.39,14.272,14.337,58673,5,0
2025-06-30,14.26,14.362,14.248,14.28,57196,5,0
2025-07-01,14.244,14.295,14.187,14.229,67118,5,0
2025-07-02,14.214,14.285,14.163,14.269,50642,5,0
2025-07-03,14.262,14.415,14.213,14.393,65999,5,0
2025-07-04,14.350999999999999,14.401,14.215,14.317,51322,5,0
2025-07-07,14.29,14.463,14.244,14.402,49658,5,0
2025-07-08,14.39,14.545,14.335,14.503,60185,5,0
2025-07-09,14.493,14.555,14.452,14.475,38354,5,0
2025-07-10,14.461,14.549,14.234,14.505,52013,5,0
2025-07-11,14.49,14.567,14.434,14.524000000000001,42289,5,0
2025-07-14,14.411,14.605,14.406,14.546,76998,5,0
2025-07-15,14.504,14.604,14.38,14.499,57976,5,0
2025-07-16,14.497,14.555,14.379,14.404,56753,5,0
2025-07-17,14.37,14.461,14.323,14.42,56442,5,0
2025-07-18,14.409,14.637,14.377,14.595,43313,5,0
2025-07-21,14.457,14.604,14.451,14.493,51054,5,0
2025-07-22,14.483,14.557,14.43,14.538,39155,5,0
2025-07-23,14.533,14.61,14.381,14.491,49057,5,0
2025-07-24,14.479,14.546,14.428,14.501,44535,5,0
2025-07-25,14.491,14.562,14.464,14.513,40306,5,0
2025-07-28,14.51,14.599,14.5,14.547,57677,5,0
2025-07-29,14.544,14.575,14.402,14.534,35891,5,0
2025-07-30,14.529,14.56,14.427,14.471,50190,5,0
2025-07-31,14.458,14.635,14.337,14.577,47037,5,0
2025-08-01,14.562,14.614,14.338,14.38,58610,5,0
2025-08-04,14.328,14.435,14.28,14.317,46570,5,0
2025-08-05,14.305,14.396,14.222,14.366,44995,5,0
2025-08-06,14.352,14.475,14.289,14.454,39605,5,0
2025-08-07,14.452,14.509,14.358,14.381,51284,5,0
2025-08-08,14.368,14.432,14.301,14.338,41951,4,0
2025-08-11,14.282,14.481,14.256,14.465,35584,5,0
2025-08-12,14.465,14.522,14.341,14.447,43723,5,0
2025-08-13,14.434,14.5,14.397,14.448,37709,5,0
2025-08-14,14.442,14.466,14.332,14.448,36471,5,0
2025-08-15,14.446,14.466,14.374,14.424,33164,5,0
2025-08-18,14.386,14.515,14.361,14.477,33872,4,0
2025-08-19,14.472,14.506,14.331,14.350999999999999,33458,4,0
2025-08-20,14.350999999999999,14.398,14.27,14.375,35625,4,0
2025-08-21,14.375,14.578,14.327,14.568999999999999,36121,4,0
2025-08-22,14.55,14.618,14.503,14.6,42317,4,0
2025-08-25,14.502,14.638,14.502,14.578,31611,4,0
2025-08-26,14.575,14.6,14.473,14.542,37106,4,0
2025-08-27,14.537,14.626,14.446,14.606,32300,4,0
2025-08-28,14.577,14.638,14.474,14.583,29373,4,0
2025-08-29,14.577,14.641,14.532,14.597,34590,4,0
2025-09-01,14.54,14.754,14.517,14.71,28991,4,0
2025-09-02,14.709,14.863,14.665,14.77,37251,4,0
2025-09-03,14.767,14.863,14.714,14.744,32651,4,0
2025-09-04,14.74,14.755,14.605,14.711,31616,4,0
2025-09-05,14.705,14.756,14.59,14.657,46822,4,0
2025-09-08,14.648,14.818,14.632,14.765,39940,4,0
2025-09-09,14.756,14.776,14.668,14.758,36911,4,0
2025-09-10,14.756,14.914,14.644,14.834,37171,4,0
2025-09-11,14.82,14.936,14.703,14.921,32228,4,0
2025-09-12,14.918,14.979,14.794,14.962,40266,4,0
2025-09-15,14.714,15.012,14.714,14.993,47736,4,0
2025-09-16,14.988,15.006,14.918,14.971,45151,4,0
2025-09-17,14.945,15.008,14.88,14.951,46374,4,0
2025-09-18,14.905,15.077,14.874,14.97,57759,4,0
2025-09-19,14.967,14.984,14.849,14.867,38439,4,0
2025-09-22,14.815,14.934,14.786,14.885,45419,4,0
2025-09-23,14.886,14.962,14.765,14.917,37658,4,0
2025-09-24,14.917,14.969,14.836,14.963,38832,4,0
2025-09-25,14.953,14.981,14.875,14.916,42086,4,0
2025-09-26,14.916,14.996,14.832,14.97,38797,4,0
2025-09-29,14.926,14.984,14.872,14.882,45335,4,0
2025-09-30,14.882,14.893,14.78,14.792,32988,4,0
2025-10-01,14.774000000000001,14.845,14.72,14.818999999999999,51882,4,0
2025-10-02,14.801,14.868,14.704,14.735,37205,4,0
2025-10-03,14.708,14.847,14.647,14.812,36418,4,0
2025-10-06,14.891,15.149,14.831,15.138,58488,4,0
2025-10-07,15.129,15.241,14.956,15.218,36913,4,0
2025-10-08,15.215,15.31,15.171,15.296,39413,4,0
2025-10-09,15.292,15.323,15.17,15.197,43782,4,0
2025-10-10,15.16,15.207,14.898,14.916,44553,4,0
2025-10-13,14.872,15.122,14.869,15.083,39110,4,0
2025-10-14,15.078,15.114,14.88,14.933,48391,4,0
2025-10-15,14.92,15.053,14.837,14.947,47581,4,0
2025-10-16,14.909,15.033,14.873,14.926,52142,4,0
2025-10-17,14.925,14.983,14.774000000000001,14.949,51341,4,0
2025-10-20,14.863,15.028,14.846,14.98,52413,4,0
2025-10-21,14.967,15.143,14.924,15.091,41844,4,0
2025-10-22,15.09,15.169,15.047,15.152,42955,4,0
2025-10-23,15.152,15.304,14.893,15.286,39923,4,0
2025-10-24,15.279,15.321,15.219,15.233,31468,4,0
2025-10-27,15.211,15.337,15.193,15.297,49079,4,0
2025-10-28,15.299,15.302,15.154,15.232,39958,4,0
2025-10-29,15.208,15.282,15.157,15.228,46574,4,0
2025-10-30,15.217,15.342,15.19,15.316,51007,4,0
2025-10-31,15.3,15.346,15.191,15.202,42066,4,0
2025-11-03,15.135,15.269,15.128,15.215,31862,4,0
2025-11-04,15.205,15.23,15.007,15.02,46201,4,0
2025-11-05,15.004,15.106,14.919,15.076,41222,4,0
2025-11-06,15.075,15.121,14.939,14.983,35450,4,0
2025-11-07,14.981,15.119,14.95,15.094,42010,4,0
2025-11-10,15.05,15.285,15.041,15.198,28154,4,0
