time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,0.97792,0.98475,0.97761,0.98176,151107,41,0
2024-11-12,0.98187,0.98616,0.97894,0.98274,150588,41,0
2024-11-13,0.98161,0.98718,0.98038,0.98541,149388,40,0
2024-11-14,0.98446,0.98873,0.98092,0.9854,149863,41,0
2024-11-15,0.98482,0.99249,0.98043,0.989,173128,41,0
2024-11-18,0.98589,0.99247,0.98547,0.99027,141490,40,0
2024-11-19,0.99048,0.9978,0.98846,0.99364,191134,41,0
2024-11-20,0.99346,0.9982,0.9877,0.9962,134881,41,0
2024-11-21,0.99622,0.99983,0.99419,0.99834,175041,41,0
2024-11-22,0.99831,0.9999,0.9868,0.99588,161883,40,0
2024-11-25,0.99156,0.99685,0.98742,0.98958,165161,40,0
2024-11-26,0.98921,0.99226,0.98284,0.9833,242051,40,0
2024-11-27,0.98342,0.98688,0.98059,0.98528,184741,40,0
2024-11-28,0.98515,0.99023,0.9744,0.98736,176537,40,0
2024-11-29,0.98097,0.98928,0.97593,0.98499,150855,40,0
2024-12-02,0.97708,0.99023,0.97649,0.98934,170210,40,0
2024-12-03,0.98929,0.99613,0.98006,0.99405,163427,40,0
2024-12-04,0.99409,0.9973,0.98611,0.98729,158551,40,0
2024-12-05,0.98743,0.98974,0.98167,0.98234,145594,40,0
2024-12-06,0.9824,0.98301,0.97649,0.97886,164011,40,0
2024-12-09,0.97623,0.98417,0.97623,0.97989,146000,40,0
2024-12-10,0.97998,0.98604,0.96766,0.98304,153421,40,0
2024-12-11,0.98255,0.98524,0.97759,0.9836,138005,40,0
2024-12-12,0.98311,0.98787,0.97668,0.98494,146463,40,0
2024-12-13,0.98469,0.98842,0.97933,0.98413,145625,40,0
2024-12-16,0.97662,0.98506,0.97447,0.97474,161926,40,0
2024-12-17,0.97429,0.97911,0.96864,0.978,117051,40,0
2024-12-18,0.97632,0.97869,0.97265,0.97653,146538,40,0
2024-12-19,0.97653,0.97802,0.9624,0.96273,166572,40,0
2024-12-20,0.96273,0.97477,0.95921,0.9734,157670,40,0
2024-12-23,0.96485,0.97738,0.96485,0.97173,150691,40,0
2024-12-24,0.97136,0.97804,0.96598,0.97213,71601,40,0
2024-12-26,0.97115,0.97691,0.96828,0.96843,88281,43,0
2024-12-27,0.96842,0.97058,0.96653,0.96723,107458,46,0
2024-12-30,0.96412,0.97267,0.96404,0.97202,98325,42,0
2024-12-31,0.97179,0.97401,0.96216,0.97094,67075,40,0
2025-01-02,0.96948,0.98046,0.96829,0.97798,97388,41,0
2025-01-03,0.97811,0.97922,0.97454,0.97629,78492,41,0
2025-01-06,0.97188,0.97994,0.97107,0.97705,113157,40,0
2025-01-07,0.97708,0.98057,0.97408,0.9795,87283,40,0
2025-01-08,0.9741,0.9851,0.97217,0.97675,106508,40,0
2025-01-09,0.97676,0.97922,0.96784,0.97829,78928,40,0
2025-01-10,0.97712,0.98031,0.97275,0.97647,96529,40,0
2025-01-13,0.96876,0.98472,0.96855,0.98353,173709,40,0
2025-01-14,0.98346,0.98492,0.97992,0.98108,85212,40,0
2025-01-15,0.98007,0.98562,0.97628,0.98365,104782,40,0
2025-01-16,0.98362,0.98497,0.97828,0.98031,99595,40,0
2025-01-17,0.98044,0.98208,0.97525,0.97649,91863,40,0
2025-01-20,0.97023,0.97795,0.9701,0.97446,199796,40,0
2025-01-21,0.9743,0.97471,0.97029,0.97144,117295,40,0
2025-01-22,0.97131,0.9768,0.96972,0.97466,101797,41,0
2025-01-23,0.97468,0.97789,0.97305,0.97507,120112,40,0
2025-01-24,0.9738,0.97679,0.97219,0.97465,176624,40,0
2025-01-27,0.96951,0.97675,0.96951,0.9719,147285,40,0
2025-01-28,0.9718,0.97566,0.96563,0.97413,160898,40,0
2025-01-29,0.97276,0.97584,0.97109,0.97361,146671,40,0
2025-01-30,0.9734,0.97602,0.97153,0.97398,147612,40,0
2025-01-31,0.97356,0.97986,0.97125,0.97859,226139,40,0
2025-02-03,0.97494,0.98332,0.9738,0.97488,195413,40,0
2025-02-04,0.97458,0.9766,0.97114,0.97525,129230,40,0
2025-02-05,0.97488,0.97658,0.96993,0.97077,110441,40,0
2025-02-06,0.97015,0.9725,0.96756,0.97122,98509,40,0
2025-02-07,0.97142,0.97402,0.96088,0.97249,162937,40,0
2025-02-10,0.9698,0.97516,0.96687,0.97335,108301,40,0
2025-02-11,0.97105,0.97457,0.96758,0.96908,85524,40,0
