time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,1330.72,1332.47,1324.37,1327.37,2745,68,0
2024-11-12,1316.59,1322.85,1313.96,1314.33,2859,68,0
2024-11-13,1319.43,1319.43,1310.04,1310.94,3064,68,0
2024-11-14,1320.22,1335.65,1319.72,1333.36,1524,68,0
2024-11-15,1326.91,1355.32,1326.66,1353.25,2100,68,0
2024-11-18,1350.51,1354.71,1341.21,1351.24,2408,68,0
2024-11-19,1354.05,1356.96,1345.06,1356.84,2608,68,0
2024-11-20,1363.46,1371.81,1363.46,1368.71,2448,68,0
2024-11-21,1369.19,1380.22,1364.97,1379.89,2899,68,0
2024-11-22,1382.24,1384.78,1376.13,1381.11,1803,68,0
2024-11-25,1390.5,1394.91,1383.73,1385.23,1695,68,0
2024-11-26,1380.17,1382.77,1367.33,1367.58,1806,68,0
2024-11-27,1366.36,1369.77,1362.64,1364.87,1937,68,0
2024-11-28,1369.5,1370.83,1363.42,1366.86,1664,68,0
2024-11-29,1361.54,1364.24,1358.97,1360.12,1785,68,0
2024-12-02,1358.97,1363.68,1356.72,1358.79,2053,68,0
2024-12-03,1364.45,1376.85,1364.45,1374.53,1928,68,0
2024-12-04,1379.73,1385.79,1377.08,1377.57,1857,68,0
2024-12-05,1378.1,1380.58,1372.48,1375.36,1641,68,0
2024-12-06,1376.07,1378.1,1354.27,1354.93,1826,68,0
2024-12-09,1361.51,1362.43,1356.24,1357.65,2288,68,0
2024-12-10,1355.47,1356.63,1348.24,1352.96,1966,68,0
2024-12-11,1347.42,1360.31,1347.42,1351.45,2863,68,0
2024-12-12,1360.45,1360.7,1347.01,1349.89,2854,68,0
2024-12-13,1351.44,1353.58,1345.02,1346.95,2552,68,0
2024-12-16,1341.31,1341.44,1331.53,1336.03,2531,68,0
2024-12-17,1324.96,1326.41,1319.9,1322.21,2746,68,0
2024-12-18,1321.31,1327.82,1315.36,1317.59,2428,68,0
2024-12-19,1304.12,1318.21,1304.0,1312.24,1390,68,0
2024-12-20,1309.1,1311.09,1296.78,1307.36,2819,68,0
2024-12-23,1314.98,1317.74,1307.62,1315.45,2133,68,0
2024-12-27,1326.54,1332.26,1323.66,1329.5,1715,68,0
2024-12-30,1331.83,1332.39,1326.56,1328.71,1787,68,0
2025-01-02,1346.43,1366.22,1346.43,1365.85,2842,68,0
2025-01-03,1365.83,1370.05,1357.5,1365.96,1804,68,0
