time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,0.82892,0.83203,0.82614,0.83037,71336,2,0
2024-11-12,0.83023,0.83151,0.82434,0.82629,93583,1,0
2024-11-13,0.82619,0.82877,0.82208,0.82295,99407,2,0
2024-11-14,0.82274,0.82448,0.81981,0.82236,106630,2,0
2024-11-15,0.82226,0.82656,0.82104,0.82649,102269,2,0
2024-11-18,0.82535,0.82701,0.82247,0.82578,80983,2,0
2024-11-19,0.8258,0.82682,0.82406,0.82505,97174,1,0
2024-11-20,0.82495,0.82618,0.82062,0.82116,71680,2,0
2024-11-21,0.8211,0.82206,0.81676,0.8187,89731,1,0
2024-11-22,0.81865,0.81902,0.81372,0.81563,103071,2,0
2024-11-25,0.81615,0.81918,0.81539,0.81736,87548,2,0
2024-11-26,0.8174,0.82611,0.81565,0.81989,106252,2,0
2024-11-27,0.81981,0.82996,0.81808,0.82694,102051,2,0
2024-11-28,0.82653,0.8271,0.82389,0.8251,56051,2,0
2024-11-29,0.82384,0.83113,0.82328,0.82834,105527,2,0
2024-12-02,0.82638,0.82928,0.82496,0.82696,111303,2,0
2024-12-03,0.8254,0.82795,0.82439,0.82736,87832,2,0
2024-12-04,0.82727,0.8275,0.81983,0.82323,92709,2,0
2024-12-05,0.82268,0.82668,0.82141,0.82537,79015,1,0
2024-12-06,0.82448,0.82721,0.82027,0.82542,93580,2,0
2024-12-09,0.8256,0.83118,0.82237,0.83104,79543,2,0
2024-12-10,0.83093,0.83126,0.82052,0.82235,82242,2,0
2024-12-11,0.82231,0.8228,0.81697,0.81882,98067,2,0
2024-12-12,0.81881,0.82223,0.8178,0.82021,97853,1,0
2024-12-13,0.8203,0.82148,0.81857,0.8202,78730,2,0
2024-12-16,0.81875,0.82369,0.81857,0.82343,71209,2,0
2024-12-17,0.82321,0.82469,0.82139,0.82326,76891,2,0
2024-12-18,0.8232,0.82399,0.81169,0.8121,92111,2,0
2024-12-19,0.81222,0.81453,0.8101,0.81061,113161,1,0
2024-12-20,0.81032,0.81349,0.80922,0.81255,97815,2,0
2024-12-23,0.81086,0.81386,0.81022,0.81155,72914,2,0
2024-12-24,0.81135,0.81326,0.80754,0.80906,52589,3,0
2024-12-26,0.80954,0.81217,0.80851,0.81002,62017,4,0
2024-12-27,0.81002,0.81272,0.80882,0.81139,66147,3,0
2024-12-30,0.81087,0.81531,0.80884,0.80922,63849,3,0
2024-12-31,0.80893,0.81,0.80403,0.80433,69433,5,0
2025-01-02,0.80294,0.81029,0.80238,0.80565,81618,2,0
2025-01-03,0.80468,0.8111,0.80395,0.81096,68336,2,0
2025-01-06,0.80964,0.8134,0.80792,0.80866,107029,2,0
2025-01-07,0.8078,0.81412,0.80697,0.80957,86293,2,0
2025-01-08,0.80898,0.80987,0.80465,0.8062,91969,2,0
2025-01-09,0.80532,0.80659,0.80243,0.80584,64427,1,0
2025-01-10,0.80582,0.80665,0.79963,0.80082,95170,2,0
2025-01-13,0.79969,0.80379,0.79952,0.80263,87455,2,0
2025-01-14,0.80194,0.80862,0.80044,0.80404,93364,2,0
2025-01-15,0.80399,0.80822,0.80231,0.80525,81907,2,0
2025-01-16,0.80502,0.80878,0.80275,0.80689,88574,2,0
2025-01-17,0.8069,0.80878,0.80419,0.80778,81305,1,0
2025-01-20,0.80629,0.81225,0.80629,0.81118,89003,2,0
2025-01-21,0.81063,0.81796,0.8101,0.81327,120970,1,0
2025-01-22,0.81274,0.81555,0.80994,0.81433,88547,2,0
2025-01-23,0.81373,0.81628,0.81186,0.8161,93753,2,0
2025-01-24,0.81593,0.82018,0.81502,0.81867,104356,2,0
2025-01-27,0.81718,0.81922,0.81675,0.81823,113439,2,0
2025-01-28,0.81786,0.81803,0.81308,0.81605,97455,2,0
2025-01-29,0.81551,0.81699,0.81369,0.81572,102197,2,0
2025-01-30,0.81512,0.82162,0.81336,0.81595,91490,2,0
2025-01-31,0.8152,0.82065,0.81434,0.8185,127883,2,0
2025-02-03,0.82233,0.82357,0.80939,0.8119,192355,2,0
2025-02-04,0.81189,0.81257,0.80736,0.80919,109343,2,0
2025-02-05,0.80893,0.81471,0.80632,0.81397,90612,2,0
2025-02-06,0.81347,0.81447,0.8102,0.81158,79726,2,0
2025-02-07,0.81154,0.81413,0.80745,0.8078,98375,2,0
2025-02-10,0.8053,0.81222,0.80432,0.80739,79047,2,0
2025-02-11,0.8073,0.81038,0.80555,0.80753,71267,2,0
2025-02-12,0.80753,0.80986,0.80265,0.80703,95606,2,0
2025-02-13,0.80696,0.80712,0.80288,0.80577,100684,2,0
2025-02-14,0.80554,0.81306,0.80369,0.81148,85112,2,0
2025-02-17,0.80832,0.81421,0.80828,0.8133,64155,2,0
2025-02-18,0.81298,0.81375,0.80824,0.80947,80250,2,0
2025-02-19,0.80865,0.81316,0.806,0.81214,85185,2,0
2025-02-20,0.81153,0.81784,0.80988,0.81662,95724,2,0
2025-02-21,0.81633,0.81794,0.81579,0.81646,98711,2,0
2025-02-24,0.81546,0.81829,0.81493,0.81733,111557,2,0
2025-02-25,0.81716,0.81963,0.81424,0.81957,110568,2,0
2025-02-26,0.81868,0.81994,0.816,0.81631,111944,2,0
2025-02-27,0.81608,0.81728,0.81268,0.81272,115701,2,0
2025-02-28,0.81249,0.81312,0.80699,0.809,117878,2,0
2025-03-03,0.80511,0.81545,0.80498,0.81302,123539,2,0
2025-03-04,0.81301,0.81795,0.81075,0.81509,162329,2,0
2025-03-05,0.81498,0.82246,0.81154,0.82114,154621,2,0
2025-03-06,0.82059,0.82513,0.81931,0.81961,155854,2,0
2025-03-07,0.819,0.82262,0.81667,0.82012,143292,2,0
2025-03-10,0.81958,0.828,0.8191,0.82265,135724,2,0
2025-03-11,0.82236,0.8274,0.82006,0.82494,151896,1,0
2025-03-12,0.82486,0.82616,0.82098,0.82318,117856,1,0
2025-03-13,0.82283,0.82473,0.81778,0.82236,118110,1,0
2025-03-14,0.82239,0.82763,0.82177,0.82541,103753,1,0
2025-03-17,0.82537,0.83207,0.82416,0.83134,89405,1,0
2025-03-18,0.83123,0.83318,0.82838,0.83192,83503,1,0
2025-03-19,0.8314,0.8332,0.82686,0.83293,93444,1,0
2025-03-20,0.83284,0.83406,0.82263,0.82449,92315,1,0
2025-03-21,0.82435,0.82671,0.82182,0.8222,85704,1,0
2025-03-24,0.82211,0.82377,0.81703,0.82003,88026,1,0
2025-03-25,0.81971,0.82128,0.81746,0.81831,80814,1,0
2025-03-26,0.81815,0.82127,0.8167,0.8171,76716,0,0
2025-03-27,0.81705,0.82318,0.8163,0.8209,43000,0,0
2025-03-28,0.82085,0.82119,0.81636,0.8181,39448,0,0
2025-03-31,0.8161,0.81956,0.81225,0.8169,49044,0,0
2025-04-01,0.81675,0.8188,0.815,0.81525,44447,0,0
2025-04-02,0.81525,0.82395,0.81365,0.8181,45735,0,0
