time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,2572.62,2584.29,2571.87,2577.08,11540,38,0
2024-11-12,2556.5,2558.62,2507.79,2508.67,17171,38,0
2024-11-13,2509.57,2520.6,2493.34,2508.04,16431,38,0
2024-11-14,2517.42,2536.26,2506.52,2529.53,10858,38,0
2024-11-15,2516.36,2530.21,2506.04,2513.1,15454,38,0
2024-11-18,2510.89,2519.01,2488.93,2506.46,14819,38,0
2024-11-19,2511.66,2517.27,2461.51,2494.52,21501,38,0
2024-11-20,2508.25,2513.47,2482.56,2486.86,15372,38,0
2024-11-21,2484.02,2498.35,2463.67,2497.97,21066,38,0
2024-11-22,2505.99,2519.44,2485.59,2514.48,19107,38,0
2024-11-25,2524.82,2531.31,2504.69,2514.11,15629,38,0
2024-11-26,2495.31,2505.63,2487.16,2493.97,15023,38,0
2024-11-27,2489.3,2501.72,2483.47,2496.9,14803,38,0
2024-11-28,2508.8,2522.91,2505.23,2510.95,10937,38,0
2024-11-29,2504.5,2516.67,2494.58,2516.07,12864,38,0
2024-12-02,2502.77,2562.63,2500.78,2548.98,15868,38,0
2024-12-03,2549.43,2582.56,2549.43,2572.83,14270,38,0
2024-12-04,2577.51,2601.23,2576.89,2593.86,12521,38,0
2024-12-05,2594.06,2607.11,2592.93,2606.63,12008,38,0
2024-12-06,2601.98,2617.85,2599.24,2616.16,11747,38,0
2024-12-09,2631.48,2634.97,2612.59,2614.5,11205,38,0
2024-12-10,2612.14,2616.75,2596.41,2597.28,10423,38,0
2024-12-11,2592.55,2600.67,2584.29,2590.18,11804,38,0
2024-12-12,2587.6,2608.44,2569.15,2570.82,12793,38,0
2024-12-13,2570.17,2580.71,2551.44,2554.52,11164,38,0
2024-12-16,2552.82,2557.08,2538.81,2541.66,10563,38,0
2024-12-17,2534.1,2545.54,2529.85,2532.93,13175,38,0
2024-12-18,2534.67,2549.93,2529.77,2535.04,10566,38,0
2024-12-19,2501.23,2511.84,2473.79,2479.03,15120,38,0
2024-12-20,2464.74,2475.95,2435.4,2472.44,18389,38,0
2024-12-23,2465.85,2476.8,2456.77,2470.38,14608,38,0
2024-12-27,2477.01,2493.6,2469.14,2483.07,11949,38,0
2024-12-30,2476.63,2495.14,2468.2,2477.75,13174,38,0
2025-01-02,2493.99,2509.62,2481.89,2507.45,14444,38,0
2025-01-03,2505.42,2518.07,2503.21,2509.45,12367,38,0
2025-01-07,2544.87,2560.04,2529.07,2539.53,16097,38,0
2025-01-08,2537.69,2557.99,2525.73,2541.64,18724,38,0
2025-01-09,2534.31,2554.18,2527.94,2550.42,10293,38,0
2025-01-10,2544.83,2552.3,2519.88,2525.66,17393,38,0
2025-01-13,2512.84,2521.55,2494.2,2516.44,16208,38,0
2025-01-14,2530.51,2538.42,2517.07,2519.45,16177,38,0
2025-01-15,2525.91,2575.83,2523.91,2574.12,14292,38,0
2025-01-16,2584.59,2592.5,2574.66,2583.47,11181,38,0
2025-01-17,2592.77,2625.12,2589.92,2621.71,12572,38,0
2025-01-20,2621.87,2630.48,2609.97,2620.55,10068,38,0
