time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,4819.07,4876.07,4811.07,4843.07,4502,0,0
2024-11-12,4839.59,4845.59,4724.59,4747.59,6412,0,0
2024-11-13,4743.12,4759.12,4696.12,4747.12,7002,0,0
2024-11-14,4746.65,4835.65,4725.65,4811.65,7148,0,0
2024-11-15,4806.17,4830.17,4773.17,4791.17,7758,0,0
2024-11-18,4791.9,4802.9,4752.9,4774.9,6658,0,0
2024-11-19,4779.43,4806.43,4685.43,4750.43,8946,0,0
2024-11-20,4761.95,4788.95,4714.95,4747.95,7274,0,0
2024-11-21,4745.48,4767.48,4686.48,4767.48,9578,0,0
2024-11-22,4763.01,4801.01,4719.01,4795.01,8161,0,0
2024-11-25,4823.95,4832.95,4775.95,4782.95,6555,0,0
2024-11-26,4758.48,4793.48,4740.48,4756.48,6535,0,0
2024-11-27,4758.0,4767.0,4704.0,4741.0,6230,0,0
2024-11-28,4750.53,4779.53,4741.53,4760.53,4139,0,0
2024-11-29,4755.06,4811.06,4735.06,4796.06,5011,0,0
2024-12-02,4790.67,4857.67,4749.67,4853.67,6952,0,0
2024-12-03,4852.19,4903.19,4847.19,4879.19,4927,0,0
2024-12-04,4881.71,4931.71,4872.71,4910.71,4435,0,0
2024-12-05,4909.24,4957.24,4904.24,4942.24,4192,100,0
2024-12-06,4936.76,4985.76,4933.76,4972.76,4119,100,0
2024-12-09,4972.37,5007.37,4966.37,4973.37,4538,0,0
2024-12-10,4968.89,4979.89,4942.89,4943.89,4078,100,0
2024-12-11,4943.41,4975.41,4939.41,4971.41,4230,0,0
2024-12-12,4969.93,4974.93,4952.93,4960.93,4208,0,0
2024-12-13,4966.45,4995.45,4953.45,4967.45,4268,100,0
2024-12-16,4969.13,4980.13,4941.13,4943.13,3711,0,0
2024-12-17,4941.6,4968.6,4925.6,4944.6,3960,0,0
2024-12-18,4946.08,4972.08,4883.08,4890.08,6204,0,0
2024-12-19,4888.62,4908.62,4865.62,4868.62,9237,0,0
2024-12-20,4861.2,4876.2,4800.2,4852.2,9613,0,0
2024-12-23,4856.83,4873.83,4827.83,4870.83,5304,0,0
2024-12-27,4908.99,4908.99,4841.99,4888.99,5604,0,0
2024-12-30,4887.62,4902.62,4844.62,4856.62,6433,0,0
2025-01-02,4855.68,4916.68,4832.68,4886.68,9439,0,0
2025-01-03,4889.22,4910.22,4852.22,4871.22,5716,0,0
2025-01-06,4871.85,4990.85,4868.85,4956.85,7104,0,0
2025-01-07,4957.39,5027.39,4950.39,4992.39,7090,0,0
2025-01-08,4991.18,5031.18,4960.18,4989.18,10164,0,0
2025-01-09,4980.72,5017.72,4960.72,5013.72,4205,0,0
2025-01-10,4992.34,5026.34,4963.34,4978.34,9733,0,0
2025-01-13,4981.97,4983.97,4909.97,4971.97,8087,0,0
2025-01-14,4982.31,5011.31,4963.31,4980.31,6943,0,0
2025-01-15,4985.85,5048.85,4969.85,5028.85,5748,0,0
2025-01-16,5037.39,5110.39,5022.39,5096.39,6221,0,0
2025-01-17,5095.93,5155.93,5094.93,5141.93,4839,0,0
2025-01-20,5138.17,5181.17,5120.17,5163.17,5128,0,0
2025-01-21,5167.71,5179.71,5126.71,5173.71,5601,0,0
2025-01-22,5176.25,5226.25,5169.25,5188.25,4142,0,0
2025-01-23,5186.79,5233.79,5180.79,5232.79,4168,0,0
2025-01-24,5226.33,5257.33,5204.33,5207.33,4691,0,0
2025-01-27,5181.96,5208.96,5127.96,5207.96,10311,0,0
2025-01-28,5202.5,5218.5,5169.5,5204.5,6879,0,0
2025-01-29,5202.04,5249.04,5200.04,5228.04,6971,0,0
2025-01-30,5230.58,5304.58,5230.58,5283.58,4980,0,0
2025-01-31,5287.12,5312.12,5247.12,5257.12,6232,0,0
2025-02-03,5166.5,5227.5,5100.5,5198.5,15457,0,0
2025-02-04,5220.04,5268.04,5174.04,5259.04,8159,0,0
2025-02-05,5257.58,5290.58,5236.58,5285.58,4858,100,0
2025-02-06,5289.11,5363.11,5283.11,5345.11,5135,0,0
2025-02-07,5344.68,5358.68,5310.68,5314.68,7198,0,0
2025-02-10,5322.44,5369.44,5318.44,5368.44,3294,0,0
2025-02-11,5355.98,5408.98,5354.98,5404.98,3758,0,0
2025-02-12,5403.51,5451.51,5361.51,5446.51,5672,100,0
2025-02-13,5453.05,5503.2,5435.05,5471.2,11273,100,0
2025-02-14,5475.0,5521.5,5474.0,5481.5,5460,100,0
2025-02-17,5487.4,5528.6,5486.4,5527.6,2638,100,0
2025-02-18,5523.9,5544.5,5504.9,5536.5,4616,100,0
2025-02-19,5531.8,5540.8,5446.7,5456.7,6082,100,0
2025-02-20,5466.1,5500.2,5453.2,5462.7,6933,100,0
2025-02-21,5467.9,5489.2,5428.2,5439.2,8854,100,0
2025-02-24,5496.1,5503.1,5422.9,5424.9,12826,100,0
2025-02-25,5431.7,5482.1,5413.2,5461.1,15341,100,0
2025-02-26,5485.9,5533.9,5471.9,5484.9,10676,100,0
2025-02-27,5502.2,5504.2,5427.4,5431.4,15369,100,0
2025-02-28,5400.6,5471.5,5393.6,5459.5,17173,100,0
2025-03-03,5483.3,5569.3,5432.3,5504.3,26703,100,0
2025-03-04,5499.6,5501.6,5368.7,5445.7,27971,100,0
2025-03-05,5481.9,5542.7,5468.9,5534.7,26358,100,0
2025-03-06,5551.4,5563.9,5450.9,5481.4,29774,100,0
2025-03-07,5472.1,5526.4,5432.4,5521.4,30444,100,0
2025-03-10,5502.9,5510.9,5336.9,5381.9,33097,100,0
2025-03-11,5404.1,5427.1,5282.1,5333.6,39922,100,0
2025-03-12,5343.7,5408.0,5318.0,5352.5,25353,100,0
2025-03-13,5347.0,5386.2,5301.2,5312.7,27910,100,0
2025-03-14,5345.5,5429.1,5311.0,5418.1,22839,100,0
2025-03-17,5397.4,5477.1,5383.4,5469.1,14355,100,0
2025-03-18,5466.4,5502.4,5457.4,5483.9,21265,100,0
2025-03-19,5477.3,5528.5,5449.3,5513.5,19727,100,0
2025-03-20,5498.6,5515.1,5430.2,5447.2,17102,100,0
2025-03-21,5438.1,5442.1,5390.4,5419.4,17121,100,0
2025-03-24,5455.4,5473.4,5400.7,5418.7,12267,100,0
2025-03-25,5412.8,5497.6,5412.3,5487.0,24987,30,0
2025-03-26,5477.0,5495.0,5373.0,5384.6,77203,40,0
2025-03-27,5379.0,5397.7,5336.4,5374.5,83222,40,0
2025-03-28,5373.0,5379.3,5313.4,5322.1,94677,40,0
2025-03-31,5307.0,5325.0,5216.0,5267.0,107572,30,0
2025-04-01,5267.0,5330.2,5252.0,5310.0,103140,40,0
2025-04-02,5310.0,5363.0,5179.0,5191.0,99281,20,0
2025-04-03,5195.0,5224.5,5083.0,5087.0,158090,40,0
2025-04-04,5087.0,5107.8,4791.0,4809.0,217188,10,0
2025-04-07,4606.0,4971.2,4508.9,4692.0,270392,10,0
2025-04-08,4692.0,4829.9,4495.0,4607.0,215439,20,0
2025-04-09,4608.0,5069.7,4541.0,5043.0,251080,10,0
2025-04-10,5027.33,5060.8,4724.0,4846.0,226477,10,0
2025-04-11,4846.0,4894.8,4727.9,4869.0,206194,30,0
2025-04-14,4918.0,4938.7,4834.0,4890.0,115851,30,0
2025-04-15,4890.0,4980.4,4871.0,4953.0,100922,50,0
2025-04-16,4923.0,4968.2,4873.1,4896.0,102967,40,0
2025-04-17,4895.0,4976.1,4888.0,4940.7,105885,20,0
2025-04-22,4869.4,4997.0,4869.4,4986.0,96821,30,0
2025-04-23,5038.56,5127.7,5008.3,5102.0,123048,0,0
2025-04-24,5099.55,5147.0,5040.0,5136.0,86008,30,0
2025-04-25,5135.0,5189.0,5125.0,5184.0,89269,30,0
