time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,11852.5,11950.9,11844.0,11887.8,11853,300,0
2024-11-12,11826.1,11835.9,11660.7,11712.2,14976,300,0
2024-11-13,11665.9,11722.4,11613.8,11710.3,15648,300,0
2024-11-14,11666.0,11800.2,11650.4,11753.1,17942,300,0
2024-11-15,11720.8,11732.8,11581.0,11623.0,17710,300,0
2024-11-18,11646.4,11647.4,11572.5,11615.8,15571,300,0
2024-11-19,11635.0,11707.9,11426.2,11555.2,19149,300,0
2024-11-20,11586.2,11642.7,11509.5,11578.6,16527,300,0
2024-11-21,11560.3,11628.8,11494.3,11610.9,19040,300,0
2024-11-22,11589.1,11759.4,11580.6,11727.1,17453,300,0
2024-11-25,11745.1,11767.1,11638.9,11647.9,14121,300,0
2024-11-26,11580.6,11690.5,11441.2,11624.9,13508,300,0
2024-11-27,11607.2,11656.2,11582.1,11640.8,14021,300,0
2024-11-28,11669.5,11723.2,11641.8,11717.8,8962,300,0
2024-11-29,11686.0,11791.9,11657.3,11770.5,10963,300,0
2024-12-02,11732.2,11859.8,11717.3,11837.3,14564,300,0
2024-12-03,11839.6,11874.2,11795.5,11820.4,11695,300,0
2024-12-04,11819.1,11828.0,11750.8,11770.9,11478,300,0
2024-12-05,11766.1,11815.0,11745.2,11750.2,12089,300,0
2024-12-06,11742.4,11807.6,11736.5,11768.8,12117,300,0
2024-12-09,11779.3,11829.9,11729.5,11731.0,12067,300,0
2024-12-10,11730.2,11748.7,11598.2,11601.7,12647,300,0
2024-12-11,11611.9,11695.2,11610.9,11688.3,13412,300,0
2024-12-12,11666.6,11784.3,11650.5,11691.5,11654,300,0
2024-12-13,11676.3,11736.4,11666.3,11692.5,11107,300,0
2024-12-16,11683.5,11717.8,11642.2,11675.6,11670,300,0
2024-12-17,11646.0,11762.0,11624.0,11707.9,11312,300,0
2024-12-18,11700.4,11712.4,11486.6,11491.6,12259,300,0
2024-12-19,11503.4,11503.4,11380.1,11392.1,15189,300,0
2024-12-20,11340.1,11422.6,11245.0,11363.0,19765,300,0
2024-12-23,11381.4,11545.6,11359.4,11533.1,14087,300,0
2024-12-27,11502.5,11607.1,11484.5,11592.7,13267,300,0
2024-12-30,11564.2,11633.1,11535.8,11573.2,13640,300,0
2025-01-03,11648.5,11698.8,11566.9,11631.0,10373,300,0
2025-01-06,11668.6,11704.7,11583.6,11649.5,12426,300,0
2025-01-07,11645.7,11859.5,11630.2,11825.7,11676,300,0
2025-01-08,11825.3,11935.6,11780.1,11895.7,16806,300,0
2025-01-09,11876.5,11966.2,11867.6,11912.6,6566,300,0
2025-01-10,11898.4,11908.4,11774.5,11797.5,15605,300,0
2025-01-13,11762.9,11765.4,11648.8,11761.0,13092,300,0
2025-01-14,11763.7,11789.4,11666.5,11721.9,17609,300,0
2025-01-15,11704.7,11801.4,11668.2,11783.0,11794,300,0
2025-01-16,11842.5,11953.6,11837.1,11917.8,16618,300,0
2025-01-17,11930.6,12001.9,11904.7,11983.7,10656,300,0
2025-01-20,11978.8,12054.6,11966.8,12016.4,9492,300,0
2025-01-21,11988.3,12161.3,11988.3,12159.8,12169,300,0
2025-01-22,12161.0,12245.9,12146.4,12189.1,10738,300,0
2025-01-23,12183.9,12308.0,12181.2,12306.5,10627,300,0
2025-01-24,12322.7,12333.0,12261.6,12283.4,12330,300,0
2025-01-27,12207.1,12505.7,12205.2,12504.2,17618,300,0
2025-01-28,12440.2,12535.2,12419.5,12480.4,15007,300,0
2025-01-29,12498.7,12553.2,12463.8,12506.5,15262,300,0
2025-01-30,12532.2,12673.0,12511.7,12637.1,12029,300,0
2025-01-31,12680.3,12707.1,12528.3,12543.3,16250,300,0
2025-02-03,12415.7,12564.7,12369.3,12521.9,23618,300,0
2025-02-04,12551.8,12575.1,12440.8,12464.1,17135,300,0
2025-02-05,12439.6,12628.7,12431.1,12610.3,13150,300,0
2025-02-06,12631.1,12654.5,12575.0,12591.0,13452,300,0
2025-02-07,12598.8,12671.8,12560.0,12571.4,16859,300,0
2025-02-10,12608.4,12657.7,12580.7,12657.2,10518,300,0
2025-02-11,12633.6,12723.8,12627.6,12710.8,10803,300,0
2025-02-12,12703.7,12781.9,12615.2,12772.5,14005,300,0
2025-02-13,12792.8,12956.8,12774.6,12937.0,15024,300,0
2025-02-14,12936.5,12977.9,12812.3,12860.0,10599,300,0
2025-02-17,12858.0,12897.6,12834.8,12895.1,6873,300,0
2025-02-18,12870.6,12920.7,12822.2,12920.2,8910,300,0
2025-02-19,12909.1,12921.7,12754.0,12787.7,11628,300,0
2025-02-20,12805.1,12823.6,12759.0,12816.1,12283,300,0
2025-02-21,12810.1,12953.9,12786.9,12903.7,15143,300,0
2025-02-24,13001.6,13016.3,12896.1,12912.5,16846,300,0
2025-02-25,12919.5,13039.1,12887.7,12959.4,18121,300,0
2025-02-26,13024.8,13098.3,12956.6,12997.1,13852,300,0
2025-02-27,13028.6,13032.6,12897.1,12907.6,19124,300,0
2025-02-28,12820.8,13059.8,12787.4,13059.8,20214,300,0
2025-03-03,13075.4,13199.5,12954.7,13117.9,22923,300,0
2025-03-04,13131.1,13168.7,12990.6,13053.5,25940,300,0
2025-03-05,13117.6,13176.7,13051.2,13142.8,23681,300,0
2025-03-06,13177.4,13182.4,12924.1,12979.7,24840,300,0
2025-03-07,12969.5,13190.2,12886.8,13179.4,24704,300,0
2025-03-10,13130.1,13161.1,12876.9,12959.4,27069,300,0
2025-03-11,12936.3,12993.0,12634.9,12720.9,29101,300,0
2025-03-12,12739.0,12978.1,12736.5,12869.4,22561,300,0
2025-03-13,12869.4,12926.9,12783.8,12813.8,21503,300,0
2025-03-14,12812.8,12976.7,12781.4,12973.7,20321,300,0
2025-03-17,12945.4,13104.0,12915.9,13086.6,17702,300,0
2025-03-18,13097.5,13116.3,13020.4,13063.2,18329,300,0
2025-03-19,13057.2,13071.1,12993.5,13027.7,15583,300,0
2025-03-20,13027.7,13116.1,12995.2,13112.2,17490,300,0
2025-03-21,13100.7,13109.2,12991.0,13054.8,17414,300,0
2025-03-24,13130.8,13134.2,12969.3,12996.4,12709,300,0
2025-03-25,12994.9,13099.2,12984.0,13019.3,17882,80,0
2025-03-26,13002.38,13036.4,12911.8,12936.5,54512,70,0
2025-03-27,12814.68,12845.8,12712.7,12808.5,57047,80,0
2025-03-28,12794.01,12908.9,12788.0,12836.2,63695,80,0
2025-03-31,12718.8,12750.4,12574.8,12598.5,70150,60,0
2025-04-01,12635.98,12752.6,12618.5,12664.1,67012,60,0
2025-04-02,12636.28,12642.1,12494.0,12543.0,62728,80,0
2025-04-03,12386.16,12443.7,12250.0,12298.5,91984,80,0
2025-04-04,12205.55,12216.4,11526.3,11580.1,126020,40,0
2025-04-07,11316.03,11612.0,10775.2,10962.7,116785,60,0
2025-04-08,11221.84,11512.2,11129.5,11238.0,114681,70,0
2025-04-09,10987.21,11089.5,10692.3,10901.9,124869,40,0
2025-04-10,11638.8,11941.7,11087.1,11201.4,118883,80,0
2025-04-11,11311.08,11382.3,11036.0,11367.2,113421,20,0
2025-04-14,11459.19,11555.0,11372.0,11445.4,76062,80,0
2025-04-15,11432.2,11634.8,11424.0,11599.4,67644,100,0
2025-04-16,11486.3,11608.6,11467.9,11553.2,60180,70,0
2025-04-17,11510.21,11738.4,11510.21,11712.9,66640,20,0
2025-04-22,11496.0,11694.4,11460.0,11680.6,57827,70,0
2025-04-23,11760.34,11889.7,11744.7,11848.4,77576,40,0
2025-04-24,11859.9,11948.5,11750.0,11944.2,65934,60,0
2025-04-25,11975.36,12015.0,11916.1,11964.0,61344,40,0
2025-04-28,11910.0,12048.2,11909.8,11993.7,54396,80,0
2025-04-29,12031.0,12116.8,12031.0,12050.6,52614,70,0
2025-04-30,12052.2,12158.9,12013.3,12095.4,65054,70,0
2025-05-02,12191.62,12284.0,12115.0,12269.8,54321,80,0
2025-05-05,12216.0,12317.5,12216.0,12252.8,37046,80,0
2025-05-06,12180.0,12272.5,12166.4,12194.8,57179,80,0
2025-05-07,12174.82,12206.1,12095.5,12142.5,50496,70,0
2025-05-08,12149.66,12188.4,12053.6,12144.0,58684,70,0
2025-05-09,12118.54,12146.9,12052.0,12076.8,45391,70,0
2025-05-12,12128.0,12271.7,12018.1,12270.7,69616,70,0
2025-05-13,12256.3,12282.5,12146.0,12166.6,50113,80,0
2025-05-14,12127.37,12189.6,12096.2,12118.3,48051,80,0
2025-05-15,12076.0,12224.3,12054.0,12216.8,45339,20,0
2025-05-16,12227.96,12370.8,12226.9,12329.6,43244,80,0
2025-05-19,12329.0,12395.6,12258.7,12391.1,46025,70,0
2025-05-20,12401.99,12460.2,12326.0,12409.4,47112,70,0
2025-05-21,12369.54,12390.1,12287.7,12378.3,49590,80,0
2025-05-22,12303.6,12341.0,12196.5,12285.4,60287,80,0
2025-05-23,12279.8,12321.4,12017.0,12207.7,78276,20,0
2025-05-26,12309.1,12359.1,12274.7,12324.6,25851,80,0
2025-05-27,12314.44,12380.2,12291.1,12338.8,46544,40,0
2025-05-28,12319.08,12324.9,12176.0,12208.1,48013,80,0
2025-05-30,12169.4,12316.6,12167.1,12192.5,66709,40,0
2025-06-02,12208.95,12243.2,12126.8,12216.6,66494,70,0
2025-06-03,12228.0,12278.0,12176.0,12243.2,53638,80,0
2025-06-04,12276.56,12340.5,12220.0,12294.8,52929,70,0
2025-06-05,12289.49,12364.7,12263.5,12280.4,51777,20,0
2025-06-06,12311.37,12394.1,12287.8,12347.1,45808,60,0
2025-06-10,12338.37,12388.2,12285.7,12361.2,51913,80,0
2025-06-11,12332.4,12396.9,12294.9,12314.5,54403,70,0
2025-06-12,12248.37,12351.2,12214.0,12321.3,57855,10,0
2025-06-13,12220.4,12236.0,12091.0,12143.1,70493,50,0
2025-06-16,12107.2,12158.7,12064.0,12067.4,46603,70,0
2025-06-17,11995.3,12096.0,11950.0,12013.3,50051,30,0
2025-06-18,11979.7,12033.2,11915.4,11962.0,42641,70,0
2025-06-19,11927.8,11931.4,11823.0,11851.0,33949,80,0
2025-06-20,11892.27,11983.2,11848.0,11856.7,51862,70,0
2025-06-23,11801.11,11915.4,11770.7,11809.6,50228,50,0
2025-06-24,12037.5,12077.4,11955.5,12008.5,47926,40,0
2025-06-25,12016.89,12045.6,11865.7,11873.1,44096,80,0
2025-06-26,11884.18,11960.0,11838.8,11893.3,40452,80,0
2025-06-27,11934.56,12023.3,11904.0,12003.0,37020,80,0
2025-06-30,11994.48,12023.6,11893.7,11928.1,38977,80,0
2025-07-01,11934.79,11994.6,11835.8,11951.9,45722,70,0
2025-07-02,11995.07,12013.3,11912.0,11993.4,46198,20,0
