time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,6009.0,6026.6,5987.3,6001.1,32776,30,0
2024-11-12,5999.5,6009.9,5960.0,5986.4,43830,30,0
2024-11-13,5985.4,6008.5,5965.5,5992.1,57992,30,0
2024-11-14,5991.9,5998.4,5937.5,5946.3,61349,30,0
2024-11-15,5944.8,5945.3,5851.7,5874.6,65566,30,0
2024-11-18,5870.5,5907.9,5861.0,5893.8,50375,30,0
2024-11-19,5894.8,5923.5,5830.6,5914.2,73058,30,0
2024-11-20,5915.6,5934.0,5857.3,5918.4,68977,30,0
2024-11-21,5915.6,5962.8,5882.7,5944.7,101468,30,0
2024-11-22,5941.3,5973.1,5920.5,5970.6,76051,30,0
2024-11-25,5990.2,6020.5,5963.4,5993.1,48107,30,0
2024-11-26,5994.7,6024.9,5957.4,6022.8,60232,30,0
2024-11-27,6022.2,6028.0,5983.4,5998.0,44344,30,0
2024-11-28,5999.5,6015.7,5999.5,6012.5,8311,30,0
2024-11-29,6011.1,6044.3,6002.7,6034.8,28248,30,0
2024-12-02,6039.4,6053.3,6020.5,6047.3,29414,30,0
2024-12-03,6047.4,6056.0,6033.8,6053.0,27150,30,0
2024-12-04,6050.7,6088.6,6049.6,6082.4,23933,30,0
2024-12-05,6081.2,6094.6,6069.0,6073.2,22627,30,0
2024-12-06,6073.1,6099.9,6065.5,6085.8,27802,30,0
2024-12-09,6086.9,6094.7,6049.4,6052.4,28918,30,0
2024-12-10,6053.7,6065.4,6029.6,6042.0,22709,30,0
2024-12-11,6044.4,6093.1,6036.4,6077.7,22280,30,0
2024-12-12,6079.0,6079.9,6047.6,6050.9,30535,30,0
2024-12-13,6058.8,6079.2,6035.5,6045.4,32958,30,0
2024-12-16,6051.2,6084.8,6046.0,6071.0,49478,30,0
2024-12-17,6070.6,6074.6,6036.3,6046.4,71147,30,0
2024-12-18,6043.6,6070.3,5829.0,5860.5,76176,30,0
2024-12-19,5870.6,5932.7,5859.5,5870.4,121686,30,0
2024-12-20,5871.6,5981.6,5796.4,5926.2,132121,30,0
2024-12-23,5949.7,5977.2,5901.5,5970.3,86683,30,0
2024-12-24,5972.3,6036.3,5965.3,6035.6,30982,40,0
2024-12-26,6036.8,6045.4,6001.2,6029.1,48614,40,0
2024-12-27,6029.8,6034.5,5926.7,5973.1,79380,40,0
2024-12-30,5977.8,5982.1,5864.7,5899.3,90907,40,0
2024-12-31,5899.8,5929.9,5864.3,5884.4,81619,40,0
2025-01-02,5893.6,5943.2,5825.9,5870.2,135167,30,0
2025-01-03,5870.5,5948.2,5861.6,5935.9,67948,30,0
2025-01-06,5947.4,6020.0,5933.2,5979.9,70738,30,0
2025-01-07,5981.2,5998.8,5889.6,5909.0,89614,30,0
2025-01-08,5908.2,5929.9,5873.3,5911.4,109927,30,0
2025-01-09,5909.7,5914.0,5886.2,5901.2,23720,50,0
2025-01-10,5899.6,5918.3,5805.4,5820.5,118960,30,0
2025-01-13,5819.1,5843.9,5770.0,5842.9,113179,30,0
2025-01-14,5850.7,5879.5,5804.1,5852.3,98871,30,0
2025-01-15,5851.1,5961.0,5840.2,5946.9,59918,30,0
2025-01-16,5948.7,5978.1,5923.4,5930.4,77390,30,0
2025-01-17,5931.4,6015.3,5929.9,5995.5,57443,30,0
2025-01-20,6003.2,6041.9,5982.8,6020.1,36258,30,0
2025-01-21,6025.9,6057.0,5959.5,6055.5,78303,30,0
2025-01-22,6057.6,6100.1,6052.1,6083.8,37009,30,0
2025-01-23,6082.3,6118.0,6066.3,6112.9,35515,30,0
2025-01-24,6111.3,6128.0,6088.5,6097.6,43334,30,0
2025-01-27,6072.9,6074.1,5914.8,6017.7,150153,30,0
2025-01-28,6023.6,6073.9,5991.5,6059.3,84664,30,0
2025-01-29,6057.7,6080.5,6011.7,6045.6,93161,30,0
2025-01-30,6041.7,6086.6,6026.9,6062.8,80247,30,0
2025-01-31,6074.2,6119.2,6029.6,6034.1,80269,30,0
2025-02-03,5937.3,6033.9,5908.7,6028.1,161010,30,0
2025-02-04,6039.1,6042.9,5960.9,6019.6,88643,30,0
2025-02-05,6017.6,6066.7,5994.9,6064.7,62335,30,0
2025-02-06,6063.5,6083.7,6045.5,6070.9,48984,30,0
2025-02-07,6067.3,6100.2,6019.0,6027.4,84931,30,0
2025-02-10,6006.4,6073.5,6003.8,6065.1,43771,30,0
2025-02-11,6060.9,6076.4,6035.5,6068.0,44601,30,0
