time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,7.19766,7.29502,7.187,7.26457,114829,65,0
2025-01-03,7.26526,7.26759,7.23343,7.2343399999999995,84315,65,0
2025-01-06,7.23551,7.24392,7.14663,7.17788,131212,65,0
2025-01-07,7.17772,7.21468,7.14853,7.21419,109895,65,0
2025-01-08,7.21314,7.26207,7.20288,7.23013,119402,65,0
2025-01-09,7.23037,7.25498,7.22814,7.24308,85517,65,0
2025-01-10,7.24323,7.30404,7.23485,7.28122,120872,65,0
2025-01-13,7.27635,7.32991,7.27593,7.2797,117058,65,0
2025-01-14,7.27925,7.28624,7.23683,7.23732,119181,65,0
2025-01-15,7.23757,7.27134,7.1994299999999996,7.25019,109145,65,0
2025-01-16,7.25116,7.2707,7.23214,7.24082,116454,65,0
2025-01-17,7.24251,7.26747,7.22133,7.26422,106242,65,0
2025-01-20,7.24575,7.2668099999999995,7.15034,7.162,114509,65,0
2025-01-21,7.1623,7.21473,7.14974,7.15054,139591,65,0
2025-01-22,7.14868,7.17895,7.13462,7.16618,95742,66,0
2025-01-23,7.16627,7.19241,7.14709,7.1625,90948,66,0
2025-01-24,7.1621,7.16557,7.09124,7.11033,98691,66,0
2025-01-27,7.11529,7.13795,7.08429,7.11201,96494,66,0
2025-01-28,7.11168,7.16583,7.10701,7.15299,88310,66,0
2025-01-29,7.1532,7.18736,7.14427,7.16095,89382,66,0
2025-01-30,7.16002,7.18424,7.12833,7.17945,84394,66,0
2025-01-31,7.18091,7.20948,7.15135,7.20224,102819,66,0
2025-02-03,7.2677,7.30704,7.20729,7.21251,153824,66,0
2025-02-04,7.21167,7.26249,7.18061,7.18572,97499,66,0
2025-02-05,7.18591,7.19322,7.14315,7.17153,97612,66,0
2025-02-06,7.17169,7.20505,7.16768,7.18563,81764,66,0
2025-02-07,7.18534,7.23852,7.16193,7.22162,96681,66,0
2025-02-10,7.24745,7.25079,7.21592,7.23635,73121,66,0
2025-02-11,7.23595,7.24706,7.18413,7.19768,70020,66,0
2025-02-12,7.19744,7.22874,7.15152,7.18262,100877,66,0
2025-02-13,7.18291,7.19054,7.12602,7.12712,102845,66,0
2025-02-14,7.12786,7.13991,7.09377,7.11065,82394,66,0
2025-02-17,7.11046,7.12637,7.09967,7.11436,55908,66,0
2025-02-18,7.11388,7.14692,7.10852,7.13966,76864,66,0
