time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,397.022,404.725,396.131,402.76,131147,50,0
2025-01-03,402.781,405.085,401.09,403.043,102579,50,0
2025-01-06,402.238,403.22,396.569,400.429,166945,50,0
2025-01-07,400.436,401.891,397.788,401.593,140359,50,0
2025-01-08,401.539,404.844,400.08,401.019,137185,50,0
2025-01-09,400.967,402.926,399.965,401.566,114415,50,0
2025-01-10,401.571,405.118,400.244,403.26,143131,50,0
2025-01-13,401.481,406.66,401.425,402.755,144857,51,0
2025-01-14,402.844,403.147,399.407,399.473,136316,50,0
2025-01-15,399.412,400.83,396.036,399.738,129827,50,0
2025-01-16,399.769,402.181,398.852,400.474,200682,50,0
2025-01-17,400.472,402.327,399.334,401.305,136848,50,0
2025-01-20,400.143,402.13,393.499,394.266,183692,50,0
2025-01-21,394.299,398.297,393.296,394.532,152835,50,0
2025-01-22,394.38,396.517,392.704,394.277,165141,55,0
2025-01-23,394.291,395.734,392.642,393.489,111262,58,0
2025-01-24,393.483,393.977,387.372,387.796,177633,58,0
2025-01-27,387.801,391.436,387.341,389.07,217244,58,0
2025-01-28,388.523,392.562,387.723,390.549,133352,58,0
2025-01-29,390.779,393.191,389.571,391.597,171376,58,0
2025-01-30,391.742,392.434,388.78,391.606,180590,58,0
2025-01-31,391.596,394.418,390.46,393.546,245484,58,0
2025-02-03,398.14,400.633,394.266,394.608,266292,59,0
2025-02-04,394.829,397.686,391.735,392.07,136128,59,0
2025-02-05,392.052,393.081,388.758,390.428,131493,58,0
2025-02-06,390.389,393.494,389.284,389.713,114964,58,0
2025-02-07,389.702,393.604,388.615,391.907,128402,58,0
2025-02-10,393.234,393.907,390.688,392.597,190610,59,0
2025-02-11,392.542,393.274,388.371,388.559,123632,59,0
2025-02-12,388.561,390.977,384.861,386.968,175279,58,0
2025-02-13,386.639,387.914,383.731,383.831,202920,58,0
2025-02-14,383.678,385.643,381.608,382.624,181928,58,0
2025-02-17,382.175,384.99,381.283,382.857,114604,58,0
2025-02-18,382.858,384.509,382.392,383.646,129978,58,0
2025-02-19,383.77,387.437,382.825,386.023,158329,58,0
2025-02-20,385.665,386.522,382.718,382.778,129532,58,0
2025-02-21,382.822,387.271,382.243,384.808,172245,58,0
2025-02-24,382.988,385.323,382.608,382.993,190187,58,0
2025-02-25,382.924,383.786,380.909,381.177,142346,58,0
2025-02-26,381.236,382.448,378.903,380.744,175473,58,0
2025-02-27,380.791,385.525,380.504,385.051,181276,58,0
2025-02-28,384.951,393.183,383.45,388.115,191435,58,0
2025-03-03,385.339,387.98,380.243,380.758,232221,58,0
2025-03-04,380.644,382.231,374.786,374.848,275794,57,0
2025-03-05,374.808,376.364,368.776,368.816,251726,57,0
2025-03-06,368.801,371.893,367.797,369.928,283596,56,0
2025-03-07,369.693,370.476,365.441,367.008,245703,56,0
2025-03-10,366.068,370.253,365.733,369.187,269900,56,0
2025-03-11,369.178,369.478,365.862,366.53,270480,55,0
2025-03-12,366.535,369.017,365.171,366.382,225426,55,0
2025-03-13,366.363,370.009,365.366,368.044,229655,56,0
2025-03-14,367.89,369.402,365.608,366.309,190406,56,0
2025-03-17,366.006,367.835,363.831,364.052,138539,56,0
2025-03-18,364.023,365.317,363.036,363.059,125267,55,0
2025-03-19,363.087,368.624,362.651,365.03,175404,55,0
2025-03-20,365.001,369.691,364.444,367.026,136987,56,0
2025-03-21,366.855,369.362,366.002,367.475,195848,56,0
2025-03-24,366.328,370.042,365.872,368.927,229417,56,0
2025-03-25,368.947,370.546,367.077,369.649,217532,56,0
2025-03-26,369.718,372.989,369.048,372.273,196240,0,0
2025-03-27,371.68,373.675,370.83,371.47,80737,0,0
2025-03-28,371.52,374.841,370.84,371.26,138004,0,0
2025-03-31,369.37,373.808,369.37,372.349,99848,0,0
2025-04-01,372.15,373.724,371.646,372.36,83026,0,0
2025-04-02,372.34,372.8,366.189,368.6,67700,0,0
2025-04-03,368.62,371.11,358.97,364.68,127877,0,0
2025-04-04,364.61,372.43,363.12,370.28,157412,0,0
2025-04-07,371.73,374.725,368.162,373.57,161014,0,0
2025-04-08,373.16,374.403,369.7,371.88,148830,0,0
2025-04-09,371.81,372.91,366.78,367.522,197830,0,0
2025-04-10,366.97,369.617,362.4,362.89,150453,0,0
2025-04-11,362.38,363.52,356.638,360.81,137762,0,0
2025-04-14,360.39,362.694,357.84,361.16,140190,0,0
2025-04-15,361.07,362.715,359.5,361.45,119441,0,0
2025-04-16,361.42,361.53,357.18,357.52,123640,0,0
2025-04-17,357.53,360.15,357.096,359.027,89231,0,0
2025-04-18,358.8,359.552,356.88,356.97,134205,25,0
2025-04-21,356.56,357.23,351.94,353.8,232121,0,0
2025-04-22,353.54,358.31,352.52,358.2,134083,0,0
2025-04-23,357.85,361.08,357.09,360.73,122426,0,0
2025-04-24,360.79,361.01,356.158,356.61,108962,0,0
2025-04-25,356.32,359.294,355.824,356.86,117142,0,0
2025-04-28,355.67,357.98,353.597,353.89,88059,0,0
2025-04-29,353.93,355.4,353.67,354.93,109111,0,0
2025-04-30,354.78,357.455,354.36,356.975,199895,0,0
2025-05-01,357.06,358.832,356.108,357.958,161872,0,0
2025-05-02,357.97,358.739,355.1,357.89,168704,0,0
2025-05-05,356.42,358.052,355.09,356.5,171304,0,0
2025-05-06,356.53,358.5,355.27,355.64,203812,0,0
2025-05-07,355.56,358.03,355.183,357.57,166521,0,0
2025-05-08,357.61,361.806,356.47,360.97,198304,0,0
2025-05-09,360.95,362.238,357.92,358.83,207637,0,0
2025-05-12,359.894,366.68,358.873,365.0,165429,0,0
2025-05-13,364.92,365.813,360.783,361.09,155709,0,0
2025-05-14,361.03,361.47,358.878,360.94,146345,0,0
2025-05-15,360.74,360.92,359.16,359.807,137630,0,0
2025-05-16,359.61,361.96,358.712,360.58,104301,0,0
2025-05-19,359.222,360.486,356.65,357.56,151699,0,0
2025-05-20,357.5,358.85,355.939,356.099,126003,0,0
2025-05-21,356.121,356.558,354.081,355.434,388541,104,0
2025-05-22,355.344,358.435,354.686,356.63,240889,104,0
2025-05-23,356.318,357.307,354.006,354.902,250546,103,0
2025-05-26,354.358,355.208,353.432,353.888,269097,103,0
2025-05-27,353.695,356.648,353.115,356.144,261094,103,0
2025-05-28,355.78,357.716,355.096,357.424,126026,104,0
2025-05-29,357.384,359.639,354.132,354.239,155531,103,0
2025-05-30,353.746,356.967,353.632,355.555,159018,104,0
2025-06-02,355.18,355.926,351.864,352.108,134317,103,0
2025-06-03,352.044,355.341,351.668,354.937,108946,103,0
2025-06-04,354.825,355.559,352.608,353.009,115698,103,0
2025-06-05,353.035,353.748,350.97,351.693,141379,103,0
2025-06-06,351.658,354.621,351.506,354.037,135911,103,0
2025-06-09,352.921,353.894,351.146,351.407,113417,103,0
2025-06-10,351.329,353.336,350.059,350.313,125020,103,0
2025-06-11,350.088,351.469,347.393,347.922,139478,102,0
2025-06-12,347.941,348.679,344.744,346.132,164777,30,0
2025-06-13,346.123,351.124,344.588,348.397,189760,30,0
2025-06-16,348.706,349.295,344.857,347.415,143626,101,0
2025-06-17,347.022,352.327,346.6,351.608,171252,102,0
2025-06-18,351.61,351.882,349.315,350.658,148286,102,0
2025-06-19,350.673,352.609,349.862,349.865,142044,102,0
2025-06-20,349.842,350.731,348.8,348.815,129236,102,0
2025-06-23,350.5,352.794,347.613,347.657,147491,102,0
2025-06-24,347.636,347.789,344.353,345.535,133634,101,0
2025-06-25,345.487,346.087,343.426,343.481,128623,101,0
2025-06-26,343.496,343.82,340.264,341.345,145785,100,0
2025-06-27,341.398,342.204,339.324,339.927,138273,100,0
2025-06-30,339.059,341.457,338.575,338.598,129214,100,0
2025-07-01,338.653,339.778,337.138,338.062,152214,100,0
2025-07-02,337.981,341.017,337.797,338.918,133838,100,0
2025-07-03,338.976,341.38,338.274,339.009,119730,100,0
2025-07-04,339.038,339.137,337.21,337.874,126174,100,0
2025-07-07,337.518,342.329,337.428,341.505,112556,100,0
2025-07-08,341.492,342.23,338.827,341.075,106120,100,0
2025-07-09,340.579,342.419,340.038,340.549,134073,100,0
2025-07-10,340.478,341.966,339.756,340.52,116405,100,0
2025-07-11,340.501,343.178,340.255,341.35,126965,100,0
2025-07-14,341.798,343.868,341.43,342.648,124290,101,0
2025-07-15,342.675,345.41,341.94,345.025,107313,101,0
2025-07-16,345.044,345.488,340.751,342.855,165235,100,0
2025-07-17,342.755,345.492,342.362,343.852,112516,101,0
2025-07-18,343.842,344.132,341.587,343.139,120771,101,0
