time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,11.35725,11.41904,11.33066,11.38615,163337,111,0
2025-01-03,11.38543,11.40057,11.35144,11.35669,119964,112,0
2025-01-06,11.30851,11.36805,11.220040000000001,11.28812,180611,110,0
2025-01-07,11.28772,11.34899,11.24638,11.33495,150639,110,0
2025-01-08,11.32932,11.42469,11.30051,11.39671,183597,112,0
2025-01-09,11.39743,11.45335,11.361,11.38812,135442,112,0
2025-01-10,11.38831,11.51134,11.37225,11.46752,171290,112,0
2025-01-13,11.42108,11.5311,11.41426,11.41664,231998,112,0
2025-01-14,11.41766,11.44267,11.36361,11.36722,163810,112,0
2025-01-15,11.35856,11.38807,11.25418,11.32559,167478,111,0
2025-01-16,11.32757,11.40122,11.30282,11.35656,168810,111,0
2025-01-17,11.35949,11.46375,11.33855,11.44459,151167,111,0
2025-01-20,11.33898,11.4327,11.2755,11.29279,252458,110,0
2025-01-21,11.29289,11.42919,11.25912,11.2813,202548,110,0
2025-01-22,11.27731,11.3343,11.23777,11.27337,162556,110,0
2025-01-23,11.273,11.31308,11.24243,11.27642,173255,105,0
2025-01-24,11.26876,11.27979,11.16465,11.18952,230556,105,0
2025-01-27,11.151,11.26789,11.14687,11.23855,198524,104,0
2025-01-28,11.23792,11.31115,11.21835,11.27483,201476,105,0
2025-01-29,11.27485,11.34859,11.23711,11.28153,189554,106,0
2025-01-30,11.28482,11.33873,11.2566,11.31855,195609,105,0
2025-01-31,11.31966,11.34822,11.25349,11.31621,282632,106,0
2025-02-03,11.40656,11.4952,11.32578,11.33068,271210,106,0
2025-02-04,11.32437,11.43723,11.22755,11.2368,189745,106,0
2025-02-05,11.237729999999999,11.26106,11.17755,11.22031,175044,105,0
2025-02-06,11.21369,11.28061,11.19671,11.20538,151234,106,0
2025-02-07,11.20569,11.27816,11.15693,11.23345,196061,106,0
2025-02-10,11.24327,11.28114,11.17335,11.20977,147211,106,0
2025-02-11,11.20204,11.23277,11.16733,11.18801,128726,106,0
2025-02-12,11.18936,11.30747,11.15509,11.26223,170450,106,0
2025-02-13,11.26298,11.29576,11.13767,11.1415,197250,105,0
2025-02-14,11.13811,11.15905,11.07841,11.11773,174926,105,0
2025-02-17,11.10261,11.13389,11.09426,11.0985,122127,105,0
2025-02-18,11.09703,11.17119,11.06381,11.15345,148708,105,0
2025-02-19,11.15082,11.17168,11.10509,11.12773,148254,105,0
2025-02-20,11.11506,11.14267,11.08462,11.08913,154124,105,0
2025-02-21,11.08828,11.15271,11.06269,11.12478,168507,105,0
2025-02-24,11.06281,11.14546,11.05698,11.10998,194573,106,0
2025-02-25,11.10856,11.14059,11.08945,11.11016,187065,105,0
2025-02-26,11.10126,11.16683,11.05157,11.14479,162979,105,0
2025-02-27,11.13065,11.25817,11.12279,11.23783,190724,105,0
2025-02-28,11.22428,11.2873,11.17949,11.24572,193746,106,0
2025-03-03,11.21269,11.25383,11.13528,11.1828,211674,105,0
2025-03-04,11.16273,11.24114,11.07754,11.08209,265179,104,0
2025-03-05,11.07557,11.14187,10.89118,10.90711,306824,102,0
2025-03-06,10.88712,10.92479,10.82202,10.88444,263968,102,0
2025-03-07,10.8627,10.89188,10.78308,10.85298,246150,101,0
2025-03-10,10.84168,10.86615,10.719,10.75289,223560,102,0
2025-03-11,10.74653,10.7791,10.60037,10.64229,216242,101,0
2025-03-12,10.628,10.69147,10.59042,10.62627,238002,101,0
2025-03-13,10.59168,10.71629,10.56776,10.6752,174348,101,0
2025-03-14,10.6626,10.70308,10.6262,10.63472,217477,101,0
2025-03-17,10.5835,10.64781,10.52581,10.52797,157597,101,0
2025-03-18,10.50979,10.59164,10.48546,10.54842,148021,101,0
2025-03-19,10.54881,10.63413,10.51774,10.55606,180442,101,0
2025-03-20,10.55407,10.66396,10.53041,10.54983,186202,102,0
2025-03-21,10.54292,10.5798,10.49751,10.53516,165257,102,0
2025-03-24,10.52943,10.56409,10.46795,10.51315,182856,102,0
2025-03-25,10.50452,10.54158,10.42968,10.51042,164091,102,0
2025-03-26,10.49994,10.57093,10.46865,10.55505,149171,0,0
2025-03-27,10.538,10.57543,10.47754,10.4806,119041,0,0
2025-03-28,10.4802,10.5158,10.42846,10.46563,89672,0,0
2025-03-31,10.3759,10.5716,10.3759,10.511,122005,0,0
2025-04-01,10.5048,10.5205,10.4432,10.4709,103914,0,0
2025-04-02,10.4625,10.47474,10.3358,10.38778,113773,0,0
2025-04-03,10.3908,10.4733,10.1884,10.3221,156199,0,0
2025-04-04,10.3239,10.82715,10.30352,10.7568,218236,0,0
2025-04-07,10.6103,11.04737,10.6103,10.97536,245844,0,0
2025-04-08,10.9534,10.9918,10.8416,10.9574,187557,0,0
2025-04-09,10.9424,11.0574,10.67169,10.7508,244206,0,0
2025-04-10,10.74169,10.88698,10.7179,10.8055,233298,0,0
2025-04-11,10.8105,10.8106,10.59998,10.6572,236951,0,0
2025-04-14,10.5798,10.66447,10.52112,10.5584,232042,0,0
2025-04-15,10.535,10.6648,10.51336,10.6332,205484,0,0
2025-04-16,10.6029,10.67388,10.54802,10.5614,197494,0,0
2025-04-17,10.5527,10.60012,10.46186,10.47198,215115,0,0
2025-04-18,10.4597,10.50669,10.44436,10.4805,181689,0,0
2025-04-21,10.4586,10.4792,10.3475,10.3674,178915,0,0
2025-04-22,10.3634,10.40864,10.31618,10.3899,191850,0,0
2025-04-23,10.3853,10.54328,10.34991,10.5346,185595,0,0
2025-04-24,10.5276,10.53098,10.3805,10.39017,175335,0,0
2025-04-25,10.33936,10.46424,10.16328,10.438649999999999,147824,0,0
2025-04-28,10.3369,10.4669,10.30811,10.32781,164841,0,0
2025-04-29,10.3281,10.39726,10.3112,10.3651,216161,0,0
2025-04-30,10.3546,10.43426,10.3448,10.3962,212260,0,0
2025-05-01,10.3959,10.46902,10.38796,10.42994,154635,0,0
2025-05-02,10.4174,10.46287,10.28866,10.40907,197033,0,0
2025-05-05,10.2839,10.43131,10.2839,10.38674,116340,0,0
2025-05-06,10.3736,10.4237,10.24912,10.26798,184272,0,0
2025-05-07,10.2413,10.35945,10.2402,10.3465,189775,0,0
2025-05-08,10.3477,10.44306,10.32204,10.42497,166161,0,0
2025-05-09,10.4242,10.4646,10.3329,10.3631,150218,0,0
2025-05-12,10.37942,10.47188,10.33276,10.455,183519,0,0
2025-05-13,10.4486,10.46712,10.347,10.3628,178086,0,0
2025-05-14,10.3474,10.4012,10.26456,10.3806,160111,0,0
2025-05-15,10.3587,10.4385,10.35712,10.4149,155373,0,0
2025-05-16,10.4104,10.4268,10.36155,10.3803,101268,0,0
2025-05-19,10.34117,10.40029,10.2831,10.29845,161790,0,0
2025-05-20,10.2984,10.33171,10.25143,10.25206,160153,0,0
2025-05-21,10.24155,10.25286,10.12172,10.16521,292362,299,0
2025-05-22,10.1628,10.21878,10.14717,10.19648,233337,300,0
2025-05-23,10.19125,10.20705,10.06666,10.08782,254956,299,0
2025-05-26,10.05803,10.11852,10.04306,10.09031,209537,297,0
2025-05-27,10.08624,10.16095,10.06439,10.15233,260318,298,0
2025-05-28,10.13822,10.19781,10.12392,10.17387,169888,301,0
2025-05-29,10.16775,10.24764,10.10817,10.116,232178,298,0
2025-05-30,10.11189,10.23582,10.09389,10.19851,230208,298,0
2025-06-02,10.16397,10.20887,10.06364,10.06844,201304,296,0
2025-06-03,10.06644,10.15708,10.0515,10.14507,182151,297,0
2025-06-04,10.13909,10.16661,10.07639,10.09724,189370,296,0
2025-06-05,10.09083,10.12277,10.03075,10.06264,204089,296,0
2025-06-06,10.05999,10.12879,10.04927,10.09809,220591,297,0
2025-06-09,10.06102,10.10697,10.04107,10.04758,207553,297,0
2025-06-10,10.02621,10.11903,10.00538,10.09832,208921,296,0
2025-06-11,10.04914,10.13076,10.04914,10.06216,203768,295,0
2025-06-12,10.00099,10.06382,9.92196,9.92297,242269,292,0
2025-06-13,9.91694,9.99992,9.88798,9.88855,266626,293,0
2025-06-16,9.89008,9.9256,9.86195,9.9041,218863,292,0
2025-06-17,9.89827,9.94337,9.85665,9.9359,217936,293,0
2025-06-18,9.932,9.99158,9.90357,9.96263,235333,294,0
2025-06-19,9.96248,10.11089,9.95186,10.02327,193067,295,0
2025-06-20,10.01041,10.12557,9.98822,10.09672,201838,294,0
2025-06-23,10.09786,10.20153,10.06248,10.07613,252965,294,0
2025-06-24,10.079039999999999,10.13595,10.03092,10.11487,259679,292,0
2025-06-25,10.11269,10.18243,10.08096,10.12517,214101,292,0
2025-06-26,10.10937,10.12461,10.03171,10.06328,216221,289,0
2025-06-27,10.05942,10.11033,10.01211,10.06915,220456,289,0
2025-06-30,10.00842,10.13219,10.00351,10.06884,215261,289,0
2025-07-01,10.05728,10.09504,9.97497,10.05849,222239,287,0
2025-07-02,10.05431,10.13086,10.00104,10.05615,208459,288,0
2025-07-03,10.05587,10.13128,10.03006,10.04248,214722,288,0
2025-07-04,10.01457,10.09041,9.97981,10.05427,199694,288,0
2025-07-07,9.96129,10.1463,9.96003,10.12294,215582,289,0
2025-07-08,10.11114,10.13562,10.03461,10.08609,232449,289,0
2025-07-09,10.0853,10.12111,10.06454,10.09038,186793,289,0
2025-07-10,10.08234,10.12426,10.0455,10.06611,192286,289,0
2025-07-11,10.06147,10.14217,10.04837,10.11908,189071,290,0
