time,open,high,low,close,tick_volume,spread,real_volume
2025-05-05,22.44,22.75,22.35,22.64,3989,6,0
2025-05-06,22.66,23.45,22.59,23.39,5348,6,0
2025-05-07,23.36,23.4,22.7,22.89,6989,6,0
2025-05-08,22.86,22.94,22.15,22.36,4434,6,0
2025-05-09,22.36,22.44,21.95,22.1,3789,6,0
2025-05-12,21.91,21.94,19.89,19.94,3087,6,0
2025-05-13,19.91,20.15,19.45,19.89,1832,6,0
2025-05-14,19.86,20.17,19.69,20.14,2683,6,0
2025-05-15,20.11,20.45,19.9,19.94,2097,6,0
2025-05-16,19.91,20.1,19.72,20.0,1033,6,0
2025-05-19,20.26,20.89,20.05,20.19,2999,6,0
2025-05-20,20.21,20.5,20.09,20.09,2648,6,0
2025-05-21,20.04,21.5,20.04,21.44,4770,6,0
2025-05-22,21.41,21.75,20.9,21.09,3825,6,0
2025-05-23,21.06,22.75,20.99,22.3,7545,6,0
2025-05-26,22.26,22.26,21.04,21.37,1122,6,0
2025-05-27,21.36,21.54,20.39,20.39,1859,6,0
2025-05-28,20.41,20.85,20.39,20.49,1686,6,0
2025-05-29,20.54,21.0,20.04,20.86,4092,6,0
2025-05-30,20.86,21.64,20.75,21.0,4925,6,0
2025-06-02,21.11,21.69,20.79,20.79,3300,6,0
2025-06-03,20.79,21.14,20.45,20.54,1759,6,0
2025-06-04,20.54,20.65,20.35,20.54,1756,6,0
2025-06-05,20.56,21.04,19.95,20.99,3712,6,0
2025-06-06,21.01,21.34,20.05,20.85,2284,6,0
2025-06-09,20.14,20.99,19.75,20.79,1684,6,0
2025-06-10,19.99,20.84,19.8,20.74,1725,6,0
2025-06-11,19.94,20.95,19.32,20.01,3568,6,0
2025-06-12,20.09,21.2,19.95,20.24,3832,6,0
2025-06-13,20.24,23.11,20.24,21.6,10449,6,0
2025-06-16,21.94,21.99,20.05,20.19,3535,6,0
2025-06-17,20.21,21.84,20.14,21.38,6377,8,0
2025-06-18,21.45,21.84,20.35,20.78,6707,8,0
2025-06-19,20.78,22.04,20.73,21.84,2773,8,0
2025-06-20,21.28,21.68,20.44,20.99,6442,8,0
2025-06-23,21.98,22.33,20.58,20.63,6935,8,0
2025-06-24,20.58,20.98,19.19,20.38,2893,8,0
2025-06-25,19.23,20.44,18.94,20.18,1917,8,0
2025-06-26,18.98,20.28,18.74,18.88,1264,8,0
2025-06-27,18.83,20.34,18.59,18.84,1820,8,0
2025-06-30,18.83,20.14,18.48,18.75,1580,8,0
2025-07-01,18.75,20.29,18.44,18.68,1812,8,0
2025-07-02,18.68,20.19,18.39,18.48,1309,8,0
2025-07-03,18.48,20.08,17.99,18.34,757,8,0
2025-07-04,18.35,20.43,18.33,18.76,1255,8,0
2025-07-07,18.48,20.39,18.28,18.78,3568,8,0
2025-07-08,18.78,20.28,17.88,17.88,2197,8,0
2025-07-09,17.88,19.68,17.04,17.13,1511,8,0
2025-07-10,17.13,19.38,16.74,16.83,1095,8,0
2025-07-11,16.83,19.48,16.73,19.24,2887,8,0
2025-07-14,17.4,19.53,17.28,19.33,1778,8,0
2025-07-15,19.33,19.53,18.99,19.5,1878,8,0
2025-07-16,19.53,20.44,19.19,19.43,4093,8,0
2025-07-17,19.43,19.49,19.13,19.28,962,8,0
2025-07-18,19.28,19.34,19.04,19.09,1015,8,0
2025-07-21,19.03,19.04,18.59,18.93,740,8,0
2025-07-22,18.93,19.39,18.83,18.88,2180,8,0
2025-07-23,18.88,18.88,17.93,17.93,1118,8,0
2025-07-24,17.93,18.14,17.79,18.0,1266,8,0
2025-07-25,17.98,18.19,17.79,17.89,906,8,0
2025-07-28,17.73,17.73,16.98,17.28,1210,8,0
2025-07-29,17.25,17.94,16.98,17.88,1944,8,0
2025-07-30,17.88,18.24,17.44,17.5,3190,8,0
2025-07-31,17.5,18.14,17.18,18.03,3898,8,0
2025-08-01,18.03,20.44,17.93,19.69,9076,8,0
2025-08-04,19.75,20.08,17.88,17.88,2650,8,0
2025-08-05,17.88,18.94,17.63,18.35,5171,8,0
2025-08-06,18.38,18.43,17.59,17.63,2911,8,0
2025-08-07,17.83,18.14,17.24,17.63,4560,8,0
2025-08-08,17.63,20.59,16.79,16.79,1883,8,0
2025-08-11,16.68,20.54,16.59,16.93,1764,8,0
2025-08-12,16.93,20.63,15.84,15.88,2181,8,0
2025-08-13,15.88,20.09,15.49,15.68,1506,8,0
2025-08-14,15.7,20.24,15.44,15.78,2858,8,0
2025-08-15,15.78,20.24,15.43,15.74,2441,8,0
2025-08-18,15.8,20.23,15.53,17.93,1650,8,0
2025-08-19,17.93,20.11,17.74,18.33,3470,8,0
2025-08-20,18.33,20.49,18.19,18.23,4432,8,0
2025-08-21,18.23,20.44,18.08,18.58,3979,8,0
2025-08-22,18.58,20.33,16.94,16.94,2623,6,0
2025-08-25,16.93,19.19,16.88,17.0,1799,8,0
2025-08-26,17.03,19.33,16.78,16.78,2098,8,0
2025-08-27,16.78,19.19,16.78,16.9,1347,8,0
2025-08-28,16.93,19.25,16.59,16.73,1878,8,0
2025-08-29,16.73,19.29,16.53,17.04,3636,8,0
2025-09-01,17.03,19.29,16.68,16.84,1102,8,0
2025-09-02,16.88,20.24,16.83,17.43,5532,8,0
2025-09-03,17.43,19.73,17.08,17.08,3927,8,0
2025-09-04,17.08,19.33,16.48,16.48,1393,8,0
2025-09-05,16.53,18.99,16.09,16.74,5001,8,0
2025-09-08,16.73,19.88,16.29,16.33,2391,8,0
2025-09-09,16.33,19.74,16.19,16.23,2158,8,0
2025-09-10,16.23,19.69,15.84,16.13,2426,8,0
2025-09-11,16.18,19.53,15.59,15.63,1368,3,0
2025-09-12,15.63,19.29,15.39,19.24,1167,8,0
2025-09-15,15.63,19.39,15.38,18.13,1251,8,0
2025-09-16,18.13,19.64,18.08,18.33,1588,8,0
2025-09-17,18.33,19.64,17.49,17.68,3361,8,0
2025-09-18,17.68,19.24,17.23,17.63,1759,8,0
2025-09-19,17.63,19.39,17.53,17.69,1549,8,0
2025-09-22,17.68,19.54,17.68,17.98,1074,8,0
2025-09-23,17.98,19.89,17.88,18.23,1845,8,0
2025-09-24,18.23,19.79,17.93,17.93,2025,8,0
2025-09-25,17.93,19.84,17.84,18.28,4037,8,0
2025-09-26,18.28,19.73,17.44,17.44,3200,8,0
2025-09-29,17.53,19.29,17.18,17.73,1682,8,0
2025-09-30,17.73,19.44,17.54,17.68,2230,8,0
2025-10-01,17.7,19.53,17.44,17.58,1755,8,0
2025-10-02,17.58,19.29,17.33,17.78,1735,8,0
2025-10-03,17.78,19.34,17.63,17.79,1668,8,0
2025-10-06,17.73,19.29,17.48,17.58,1163,8,0
2025-10-07,17.58,19.44,17.43,18.03,2762,8,0
2025-10-08,18.03,19.44,17.48,17.53,968,8,0
2025-10-09,17.53,19.44,17.48,17.68,2355,8,0
2025-10-10,17.68,21.19,17.49,20.84,13683,8,0
2025-10-13,21.23,21.23,18.88,19.05,6390,8,0
2025-10-14,19.05,21.59,18.63,20.38,10104,8,0
2025-10-15,20.4,21.54,19.44,20.83,7459,8,0
2025-10-16,20.83,24.14,20.18,24.05,14623,8,0
2025-10-17,24.0,27.85,20.79,20.89,21647,8,0
2025-10-20,20.63,21.03,19.08,19.08,2905,8,0
2025-10-21,19.08,19.64,18.89,19.08,2384,8,0
2025-10-22,19.08,20.34,18.93,19.28,7569,8,0
2025-10-23,19.28,19.64,18.83,18.83,2922,8,0
2025-10-24,18.83,18.83,18.34,18.64,1712,8,0
2025-10-27,18.2,18.24,17.73,17.98,1261,8,0
2025-10-28,17.98,18.54,17.93,18.48,1368,8,0
2025-10-29,18.48,18.94,18.14,18.78,4045,8,0
2025-10-30,18.88,19.23,18.33,18.58,6688,8,0
2025-10-31,18.6,19.59,18.43,19.09,4365,8,0
2025-11-03,19.0,19.64,18.73,18.83,3556,8,0
2025-11-04,18.85,20.18,18.85,19.68,6787,8,0
2025-11-05,19.7,20.63,18.64,18.93,4647,8,0
2025-11-06,18.93,20.34,18.74,19.83,7146,8,0
2025-11-07,19.83,21.64,19.68,19.74,9763,6,0
2025-11-10,19.5,19.53,18.44,18.59,1728,8,0
