time,open,high,low,close,tick_volume,spread,real_volume
2025-10-06,19.85,19.89,19.68,19.68,791,8,0
2025-10-07,19.7,20.09,19.58,19.95,1664,8,0
2025-10-08,19.95,19.99,19.73,19.73,814,8,0
2025-10-09,19.73,20.04,19.68,19.83,1319,8,0
2025-10-10,19.83,21.44,19.78,21.09,9283,8,0
2025-10-13,20.98,21.03,20.08,20.18,4439,8,0
2025-10-14,20.18,21.34,19.98,20.73,6152,8,0
2025-10-15,20.75,21.19,20.24,20.88,4797,8,0
2025-10-16,20.88,22.11,20.48,21.98,8747,8,0
2025-10-17,21.98,22.93,20.69,20.74,10241,8,0
2025-10-20,20.65,20.78,19.68,19.68,2087,8,0
2025-10-21,19.68,19.99,19.54,19.78,2268,8,0
2025-10-22,19.78,20.59,19.64,19.83,4499,8,0
2025-10-23,19.83,20.09,19.53,19.53,1784,8,0
2025-10-24,19.53,19.53,19.14,19.29,1076,8,0
2025-10-27,19.05,19.09,18.48,18.88,968,8,0
2025-10-28,18.88,19.39,18.83,19.33,940,8,0
2025-10-29,19.33,19.69,19.04,19.6,2400,8,0
2025-10-30,19.6,19.98,19.33,19.48,3511,8,0
2025-10-31,19.45,20.24,19.34,19.89,2746,8,0
2025-11-03,19.83,20.24,19.63,19.78,1871,8,0
2025-11-04,19.78,20.68,19.78,20.38,5169,8,0
2025-11-05,20.38,20.98,19.49,19.73,3400,8,0
2025-11-06,19.73,20.59,19.59,20.18,6155,8,0
2025-11-07,20.18,21.24,20.08,20.09,7340,8,0
2025-11-10,19.88,19.88,19.19,19.29,1255,8,0
