time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,47.529,47.91,46.291,46.667,125309,7,0
2024-11-12,46.642,47.135,46.104,47.001,142094,7,0
2024-11-13,47.007,47.606,46.713,46.722,141347,7,0
2024-11-14,46.621,47.349,45.905,47.152,157621,6,0
2024-11-15,47.168,47.743,46.776,46.798,137911,6,0
2024-11-18,46.863,48.274,46.832,47.888,119396,6,0
2024-11-19,47.88,48.566,47.625,47.771,134660,6,0
2024-11-20,47.764,48.066,47.324,47.42,109215,6,0
2024-11-21,47.407,48.062,47.036,47.286,122836,6,0
2024-11-22,47.286,48.358,47.215,48.184,139258,6,0
2024-11-25,47.757,48.1,46.233,46.581,142657,6,0
2024-11-26,46.562,47.272,46.383,47.012,137759,6,0
2024-11-27,46.982,47.356,46.175,46.313,118103,5,0
2024-11-28,46.234,46.603,45.595,46.482,75879,6,0
2024-11-29,46.467,47.505,46.406,46.9,103770,5,0
2024-12-02,46.918,47.43,46.234,47.093,123685,5,0
2024-12-03,47.082,47.919,47.082,47.831,115451,5,0
2024-12-04,47.835,48.907,47.579,48.656,123781,5,0
2024-12-05,48.664,48.883,48.206,48.541,107049,5,0
2024-12-06,48.525,48.927,47.984,48.444,125471,5,0
2024-12-09,48.447,49.949,48.365,49.41,125656,5,0
2024-12-10,49.396,50.349,49.364,50.007,118490,5,0
2024-12-11,50.035,50.534,49.381,50.087,125235,5,0
2024-12-12,50.067,50.447,48.446,48.616,127279,5,0
2024-12-13,48.583,48.869,47.667,48.041,99741,5,0
2024-12-16,47.994,48.361,47.805,47.9,82971,5,0
2024-12-17,47.889,48.19,47.521,48.184,88083,5,0
2024-12-18,48.152,48.3,47.084,47.211,115952,5,0
2024-12-19,47.203,47.642,45.937,46.537,132642,5,0
2024-12-20,46.521,47.363,46.237,47.21,117953,5,0
2024-12-23,47.214,47.776,47.214,47.4,91104,5,0
2024-12-24,47.514,47.774,47.302,47.536,56835,5,0
2024-12-26,47.483,48.037,47.295,47.868,63917,6,0
2024-12-27,47.685,48.087,47.156,47.246,82831,5,0
2024-12-30,47.161,47.324,46.323,46.534,79098,5,0
2024-12-31,46.573,46.826,46.331,46.694,77102,6,0
2025-01-02,46.716,47.697,46.685,47.642,110227,5,0
2025-01-03,47.642,48.083,47.443,47.65,86145,5,0
2025-01-06,47.715,48.322,47.201,47.932,121179,5,0
2025-01-07,47.972,48.461,47.884,48.206,103997,5,0
2025-01-08,48.199,48.917,48.049,48.425,119258,5,0
2025-01-09,48.442,49.158,48.374,48.596,73750,5,0
2025-01-10,48.546,49.733,48.504,49.454,112666,5,0
2025-01-13,49.453,49.553,47.925,47.925,102482,6,0
2025-01-14,47.862,48.428,47.611,48.251,94597,5,0
2025-01-15,48.24,49.37,48.0,49.202,94317,5,0
2025-01-16,49.211,49.751,48.982,49.58,106840,5,0
2025-01-17,49.579,49.64,48.598,48.967,97506,6,0
2025-01-20,48.865,48.992,48.017,48.696,87623,5,0
2025-01-21,48.649,49.223,48.551,49.138,111667,5,0
2025-01-22,49.14,49.398,48.715,49.106,87025,6,0
2025-01-23,49.122,49.187,47.974,48.426,96560,5,0
2025-01-24,48.441,49.193,48.393,48.458,112465,6,0
2025-01-27,48.327,48.643,47.326,47.992,122518,5,0
2025-01-28,48.059,48.804,47.806,48.616,98607,5,0
2025-01-29,48.643,49.817,48.534,49.472,111871,5,0
2025-01-30,49.493,50.993,49.343,50.926,108116,5,0
2025-01-31,50.969,51.016,50.009,50.411,128382,5,0
2025-02-03,50.986,51.284,49.999,50.689,188253,5,0
2025-02-04,50.632,51.777,50.595,51.352,117964,5,0
2025-02-05,51.421,51.773,51.052,51.394,120054,5,0
2025-02-06,51.357,51.635,50.662,51.243,102454,5,0
2025-02-07,51.291,51.911,50.644,50.655,124582,5,0
2025-02-10,50.778,51.498,50.678,51.015,91235,5,0
2025-02-11,51.002,51.408,49.774,50.522,103464,5,0
2025-02-12,50.57,51.415,50.318,51.309,113826,5,0
