time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,29.164,29.545,28.566,28.792,98776,5,0
2024-11-12,28.785,29.015,28.407,28.905,109573,5,0
2024-11-13,28.913,29.253,28.669,28.685,109874,5,0
2024-11-14,28.678,29.05,28.186,28.903,121675,5,0
2024-11-15,28.897,29.233,28.666,28.699,106524,5,0
2024-11-18,28.732,29.592,28.714,29.406,91026,5,0
2024-11-19,29.401,29.915,29.331,29.448,100546,4,0
2024-11-20,29.448,29.621,29.182,29.26,83494,4,0
2024-11-21,29.249,29.725,29.147,29.395,92186,4,0
2024-11-22,29.382,30.182,29.345,30.058,106675,4,0
2024-11-25,29.86,30.041,28.653,28.865,115575,4,0
2024-11-26,28.85,29.17,28.675,29.018,101132,4,0
2024-11-27,29.001,29.272,28.348,28.476,86133,4,0
2024-11-28,28.362,28.708,28.077,28.629,59113,4,0
2024-11-29,28.624,29.246,28.588,28.929,80023,4,0
2024-12-02,28.948,29.225,28.551,29.053,94828,4,0
2024-12-03,29.047,29.554,29.031,29.522,89223,4,0
2024-12-04,29.506,29.888,29.032,29.767,92693,4,0
2024-12-05,29.746,29.879,29.36,29.585,85926,4,0
2024-12-06,29.574,29.725,29.139,29.298,97691,4,0
2024-12-09,29.337,30.522,29.277,30.153,101756,4,0
2024-12-10,30.149,30.529,30.061,30.296,87833,4,0
2024-12-11,30.294,30.67,29.91,30.397,96789,4,0
2024-12-12,30.291,30.769,29.485,29.58,96998,4,0
2024-12-13,29.536,29.717,28.878,29.09,76053,4,0
2024-12-16,29.078,29.28,28.982,29.031,64757,4,0
2024-12-17,29.012,29.105,28.71,29.1,68553,4,0
2024-12-18,29.094,29.116,28.271,28.36,89740,4,0
2024-12-19,28.345,28.565,27.652,28.017,103613,4,0
2024-12-20,27.972,28.432,27.725,28.301,89062,4,0
2024-12-23,28.112,28.663,28.112,28.462,68591,4,0
2024-12-24,28.449,28.652,28.343,28.512,39998,4,0
2024-12-26,28.374,28.701999999999998,28.372,28.573,43085,4,0
2024-12-27,28.435,28.707,28.112,28.164,59374,4,0
2024-12-30,28.081,28.307,27.738,27.821,60959,4,0
2024-12-31,27.809,27.978,27.671,27.91,57414,4,0
2025-01-02,27.892,28.856,27.855,28.788,87625,4,0
2025-01-03,28.787,29.051,28.683,28.738,65566,4,0
2025-01-06,28.643,29.146,28.504,28.812,96909,4,0
2025-01-07,28.801,29.23,28.782,29.049,79745,4,0
2025-01-08,29.029,29.483,28.935,29.172,93849,4,0
2025-01-09,29.155,29.557,29.093,29.233,57230,4,0
2025-01-10,29.144,29.891,29.144,29.66,89042,4,0
2025-01-13,29.694,29.77,28.894,28.898,81340,4,0
2025-01-14,28.849,29.176,28.778,28.996,69912,4,0
2025-01-15,28.996,29.864,28.873,29.776,73539,4,0
2025-01-16,29.796,30.042,29.667,29.899,81099,4,0
2025-01-17,29.888,29.914,29.284,29.527,74462,4,0
2025-01-20,29.402,29.538,28.917,29.32,67299,4,0
2025-01-21,29.261,29.599,29.134,29.552,80830,4,0
2025-01-22,29.545,29.712,29.325,29.595,62901,4,0
2025-01-23,29.586,29.639,28.897,29.219,69295,3,0
2025-01-24,29.209,29.639,29.087,29.159,77406,3,0
2025-01-27,29.049,29.231,28.321,28.783,86474,3,0
2025-01-28,28.79,29.243,28.652,29.142,68870,3,0
2025-01-29,29.151,29.798000000000002,29.047,29.588,79550,3,0
2025-01-30,29.584,30.465,29.536,30.434,80837,3,0
2025-01-31,30.424,30.556,29.916,30.221,95271,3,0
2025-02-03,30.656,30.772,29.975,30.516,140157,3,0
2025-02-04,30.467,31.19,30.422,30.951,86900,3,0
2025-02-05,30.936,31.231,30.758,31.05,92897,3,0
2025-02-06,30.976,31.181,30.606,31.013,79497,3,0
2025-02-07,31.025,31.454,30.752,30.768,96289,3,0
2025-02-10,30.786,31.312,30.703,31.074,70012,3,0
2025-02-11,31.005,31.301,30.281,30.694,80221,3,0
2025-02-12,30.698,31.076,30.432,31.027,87264,3,0
2025-02-13,31.018,31.109,30.753,30.873,89561,3,0
2025-02-14,30.752,31.838,30.556,30.634,103076,3,0
2025-02-17,30.642,30.997,30.419,30.864,55078,3,0
2025-02-18,30.856,31.493,30.636,31.467,74504,3,0
2025-02-19,31.31,31.718,31.063,31.366,81212,3,0
2025-02-20,31.378,31.793,31.245,31.363,75098,3,0
2025-02-21,31.363,31.536,31.05,31.055,87290,3,0
2025-02-24,30.969,31.273,30.661,30.9,92449,3,0
2025-02-25,30.848,31.033,29.803,30.172,102888,3,0
2025-02-26,30.113,30.441,30.02,30.358,85801,3,0
2025-02-27,30.431,30.52,29.971,30.055,95143,3,0
2025-02-28,30.079,30.232,29.6,30.018,93340,3,0
2025-03-03,29.852,30.363,29.851,30.207,99672,3,0
2025-03-04,30.199,30.326,29.949,30.072,110935,3,0
2025-03-05,30.096,30.31,29.793,30.227,125191,3,0
2025-03-06,30.199,30.371,29.842,30.241,112225,3,0
2025-03-07,30.24,30.288,29.585,30.001,114127,3,0
2025-03-10,29.885,30.131,29.511,29.621,118805,3,0
2025-03-11,29.626,30.191,29.323,30.156,112576,3,0
2025-03-12,30.188,30.596,29.998,30.543,101531,3,0
2025-03-13,30.506,31.278,30.303,31.205,103184,3,0
2025-03-14,31.214,31.345,30.819,31.009,97916,3,0
2025-03-17,31.109,31.163,30.659,30.987,77538,3,0
2025-03-18,30.961,31.391,30.905,31.063,83541,3,0
2025-03-19,31.074,31.197,30.707,30.992,87734,3,0
2025-03-20,30.909,31.133,30.515,30.93,79014,3,0
2025-03-21,30.932,30.944,30.156,30.538,84168,3,0
2025-03-24,30.358,30.744,30.358,30.555,71786,3,0
2025-03-25,30.563,31.255,30.468,31.237,66087,3,0
2025-03-26,31.249,31.458,31.102,31.262,69731,3,0
2025-03-27,31.309,31.923000000000002,31.212,31.837,89413,3,0
2025-03-28,31.871,32.074,31.342,31.48,100794,3,0
2025-03-31,31.535,31.834,30.985,31.502,113715,3,0
2025-04-01,31.471,31.596,31.009,31.195,102096,3,0
2025-04-02,31.21,31.532,30.896,31.157,101430,3,0
2025-04-03,31.218,31.261,28.557,28.806,182860,3,0
2025-04-04,28.776,28.96,26.686,26.959,188596,3,0
2025-04-07,26.496,28.119,25.732,27.556,244125,3,0
2025-04-08,27.533,27.951,27.025,27.184,157261,3,0
2025-04-09,27.22,28.353,26.578,28.326,203309,3,0
2025-04-10,28.259,28.524,27.396,27.852,167057,3,0
2025-04-11,27.873,28.573,27.379,28.414,191116,3,0
2025-04-14,28.475,28.522,27.954,28.493,124842,3,0
2025-04-15,28.484,28.705,28.345,28.632,89678,3,0
2025-04-16,28.628,29.145,28.471,28.717,121887,3,0
2025-04-17,28.706,28.96,28.243,28.619,111077,3,0
2025-04-21,28.311,28.661,28.23,28.363,100706,9,0
2025-04-22,28.351,28.925,28.062,28.438,132841,3,0
2025-04-23,28.422,29.729,28.256,29.66,139263,3,0
2025-04-24,29.576999999999998,29.721,29.152,29.469,96469,3,0
2025-04-25,29.481,29.674,28.911,29.113,95493,3,0
2025-04-28,29.094,29.177,28.773,29.005,91610,3,0
2025-04-29,29.024,29.417,28.823,28.903,86398,4,0
2025-04-30,28.879,29.089,28.289,28.785,98145,6,0
2025-05-01,28.754,28.837,27.977,28.685,92203,3,0
2025-05-02,28.685,28.936,28.166,28.314,95945,3,0
2025-05-05,28.29,28.763,28.228,28.7,79457,3,0
2025-05-06,28.689,29.294,28.655,29.203,92547,3,0
2025-05-07,29.201,29.257,28.493,28.698,107182,3,0
2025-05-08,28.604,29.077,28.562,28.893,99551,3,0
2025-05-09,28.896,29.153,28.766,29.082,81307,3,0
2025-05-12,28.818,29.5,28.724,29.387,122448,3,0
2025-05-13,29.375,29.884,29.222,29.413,93517,3,0
2025-05-14,29.398,29.468,28.637,28.818,97170,3,0
2025-05-15,28.821,29.18,28.261,29.162,88736,3,0
2025-05-16,29.164,29.206,28.47,28.897,84402,3,0
2025-05-19,28.893,29.104,28.657,28.768,78870,3,0
2025-05-20,28.767,29.367,28.504,29.308,76842,3,0
2025-05-21,29.324,29.651,29.126,29.46,90651,3,0
2025-05-22,29.398,29.744,28.833,29.29,97778,3,0
2025-05-23,29.283,29.516,29.07,29.446,86872,3,0
2025-05-26,29.37,29.494,29.205,29.412,49567,3,0
2025-05-27,29.39,29.409,28.83,29.347,75642,3,0
2025-05-28,29.345,29.495,29.134,29.184,68554,3,0
2025-05-29,29.175,29.671,29.125,29.295,88961,3,0
2025-05-30,29.299,29.347,28.874,29.041,82986,3,0
2025-06-02,29.075,30.398,28.992,30.354,88449,3,0
2025-06-03,30.364,30.431,29.727,30.34,79442,3,0
2025-06-04,30.327,30.428,30.013,30.199,70495,3,0
2025-06-05,30.181,31.525,30.155,31.139,109543,3,0
2025-06-06,31.128,31.88,31.109,31.585,93223,3,0
2025-06-09,31.604,32.275,31.46,32.174,78909,3,0
2025-06-10,32.166,32.232,31.794,31.955,83651,3,0
2025-06-11,31.991,32.079,31.368,31.538,90580,3,0
2025-06-12,31.499,31.63,30.801,31.372,97763,3,0
2025-06-13,31.348,31.726,31.151,31.428,114027,3,0
2025-06-16,31.492,31.606,31.19,31.401,92937,3,0
2025-06-17,31.389,32.345,31.262,32.329,98457,3,0
2025-06-18,32.339,32.43,31.824,31.984,92788,3,0
2025-06-19,31.929,32.093,31.553,31.685,69502,3,0
2025-06-20,31.603,31.689,30.826999999999998,31.213,92870,3,0
2025-06-23,31.332,31.608,31.14,31.161,106954,3,0
2025-06-24,31.144,31.194,30.443,30.927,105732,3,0
2025-06-25,30.891,31.16,30.748,31.093,72453,3,0
