time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,31.241,31.561,30.421,30.68,88392,6,0
2024-11-12,30.678,30.818,30.184,30.708,97923,6,0
2024-11-13,30.712,31.144,30.281,30.303,97213,6,0
2024-11-14,30.296,30.649,29.674,30.434,107482,6,0
2024-11-15,30.434,30.813,30.176,30.236,92516,6,0
2024-11-18,30.275,31.266,30.251,31.165,78871,6,0
2024-11-19,31.165,31.533,31.043,31.203,85431,6,0
2024-11-20,31.206,31.328,30.771,30.85,70966,6,0
2024-11-21,30.84,31.307,30.64,30.787,77445,6,0
2024-11-22,30.781,31.403,30.731,31.324,86914,5,0
2024-11-25,31.283,31.468,30.061,30.298,96329,5,0
2024-11-26,30.285,30.69,29.978,30.437,77509,5,0
2024-11-27,30.422,30.7,29.972,30.089,65953,5,0
2024-11-28,29.978,30.289,29.637,30.217,47226,5,0
2024-11-29,30.219,30.892,30.18,30.603,61942,5,0
2024-12-02,30.591,30.674,30.052,30.498,71424,5,0
2024-12-03,30.494,31.087,30.456,31.025,72796,5,0
2024-12-04,31.012,31.475,30.465,31.285,73184,5,0
2024-12-05,31.263,31.419,31.01,31.323,70755,5,0
2024-12-06,31.317,31.434,30.822,30.962,84165,5,0
2024-12-09,30.992,32.273,30.863,31.822,88623,5,0
2024-12-10,31.823,32.088,31.7,31.892,74343,5,0
2024-12-11,31.898,32.183,31.47,31.903,77617,5,0
2024-12-12,31.802,32.343,30.874,30.959,75343,5,0
2024-12-13,30.923000000000002,31.095,30.285,30.553,58344,5,0
2024-12-16,30.535,30.751,30.462,30.516,48352,5,0
2024-12-17,30.496,30.6,30.145,30.529,52727,5,0
2024-12-18,30.53,30.572,29.302,29.351,72120,5,0
2024-12-19,29.345,29.704,28.738,29.032,79917,5,0
2024-12-20,28.995,29.69,28.806,29.511,69537,5,0
2024-12-23,29.345,29.867,29.345,29.618,55730,5,0
2024-12-24,29.606,29.789,29.47,29.624,31670,5,0
2024-12-26,29.516,29.868,29.494,29.781,33668,5,0
2024-12-27,29.655,29.886,29.311,29.372,47302,5,0
2024-12-30,29.299,29.522,28.791,28.951999999999998,45390,5,0
2024-12-31,28.937,29.025,28.767,28.895,42676,5,0
2025-01-02,28.898,29.59,28.855,29.556,68014,5,0
2025-01-03,29.555,29.891,29.491,29.623,51799,5,0
2025-01-06,29.524,30.341,29.404,29.935,73762,5,0
2025-01-07,29.928,30.382,29.876,30.037,60673,5,0
2025-01-08,30.026,30.344,29.801,30.102,75432,5,0
2025-01-09,30.081,30.47,29.994,30.108,41581,5,0
2025-01-10,30.024,30.656,29.932,30.385,68364,5,0
2025-01-13,30.426,30.489,29.501,29.608,58777,5,0
2025-01-14,29.615,29.966,29.509,29.888,46897,5,0
2025-01-15,29.886,30.745,29.73,30.639,53602,5,0
2025-01-16,30.674,30.964,30.514,30.801,59109,5,0
2025-01-17,30.79,30.832,30.123,30.326,54970,5,0
2025-01-20,30.23,30.615,29.982,30.475,43812,5,0
2025-01-21,30.483,30.852,30.182,30.83,53018,5,0
2025-01-22,30.81,30.951999999999998,30.559,30.807,43083,5,0
2025-01-23,30.797,30.857,30.085,30.432,50012,5,0
2025-01-24,30.43,31.02,30.427,30.6,55921,5,0
2025-01-27,30.46,30.62,29.698,30.199,63914,5,0
2025-01-28,30.2,30.488,29.882,30.397,46482,5,0
2025-01-29,30.404,30.983,30.281,30.83,59341,5,0
2025-01-30,30.833,31.726,30.799,31.627,59026,5,0
2025-01-31,31.605,31.705,31.09,31.305,69430,5,0
2025-02-03,31.431,31.675,30.678,31.564,104447,5,0
2025-02-04,31.511,32.375,31.352,32.124,62965,5,0
2025-02-05,32.113,32.551,31.926,32.3,71205,5,0
2025-02-06,32.284,32.42,31.736,32.2,60221,5,0
2025-02-07,32.216,32.645,31.767,31.783,75498,5,0
2025-02-10,31.701,32.333,31.613,32.027,52117,5,0
2025-02-11,31.961,32.242,31.249,31.803,63586,5,0
2025-02-12,31.812,32.361,31.489,32.216,63238,5,0
2025-02-13,32.21,32.413,31.986,32.31,62685,5,0
2025-02-14,32.187,33.392,32.065,32.138,85227,5,0
2025-02-17,32.151,32.486,31.909,32.354,41474,5,0
2025-02-18,32.349,32.915,32.07,32.869,57603,5,0
2025-02-19,32.743,33.071,32.438,32.691,63122,5,0
2025-02-20,32.717,33.207,32.578,32.935,57796,5,0
2025-02-21,32.931,33.063,32.486,32.492,70427,5,0
2025-02-24,32.444,32.757,32.089,32.346,70826,5,0
2025-02-25,32.298,32.481,31.284,31.725,85118,5,0
2025-02-26,31.669,31.953,31.49,31.83,64957,5,0
2025-02-27,31.922,31.937,31.181,31.252,75737,5,0
2025-02-28,31.267,31.397,30.803,31.141,71999,5,0
2025-03-03,31.057,31.84,31.056,31.684,76890,5,0
2025-03-04,31.677,32.012,31.462,31.954,82732,5,0
2025-03-05,31.967,32.706,31.768,32.614,93686,5,0
2025-03-06,32.594,32.761,32.255,32.617,81187,5,0
2025-03-07,32.648,32.694,32.101,32.505,89690,5,0
2025-03-10,32.409,32.665,31.933,32.098,100033,5,0
2025-03-11,32.103,32.972,31.802,32.928,94015,5,0
