time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,2504.85,2507.31,2451.43,2457.91,234811,23,0
2024-11-12,2458.81,2465.34,2437.8,2445.25,261976,23,0
2024-11-13,2446.71,2463.8,2434.97,2435.08,256175,23,0
2024-11-14,2434.21,2444.51,2411.41,2435.26,278546,23,0
2024-11-15,2436.44,2445.8,2424.07,2431.37,238375,23,0
2024-11-18,2437.29,2474.16,2435.57,2464.1,229419,23,0
2024-11-19,2463.62,2499.12,2463.61,2483.82,255768,23,0
2024-11-20,2483.16,2522.98,2476.66,2513.26,216295,23,0
2024-11-21,2514.2,2551.18,2512.19,2548.45,223378,23,0
2024-11-22,2548.08,2607.22,2547.56,2605.37,265755,23,0
2024-11-25,2584.18,2595.97,2491.8,2501.08,292228,23,0
2024-11-26,2501.89,2517.76,2487.64,2510.01,274479,23,0
2024-11-27,2506.23,2526.81,2492.37,2494.28,230188,23,0
2024-11-28,2494.18,2513.94,2482.86,2499.08,153697,23,0
2024-11-29,2499.85,2525.38,2493.78,2505.23,224086,23,0
2024-12-02,2509.46,2529.29,2490.91,2513.39,268364,23,0
2024-12-03,2513.34,2526.63,2507.95,2515.02,231952,23,0
2024-12-04,2514.65,2529.87,2509.89,2520.98,233202,23,0
2024-12-05,2520.65,2522.37,2482.17,2485.43,204756,23,0
2024-12-06,2485.8,2501.76,2470.59,2490.94,224740,23,0
2024-12-09,2501.21,2531.32,2488.68,2520.27,230344,23,0
2024-12-10,2521.01,2564.7,2519.22,2558.63,213473,23,0
2024-12-11,2558.36,2592.79,2541.63,2589.0,243805,23,0
2024-12-12,2588.3,2594.7,2550.38,2560.92,235089,28,0
2024-12-13,2561.25,2572.47,2520.69,2521.7,231875,28,0
2024-12-16,2522.24,2539.86,2513.43,2523.31,192976,29,0
2024-12-17,2523.54,2529.79,2505.72,2522.09,206695,29,0
2024-12-18,2521.87,2525.75,2495.52,2497.49,234621,24,0
2024-12-19,2497.29,2523.11,2489.13,2503.39,270669,29,0
2024-12-20,2503.38,2531.44,2498.43,2514.71,236480,29,0
2024-12-23,2512.46,2527.99,2507.06,2510.41,179901,29,0
2024-12-24,2512.35,2521.97,2508.14,2518.05,122683,29,0
2024-12-26,2513.8,2534.97,2513.73,2526.25,139269,29,0
2024-12-27,2524.77,2533.95,2503.6,2513.27,160982,29,0
