time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,970.45,987.79,961.31,964.84,54110,98,0
2024-11-12,963.79,966.27,939.98,947.65,63890,98,0
2024-11-13,947.7,956.02,936.34,936.38,67891,105,0
2024-11-14,936.82,944.03,928.37,939.16,49413,101,0
2024-11-15,939.67,952.14,933.69,940.57,53917,98,0
2024-11-18,941.26,970.4,939.69,967.06,36432,98,0
2024-11-19,966.85,976.77,962.65,973.26,64113,89,0
2024-11-20,972.62,976.29,959.1,961.44,33862,89,0
2024-11-21,960.59,969.29,954.69,962.8,39785,83,0
2024-11-22,963.05,973.4,957.17,964.74,44592,80,0
2024-11-25,965.29,970.95,938.8,939.85,46851,82,0
2024-11-26,938.67,942.53,925.19,928.65,50455,82,0
2024-11-27,927.27,940.19,925.52,929.09,40185,86,0
2024-11-28,928.49,938.93,927.89,931.84,24021,86,0
2024-11-29,933.97,952.69,932.29,947.79,27980,86,0
2024-12-02,948.52,949.8,937.49,945.84,38946,86,0
2024-12-03,945.04,960.49,941.08,951.76,25985,87,0
2024-12-04,952.77,954.32,931.4,939.97,39177,93,0
2024-12-05,938.94,950.11,934.22,939.19,32277,96,0
2024-12-06,937.76,947.4,927.8,931.0,30809,98,0
2024-12-09,930.93,956.65,928.58,940.88,42807,98,0
2024-12-10,938.97,945.41,932.78,940.66,36162,104,0
2024-12-11,940.52,949.05,930.4,938.74,25635,106,0
2024-12-12,939.87,951.24,930.46,932.81,45991,106,0
2024-12-13,929.39,940.31,918.14,922.98,38588,106,0
2024-12-16,920.27,945.4,918.35,938.42,25866,106,0
2024-12-17,937.66,943.72,924.51,939.4,29402,106,0
2024-12-18,938.7,942.46,919.68,919.98,32700,106,0
2024-12-19,921.68,933.16,915.78,924.27,38971,106,0
2024-12-20,923.66,934.41,916.71,925.6,41914,106,0
2024-12-23,924.47,945.78,924.47,939.2,38204,106,0
2024-12-24,933.73,945.64,933.73,940.44,24290,106,0
2024-12-26,933.07,947.2,931.06,934.6,23487,118,0
2024-12-27,934.98,941.45,916.36,922.15,39933,118,0
2024-12-30,919.6,928.9,900.02,903.12,16358,106,0
2024-12-31,902.79,917.64,899.72,904.8,16002,106,0
2025-01-02,904.99,925.36,904.53,922.05,33054,106,0
2025-01-03,919.13,941.7,919.13,934.77,17067,106,0
2025-01-06,932.57,951.17,930.73,935.87,40373,106,0
2025-01-07,935.56,956.6,933.4,947.93,45456,106,0
2025-01-08,950.69,961.05,945.77,952.71,61776,106,0
2025-01-09,958.51,963.99,948.59,958.86,35964,106,0
2025-01-10,958.56,968.9,950.81,962.86,61999,106,0
2025-01-13,959.81,969.06,952.33,953.69,53655,107,0
2025-01-14,953.38,962.35,936.89,940.3,26743,106,0
2025-01-15,938.16,948.18,932.51,940.26,38856,106,0
2025-01-16,939.99,949.37,933.14,936.78,60779,106,0
2025-01-17,934.4,948.5,932.94,943.4,35424,106,0
2025-01-20,941.61,946.43,932.42,943.7,36035,106,0
2025-01-21,942.24,950.36,935.8,945.08,48953,106,0
2025-01-22,944.87,953.94,943.03,948.91,36110,118,0
2025-01-23,949.69,952.49,938.55,943.92,61141,115,0
2025-01-24,944.28,959.82,944.26,947.67,75380,115,0
2025-01-27,950.14,952.11,937.61,946.58,79397,115,0
2025-01-28,946.78,949.83,936.4,943.34,74552,115,0
2025-01-29,941.07,954.93,938.91,947.85,76823,115,0
2025-01-30,952.74,972.94,949.64,967.19,68380,115,0
2025-01-31,969.3,986.19,966.26,981.0,96505,115,0
2025-02-03,976.16,981.16,957.9,964.35,111297,115,0
2025-02-04,965.81,977.24,958.47,966.09,88885,115,0
2025-02-05,966.26,990.29,965.13,983.32,84120,115,0
2025-02-06,983.09,994.75,977.12,986.85,64661,115,0
2025-02-07,988.06,999.87,970.74,971.34,84619,115,0
2025-02-10,975.43,994.96,968.02,986.85,78210,115,0
2025-02-11,988.45,995.04,977.26,984.6,90316,115,0
2025-02-12,988.86,1000.06,980.27,993.6,89642,115,0
2025-02-13,994.15,1005.4,988.21,998.24,83476,115,0
2025-02-14,1001.16,1009.71,975.91,975.91,86496,104,0
2025-02-17,977.78,992.09,976.91,981.08,53847,104,0
2025-02-18,980.9,988.4,975.96,983.21,78378,104,0
2025-02-19,983.17,985.88,967.72,971.98,70979,104,0
