time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11,70.44,70.73,68.11,68.3,27620,1,0
2024-11-12,68.26,69.29,67.91,68.12,26377,1,0
2024-11-13,68.1,69.0,67.08,68.19,29371,1,0
2024-11-14,68.18,69.5,68.04,68.74,27214,1,0
2024-11-15,68.64,68.8,67.0,67.16,25747,1,0
2024-11-18,66.97,69.59,66.76,69.33,24337,1,0
2024-11-19,69.25,69.94,68.69,69.51,28813,1,0
2024-11-20,69.48,70.14,68.83,69.22,21643,1,0
2024-11-21,69.23,70.55,69.04,70.31,22634,1,0
2024-11-22,70.33,71.67,69.46,71.37,25016,1,0
2024-11-25,71.5,71.58,68.89,69.22,28645,1,0
2024-11-26,69.19,70.45,68.2,69.13,26108,1,0
2024-11-27,69.06,69.5,68.31,68.91,25379,1,0
2024-11-28,68.87,69.42,68.41,69.02,13748,1,0
2024-11-29,69.0,69.81,68.01,68.27,24408,1,0
2024-12-02,68.17,69.21,67.81,68.26,25880,1,0
2024-12-03,68.28,70.33,68.01,70.06,21243,1,0
2024-12-04,70.04,70.61,68.59,68.78,24508,1,0
2024-12-05,68.79,69.24,68.07,68.49,26284,1,0
2024-12-06,68.5,68.58,67.07,67.22,21395,1,0
2024-12-09,67.25,68.95,67.14,68.21,19622,1,0
2024-12-10,68.21,69.11,67.77,68.52,19755,1,0
2024-12-11,68.53,70.57,68.49,70.41,20487,1,0
2024-12-12,70.46,70.75,69.18,70.04,22412,1,0
2024-12-13,70.06,71.45,69.91,71.09,19015,1,0
2024-12-16,71.1,71.21,70.38,70.65,19702,1,0
2024-12-17,70.64,70.94,69.24,70.21,18535,1,0
2024-12-18,70.21,71.19,69.79,69.86,17626,1,0
2024-12-19,69.92,70.97,69.5,69.62,21613,1,0
2024-12-20,69.61,70.23,68.83,69.93,18655,1,0
2024-12-23,69.77,70.28,68.94,69.91,16792,1,0
2024-12-24,69.83,70.75,69.7,70.5,13379,1,0
2024-12-26,70.52,71.05,69.64,69.97,12516,1,0
2024-12-27,69.92,71.04,69.73,70.53,16083,1,0
2024-12-30,70.47,71.82,70.39,71.41,17527,1,0
2024-12-31,71.38,72.26,71.12,72.11,15394,1,0
2025-01-02,72.02,73.95,72.02,73.34,21984,1,0
2025-01-03,73.3,74.56,72.93,74.25,17383,1,0
2025-01-06,74.24,75.16,73.37,73.6,22954,1,0
2025-01-07,73.55,74.69,73.28,74.59,20717,1,0
2025-01-08,74.69,75.45,73.31,73.46,24547,1,0
2025-01-09,73.4,74.45,72.98,74.44,17943,1,0
2025-01-10,74.37,77.95,74.16,76.71,35076,1,0
2025-01-13,76.88,79.36,76.88,78.86,42791,1,0
2025-01-14,78.86,79.16,77.87,78.54,31153,1,0
2025-01-15,78.44,81.02,77.81,80.77,31814,1,0
