time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,91.042,91.087,90.724,90.976,1458,108,0
2024-11-11 01:00:00,90.976,91.269,90.976,91.199,2659,2,0
2024-11-11 02:00:00,91.199,91.353,91.173,91.35,5362,2,0
2024-11-11 03:00:00,91.35,91.429,91.33,91.426,5684,2,0
2024-11-11 04:00:00,91.425,91.595,91.379,91.586,5195,2,0
2024-11-11 05:00:00,91.586,91.675,91.57,91.674,3330,2,0
2024-11-11 06:00:00,91.675,91.769,91.647,91.741,3230,2,0
2024-11-11 07:00:00,91.741,91.84,91.678,91.687,4358,2,0
2024-11-11 08:00:00,91.688,91.725,91.616,91.648,3748,2,0
2024-11-11 09:00:00,91.648,91.677,91.477,91.648,6627,2,0
2024-11-11 10:00:00,91.65,91.741,91.612,91.673,6471,2,0
2024-11-11 11:00:00,91.673,91.795,91.593,91.713,5773,2,0
2024-11-11 12:00:00,91.713,91.78,91.652,91.706,4259,2,0
2024-11-11 13:00:00,91.705,91.794,91.671,91.776,4286,2,0
2024-11-11 14:00:00,91.776,91.808,91.739,91.748,3596,2,0
2024-11-11 15:00:00,91.749,91.765,91.577,91.592,5603,2,0
2024-11-11 16:00:00,91.592,91.676,91.533,91.642,7073,2,0
2024-11-11 17:00:00,91.645,91.707,91.622,91.673,6420,2,0
2024-11-11 18:00:00,91.674,91.715,91.639,91.668,4126,2,0
2024-11-11 19:00:00,91.668,91.723,91.657,91.682,3008,2,0
2024-11-11 20:00:00,91.669,91.669,91.542,91.646,3253,2,0
2024-11-11 21:00:00,91.646,91.658,91.608,91.625,2554,2,0
2024-11-11 22:00:00,91.627,91.649,91.572,91.594,2293,2,0
2024-11-11 23:00:00,91.594,91.669,91.57,91.665,1134,2,0
2024-11-12 00:00:00,91.644,91.686,91.468,91.638,814,32,0
2024-11-12 01:00:00,91.638,91.697,91.577,91.644,2259,2,0
2024-11-12 02:00:00,91.644,91.762,91.553,91.744,4851,2,0
2024-11-12 03:00:00,91.745,91.903,91.722,91.832,6798,2,0
2024-11-12 04:00:00,91.827,91.839,91.6,91.649,6016,2,0
2024-11-12 05:00:00,91.649,91.663,91.486,91.499,4821,2,0
2024-11-12 06:00:00,91.498,91.512,91.409,91.465,4180,2,0
2024-11-12 07:00:00,91.464,91.467,91.355,91.435,5050,2,0
2024-11-12 08:00:00,91.433,91.613,91.41,91.604,4904,2,0
2024-11-12 09:00:00,91.603,91.633,91.534,91.573,6353,2,0
2024-11-12 10:00:00,91.575,91.669,91.457,91.66,7577,2,0
2024-11-12 11:00:00,91.66,91.673,91.55,91.637,6305,2,0
2024-11-12 12:00:00,91.636,91.636,91.501,91.54,5446,2,0
2024-11-12 13:00:00,91.54,91.627,91.499,91.592,4658,2,0
2024-11-12 14:00:00,91.592,91.69,91.583,91.675,5692,2,0
2024-11-12 15:00:00,91.676,91.832,91.667,91.826,7038,2,0
2024-11-12 16:00:00,91.826,91.829,91.665,91.723,7385,2,0
2024-11-12 17:00:00,91.724,91.728,91.567,91.66,8153,2,0
2024-11-12 18:00:00,91.66,91.685,91.545,91.559,7643,2,0
2024-11-12 19:00:00,91.559,91.62,91.504,91.527,6724,2,0
2024-11-12 20:00:00,91.514,91.63,91.51,91.621,5252,2,0
2024-11-12 21:00:00,91.619,91.662,91.596,91.63,3589,2,0
2024-11-12 22:00:00,91.631,91.688,91.6,91.611,3582,2,0
2024-11-12 23:00:00,91.612,91.666,91.571,91.623,2205,2,0
2024-11-13 00:00:00,91.598,91.619,91.396,91.502,906,27,0
2024-11-13 01:00:00,91.502,91.603,91.494,91.596,1841,2,0
2024-11-13 02:00:00,91.596,91.725,91.568,91.71,5300,2,0
2024-11-13 03:00:00,91.709,91.849,91.671,91.696,7893,2,0
2024-11-13 04:00:00,91.696,91.766,91.62,91.753,4862,2,0
2024-11-13 05:00:00,91.755,91.798,91.707,91.763,3661,2,0
