time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,14.034,14.039,14.031,14.032,246,91,0
2024-11-11 01:00:00,14.032,14.117,14.032,14.11,1612,16,0
2024-11-11 02:00:00,14.109,14.146,14.107,14.145,2007,8,0
2024-11-11 03:00:00,14.145,14.155,14.133,14.151,1477,8,0
2024-11-11 04:00:00,14.151,14.173,14.148,14.17,945,8,0
2024-11-11 05:00:00,14.17,14.172,14.163,14.171,743,8,0
2024-11-11 06:00:00,14.171,14.185,14.168,14.179,725,8,0
2024-11-11 07:00:00,14.179,14.189,14.176,14.18,1025,8,0
2024-11-11 08:00:00,14.18,14.183,14.171,14.176,974,8,0
2024-11-11 09:00:00,14.176,14.178,14.139,14.145,1896,3,0
2024-11-11 10:00:00,14.145,14.164,14.131,14.153,1737,3,0
2024-11-11 11:00:00,14.153,14.161,14.113,14.139,1648,3,0
2024-11-11 12:00:00,14.139,14.162,14.133,14.14,1128,3,0
2024-11-11 13:00:00,14.14,14.159,14.121,14.149,1308,3,0
2024-11-11 14:00:00,14.149,14.157,14.131,14.131,952,3,0
2024-11-11 15:00:00,14.131,14.135,14.119,14.125,1442,3,0
2024-11-11 16:00:00,14.125,14.153,14.116,14.153,1735,3,0
2024-11-11 17:00:00,14.152,14.176,14.144,14.17,1926,3,0
2024-11-11 18:00:00,14.169,14.182,14.161,14.174,1306,3,0
2024-11-11 19:00:00,14.174,14.181,14.159,14.177,1207,4,0
2024-11-11 20:00:00,14.177,14.177,14.161,14.172,2452,4,0
2024-11-11 21:00:00,14.172,14.178,14.167,14.171,2287,4,0
2024-11-11 22:00:00,14.171,14.178,14.162,14.164,2282,4,0
2024-11-11 23:00:00,14.163,14.173,14.162,14.171,446,4,0
2024-11-12 00:00:00,14.161,14.161,14.13,14.151,263,37,0
2024-11-12 01:00:00,14.151,14.168,14.151,14.162,464,10,0
2024-11-12 02:00:00,14.162,14.186,14.156,14.181,1351,8,0
2024-11-12 03:00:00,14.181,14.198,14.18,14.186,1248,7,0
2024-11-12 04:00:00,14.185,14.187,14.155,14.159,1169,7,0
2024-11-12 05:00:00,14.159,14.159,14.133,14.134,1191,7,0
2024-11-12 06:00:00,14.133,14.137,14.124,14.129,1133,7,0
2024-11-12 07:00:00,14.129,14.129,14.108,14.125,1311,7,0
2024-11-12 08:00:00,14.125,14.143,14.12,14.132,1438,7,0
2024-11-12 09:00:00,14.132,14.149,14.115,14.147,1944,3,0
2024-11-12 10:00:00,14.148,14.148,14.105,14.139,2169,3,0
2024-11-12 11:00:00,14.139,14.16,14.125,14.147,1706,3,0
2024-11-12 12:00:00,14.147,14.147,14.122,14.136,1569,3,0
2024-11-12 13:00:00,14.136,14.161,14.134,14.147,1230,3,0
2024-11-12 14:00:00,14.147,14.179,14.138,14.176,1308,3,0
2024-11-12 15:00:00,14.176,14.213,14.173,14.205,1876,3,0
2024-11-12 16:00:00,14.205,14.208,14.15,14.155,1979,3,0
2024-11-12 17:00:00,14.155,14.155,14.119,14.142,1987,3,0
2024-11-12 18:00:00,14.142,14.158,14.137,14.15,1832,3,0
2024-11-12 19:00:00,14.15,14.17,14.145,14.162,1995,4,0
2024-11-12 20:00:00,14.162,14.182,14.161,14.177,1261,4,0
2024-11-12 21:00:00,14.177,14.191,14.177,14.186,1061,4,0
