time,open,high,low,close,tick_volume,spread,real_volume
2025-09-22 00:00:00,440.94,441.44,439.94,440.31,605,88,0
2025-09-22 12:00:00,440.44,441.69,435.19,438.44,1600,88,0
2025-09-23 00:00:00,437.69,438.19,435.19,436.56,637,88,0
2025-09-23 12:00:00,436.69,442.94,435.94,442.06,1475,88,0
2025-09-24 00:00:00,441.81,443.44,441.06,441.94,637,88,0
2025-09-24 12:00:00,441.94,443.69,440.19,440.44,1343,88,0
2025-09-25 00:00:00,440.44,442.69,440.19,441.94,581,88,0
2025-09-25 12:00:00,441.94,444.69,440.44,441.19,1505,88,0
2025-09-29 00:00:00,437.44,438.69,436.69,436.94,718,88,0
2025-09-29 12:00:00,436.94,438.94,435.44,437.94,1359,88,0
2025-09-30 00:00:00,437.81,437.94,436.06,436.94,514,88,0
2025-09-30 12:00:00,436.81,436.81,430.44,431.56,1802,88,0
2025-10-01 00:00:00,431.44,431.69,428.69,429.44,543,88,0
2025-10-01 12:00:00,429.44,435.44,426.69,433.94,1663,88,0
2025-10-02 00:00:00,433.06,434.94,432.81,433.94,700,88,0
2025-10-02 12:00:00,433.94,438.19,430.94,437.06,1896,88,0
2025-10-06 00:00:00,435.19,436.44,434.19,435.44,771,88,0
2025-10-06 12:00:00,435.44,438.19,433.69,437.69,1663,88,0
2025-10-07 00:00:00,437.31,438.19,435.69,437.44,557,88,0
2025-10-07 12:00:00,437.31,439.44,434.94,434.94,1607,88,0
2025-10-08 00:00:00,434.94,435.44,434.19,434.69,563,88,0
2025-10-08 12:00:00,434.56,437.94,434.44,437.19,1681,88,0
2025-10-09 00:00:00,437.19,437.94,436.19,436.94,757,88,0
2025-10-09 12:00:00,436.94,437.81,433.19,433.69,1572,88,0
2025-10-13 00:00:00,428.06,429.94,427.69,428.31,683,88,0
2025-10-13 12:00:00,428.19,429.19,426.44,426.69,1116,88,0
2025-10-14 00:00:00,426.94,427.19,426.44,426.44,547,88,0
2025-10-14 12:00:00,426.44,429.44,425.19,428.81,1252,88,0
2025-10-15 00:00:00,428.69,428.69,427.19,427.94,588,88,0
2025-10-15 12:00:00,427.69,433.69,426.69,432.19,1813,88,0
2025-10-16 00:00:00,431.69,432.69,431.44,432.19,511,88,0
2025-10-16 12:00:00,432.19,437.19,431.44,435.44,1654,88,0
2025-10-20 00:00:00,435.94,437.69,435.44,437.44,744,88,0
2025-10-20 12:00:00,437.44,437.69,433.94,437.06,1388,88,0
2025-10-21 00:00:00,436.69,437.94,436.19,437.19,579,88,0
2025-10-21 12:00:00,437.19,437.69,432.44,433.44,1119,88,0
2025-10-22 00:00:00,433.19,434.44,432.19,434.19,627,88,0
2025-10-22 12:00:00,434.19,436.19,432.94,436.19,1510,88,0
2025-10-23 00:00:00,435.44,437.69,435.44,437.19,437,88,0
2025-10-23 12:00:00,437.19,441.19,433.94,440.44,1301,88,0
2025-10-27 00:00:00,439.81,443.94,439.81,443.19,916,88,0
2025-10-27 12:00:00,443.19,446.44,440.94,443.19,1593,88,0
2025-10-28 00:00:00,442.94,447.19,442.44,446.94,761,88,0
2025-10-28 12:00:00,446.94,450.19,442.69,445.19,2302,88,0
2025-10-29 00:00:00,444.81,444.81,442.94,443.69,850,88,0
2025-10-29 12:00:00,443.69,447.19,442.69,446.94,1799,88,0
2025-10-30 00:00:00,446.19,448.81,440.44,442.44,2134,88,0
2025-10-30 12:00:00,442.44,448.44,440.19,442.69,2914,88,0
2025-11-03 00:00:00,442.94,446.44,442.94,444.94,884,88,0
2025-11-03 12:00:00,444.94,446.94,440.19,446.94,1874,88,0
2025-11-04 00:00:00,446.06,446.69,444.44,445.31,811,88,0
2025-11-04 12:00:00,445.19,445.44,441.94,443.69,1567,88,0
2025-11-05 00:00:00,443.69,445.69,442.19,445.44,867,88,0
2025-11-05 12:00:00,445.44,449.44,443.69,448.81,1228,88,0
2025-11-06 00:00:00,448.19,448.44,446.69,447.44,523,88,0
2025-11-06 12:00:00,447.44,447.94,442.19,442.56,1207,88,0
2025-11-10 00:00:00,441.31,444.19,441.19,443.94,554,88,0
2025-11-10 12:00:00,443.69,444.19,440.69,442.69,704,88,0
