time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,39153.55,39688.75,39102.3,39583.75,28850,300,0
2024-11-11 12:00:00,39583.75,39804.8,39533.75,39617.3,33018,460,0
2024-11-12 00:00:00,39617.3,39865.01,39125.01,39431.71,35347,300,0
2024-11-12 12:00:00,39432.96,39520.26,38980.26,39202.76,46587,460,0
2024-11-13 00:00:00,39202.76,39381.71,38579.66,38908.41,34087,300,0
2024-11-13 12:00:00,38908.41,38976.96,38479.46,38943.21,53475,460,0
2024-11-14 00:00:00,38943.21,39090.91,38492.61,38815.11,31849,300,0
2024-11-14 12:00:00,38815.11,39034.91,38752.61,38889.91,50191,460,0
2024-11-15 00:00:00,38889.91,39116.37,38424.32,38518.07,34870,300,0
2024-11-15 12:00:00,38516.82,38618.07,37756.62,37987.87,58516,460,0
2024-11-18 00:00:00,37978.03,38557.78,37941.78,38214.48,39986,300,0
2024-11-18 12:00:00,38214.48,38524.28,38129.28,38353.03,48644,460,0
2024-11-19 00:00:00,38353.03,38568.24,37782.44,37891.19,43616,300,0
2024-11-19 12:00:00,37889.94,38372.24,37695.99,38232.24,67000,460,0
2024-11-20 00:00:00,38232.24,38528.69,38178.69,38377.89,29443,300,0
2024-11-20 12:00:00,38380.39,38410.19,37842.69,38343.94,51277,460,0
2024-11-21 00:00:00,38345.19,38366.64,37692.09,37835.84,40892,300,0
2024-11-21 12:00:00,37830.84,38326.89,37794.59,38203.14,64802,460,0
2024-11-22 00:00:00,38203.14,38510.84,38041.29,38163.79,39447,300,0
2024-11-22 12:00:00,38166.29,38633.59,38033.79,38611.09,56959,460,0
2024-11-25 00:00:00,38672.53,39066.03,38588.98,38722.73,28814,300,0
2024-11-25 12:00:00,38722.73,38882.53,38622.53,38853.78,50547,460,0
2024-11-26 00:00:00,38853.78,38890.23,38015.23,38405.68,45628,300,0
2024-11-26 12:00:00,38404.43,38510.68,38250.48,38320.48,48037,460,0
2024-11-27 00:00:00,38320.48,38430.68,37881.13,37948.63,33393,300,0
2024-11-27 12:00:00,37949.88,38115.93,37630.93,37795.93,43224,460,0
2024-11-28 00:00:00,37795.93,38482.38,37782.63,38414.08,28914,300,0
2024-11-28 12:00:00,38414.08,38429.08,38273.88,38292.63,13039,460,0
2024-11-29 00:00:00,38339.33,38339.33,37977.83,38109.53,36697,300,0
2024-11-29 12:00:00,38108.28,38449.33,37994.33,38284.33,29605,460,0
2024-12-02 00:00:00,38255.8,38554.3,37949.3,38501.0,34263,300,0
2024-12-02 12:00:00,38501.0,38705.8,38461.0,38613.3,42244,460,0
2024-12-03 00:00:00,38613.3,39424.74,38589.74,39237.69,30107,300,0
2024-12-03 12:00:00,39238.94,39288.74,38843.74,39253.74,43029,460,0
2024-12-04 00:00:00,39253.74,39604.38,39030.18,39554.38,27737,300,0
2024-12-04 12:00:00,39554.38,39766.68,39431.68,39697.93,33508,460,0
2024-12-05 00:00:00,39697.93,39733.11,39318.11,39502.31,26276,300,0
