time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 04:00:00,73.16,73.28,72.96,73.05,188,21,0
2024-11-11 06:00:00,73.05,73.08,73.0,73.06,84,21,0
2024-11-11 08:00:00,73.06,73.26,73.0,73.2,195,21,0
2024-11-11 10:00:00,73.2,73.31,73.2,73.28,189,21,0
2024-11-11 12:00:00,73.28,73.32,73.06,73.06,218,21,0
2024-11-11 14:00:00,73.06,73.1,72.32,72.45,631,21,0
2024-11-11 16:00:00,72.46,72.8,72.32,72.35,775,21,0
2024-11-11 18:00:00,72.35,72.4,72.16,72.25,573,21,0
2024-11-11 20:00:00,72.26,72.29,72.06,72.26,409,21,0
2024-11-12 04:00:00,72.3,72.41,72.02,72.1,267,21,0
2024-11-12 06:00:00,72.1,72.14,71.91,72.02,186,21,0
2024-11-12 08:00:00,72.02,72.1,71.95,72.08,260,21,0
2024-11-12 10:00:00,72.07,72.14,71.98,72.1,310,21,0
2024-11-12 12:00:00,72.1,72.15,72.0,72.1,343,21,0
2024-11-12 14:00:00,72.12,72.15,71.82,71.84,650,21,0
2024-11-12 16:00:00,71.85,71.9,71.24,71.28,1055,21,0
2024-11-12 18:00:00,71.26,71.47,71.01,71.09,663,21,0
2024-11-12 20:00:00,71.09,71.16,70.95,71.05,462,21,0
2024-11-13 04:00:00,70.97,71.11,70.96,70.96,237,21,0
2024-11-13 06:00:00,70.97,70.98,70.77,70.93,174,21,0
2024-11-13 08:00:00,70.93,70.98,70.83,70.88,270,21,0
2024-11-13 10:00:00,70.88,71.07,70.83,70.96,283,21,0
2024-11-13 12:00:00,70.97,71.03,70.83,70.9,314,21,0
2024-11-13 14:00:00,70.93,71.01,70.57,70.67,659,21,0
2024-11-13 16:00:00,70.67,70.71,70.13,70.21,855,21,0
2024-11-13 18:00:00,70.2,70.95,70.17,70.88,860,21,0
2024-11-13 20:00:00,70.88,71.12,70.8,70.93,556,21,0
2024-11-14 04:00:00,70.95,71.13,70.82,70.96,259,21,0
2024-11-14 06:00:00,70.97,71.11,70.97,71.03,121,21,0
2024-11-14 08:00:00,71.02,71.33,70.97,71.22,300,21,0
2024-11-14 10:00:00,71.22,71.45,71.17,71.4,295,21,0
2024-11-14 12:00:00,71.4,71.59,71.36,71.53,320,21,0
2024-11-14 14:00:00,71.54,71.74,71.09,71.1,784,21,0
2024-11-14 16:00:00,71.1,71.16,70.61,70.94,922,21,0
2024-11-14 18:00:00,70.94,71.09,70.59,70.61,702,21,0
2024-11-14 20:00:00,70.61,70.65,70.41,70.5,456,21,0
2024-11-15 04:00:00,70.46,70.53,70.23,70.27,258,21,0
2024-11-15 06:00:00,70.27,70.34,69.92,69.95,247,21,0
2024-11-15 08:00:00,69.93,69.97,69.85,69.85,277,21,0
2024-11-15 10:00:00,69.85,69.92,69.72,69.75,322,21,0
2024-11-15 12:00:00,69.75,69.78,69.42,69.74,426,21,0
2024-11-15 14:00:00,69.76,69.79,69.55,69.73,669,21,0
2024-11-15 16:00:00,69.73,69.76,68.86,68.89,1045,21,0
2024-11-15 18:00:00,68.89,69.09,68.73,68.75,806,21,0
2024-11-15 20:00:00,68.76,69.01,68.73,68.82,607,21,0
2024-11-18 04:00:00,68.96,69.07,68.82,69.01,299,21,0
2024-11-18 06:00:00,69.01,69.01,68.78,68.83,143,21,0
2024-11-18 08:00:00,68.83,68.98,68.79,68.89,256,21,0
2024-11-18 10:00:00,68.9,68.97,68.79,68.9,297,21,0
2024-11-18 12:00:00,68.88,68.9,68.76,68.78,269,21,0
2024-11-18 14:00:00,68.78,69.08,68.71,69.03,524,21,0
2024-11-18 16:00:00,69.03,69.18,68.8,69.03,987,21,0
2024-11-18 18:00:00,69.04,69.17,68.79,68.86,635,21,0
2024-11-18 20:00:00,68.86,69.09,68.83,68.86,510,21,0
2024-11-19 04:00:00,68.87,68.91,68.59,68.81,240,21,0
2024-11-19 06:00:00,68.82,68.87,68.75,68.81,113,21,0
2024-11-19 08:00:00,68.81,68.97,68.72,68.78,225,21,0
2024-11-19 10:00:00,68.78,68.83,68.59,68.66,322,21,0
2024-11-19 12:00:00,68.66,68.66,68.51,68.54,223,21,0
2024-11-19 14:00:00,68.54,68.66,68.3,68.61,676,21,0
2024-11-19 16:00:00,68.61,69.27,68.41,69.02,1017,21,0
2024-11-19 18:00:00,69.02,69.31,68.83,69.06,841,21,0
2024-11-19 20:00:00,69.05,69.26,69.0,69.24,514,21,0
2024-11-20 04:00:00,69.06,69.47,68.99,69.18,284,21,0
2024-11-20 06:00:00,69.17,69.2,69.07,69.2,85,21,0
2024-11-20 08:00:00,69.2,69.39,69.2,69.3,216,21,0
2024-11-20 10:00:00,69.3,69.59,69.25,69.5,303,21,0
2024-11-20 12:00:00,69.5,69.58,69.4,69.46,294,21,0
2024-11-20 14:00:00,69.46,69.87,69.29,69.52,603,21,0
2024-11-20 16:00:00,69.52,70.15,69.22,70.11,954,21,0
2024-11-20 18:00:00,70.09,70.26,69.98,70.25,658,21,0
2024-11-20 20:00:00,70.23,70.38,70.01,70.33,530,21,0
2024-11-21 04:00:00,70.21,70.33,70.0,70.28,308,21,0
2024-11-21 06:00:00,70.27,70.57,70.25,70.38,174,21,0
2024-11-21 08:00:00,70.38,70.58,70.22,70.55,259,21,0
2024-11-21 10:00:00,70.55,70.76,70.41,70.71,258,21,0
2024-11-21 12:00:00,70.73,70.78,70.47,70.51,295,21,0
2024-11-21 14:00:00,70.5,70.69,70.11,70.32,578,21,0
2024-11-21 16:00:00,70.32,70.45,69.8,70.45,928,21,0
2024-11-21 18:00:00,70.45,70.72,70.32,70.54,775,21,0
2024-11-21 20:00:00,70.54,70.62,70.26,70.3,481,21,0
2024-11-22 04:00:00,70.24,70.27,70.02,70.03,224,21,0
2024-11-22 06:00:00,70.04,70.14,70.01,70.06,106,21,0
2024-11-22 08:00:00,70.06,70.33,70.02,70.26,237,21,0
2024-11-22 10:00:00,70.26,70.35,69.66,69.77,361,21,0
2024-11-22 12:00:00,69.77,69.86,69.62,69.82,273,21,0
2024-11-22 14:00:00,69.82,70.48,69.81,70.37,588,21,0
2024-11-22 16:00:00,70.37,71.01,70.31,70.89,737,21,0
2024-11-22 18:00:00,70.89,70.94,70.56,70.7,515,21,0
2024-11-22 20:00:00,70.7,70.77,70.61,70.66,366,21,0
2024-11-25 04:00:00,70.66,71.28,70.66,71.21,323,21,0
2024-11-25 06:00:00,71.22,71.23,71.08,71.12,134,21,0
2024-11-25 08:00:00,71.12,71.28,71.07,71.15,240,21,0
2024-11-25 10:00:00,71.16,71.39,71.14,71.31,296,21,0
2024-11-25 12:00:00,71.31,71.66,71.29,71.43,333,21,0
2024-11-25 14:00:00,71.44,71.64,71.17,71.55,646,21,0
2024-11-25 16:00:00,71.53,71.88,71.3,71.63,831,21,0
2024-11-25 18:00:00,71.64,71.81,71.53,71.72,602,21,0
2024-11-25 20:00:00,71.73,71.74,71.51,71.57,404,21,0
2024-11-26 04:00:00,71.55,71.55,71.02,71.31,318,21,0
2024-11-26 06:00:00,71.32,71.35,71.28,71.34,95,21,0
2024-11-26 08:00:00,71.33,71.41,71.22,71.38,195,21,0
2024-11-26 10:00:00,71.38,71.38,71.03,71.17,364,21,0
2024-11-26 12:00:00,71.18,71.19,71.0,71.16,329,21,0
2024-11-26 14:00:00,71.16,71.39,71.09,71.17,504,21,0
2024-11-26 16:00:00,71.17,71.57,70.99,71.43,749,21,0
2024-11-26 18:00:00,71.45,71.62,71.22,71.38,694,21,0
2024-11-26 20:00:00,71.39,71.66,71.33,71.56,468,21,0
2024-11-27 04:00:00,71.46,71.76,71.3,71.52,248,21,0
2024-11-27 06:00:00,71.52,71.54,71.42,71.5,112,21,0
2024-11-27 08:00:00,71.49,71.6,71.37,71.58,193,21,0
2024-11-27 10:00:00,71.58,71.78,71.43,71.77,250,21,0
2024-11-27 12:00:00,71.76,71.78,71.59,71.66,220,21,0
2024-11-27 14:00:00,71.67,71.79,71.55,71.7,407,21,0
2024-11-27 16:00:00,71.69,71.79,71.28,71.52,712,21,0
2024-11-27 18:00:00,71.52,71.73,71.46,71.72,614,21,0
2024-11-27 20:00:00,71.72,71.86,71.51,71.57,406,21,0
2024-11-29 16:00:00,71.7,71.96,71.62,71.91,564,21,0
2024-11-29 18:00:00,71.91,72.04,71.75,71.93,745,21,0
2024-11-29 20:00:00,71.92,71.93,71.78,71.87,188,21,0
2024-12-02 04:00:00,71.79,71.95,71.72,71.84,258,21,0
2024-12-02 06:00:00,71.84,71.87,71.61,71.72,155,21,0
2024-12-02 08:00:00,71.72,71.76,71.4,71.46,273,21,0
2024-12-02 10:00:00,71.46,71.46,71.04,71.26,456,21,0
2024-12-02 12:00:00,71.25,71.25,70.95,71.05,371,21,0
2024-12-02 14:00:00,71.04,71.09,70.51,70.83,632,21,0
2024-12-02 16:00:00,70.83,71.5,70.31,71.23,995,21,0
2024-12-02 18:00:00,71.22,71.45,70.98,71.44,770,21,0
2024-12-02 20:00:00,71.44,71.49,71.17,71.37,623,21,0
2024-12-03 04:00:00,71.31,71.31,70.91,71.05,211,21,0
2024-12-03 06:00:00,71.06,71.07,70.78,70.95,187,21,0
2024-12-03 08:00:00,70.95,71.16,70.91,71.14,216,21,0
2024-12-03 10:00:00,71.13,71.6,71.13,71.5,280,21,0
2024-12-03 12:00:00,71.5,71.51,71.32,71.42,262,21,0
2024-12-03 14:00:00,71.42,71.49,71.03,71.17,475,21,0
2024-12-03 16:00:00,71.19,71.49,70.97,71.21,928,21,0
2024-12-03 18:00:00,71.21,71.56,71.17,71.43,599,21,0
2024-12-03 20:00:00,71.43,71.48,71.03,71.11,459,21,0
2024-12-04 04:00:00,71.06,71.06,70.81,70.81,182,21,0
2024-12-04 06:00:00,70.81,70.96,70.8,70.91,108,21,0
2024-12-04 08:00:00,70.93,71.09,70.87,71.09,203,21,0
2024-12-04 10:00:00,71.09,71.11,70.78,70.92,289,21,0
2024-12-04 12:00:00,70.9,71.06,70.87,71.03,198,21,0
2024-12-04 14:00:00,71.02,71.16,70.88,71.07,332,21,0
2024-12-04 16:00:00,71.04,71.74,70.9,71.39,772,21,0
2024-12-04 18:00:00,71.39,71.46,71.21,71.22,545,21,0
2024-12-04 20:00:00,71.23,71.3,71.07,71.15,362,21,0
2024-12-05 04:00:00,71.13,71.32,71.07,71.28,131,21,0
2024-12-05 06:00:00,71.28,71.28,71.18,71.27,95,21,0
2024-12-05 08:00:00,71.27,71.32,71.23,71.3,167,21,0
2024-12-05 10:00:00,71.31,71.81,71.27,71.76,312,21,0
2024-12-05 12:00:00,71.75,71.81,71.58,71.66,312,21,0
2024-12-05 14:00:00,71.65,71.7,71.17,71.27,516,21,0
2024-12-05 16:00:00,71.27,71.54,71.06,71.11,767,21,0
2024-12-05 18:00:00,71.12,71.21,70.93,70.96,514,21,0
2024-12-05 20:00:00,70.97,71.1,70.95,71.0,393,21,0
2024-12-06 04:00:00,71.01,71.04,70.66,70.73,248,21,0
2024-12-06 06:00:00,70.72,70.74,70.6,70.67,129,21,0
2024-12-06 08:00:00,70.66,70.84,70.5,70.57,245,21,0
2024-12-06 10:00:00,70.57,70.62,70.49,70.58,204,21,0
2024-12-06 12:00:00,70.58,70.77,70.52,70.63,229,21,0
2024-12-06 14:00:00,70.64,70.68,70.33,70.35,439,21,0
2024-12-06 16:00:00,70.35,70.49,70.19,70.22,764,21,0
2024-12-06 18:00:00,70.22,70.26,70.0,70.01,610,21,0
2024-12-06 20:00:00,70.01,70.19,69.96,69.99,482,21,0
2024-12-09 04:00:00,69.9,69.9,69.66,69.71,271,21,0
2024-12-09 06:00:00,69.71,69.73,69.65,69.69,153,21,0
2024-12-09 08:00:00,69.69,69.89,69.66,69.87,245,21,0
2024-12-09 10:00:00,69.87,70.03,69.77,69.99,301,21,0
2024-12-09 12:00:00,69.99,70.39,69.97,70.33,344,21,0
2024-12-09 14:00:00,70.34,70.64,70.3,70.35,686,21,0
2024-12-09 16:00:00,70.36,70.64,70.14,70.15,786,21,0
2024-12-09 18:00:00,70.15,70.2,69.93,69.96,576,21,0
2024-12-09 20:00:00,69.95,70.05,69.81,69.84,380,21,0
2024-12-10 04:00:00,69.87,70.04,69.77,69.83,253,21,0
2024-12-10 06:00:00,69.85,69.96,69.81,69.93,143,21,0
2024-12-10 08:00:00,69.94,69.94,69.78,69.78,204,21,0
2024-12-10 10:00:00,69.78,69.82,69.52,69.54,261,21,0
