time,open,high,low,close,tick_volume,spread,real_volume
2025-09-22 00:00:00,9.12525,9.13384,9.1174,9.12822,1963,14,0
2025-09-22 02:00:00,9.12818,9.12888,9.11405,9.11931,4687,14,0
2025-09-22 04:00:00,9.11931,9.12414,9.10892,9.11114,7297,14,0
2025-09-22 06:00:00,9.11114,9.11623,9.10903,9.11195,4289,14,0
2025-09-22 08:00:00,9.11195,9.12513,9.11128,9.12087,5778,8,0
2025-09-22 10:00:00,9.12103,9.14452,9.11806,9.13992,9865,8,0
2025-09-22 12:00:00,9.13992,9.15843,9.13884,9.14952,6443,8,0
2025-09-22 14:00:00,9.14952,9.1595,9.14569,9.15652,8325,9,0
2025-09-22 16:00:00,9.15683,9.15973,9.14007,9.14348,9820,9,0
2025-09-22 18:00:00,9.14348,9.16043,9.14047,9.15893,6468,9,0
2025-09-22 20:00:00,9.15893,9.16706,9.15706,9.16483,4092,13,0
2025-09-22 22:00:00,9.16483,9.17102,9.16416,9.16939,3899,13,0
2025-09-23 00:00:00,9.17017,9.17133,9.1606,9.16907,2674,18,0
2025-09-23 02:00:00,9.16923,9.17482,9.16562,9.17335,3048,15,0
2025-09-23 04:00:00,9.17335,9.18683,9.171,9.17512,6093,14,0
2025-09-23 06:00:00,9.17512,9.1786,9.16971,9.17133,4138,14,0
2025-09-23 08:00:00,9.17133,9.17764,9.16631,9.16909,6599,8,0
2025-09-23 10:00:00,9.16909,9.17619,9.15541,9.17486,12655,8,0
2025-09-23 12:00:00,9.17483,9.18202,9.16771,9.1713,7877,8,0
2025-09-23 14:00:00,9.1713,9.17414,9.16302,9.17288,7102,9,0
2025-09-23 16:00:00,9.17288,9.17946,9.16295,9.17099,12294,9,0
2025-09-23 18:00:00,9.17099,9.18333,9.1669,9.17999,7690,9,0
2025-09-23 20:00:00,9.17999,9.1892,9.17828,9.18367,6440,13,0
2025-09-23 22:00:00,9.18367,9.19002,9.18117,9.186209999999999,3883,13,0
2025-09-24 00:00:00,9.18688,9.19057,9.18302,9.18656,3753,15,0
2025-09-24 02:00:00,9.18665,9.18881,9.17583,9.17632,4229,14,0
2025-09-24 04:00:00,9.17625,9.17799,9.17069,9.17158,6066,14,0
2025-09-24 06:00:00,9.17158,9.17937,9.17007,9.17834,4050,14,0
2025-09-24 08:00:00,9.17834,9.1799,9.16456,9.16567,5927,8,0
2025-09-24 10:00:00,9.16567,9.17236,9.15101,9.15563,8733,8,0
2025-09-24 12:00:00,9.15563,9.15826,9.13882,9.13962,6088,8,0
2025-09-24 14:00:00,9.13962,9.14363,9.13029,9.13372,9343,9,0
2025-09-24 16:00:00,9.13372,9.13556,9.12171,9.13392,15341,9,0
2025-09-24 18:00:00,9.13384,9.13614,9.12436,9.126290000000001,9032,9,0
2025-09-24 20:00:00,9.12637,9.13241,9.12562,9.12924,4637,13,0
2025-09-24 22:00:00,9.12924,9.13154,9.12581,9.13006,3865,13,0
2025-09-25 00:00:00,9.13004,9.13607,9.12829,9.13559,1479,14,0
2025-09-25 02:00:00,9.13559,9.1378,9.13195,9.13721,3756,14,0
2025-09-25 04:00:00,9.13713,9.14046,9.13299,9.13822,5921,14,0
2025-09-25 06:00:00,9.13822,9.14023,9.13081,9.13823,3944,14,0
2025-09-25 08:00:00,9.13823,9.13871,9.12737,9.13344,5854,8,0
2025-09-25 10:00:00,9.13344,9.13653,9.12292,9.1334,9169,8,0
2025-09-25 12:00:00,9.13348,9.14188,9.12971,9.13586,7241,8,0
2025-09-25 14:00:00,9.13585,9.13597,9.09083,9.09979,14415,9,0
2025-09-25 16:00:00,9.09979,9.10958,9.08132,9.08398,15388,9,0
2025-09-25 18:00:00,9.08398,9.09045,9.07631,9.08198,9833,9,0
2025-09-25 20:00:00,9.08198,9.0835,9.06325,9.06922,7171,12,0
2025-09-25 22:00:00,9.06922,9.08224,9.06874,9.07926,4338,12,0
2025-09-26 00:00:00,9.07859,9.08131,9.06956,9.08076,5415,15,0
2025-09-26 02:00:00,9.08085,9.0828,9.07291,9.0828,4192,14,0
2025-09-26 04:00:00,9.0828,9.08923,9.08041,9.08722,5647,14,0
2025-09-26 06:00:00,9.08722,9.08928,9.08339,9.08766,3551,14,0
2025-09-26 08:00:00,9.08766,9.08929,9.07964,9.08585,6997,8,0
2025-09-26 10:00:00,9.08585,9.09293,9.07825,9.08715,8647,8,0
2025-09-26 12:00:00,9.08715,9.09117,9.07229,9.07357,6846,8,0
2025-09-26 14:00:00,9.07357,9.09276,9.073,9.09047,9778,9,0
2025-09-26 16:00:00,9.09031,9.10696,9.08633,9.09646,13691,9,0
2025-09-26 18:00:00,9.09646,9.10276,9.09227,9.09703,7780,9,0
2025-09-26 20:00:00,9.09695,9.10592,9.09517,9.10446,5207,13,0
2025-09-26 22:00:00,9.10446,9.10721,9.10007,9.10148,4412,13,0
2025-09-29 00:00:00,9.10035,9.10885,9.09644,9.10641,5232,28,0
2025-09-29 02:00:00,9.10633,9.12174,9.10593,9.12038,3459,15,0
2025-09-29 04:00:00,9.12038,9.12558,9.11529,9.1239,5419,15,0
2025-09-29 06:00:00,9.1239,9.1294,9.12129,9.12464,3094,14,0
2025-09-29 08:00:00,9.12464,9.12954,9.11715,9.11859,5940,9,0
2025-09-29 10:00:00,9.11851,9.12813,9.10824,9.1224,7745,8,0
2025-09-29 12:00:00,9.12232,9.12444,9.118,9.12106,6405,9,0
2025-09-29 14:00:00,9.12106,9.14324,9.11209,9.14235,9295,10,0
2025-09-29 16:00:00,9.14226,9.14654,9.12895,9.12969,11141,9,0
2025-09-29 18:00:00,9.12969,9.1328,9.1238,9.12875,6783,10,0
2025-09-29 20:00:00,9.12875,9.13195,9.12173,9.13079,4198,14,0
2025-09-29 22:00:00,9.13079,9.13079,9.12512,9.12797,3160,14,0
2025-09-30 00:00:00,9.12686,9.12895,9.11591,9.128730000000001,2232,17,0
2025-09-30 02:00:00,9.128730000000001,9.13206,9.11612,9.12257,4742,15,0
2025-09-30 04:00:00,9.12257,9.12746,9.11596,9.12301,5418,14,0
2025-09-30 06:00:00,9.12301,9.12632,9.11818,9.12632,4257,14,0
2025-09-30 08:00:00,9.12632,9.13836,9.1258,9.13281,6632,8,0
2025-09-30 10:00:00,9.13266,9.15089,9.13189,9.14712,9846,8,0
2025-09-30 12:00:00,9.14712,9.14915,9.13489,9.13897,6564,8,0
2025-09-30 14:00:00,9.13897,9.14203,9.13038,9.13352,6978,10,0
2025-09-30 16:00:00,9.13353,9.14404,9.11736,9.14234,13365,10,0
2025-09-30 18:00:00,9.14229,9.14971,9.12388,9.14802,9783,10,0
2025-09-30 20:00:00,9.14802,9.15182,9.13273,9.13701,5923,13,0
2025-09-30 22:00:00,9.13701,9.13718,9.13141,9.13198,4099,14,0
2025-10-01 00:00:00,9.13187,9.13805,9.12954,9.13209,2291,14,0
2025-10-01 02:00:00,9.13209,9.13841,9.12871,9.13265,4091,14,0
2025-10-01 04:00:00,9.13265,9.1374,9.12848,9.1344,4408,14,0
2025-10-01 06:00:00,9.1344,9.14998,9.13133,9.14982,4143,14,0
2025-10-01 08:00:00,9.14982,9.16385,9.14417,9.15841,7668,8,0
2025-10-01 10:00:00,9.15826,9.16684,9.13795,9.14328,12722,8,0
2025-10-01 12:00:00,9.14343,9.14654,9.11735,9.12471,8550,8,0
2025-10-01 14:00:00,9.12479,9.15831,9.1224,9.14269,13772,9,0
2025-10-01 16:00:00,9.14277,9.15381,9.12857,9.14107,15404,9,0
2025-10-01 18:00:00,9.14107,9.14296,9.11666,9.12231,9566,9,0
2025-10-01 20:00:00,9.12246,9.13712,9.12138,9.13162,5291,12,0
2025-10-01 22:00:00,9.13162,9.13345,9.12484,9.12783,3641,12,0
2025-10-02 00:00:00,9.12395,9.1335,9.12374,9.1305,3870,14,0
2025-10-02 02:00:00,9.1305,9.13285,9.12257,9.1265,3030,14,0
2025-10-02 04:00:00,9.1265,9.13705,9.12181,9.1319,4271,14,0
2025-10-02 06:00:00,9.1319,9.13343,9.1264,9.12963,2428,14,0
2025-10-02 08:00:00,9.12963,9.13813,9.12617,9.136,5459,8,0
2025-10-02 10:00:00,9.136,9.14685,9.13442,9.14469,7434,8,0
2025-10-02 12:00:00,9.14469,9.14847,9.13936,9.14367,6429,8,0
2025-10-02 14:00:00,9.14367,9.1492,9.13102,9.13356,7507,9,0
2025-10-02 16:00:00,9.13364,9.13838,9.10922,9.11591,12612,9,0
2025-10-02 18:00:00,9.11568,9.11751,9.09344,9.11743,8426,9,0
2025-10-02 20:00:00,9.11743,9.12281,9.11508,9.12163,4356,12,0
2025-10-02 22:00:00,9.12163,9.12613,9.11697,9.11822,3544,13,0
2025-10-03 00:00:00,9.1173,9.12248,9.11458,9.12086,1768,17,0
2025-10-03 02:00:00,9.12086,9.12684,9.12048,9.12417,2813,15,0
2025-10-03 04:00:00,9.12424,9.12895,9.11855,9.12393,4992,14,0
2025-10-03 06:00:00,9.12393,9.12736,9.11881,9.11902,2757,14,0
2025-10-03 08:00:00,9.11902,9.12653,9.11568,9.12015,4820,8,0
2025-10-03 10:00:00,9.12023,9.13958,9.12023,9.13622,6865,8,0
2025-10-03 12:00:00,9.13606,9.13656,9.12913,9.13372,4722,8,0
2025-10-03 14:00:00,9.13372,9.1393,9.12684,9.13607,6794,9,0
2025-10-03 16:00:00,9.13607,9.15097,9.13072,9.13579,12662,9,0
2025-10-03 18:00:00,9.13579,9.14185,9.13251,9.13451,5762,10,0
2025-10-03 20:00:00,9.13451,9.13632,9.12482,9.13475,4006,14,0
2025-10-03 22:00:00,9.13451,9.13823,9.13267,9.136,3040,14,0
2025-10-06 00:00:00,9.11504,9.12524,9.11023,9.11702,4220,19,0
2025-10-06 02:00:00,9.11702,9.11975,9.10928,9.11862,7733,14,0
2025-10-06 04:00:00,9.11862,9.12892,9.11348,9.12487,5056,14,0
2025-10-06 06:00:00,9.12487,9.12755,9.11981,9.12105,4103,14,0
2025-10-06 08:00:00,9.12105,9.12534,9.09747,9.10026,6108,8,0
2025-10-06 10:00:00,9.10018,9.11536,9.06778,9.08095,13203,8,0
2025-10-06 12:00:00,9.0804,9.0826,9.06988,9.07896,7570,8,0
2025-10-06 14:00:00,9.07896,9.09934,9.07422,9.09883,8945,9,0
2025-10-06 16:00:00,9.09883,9.11971,9.09434,9.11877,10035,9,0
2025-10-06 18:00:00,9.11869,9.12218,9.10757,9.11474,6086,10,0
2025-10-06 20:00:00,9.11466,9.11816,9.11281,9.11547,3603,14,0
2025-10-06 22:00:00,9.11547,9.11894,9.11243,9.11552,2983,14,0
2025-10-07 00:00:00,9.10912,9.11744,9.10137,9.11356,3506,14,0
2025-10-07 02:00:00,9.11356,9.11704,9.10927,9.11317,3644,14,0
2025-10-07 04:00:00,9.11317,9.11317,9.1031,9.10671,3296,14,0
2025-10-07 06:00:00,9.10671,9.1107,9.10043,9.10396,2772,14,0
2025-10-07 08:00:00,9.10396,9.10548,9.09232,9.09587,5575,8,0
2025-10-07 10:00:00,9.0958,9.09681,9.07979,9.08047,6402,8,0
2025-10-07 12:00:00,9.08047,9.08796,9.07598,9.08614,5518,8,0
2025-10-07 14:00:00,9.08614,9.08621,9.07028,9.08104,7206,9,0
2025-10-07 16:00:00,9.08104,9.08327,9.07053,9.07693,10560,9,0
2025-10-07 18:00:00,9.07685,9.09057,9.07575,9.08172,8548,9,0
2025-10-07 20:00:00,9.08172,9.08901,9.07212,9.07313,6016,12,0
2025-10-07 22:00:00,9.07312,9.07335,9.06478,9.07209,3735,12,0
2025-10-08 00:00:00,9.07156,9.07596,9.06211,9.07433,1998,15,0
2025-10-08 02:00:00,9.07433,9.0744,9.06352,9.06536,3804,14,0
2025-10-08 04:00:00,9.06536,9.06536,9.04266,9.04788,7750,13,0
2025-10-08 06:00:00,9.04788,9.04836,9.04155,9.0438,3663,13,0
2025-10-08 08:00:00,9.0438,9.04455,9.03427,9.04231,6742,9,0
2025-10-08 10:00:00,9.04231,9.05658,9.03743,9.04113,10163,8,0
2025-10-08 12:00:00,9.04113,9.05641,9.03367,9.05407,7876,8,0
2025-10-08 14:00:00,9.05399,9.05673,9.04626,9.05256,8267,9,0
2025-10-08 16:00:00,9.05256,9.06172,9.04243,9.04336,11577,9,0
2025-10-08 18:00:00,9.04328,9.04359,9.02562,9.03041,8909,9,0
2025-10-08 20:00:00,9.03049,9.04374,9.02603,9.04262,6495,12,0
2025-10-08 22:00:00,9.04277,9.05211,9.04277,9.04832,4353,13,0
2025-10-09 00:00:00,9.04554,9.05405,9.0432,9.05282,3582,14,0
2025-10-09 02:00:00,9.05282,9.05843,9.04814,9.05507,3799,14,0
2025-10-09 04:00:00,9.05507,9.06261,9.0546,9.05976,5258,14,0
