time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,2.482,2.52,2.482,2.513,943,110,0
2024-11-11 03:00:00,2.513,2.527,2.507,2.516,643,110,0
2024-11-11 06:00:00,2.516,2.54,2.5140000000000002,2.536,547,110,0
2024-11-11 09:00:00,2.536,2.5460000000000003,2.518,2.534,1094,110,0
2024-11-11 12:00:00,2.535,2.578,2.525,2.577,1597,110,0
2024-11-11 15:00:00,2.577,2.6550000000000002,2.561,2.644,4355,110,0
2024-11-11 18:00:00,2.644,2.652,2.5869999999999997,2.638,3366,110,0
2024-11-11 21:00:00,2.638,2.65,2.615,2.646,1677,110,0
2024-11-12 00:00:00,2.6630000000000003,2.6630000000000003,2.642,2.652,565,110,0
2024-11-12 03:00:00,2.651,2.6710000000000003,2.649,2.649,678,110,0
2024-11-12 06:00:00,2.649,2.67,2.6390000000000002,2.668,862,110,0
2024-11-12 09:00:00,2.668,2.6710000000000003,2.65,2.65,1146,110,0
2024-11-12 12:00:00,2.65,2.657,2.617,2.6390000000000002,2245,110,0
2024-11-12 15:00:00,2.6390000000000002,2.706,2.574,2.693,5490,110,0
2024-11-12 18:00:00,2.694,2.731,2.578,2.594,5463,110,0
2024-11-12 21:00:00,2.594,2.644,2.591,2.6310000000000002,1973,110,0
2024-11-13 00:00:00,2.643,2.651,2.635,2.6470000000000002,390,110,0
2024-11-13 03:00:00,2.6470000000000002,2.65,2.632,2.635,552,110,0
2024-11-13 06:00:00,2.636,2.649,2.614,2.622,578,110,0
2024-11-13 09:00:00,2.622,2.632,2.615,2.62,911,110,0
2024-11-13 12:00:00,2.62,2.624,2.5789999999999997,2.617,1794,110,0
2024-11-13 15:00:00,2.617,2.651,2.568,2.636,5426,110,0
2024-11-13 18:00:00,2.637,2.743,2.624,2.734,5468,110,0
2024-11-13 21:00:00,2.734,2.7560000000000002,2.715,2.716,2058,110,0
2024-11-14 00:00:00,2.737,2.742,2.727,2.734,409,110,0
2024-11-14 03:00:00,2.734,2.735,2.7119999999999997,2.714,569,110,0
2024-11-14 06:00:00,2.714,2.7199999999999998,2.709,2.717,609,110,0
2024-11-14 09:00:00,2.717,2.731,2.708,2.71,1357,110,0
2024-11-14 12:00:00,2.711,2.7359999999999998,2.692,2.729,1508,110,0
2024-11-14 15:00:00,2.729,2.733,2.628,2.635,4748,110,0
2024-11-14 18:00:00,2.635,2.646,2.553,2.5540000000000003,4653,110,0
2024-11-14 21:00:00,2.5540000000000003,2.565,2.517,2.525,1772,110,0
2024-11-15 00:00:00,2.542,2.56,2.539,2.541,483,110,0
2024-11-15 03:00:00,2.541,2.549,2.539,2.541,469,110,0
2024-11-15 06:00:00,2.539,2.54,2.482,2.482,1041,110,0
2024-11-15 09:00:00,2.482,2.508,2.482,2.49,1329,110,0
2024-11-15 12:00:00,2.49,2.498,2.466,2.485,1599,110,0
2024-11-15 15:00:00,2.485,2.577,2.4779999999999998,2.575,3787,100,0
2024-11-15 18:00:00,2.575,2.606,2.543,2.585,3945,110,0
2024-11-15 21:00:00,2.585,2.612,2.582,2.6109999999999998,1679,110,0
2024-11-18 00:00:00,2.7640000000000002,2.809,2.757,2.762,1263,110,0
2024-11-18 03:00:00,2.762,2.778,2.758,2.763,827,110,0
2024-11-18 06:00:00,2.7640000000000002,2.769,2.7439999999999998,2.7439999999999998,725,110,0
2024-11-18 09:00:00,2.7439999999999998,2.759,2.732,2.733,1172,110,0
2024-11-18 12:00:00,2.733,2.745,2.694,2.731,1915,110,0
2024-11-18 15:00:00,2.731,2.754,2.67,2.7279999999999998,5181,110,0
2024-11-18 18:00:00,2.7279999999999998,2.7960000000000003,2.7279999999999998,2.791,3728,110,0
