time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 08:00:00,21.83,21.93,21.65,21.69,326,5,0
2024-11-11 12:00:00,21.69,21.74,21.24,21.25,764,5,0
2024-11-11 16:00:00,21.26,21.44,21.1,21.29,1319,5,0
2024-11-12 08:00:00,21.35,21.35,21.17,21.29,355,5,0
2024-11-12 12:00:00,21.29,21.46,21.21,21.43,840,5,0
2024-11-12 16:00:00,21.43,21.59,21.18,21.34,1289,5,0
2024-11-13 08:00:00,21.33,21.52,21.3,21.48,348,5,0
2024-11-13 12:00:00,21.49,21.49,21.14,21.15,731,5,0
2024-11-13 16:00:00,21.14,21.2,20.84,21.14,1187,5,0
2024-11-14 08:00:00,21.15,21.19,21.03,21.06,269,5,0
2024-11-14 12:00:00,21.06,21.42,20.84,21.42,948,5,0
2024-11-14 16:00:00,21.42,21.79,21.33,21.6,1182,5,0
2024-11-15 08:00:00,21.54,21.59,21.49,21.51,277,5,0
2024-11-15 12:00:00,21.51,21.67,21.39,21.65,768,5,0
2024-11-15 16:00:00,21.66,21.89,21.52,21.58,964,5,0
2024-11-18 08:00:00,21.61,22.11,21.61,22.07,474,5,0
2024-11-18 12:00:00,22.07,22.1,21.82,21.97,809,5,0
2024-11-18 16:00:00,21.97,22.29,21.67,22.18,964,5,0
2024-11-19 08:00:00,22.19,22.38,22.13,22.37,382,5,0
2024-11-19 12:00:00,22.36,22.39,22.05,22.17,883,5,0
2024-11-19 16:00:00,22.17,22.33,21.79,21.93,1173,5,0
2024-11-20 08:00:00,21.93,22.06,21.83,21.84,287,5,0
2024-11-20 12:00:00,21.83,21.99,21.78,21.92,487,5,0
2024-11-20 16:00:00,21.93,21.93,21.47,21.63,935,5,0
2024-11-21 08:00:00,21.59,21.73,21.44,21.48,321,5,0
2024-11-21 12:00:00,21.48,21.6,21.29,21.4,755,5,0
2024-11-21 16:00:00,21.4,21.41,21.24,21.34,766,5,0
2024-11-22 08:00:00,21.36,21.41,21.24,21.29,300,5,0
2024-11-22 12:00:00,21.29,21.42,21.25,21.39,460,5,0
