time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 00:00:00,7.33189,7.33672,7.316,7.31979,14628,19,0
2025-01-02 04:00:00,7.31976,7.32153,7.31526,7.31818,19852,24,0
2025-01-02 08:00:00,7.31818,7.3281600000000005,7.31643,7.32692,27585,2,0
2025-01-02 12:00:00,7.32696,7.33958,7.32471,7.33371,29334,4,0
2025-01-02 16:00:00,7.33368,7.34461,7.33223,7.34322,41658,3,0
2025-01-02 20:00:00,7.3432,7.34463,7.33932,7.33991,8735,3,0
2025-01-03 00:00:00,7.3392800000000005,7.34082,7.32489,7.32663,11957,19,0
2025-01-03 04:00:00,7.32664,7.33608,7.32371,7.33579,23538,24,0
2025-01-03 08:00:00,7.33588,7.36053,7.32864,7.35274,35008,7,0
2025-01-03 12:00:00,7.35273,7.35875,7.34811,7.35655,20035,7,0
2025-01-03 16:00:00,7.35656,7.36287,7.35567,7.35981,31861,3,0
2025-01-03 20:00:00,7.3598,7.3616,7.35416,7.357,13735,3,0
2025-01-06 00:00:00,7.34848,7.36473,7.34601,7.35137,19070,19,0
2025-01-06 04:00:00,7.35139,7.35925,7.34672,7.3568,15733,20,0
2025-01-06 08:00:00,7.35679,7.35794,7.34265,7.34327,25144,2,0
2025-01-06 12:00:00,7.34327,7.35313,7.31304,7.3212,50615,7,0
2025-01-06 16:00:00,7.32122,7.35409,7.3161,7.34804,45387,6,0
2025-01-06 20:00:00,7.34805,7.34983,7.34463,7.34596,11157,3,0
2025-01-07 00:00:00,7.34637,7.35012,7.33691,7.34223,16883,19,0
2025-01-07 04:00:00,7.34224,7.34679,7.33447,7.33632,29617,19,0
2025-01-07 08:00:00,7.33629,7.34224,7.33068,7.3334,34142,2,0
2025-01-07 12:00:00,7.33338,7.34026,7.3312,7.33524,31287,4,0
2025-01-07 16:00:00,7.33525,7.34548,7.33323,7.33698,48245,3,0
2025-01-07 20:00:00,7.33696,7.34169,7.33611,7.34058,14381,3,0
2025-01-08 00:00:00,7.33811,7.3489,7.33538,7.3472100000000005,16091,19,0
2025-01-08 04:00:00,7.34718,7.34823,7.34264,7.34738,21362,24,0
2025-01-08 08:00:00,7.34739,7.35366,7.34343,7.35184,29507,2,0
2025-01-08 12:00:00,7.35186,7.36159,7.3518,7.35515,40708,2,0
2025-01-08 16:00:00,7.35517,7.36144,7.35134,7.3537,37972,3,0
2025-01-08 20:00:00,7.35372,7.35487,7.3512,7.35289,21198,3,0
2025-01-09 00:00:00,7.35153,7.35737,7.34543,7.34676,16782,19,0
2025-01-09 04:00:00,7.34676,7.35106,7.34299,7.35021,18551,24,0
2025-01-09 08:00:00,7.3502,7.3581900000000005,7.34907,7.35684,29648,2,0
2025-01-09 12:00:00,7.35687,7.35897,7.35334,7.3554,29011,4,0
2025-01-09 16:00:00,7.35538,7.35865,7.3526299999999996,7.35694,22545,3,0
2025-01-09 20:00:00,7.35694,7.3573,7.35457,7.35486,7116,3,0
2025-01-10 00:00:00,7.35384,7.35727,7.34505,7.34983,14211,19,0
2025-01-10 04:00:00,7.34983,7.35481,7.34626,7.35469,18184,24,0
2025-01-10 08:00:00,7.35471,7.35576,7.34712,7.35173,27286,2,0
2025-01-10 12:00:00,7.35172,7.36383,7.34174,7.35795,34944,7,0
2025-01-10 16:00:00,7.35796,7.36257,7.35065,7.36249,57646,3,0
2025-01-10 20:00:00,7.3625,7.3644,7.3616,7.3630700000000004,17158,8,0
2025-01-13 00:00:00,7.35452,7.36301,7.3518,7.35225,16281,19,0
2025-01-13 04:00:00,7.35225,7.35874,7.35018,7.35375,23167,24,0
2025-01-13 08:00:00,7.35371,7.35886,7.35049,7.35772,31835,7,0
2025-01-13 12:00:00,7.35773,7.35943,7.35136,7.35315,28038,7,0
2025-01-13 16:00:00,7.35316,7.3559,7.35032,7.35121,33843,4,0
2025-01-13 20:00:00,7.35121,7.35381,7.34592,7.34672,12573,3,0
2025-01-14 00:00:00,7.34684,7.34878,7.3334,7.34063,20568,19,0
2025-01-14 04:00:00,7.34054,7.34931,7.33985,7.34608,26337,24,0
2025-01-14 08:00:00,7.34608,7.35264,7.34251,7.34793,37471,2,0
2025-01-14 12:00:00,7.34791,7.35112,7.34206,7.34827,30654,2,0
2025-01-14 16:00:00,7.34828,7.3515,7.34253,7.3479,45949,3,0
2025-01-14 20:00:00,7.34791,7.34809,7.34387,7.3442,12296,3,0
2025-01-15 00:00:00,7.3424,7.34838,7.33827,7.34789,11789,19,0
2025-01-15 04:00:00,7.34787,7.34933,7.34516,7.34705,16922,24,0
2025-01-15 08:00:00,7.34712,7.34833,7.34443,7.34586,24444,2,0
2025-01-15 12:00:00,7.34588,7.34718,7.33451,7.33908,32570,2,0
2025-01-15 16:00:00,7.33909,7.35154,7.33682,7.34926,47180,4,0
2025-01-15 20:00:00,7.34925,7.35004,7.34671,7.34878,14198,3,0
2025-01-16 00:00:00,7.34723,7.34828,7.34259,7.34482,15636,19,0
2025-01-16 04:00:00,7.34467,7.35098,7.34143,7.35038,20207,24,0
2025-01-16 08:00:00,7.35036,7.35142,7.34555,7.35014,22647,2,0
2025-01-16 12:00:00,7.35015,7.35078,7.34537,7.34749,24233,4,0
2025-01-16 16:00:00,7.34751,7.35049,7.34298,7.34789,39409,3,0
2025-01-16 20:00:00,7.34797,7.34855,7.34455,7.3453800000000005,11147,3,0
2025-01-17 00:00:00,7.34579,7.34785,7.33836,7.34033,12843,19,0
2025-01-17 04:00:00,7.34036,7.34453,7.33646,7.33934,22057,24,0
2025-01-17 08:00:00,7.33936,7.35023,7.33923,7.34975,24623,2,0
2025-01-17 12:00:00,7.34974,7.35715,7.34736,7.35322,30102,2,0
2025-01-17 16:00:00,7.35325,7.35778,7.33287,7.34513,49514,3,0
2025-01-17 20:00:00,7.34511,7.34719,7.3422,7.3425,15589,3,0
2025-01-20 00:00:00,7.32971,7.33854,7.31871,7.32144,21007,19,0
2025-01-20 04:00:00,7.32142,7.32715,7.31903,7.32224,24450,19,0
2025-01-20 08:00:00,7.32226,7.32897,7.32161,7.32362,25978,2,0
2025-01-20 12:00:00,7.32361,7.32361,7.28575,7.28577,29694,2,0
2025-01-20 16:00:00,7.28575,7.29388,7.26292,7.2779,54301,4,0
2025-01-20 20:00:00,7.27777,7.27986,7.25929,7.26177,14967,6,0
2025-01-21 00:00:00,7.26038,7.2941,7.25194,7.28689,32194,19,0
2025-01-21 04:00:00,7.28686,7.28754,7.2664,7.27445,33557,24,0
2025-01-21 08:00:00,7.27445,7.29273,7.27359,7.28793,35171,2,0
2025-01-21 12:00:00,7.28793,7.29632,7.28276,7.28393,33236,2,0
2025-01-21 16:00:00,7.28364,7.28505,7.25685,7.26044,44173,8,0
2025-01-21 20:00:00,7.26047,7.26977,7.2598,7.2658,13776,3,0
2025-01-22 00:00:00,7.26578,7.28308,7.26026,7.28033,23143,19,0
2025-01-22 04:00:00,7.28034,7.28833,7.27854,7.28559,19985,24,0
2025-01-22 08:00:00,7.28559,7.28969,7.27252,7.2733,36694,2,0
2025-01-22 12:00:00,7.2733,7.27783,7.265,7.2761700000000005,29749,4,0
2025-01-22 16:00:00,7.27618,7.28563,7.27378,7.27965,33361,3,0
