time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 00:00:00,24.2928,24.3368,24.2856,24.3087,11362,76,0
2025-01-02 04:00:00,24.3087,24.3106,24.2591,24.2772,16156,76,0
2025-01-02 08:00:00,24.2736,24.3555,24.2677,24.3387,25637,28,0
2025-01-02 12:00:00,24.3388,24.4277,24.326,24.4163,33196,26,0
2025-01-02 16:00:00,24.4158,24.6044,24.3926,24.4959,42397,26,0
2025-01-02 20:00:00,24.4953,24.5369,24.4889,24.4924,12421,48,0
2025-01-03 00:00:00,24.4932,24.5078,24.4581,24.4805,10308,76,0
2025-01-03 04:00:00,24.4805,24.4946,24.4614,24.4748,19752,76,0
2025-01-03 08:00:00,24.4749,24.4973,24.4282,24.4598,30407,28,0
2025-01-03 12:00:00,24.4599,24.4846,24.4064,24.439,19435,28,0
2025-01-03 16:00:00,24.4388,24.4794,24.3882,24.4066,26360,27,0
2025-01-03 20:00:00,24.4066,24.4198,24.3659,24.3778,13052,48,0
2025-01-06 00:00:00,24.3504,24.4164,24.3087,24.3599,13450,74,0
2025-01-06 04:00:00,24.3598,24.3716,24.3394,24.3708,10416,76,0
2025-01-06 08:00:00,24.3708,24.3733,24.2342,24.2717,26418,28,0
2025-01-06 12:00:00,24.2714,24.3452,24.0928,24.1461,48041,26,0
2025-01-06 16:00:00,24.1465,24.3127,24.1222,24.2212,47948,28,0
2025-01-06 20:00:00,24.2212,24.2458,24.2067,24.21,14954,50,0
2025-01-07 00:00:00,24.2099,24.2441,24.1855,24.2325,7674,74,0
2025-01-07 04:00:00,24.2332,24.2373,24.1819,24.1977,9647,76,0
2025-01-07 08:00:00,24.1977,24.2143,24.0767,24.0767,30939,28,0
2025-01-07 12:00:00,24.0801,24.2009,24.0747,24.1774,31914,26,0
2025-01-07 16:00:00,24.1775,24.2682,24.1678,24.2325,41533,26,0
2025-01-07 20:00:00,24.2327,24.2964,24.2268,24.2942,16077,48,0
2025-01-08 00:00:00,24.2921,24.2997,24.2506,24.2624,6807,76,0
2025-01-08 04:00:00,24.2623,24.2814,24.2539,24.2559,6482,76,0
2025-01-08 08:00:00,24.2561,24.3573,24.2487,24.3402,24264,28,0
2025-01-08 12:00:00,24.3402,24.4624,24.3288,24.3968,43482,26,0
2025-01-08 16:00:00,24.3967,24.4357,24.3581,24.3784,36508,28,0
2025-01-08 20:00:00,24.3784,24.3784,24.3371,24.3398,17936,48,0
2025-01-09 00:00:00,24.3421,24.3698,24.2881,24.3522,6030,74,0
2025-01-09 04:00:00,24.3521,24.3758,24.3371,24.3727,6545,76,0
2025-01-09 08:00:00,24.3725,24.4552,24.3452,24.374,26913,28,0
2025-01-09 12:00:00,24.3737,24.391,24.3321,24.354,21644,26,0
2025-01-09 16:00:00,24.3541,24.3771,24.3219,24.3625,26085,28,0
2025-01-09 20:00:00,24.363,24.3706,24.3447,24.3486,5949,48,0
2025-01-10 00:00:00,24.3496,24.3711,24.3372,24.3488,7214,74,0
2025-01-10 04:00:00,24.3487,24.3896,24.3413,24.3862,8524,76,0
2025-01-10 08:00:00,24.3834,24.401,24.3356,24.3521,19467,28,0
2025-01-10 12:00:00,24.3525,24.5732,24.3298,24.464,29323,26,0
2025-01-10 16:00:00,24.4638,24.5138,24.39,24.458,52333,26,0
2025-01-10 20:00:00,24.4584,24.486,24.4478,24.4763,19404,48,0
2025-01-13 00:00:00,24.4434,24.4851,24.4413,24.4737,8968,84,0
2025-01-13 04:00:00,24.4737,24.5609,24.4654,24.53,10683,83,0
2025-01-13 08:00:00,24.5281,24.7147,24.5138,24.6796,34353,30,0
2025-01-13 12:00:00,24.6793,24.7432,24.6553,24.6825,30192,28,0
2025-01-13 16:00:00,24.6823,24.7602,24.6629,24.7029,35477,26,0
2025-01-13 20:00:00,24.7028,24.7275,24.613,24.6169,20225,49,0
2025-01-14 00:00:00,24.6163,24.6269,24.5348,24.6067,12446,74,0
2025-01-14 04:00:00,24.6057,24.6382,24.5893,24.6155,25868,76,0
2025-01-14 08:00:00,24.6163,24.6568,24.5615,24.6411,33280,28,0
2025-01-14 12:00:00,24.6417,24.6911,24.6098,24.6694,27553,28,0
2025-01-14 16:00:00,24.6684,24.6994,24.5156,24.5513,38850,26,0
2025-01-14 20:00:00,24.5514,24.5553,24.5072,24.5182,12456,48,0
2025-01-15 00:00:00,24.518,24.5366,24.5041,24.5308,5528,76,0
2025-01-15 04:00:00,24.5309,24.5514,24.521,24.5501,9730,76,0
2025-01-15 08:00:00,24.5485,24.5635,24.4427,24.4591,24758,28,0
2025-01-15 12:00:00,24.458,24.5098,24.3227,24.3662,28308,26,0
2025-01-15 16:00:00,24.3664,24.5964,24.3644,24.5253,51960,26,0
2025-01-15 20:00:00,24.5256,24.5359,24.4898,24.5202,19423,50,0
2025-01-16 00:00:00,24.5238,24.5334,24.4962,24.5226,9937,74,0
2025-01-16 04:00:00,24.5218,24.5486,24.5111,24.5399,9852,76,0
2025-01-16 08:00:00,24.5399,24.5596,24.4936,24.5446,26148,28,0
2025-01-16 12:00:00,24.5446,24.5995,24.5211,24.5647,27168,26,0
2025-01-16 16:00:00,24.5658,24.6018,24.4858,24.5575,40186,26,0
2025-01-16 20:00:00,24.5574,24.5675,24.5246,24.5344,14276,48,0
2025-01-17 00:00:00,24.5294,24.544,24.5064,24.53,8286,74,0
2025-01-17 04:00:00,24.5296,24.5699,24.5091,24.5567,8423,76,0
2025-01-17 08:00:00,24.559,24.602899999999998,24.5439,24.5718,22384,28,0
2025-01-17 12:00:00,24.5692,24.5783,24.4962,24.5435,28220,26,0
2025-01-17 16:00:00,24.5436,24.6117,24.4125,24.5697,43259,26,0
2025-01-17 20:00:00,24.569,24.5955,24.5423,24.5664,16408,48,0
2025-01-20 00:00:00,24.494,24.5958,24.4879,24.5487,12280,76,0
2025-01-20 04:00:00,24.5486,24.5566,24.5051,24.5181,18548,74,0
2025-01-20 08:00:00,24.5182,24.5286,24.451,24.4783,28636,28,0
2025-01-20 12:00:00,24.4781,24.4781,24.2108,24.2157,27470,28,0
2025-01-20 16:00:00,24.2156,24.3585,24.145,24.2709,46299,26,0
2025-01-20 20:00:00,24.2704,24.2823,24.1483,24.1894,74409,50,0
2025-01-21 00:00:00,24.186,24.3519,24.1299,24.3095,38199,75,0
2025-01-21 04:00:00,24.3097,24.3122,24.2179,24.2814,17342,76,0
2025-01-21 08:00:00,24.2816,24.3456,24.2579,24.3214,27297,28,0
2025-01-21 12:00:00,24.3211,24.3432,24.2441,24.2478,27873,26,0
2025-01-21 16:00:00,24.247,24.2693,24.0942,24.1121,38481,28,0
2025-01-21 20:00:00,24.1121,24.1297,24.0799,24.081,13430,50,0
2025-01-22 00:00:00,24.0746,24.194,24.0399,24.1548,13668,73,0
2025-01-22 04:00:00,24.1552,24.1649,24.1161,24.1292,13707,75,0
2025-01-22 08:00:00,24.1291,24.1794,24.0466,24.0483,29921,28,0
2025-01-22 12:00:00,24.0482,24.1087,24.0317,24.0797,23110,29,0
2025-01-22 16:00:00,24.0805,24.1568,24.0786,24.14,30749,29,0
2025-01-22 20:00:00,24.14,24.1595,24.124,24.1463,14106,60,0
2025-01-23 00:00:00,24.1442,24.1673,24.1063,24.1636,10008,103,0
2025-01-23 04:00:00,24.1637,24.1797,24.1371,24.156,21152,105,0
2025-01-23 08:00:00,24.1557,24.2074,24.1399,24.155,24090,32,0
2025-01-23 12:00:00,24.1553,24.1988,24.1212,24.138,21242,25,0
2025-01-23 16:00:00,24.1376,24.209600000000002,24.0459,24.0517,34630,27,0
2025-01-23 20:00:00,24.0517,24.1016,24.0461,24.0914,12991,27,0
2025-01-24 00:00:00,24.09,24.116,24.0598,24.0957,28472,81,0
2025-01-24 04:00:00,24.0959,24.0967,23.9916,24.0073,78053,81,0
2025-01-24 08:00:00,24.0075,24.0399,23.8645,23.9122,36530,32,0
2025-01-24 12:00:00,23.9122,23.9811,23.898,23.9666,18148,25,0
2025-01-24 16:00:00,23.9666,23.9688,23.8318,23.857,31877,25,0
2025-01-24 20:00:00,23.8571,23.9109,23.8566,23.8999,11810,27,0
2025-01-27 00:00:00,23.8962,23.9714,23.8878,23.9704,32826,83,0
2025-01-27 04:00:00,23.9704,23.9895,23.9268,23.9734,88672,83,0
2025-01-27 08:00:00,23.9734,24.0029,23.9121,23.9266,37312,32,0
2025-01-27 12:00:00,23.9266,23.9271,23.8289,23.8516,28367,25,0
2025-01-27 16:00:00,23.8516,23.9187,23.8426,23.9075,28930,25,0
2025-01-27 20:00:00,23.9073,23.932,23.892,23.901699999999998,18633,27,0
2025-01-28 00:00:00,23.8998,24.0549,23.883,24.04,15514,81,0
2025-01-28 04:00:00,24.04,24.0704,24.0317,24.0413,18825,81,0
2025-01-28 08:00:00,24.0416,24.0761,24.0181,24.0429,19803,34,0
2025-01-28 12:00:00,24.0431,24.1027,24.0335,24.0479,22687,25,0
2025-01-28 16:00:00,24.0484,24.0714,24.0141,24.0559,24576,25,0
2025-01-28 20:00:00,24.0559,24.0646,24.0255,24.0414,11715,27,0
2025-01-29 00:00:00,24.042,24.0518,24.0168,24.0515,6742,81,0
2025-01-29 04:00:00,24.0515,24.0536,24.0093,24.0211,16893,83,0
2025-01-29 08:00:00,24.0211,24.1483,24.0063,24.1426,26808,32,0
2025-01-29 12:00:00,24.1426,24.204,24.1276,24.193,21752,26,0
2025-01-29 16:00:00,24.193,24.1955,24.0926,24.1068,32813,25,0
2025-01-29 20:00:00,24.1069,24.1879,24.0842,24.1048,33679,28,0
2025-01-30 00:00:00,24.1027,24.1158,24.0723,24.108,9327,81,0
2025-01-30 04:00:00,24.108,24.1134,24.0849,24.101,16613,83,0
2025-01-30 08:00:00,24.101,24.1468,24.0793,24.1311,22033,32,0
2025-01-30 12:00:00,24.1308,24.1792,24.0168,24.0248,23505,25,0
2025-01-30 16:00:00,24.0253,24.1356,23.998,24.1139,28130,25,0
2025-01-30 20:00:00,24.1137,24.1959,24.0797,24.1753,23345,27,0
2025-01-31 00:00:00,24.1798,24.2072,24.1525,24.1814,33143,81,0
2025-01-31 04:00:00,24.1814,24.1998,24.1627,24.1917,21439,83,0
2025-01-31 08:00:00,24.1917,24.2521,24.1269,24.2057,23840,32,0
2025-01-31 12:00:00,24.2055,24.2674,24.2044,24.248,23784,26,0
2025-01-31 16:00:00,24.248,24.3068,24.121,24.1606,44699,26,0
2025-01-31 20:00:00,24.1606,24.3378,24.1551,24.3015,61159,28,0
2025-02-03 00:00:00,24.5234,24.6742,24.4959,24.6076,27202,82,0
2025-02-03 04:00:00,24.6076,24.677,24.6023,24.6091,23749,85,0
2025-02-03 08:00:00,24.6091,24.7041,24.5756,24.665399999999998,28620,33,0
2025-02-03 12:00:00,24.665399999999998,24.6821,24.5371,24.5971,28410,28,0
2025-02-03 16:00:00,24.5969,24.6477,24.3845,24.5351,54037,26,0
2025-02-03 20:00:00,24.5351,24.5588,24.3454,24.3693,38529,30,0
2025-02-04 00:00:00,24.3646,24.4638,24.3322,24.427599999999998,12946,82,0
2025-02-04 04:00:00,24.427599999999998,24.538,24.415399999999998,24.4912,23747,82,0
2025-02-04 08:00:00,24.4912,24.4937,24.3303,24.3635,29617,34,0
2025-02-04 12:00:00,24.3633,24.4087,24.3376,24.3442,24394,28,0
2025-02-04 16:00:00,24.3434,24.3444,24.206,24.2363,46924,26,0
2025-02-04 20:00:00,24.2363,24.2411,24.1969,24.229,31086,27,0
2025-02-05 00:00:00,24.2258,24.2605,24.1877,24.2446,16367,81,0
2025-02-05 04:00:00,24.2446,24.2495,24.2098,24.2351,16250,83,0
