time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,21190.22,21218.72,21165.85,21190.6,16281,120,0
2024-11-11 04:00:00,21190.6,21207.22,21170.1,21196.1,13967,120,0
2024-11-11 08:00:00,21196.1,21230.82,21184.95,21199.95,19997,100,0
2024-11-11 12:00:00,21199.95,21247.82,21175.95,21208.7,23194,100,0
2024-11-11 16:00:00,21208.7,21214.57,21063.67,21065.92,66973,80,0
2024-11-11 20:00:00,21065.67,21140.47,21006.17,21117.6,45634,80,0
2024-11-12 00:00:00,21120.97,21159.97,21108.35,21140.85,15140,120,0
2024-11-12 04:00:00,21140.85,21151.97,21100.6,21106.22,22033,120,0
2024-11-12 08:00:00,21106.22,21151.07,21090.45,21094.7,27884,100,0
2024-11-12 12:00:00,21094.7,21143.07,21040.2,21132.07,37877,100,0
2024-11-12 16:00:00,21132.07,21161.67,20976.42,20976.92,70077,80,0
2024-11-12 20:00:00,20976.92,21120.67,20965.8,21087.85,49009,80,0
2024-11-13 00:00:00,21095.14,21095.14,21047.02,21053.14,15835,120,0
2024-11-13 04:00:00,21053.02,21074.77,21030.27,21033.89,19354,120,0
2024-11-13 08:00:00,21033.89,21096.49,21014.77,21089.99,25179,100,0
2024-11-13 12:00:00,21090.24,21156.74,21027.99,21087.24,34364,100,0
2024-11-13 16:00:00,21087.37,21145.47,20971.34,21142.34,76572,80,0
2024-11-13 20:00:00,21142.34,21181.84,21038.09,21079.77,53531,80,0
2024-11-14 00:00:00,21075.42,21090.92,21046.54,21049.67,14244,120,0
2024-11-14 04:00:00,21049.67,21067.17,21023.29,21037.79,20662,120,0
2024-11-14 08:00:00,21036.67,21106.52,21006.52,21070.52,29040,100,0
2024-11-14 12:00:00,21069.39,21098.89,21029.14,21050.52,31849,100,0
2024-11-14 16:00:00,21050.39,21090.24,20933.49,20999.24,74996,80,0
2024-11-14 20:00:00,20999.24,21036.24,20866.67,20896.54,61654,80,0
2024-11-15 00:00:00,20887.52,20889.77,20800.4,20807.52,20491,120,0
2024-11-15 04:00:00,20807.52,20844.9,20801.27,20815.65,22697,120,0
2024-11-15 08:00:00,20815.77,20815.9,20710.75,20736.87,34681,100,0
2024-11-15 12:00:00,20736.75,20782.75,20719.12,20728.0,31472,100,0
2024-11-15 16:00:00,20728.0,20734.5,20363.1,20399.97,77639,80,0
2024-11-15 20:00:00,20399.97,20437.77,20322.22,20418.65,56729,80,0
2024-11-18 00:00:00,20415.48,20552.98,20400.23,20532.61,19573,120,0
2024-11-18 04:00:00,20532.61,20579.98,20516.73,20562.86,18481,120,0
2024-11-18 08:00:00,20562.48,20575.36,20468.96,20481.46,32675,100,0
2024-11-18 12:00:00,20481.33,20513.71,20405.46,20478.58,35210,100,0
2024-11-18 16:00:00,20477.83,20647.43,20424.81,20584.93,65259,80,0
2024-11-18 20:00:00,20585.18,20591.68,20514.18,20554.23,47384,80,0
2024-11-19 00:00:00,20563.67,20577.54,20529.92,20563.92,15899,120,0
2024-11-19 04:00:00,20563.79,20622.67,20557.29,20595.29,20192,120,0
2024-11-19 08:00:00,20595.79,20614.39,20418.77,20467.27,41307,100,0
2024-11-19 12:00:00,20467.27,20549.39,20342.77,20348.14,49081,100,0
2024-11-19 16:00:00,20348.14,20635.12,20309.14,20620.99,75345,80,0
2024-11-19 20:00:00,20621.24,20718.49,20605.49,20680.79,48404,80,0
2024-11-20 00:00:00,20683.79,20763.54,20682.79,20719.17,15154,120,0
2024-11-20 04:00:00,20719.17,20743.42,20701.79,20725.17,19071,120,0
2024-11-20 08:00:00,20725.17,20772.27,20712.52,20724.14,32313,100,0
2024-11-20 12:00:00,20724.14,20758.52,20682.27,20722.39,34059,100,0
2024-11-20 16:00:00,20722.39,20722.39,20406.99,20537.24,76565,80,0
2024-11-20 20:00:00,20536.37,20715.17,20486.24,20667.29,60855,80,0
2024-11-21 00:00:00,20661.36,20690.48,20548.98,20559.48,25061,120,0
2024-11-21 04:00:00,20559.73,20632.11,20556.61,20606.23,23028,120,0
2024-11-21 08:00:00,20606.36,20652.71,20524.71,20575.46,45664,100,0
2024-11-21 12:00:00,20575.46,20800.83,20561.21,20772.46,48187,100,0
2024-11-21 16:00:00,20772.58,20833.83,20443.81,20747.68,84929,80,0
2024-11-21 20:00:00,20747.68,20806.93,20718.98,20722.36,60694,80,0
2024-11-22 00:00:00,20714.17,20742.8,20690.05,20730.67,18268,120,0
2024-11-22 04:00:00,20730.42,20775.17,20691.42,20696.3,25345,120,0
2024-11-22 08:00:00,20696.55,20761.77,20625.02,20688.27,41767,100,0
2024-11-22 12:00:00,20688.9,20746.65,20624.9,20715.77,44914,100,0
2024-11-22 16:00:00,20715.77,20803.62,20653.37,20786.37,79146,80,0
2024-11-22 20:00:00,20786.12,20810.42,20727.0,20807.17,50843,80,0
2024-11-25 00:00:00,20878.01,20907.76,20869.38,20892.51,11397,120,0
2024-11-25 04:00:00,20892.51,20911.76,20892.13,20910.63,12460,120,0
2024-11-25 08:00:00,20910.51,20910.51,20871.73,20907.48,21531,100,0
2024-11-25 12:00:00,20907.48,20966.98,20883.23,20938.98,26078,100,0
2024-11-25 16:00:00,20938.98,21020.58,20720.71,20791.83,78956,80,0
2024-11-25 20:00:00,20791.83,20857.76,20765.58,20839.88,51358,80,0
2024-11-26 00:00:00,20841.01,20876.12,20698.25,20786.12,30463,120,0
2024-11-26 04:00:00,20786.0,20856.25,20785.5,20825.5,23165,120,0
2024-11-26 08:00:00,20825.5,20866.87,20794.85,20829.1,34461,100,0
2024-11-26 12:00:00,20828.85,20897.85,20804.72,20885.97,35615,100,0
2024-11-26 16:00:00,20885.97,20967.57,20863.07,20924.07,69790,80,0
2024-11-26 20:00:00,20924.07,20951.32,20847.07,20942.5,47053,80,0
2024-11-27 00:00:00,20935.2,20942.45,20912.83,20939.33,12912,120,0
2024-11-27 04:00:00,20939.33,20962.58,20896.7,20903.33,16736,120,0
2024-11-27 08:00:00,20903.33,20934.3,20848.93,20866.18,31267,100,0
2024-11-27 12:00:00,20866.18,20915.43,20850.18,20898.55,28989,100,0
