time,open,high,low,close,tick_volume,spread,real_volume
2025-05-05 00:00:00,22.44,22.64,22.44,22.49,258,8,0
2025-05-05 04:00:00,22.49,22.64,22.49,22.54,403,8,0
2025-05-05 08:00:00,22.54,22.64,22.39,22.59,547,8,0
2025-05-05 12:00:00,22.59,22.65,22.5,22.6,499,6,0
2025-05-05 16:00:00,22.62,22.75,22.35,22.42,1475,6,0
2025-05-05 20:00:00,22.45,22.7,22.35,22.64,807,6,0
2025-05-06 00:00:00,22.66,22.69,22.59,22.64,184,8,0
2025-05-06 04:00:00,22.64,22.69,22.59,22.69,197,8,0
2025-05-06 08:00:00,22.69,22.99,22.64,22.89,528,8,0
2025-05-06 12:00:00,22.89,23.04,22.79,22.95,787,6,0
2025-05-06 16:00:00,22.92,23.22,22.75,23.1,2147,6,0
2025-05-06 20:00:00,23.1,23.45,22.9,23.39,1505,6,0
2025-05-07 00:00:00,23.36,23.36,22.84,22.94,612,8,0
2025-05-07 04:00:00,22.94,23.14,22.89,23.04,366,8,0
2025-05-07 08:00:00,23.04,23.14,22.94,22.99,345,8,0
2025-05-07 12:00:00,23.01,23.1,22.95,23.07,506,6,0
2025-05-07 16:00:00,23.1,23.2,22.8,22.85,2566,6,0
2025-05-07 20:00:00,22.85,23.4,22.7,22.89,2594,6,0
2025-05-08 00:00:00,22.86,22.94,22.74,22.74,269,8,0
2025-05-08 04:00:00,22.74,22.79,22.54,22.59,333,8,0
2025-05-08 08:00:00,22.59,22.64,22.44,22.44,269,8,0
2025-05-08 12:00:00,22.44,22.6,22.39,22.5,398,6,0
2025-05-08 16:00:00,22.5,22.75,22.2,22.25,2204,6,0
2025-05-08 20:00:00,22.25,22.45,22.15,22.36,961,6,0
2025-05-09 00:00:00,22.36,22.44,22.29,22.34,189,8,0
2025-05-09 04:00:00,22.34,22.34,22.24,22.24,312,8,0
2025-05-09 08:00:00,22.24,22.24,22.09,22.19,380,8,0
2025-05-09 12:00:00,22.19,22.3,22.05,22.1,631,6,0
2025-05-09 16:00:00,22.15,22.3,21.95,22.2,1609,6,0
2025-05-09 20:00:00,22.2,22.25,22.05,22.1,668,6,0
2025-05-12 00:00:00,21.91,21.94,21.54,21.54,318,8,0
2025-05-12 04:00:00,21.54,21.59,21.44,21.49,179,8,0
2025-05-12 08:00:00,21.49,21.51,21.04,21.09,591,8,0
2025-05-12 12:00:00,21.09,21.15,21.04,21.15,427,6,0
2025-05-12 16:00:00,21.15,21.15,20.35,20.35,1084,6,0
2025-05-12 20:00:00,20.3,20.4,19.89,19.94,488,6,0
2025-05-13 00:00:00,19.91,19.94,19.84,19.94,159,8,0
2025-05-13 04:00:00,19.94,20.04,19.94,19.94,246,8,0
2025-05-13 08:00:00,19.94,20.09,19.89,20.04,340,8,0
2025-05-13 12:00:00,20.04,20.15,19.8,19.92,422,6,0
2025-05-13 16:00:00,19.9,19.95,19.45,19.6,399,6,0
2025-05-13 20:00:00,19.55,19.9,19.55,19.89,266,6,0
2025-05-14 00:00:00,19.86,20.09,19.86,19.99,128,8,0
2025-05-14 04:00:00,19.99,20.04,19.94,19.94,164,8,0
2025-05-14 08:00:00,19.94,19.99,19.69,19.71,339,8,0
2025-05-14 12:00:00,19.74,19.89,19.69,19.8,343,6,0
2025-05-14 16:00:00,19.85,20.05,19.8,20.05,1080,6,0
2025-05-14 20:00:00,20.05,20.17,19.85,20.14,629,6,0
2025-05-15 00:00:00,20.11,20.24,20.11,20.19,147,8,0
2025-05-15 04:00:00,20.19,20.29,20.19,20.24,153,8,0
2025-05-15 08:00:00,20.24,20.39,20.24,20.39,411,8,0
2025-05-15 12:00:00,20.39,20.44,20.25,20.3,482,6,0
2025-05-15 16:00:00,20.3,20.45,20.1,20.1,650,6,0
