time,open,high,low,close,tick_volume,spread,real_volume
2025-10-06 00:00:00,19.85,19.85,19.73,19.73,108,10,0
2025-10-06 04:00:00,19.73,19.78,19.73,19.73,131,10,0
2025-10-06 08:00:00,19.73,19.88,19.73,19.78,165,10,0
2025-10-06 12:00:00,19.8,19.83,19.73,19.74,112,8,0
2025-10-06 16:00:00,19.71,19.84,19.69,19.79,187,8,0
2025-10-06 20:00:00,19.79,19.89,19.68,19.68,88,8,0
2025-10-07 00:00:00,19.7,19.73,19.68,19.68,104,10,0
2025-10-07 04:00:00,19.68,19.68,19.68,19.68,42,10,0
2025-10-07 08:00:00,19.68,19.73,19.58,19.68,131,10,0
2025-10-07 12:00:00,19.68,19.69,19.64,19.64,67,8,0
2025-10-07 16:00:00,19.64,20.09,19.59,19.99,814,8,0
2025-10-07 20:00:00,19.99,20.09,19.89,19.95,506,8,0
2025-10-08 00:00:00,19.95,19.95,19.9,19.93,77,10,0
2025-10-08 04:00:00,19.93,19.93,19.93,19.93,131,10,0
2025-10-08 08:00:00,19.93,19.93,19.78,19.83,134,10,0
2025-10-08 12:00:00,19.83,19.89,19.78,19.89,138,8,0
2025-10-08 16:00:00,19.89,19.99,19.79,19.84,241,8,0
2025-10-08 20:00:00,19.84,19.89,19.73,19.73,93,8,0
2025-10-09 00:00:00,19.73,19.73,19.68,19.68,4,10,0
2025-10-09 04:00:00,19.73,19.73,19.68,19.73,52,10,0
2025-10-09 08:00:00,19.73,19.73,19.68,19.73,176,10,0
2025-10-09 12:00:00,19.73,19.79,19.68,19.74,123,8,0
2025-10-09 16:00:00,19.79,20.04,19.74,19.99,512,8,0
2025-10-09 20:00:00,19.99,20.04,19.74,19.83,452,8,0
2025-10-10 00:00:00,19.83,19.83,19.78,19.78,180,10,0
2025-10-10 04:00:00,19.78,19.83,19.78,19.83,72,10,0
2025-10-10 08:00:00,19.88,19.88,19.78,19.83,172,10,0
2025-10-10 12:00:00,19.83,19.93,19.83,19.89,184,8,0
2025-10-10 16:00:00,19.89,21.14,19.79,20.99,4926,8,0
2025-10-10 20:00:00,21.01,21.44,20.79,21.09,3749,8,0
2025-10-13 00:00:00,20.98,21.03,20.4,20.48,680,10,0
2025-10-13 04:00:00,20.48,20.58,20.38,20.53,249,10,0
2025-10-13 08:00:00,20.53,20.53,20.08,20.18,406,10,0
2025-10-13 12:00:00,20.18,20.49,20.18,20.36,760,8,0
2025-10-13 16:00:00,20.39,20.54,20.09,20.14,1726,8,0
2025-10-13 20:00:00,20.14,20.34,20.09,20.18,618,8,0
2025-10-14 00:00:00,20.18,20.18,19.98,20.03,171,10,0
2025-10-14 04:00:00,20.03,20.48,20.03,20.38,300,10,0
2025-10-14 08:00:00,20.38,21.13,20.38,20.78,1035,10,0
2025-10-14 12:00:00,20.78,21.18,20.73,20.94,851,8,0
2025-10-14 16:00:00,20.94,21.34,20.34,20.44,2417,8,0
2025-10-14 20:00:00,20.44,20.89,20.29,20.73,1378,8,0
2025-10-15 00:00:00,20.75,20.75,20.6,20.63,271,10,0
2025-10-15 04:00:00,20.63,20.68,20.53,20.55,225,10,0
2025-10-15 08:00:00,20.53,20.53,20.38,20.43,321,10,0
2025-10-15 12:00:00,20.43,20.53,20.24,20.34,371,8,0
2025-10-15 16:00:00,20.34,20.84,20.24,20.79,1619,8,0
2025-10-15 20:00:00,20.81,21.19,20.69,20.88,1990,8,0
2025-10-16 00:00:00,20.88,20.93,20.83,20.88,203,10,0
2025-10-16 04:00:00,20.88,20.88,20.8,20.83,234,10,0
2025-10-16 08:00:00,20.83,20.88,20.68,20.68,351,10,0
2025-10-16 12:00:00,20.68,20.68,20.48,20.59,297,8,0
2025-10-16 16:00:00,20.59,21.94,20.54,21.54,3825,8,0
2025-10-16 20:00:00,21.54,22.11,21.44,21.98,3837,8,0
2025-10-17 00:00:00,21.98,22.0,21.73,21.78,483,10,0
2025-10-17 04:00:00,21.78,22.05,21.6,22.03,596,10,0
2025-10-17 08:00:00,22.03,22.93,22.03,22.45,1818,10,0
2025-10-17 12:00:00,22.48,22.53,21.44,21.59,1969,8,0
2025-10-17 16:00:00,21.56,22.14,21.34,21.49,4082,8,0
2025-10-17 20:00:00,21.49,21.69,20.69,20.74,1293,8,0
2025-10-20 00:00:00,20.65,20.78,20.38,20.6,235,10,0
2025-10-20 04:00:00,20.58,20.63,20.48,20.53,240,10,0
2025-10-20 08:00:00,20.53,20.73,20.48,20.68,384,10,0
2025-10-20 12:00:00,20.68,20.69,20.44,20.44,326,8,0
2025-10-20 16:00:00,20.41,20.44,19.79,19.79,712,8,0
2025-10-20 20:00:00,19.84,19.89,19.68,19.68,190,8,0
2025-10-21 00:00:00,19.68,19.68,19.63,19.68,82,10,0
2025-10-21 04:00:00,19.68,19.78,19.68,19.78,128,10,0
2025-10-21 08:00:00,19.78,19.88,19.73,19.83,302,10,0
