time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,47.529,47.729,47.275,47.419,13860,11,0
2024-11-11 04:00:00,47.423,47.517,47.211,47.422,16371,11,0
2024-11-11 08:00:00,47.422,47.668,47.364,47.619,21307,8,0
2024-11-11 12:00:00,47.617,47.91,46.58,46.654,26974,7,0
2024-11-11 16:00:00,46.658,46.77,46.291,46.469,36194,7,0
2024-11-11 20:00:00,46.47,46.782,46.437,46.667,10603,7,0
2024-11-12 00:00:00,46.642,46.81,46.608,46.768,11943,10,0
2024-11-12 04:00:00,46.767,46.793,46.172,46.239,20623,10,0
2024-11-12 08:00:00,46.239,46.497,46.104,46.271,27770,7,0
2024-11-12 12:00:00,46.266,46.956,46.218,46.939,28577,7,0
2024-11-12 16:00:00,46.939,47.027,46.608,46.966,38823,7,0
2024-11-12 20:00:00,46.971,47.135,46.91,47.001,14358,7,0
2024-11-13 00:00:00,47.007,47.381,46.944,47.315,13195,10,0
2024-11-13 04:00:00,47.314,47.474,47.231,47.339,16489,10,0
2024-11-13 08:00:00,47.339,47.454,47.207,47.387,19709,7,0
2024-11-13 12:00:00,47.385,47.602,47.201,47.328,26405,7,0
2024-11-13 16:00:00,47.328,47.606,46.901,47.132,49833,7,0
2024-11-13 20:00:00,47.133,47.195,46.713,46.722,15716,7,0
2024-11-14 00:00:00,46.621,46.867,46.507,46.549,14264,10,0
2024-11-14 04:00:00,46.548,46.714,46.38,46.538,20350,10,0
2024-11-14 08:00:00,46.538,46.56,45.905,46.121,26830,7,0
2024-11-14 12:00:00,46.123,46.864,45.988,46.652,31576,6,0
2024-11-14 16:00:00,46.65,47.199,46.518,47.105,41455,6,0
2024-11-14 20:00:00,47.105,47.349,47.064,47.152,23146,7,0
2024-11-15 00:00:00,47.168,47.299,46.978,47.047,12436,9,0
2024-11-15 04:00:00,47.046,47.296,46.944,46.947,14894,9,0
2024-11-15 08:00:00,46.948,47.122,46.796,46.913,21743,7,0
2024-11-15 12:00:00,46.915,47.559,46.832,47.285,29186,6,0
2024-11-15 16:00:00,47.285,47.743,46.816,46.89,44503,6,0
2024-11-15 20:00:00,46.889,47.01,46.776,46.798,15149,7,0
2024-11-18 00:00:00,46.863,47.383,46.832,47.229,16056,9,0
2024-11-18 04:00:00,47.229,47.479,47.21,47.31,17531,9,0
2024-11-18 08:00:00,47.31,47.621,47.209,47.612,21832,7,0
2024-11-18 12:00:00,47.613,47.97,47.564,47.825,21843,7,0
2024-11-18 16:00:00,47.825,48.274,47.783,47.91,30671,6,0
2024-11-18 20:00:00,47.909,47.94,47.694,47.888,11463,6,0
2024-11-19 00:00:00,47.88,48.042,47.857,48.032,9916,9,0
2024-11-19 04:00:00,48.031,48.276,47.973,48.141,16603,9,0
2024-11-19 08:00:00,48.142,48.566,47.886,48.357,30074,6,0
2024-11-19 12:00:00,48.357,48.424,47.946,48.138,28571,6,0
2024-11-19 16:00:00,48.14,48.219,47.625,47.826,37690,6,0
2024-11-19 20:00:00,47.826,47.923,47.762,47.771,11806,6,0
2024-11-20 00:00:00,47.764,47.947,47.666,47.702,10664,9,0
2024-11-20 04:00:00,47.702,47.881,47.647,47.726,12965,9,0
2024-11-20 08:00:00,47.723,47.731,47.324,47.379,21547,6,0
2024-11-20 12:00:00,47.378,48.011,47.354,47.851,21284,6,0
2024-11-20 16:00:00,47.851,48.066,47.671,47.767,28766,6,0
2024-11-20 20:00:00,47.768,47.786,47.343,47.42,13989,6,0
2024-11-21 00:00:00,47.407,47.725,47.384,47.632,9794,9,0
2024-11-21 04:00:00,47.631,47.948,47.562,47.892,14534,9,0
2024-11-21 08:00:00,47.89,48.062,47.622,47.829,23282,6,0
2024-11-21 12:00:00,47.828,47.845,47.396,47.526,23911,6,0
2024-11-21 16:00:00,47.53,47.756,47.036,47.395,37988,6,0
2024-11-21 20:00:00,47.395,47.433,47.209,47.286,13327,6,0
2024-11-22 00:00:00,47.286,47.413,47.215,47.345,10780,8,0
2024-11-22 04:00:00,47.344,47.658,47.311,47.591,18796,8,0
2024-11-22 08:00:00,47.595,48.271,47.58,48.15,30644,6,0
2024-11-22 12:00:00,48.152,48.358,47.652,47.809,29961,6,0
2024-11-22 16:00:00,47.814,48.219,47.61,48.087,35895,6,0
2024-11-22 20:00:00,48.087,48.191,48.018,48.184,13182,6,0
2024-11-25 00:00:00,47.757,48.1,47.431,47.535,17707,8,0
2024-11-25 04:00:00,47.537,47.665,46.923,46.986,21641,8,0
2024-11-25 08:00:00,46.986,47.36,46.823,47.268,23759,6,0
2024-11-25 12:00:00,47.267,47.413,47.05,47.137,22888,6,0
2024-11-25 16:00:00,47.14,47.154,46.233,46.464,42436,6,0
2024-11-25 20:00:00,46.461,46.716,46.433,46.581,14226,6,0
2024-11-26 00:00:00,46.562,46.905,46.383,46.764,25500,8,0
2024-11-26 04:00:00,46.765,46.868,46.578,46.768,16586,8,0
2024-11-26 08:00:00,46.768,46.951,46.496,46.939,20871,6,0
2024-11-26 12:00:00,46.939,47.226,46.887,47.093,25219,6,0
2024-11-26 16:00:00,47.088,47.272,46.822,47.179,34416,6,0
2024-11-26 20:00:00,47.179,47.241,46.981,47.012,15167,6,0
2024-11-27 00:00:00,46.982,47.003,46.758,46.899,11751,13,0
2024-11-27 04:00:00,46.899,47.256,46.89,47.198,14662,8,0
2024-11-27 08:00:00,47.201,47.356,46.984,47.023,21583,6,0
2024-11-27 12:00:00,47.023,47.13,46.881,47.046,22051,6,0
2024-11-27 16:00:00,47.046,47.059,46.221,46.27,36647,5,0
2024-11-27 20:00:00,46.27,46.365,46.175,46.313,11409,6,0
2024-11-28 00:00:00,46.234,46.406,45.595,45.934,13133,8,0
