time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,70.44,70.59,70.14,70.29,1740,2,0
2024-11-11 04:00:00,70.29,70.43,70.11,70.24,1693,1,0
2024-11-11 08:00:00,70.24,70.73,69.62,69.71,4880,1,0
2024-11-11 12:00:00,69.71,69.72,68.62,68.82,6643,1,0
2024-11-11 16:00:00,68.82,68.95,68.15,68.35,9029,1,0
2024-11-11 20:00:00,68.35,68.5,68.11,68.3,3635,1,0
2024-11-12 00:00:00,68.26,68.46,68.19,68.23,1264,1,0
2024-11-12 04:00:00,68.23,68.24,67.91,67.95,1628,1,0
2024-11-12 08:00:00,67.95,68.71,67.92,68.68,4607,1,0
2024-11-12 12:00:00,68.67,69.01,68.22,68.98,5509,1,0
2024-11-12 16:00:00,68.98,69.29,67.94,68.58,9936,1,0
2024-11-12 20:00:00,68.58,68.6,68.09,68.12,3433,1,0
2024-11-13 00:00:00,68.1,68.43,68.1,68.37,1324,2,0
2024-11-13 04:00:00,68.37,68.58,68.34,68.36,1686,1,0
2024-11-13 08:00:00,68.36,69.0,68.15,68.76,3879,1,0
2024-11-13 12:00:00,68.75,68.96,67.94,68.09,5587,1,0
2024-11-13 16:00:00,68.1,68.92,67.08,68.71,12453,1,0
2024-11-13 20:00:00,68.71,68.88,68.0,68.19,4442,1,0
2024-11-14 00:00:00,68.18,68.46,68.11,68.38,1286,1,0
2024-11-14 04:00:00,68.38,68.45,68.04,68.09,1916,2,0
2024-11-14 08:00:00,68.09,68.71,68.04,68.56,4251,1,0
2024-11-14 12:00:00,68.56,69.41,68.37,69.28,5739,2,0
2024-11-14 16:00:00,69.28,69.5,68.23,68.39,10423,1,0
2024-11-14 20:00:00,68.4,69.0,68.22,68.74,3599,2,0
2024-11-15 00:00:00,68.64,68.74,68.39,68.44,1072,2,0
2024-11-15 04:00:00,68.44,68.46,68.05,68.07,1297,2,0
2024-11-15 08:00:00,68.07,68.15,67.61,68.04,3767,1,0
2024-11-15 12:00:00,68.04,68.8,67.8,68.12,4726,1,0
2024-11-15 16:00:00,68.12,68.73,67.17,67.27,10508,1,0
2024-11-15 20:00:00,67.27,67.42,67.0,67.16,4377,1,0
2024-11-18 00:00:00,66.97,67.32,66.76,67.24,2105,2,0
2024-11-18 04:00:00,67.24,67.5,67.16,67.23,1745,2,0
2024-11-18 08:00:00,67.23,67.72,66.88,67.68,4168,1,0
2024-11-18 12:00:00,67.68,67.83,67.27,67.67,4675,1,0
2024-11-18 16:00:00,67.66,69.35,67.58,69.1,8446,1,0
2024-11-18 20:00:00,69.09,69.59,69.06,69.33,3198,1,0
2024-11-19 00:00:00,69.25,69.48,69.12,69.44,1360,1,0
2024-11-19 04:00:00,69.45,69.58,69.27,69.45,1646,1,0
2024-11-19 08:00:00,69.45,69.56,68.69,69.08,4883,1,0
2024-11-19 12:00:00,69.08,69.48,68.73,69.29,5500,1,0
2024-11-19 16:00:00,69.29,69.94,68.69,69.57,11167,1,0
2024-11-19 20:00:00,69.56,69.67,69.11,69.51,4257,1,0
2024-11-20 00:00:00,69.48,69.61,69.35,69.39,1075,1,0
2024-11-20 04:00:00,69.39,69.53,69.35,69.39,1412,2,0
2024-11-20 08:00:00,69.39,70.11,69.34,69.79,3696,2,0
2024-11-20 12:00:00,69.79,70.05,69.5,70.03,4256,2,0
2024-11-20 16:00:00,70.03,70.14,69.01,69.07,8186,1,0
2024-11-20 20:00:00,69.07,69.36,68.83,69.22,3018,1,0
2024-11-21 00:00:00,69.23,69.31,69.14,69.27,1106,1,0
2024-11-21 04:00:00,69.27,69.35,69.04,69.1,1275,2,0
2024-11-21 08:00:00,69.1,69.97,69.05,69.92,3265,1,0
2024-11-21 12:00:00,69.92,70.55,69.8,70.31,4574,1,0
2024-11-21 16:00:00,70.31,70.46,69.62,69.71,8849,1,0
2024-11-21 20:00:00,69.71,70.43,69.6,70.31,3565,2,0
2024-11-22 00:00:00,70.33,70.63,70.27,70.58,1091,2,0
2024-11-22 04:00:00,70.58,70.74,70.26,70.27,1834,1,0
2024-11-22 08:00:00,70.27,70.92,70.13,70.45,4504,2,0
2024-11-22 12:00:00,70.45,70.68,69.46,69.88,6212,1,0
2024-11-22 16:00:00,69.88,71.38,69.88,71.37,7939,1,0
2024-11-22 20:00:00,71.37,71.67,71.28,71.37,3436,1,0
2024-11-25 00:00:00,71.5,71.58,71.22,71.32,1457,1,0
2024-11-25 04:00:00,71.32,71.34,70.78,70.84,1858,1,0
2024-11-25 08:00:00,70.84,71.12,70.56,70.78,4271,1,0
2024-11-25 12:00:00,70.78,71.39,70.71,70.92,4996,1,0
2024-11-25 16:00:00,70.92,70.97,69.09,69.14,12788,2,0
2024-11-25 20:00:00,69.14,69.27,68.89,69.22,3275,1,0
2024-11-26 00:00:00,69.19,69.2,68.74,68.98,1576,1,0
2024-11-26 04:00:00,68.98,69.36,68.97,69.29,1491,1,0
2024-11-26 08:00:00,69.29,69.67,69.06,69.62,3718,1,0
2024-11-26 12:00:00,69.62,69.86,69.28,69.7,4049,2,0
2024-11-26 16:00:00,69.7,70.45,68.39,68.4,10033,1,0
2024-11-26 20:00:00,68.4,69.14,68.2,69.13,5241,1,0
2024-11-27 00:00:00,69.06,69.08,68.75,68.75,1281,1,0
2024-11-27 04:00:00,68.75,69.06,68.72,68.97,1834,1,0
2024-11-27 08:00:00,68.97,69.46,68.82,69.22,4325,1,0
2024-11-27 12:00:00,69.22,69.5,68.99,69.38,4469,2,0
2024-11-27 16:00:00,69.38,69.42,68.37,68.4,9918,1,0
2024-11-27 20:00:00,68.4,68.94,68.31,68.91,3552,1,0
2024-11-28 00:00:00,68.87,68.99,68.76,68.83,967,1,0
2024-11-28 04:00:00,68.83,68.88,68.56,68.75,1270,2,0
2024-11-28 08:00:00,68.76,69.16,68.41,69.08,3379,1,0
2024-11-28 12:00:00,69.08,69.42,69.06,69.25,3345,1,0
2024-11-28 16:00:00,69.25,69.28,68.69,69.2,4482,1,0
2024-11-28 20:00:00,69.18,69.19,69.01,69.02,305,1,0
2024-11-29 00:00:00,69.0,69.17,68.77,69.11,1186,2,0
2024-11-29 04:00:00,69.1,69.34,69.03,69.23,1736,2,0
2024-11-29 08:00:00,69.23,69.3,68.43,68.5,4356,1,0
2024-11-29 12:00:00,68.49,69.54,68.36,69.37,5286,2,0
2024-11-29 16:00:00,69.37,69.81,68.63,68.76,9395,2,0
2024-11-29 20:00:00,68.76,68.79,68.01,68.27,2449,1,0
2024-12-02 00:00:00,68.17,68.48,68.07,68.38,2198,1,0
2024-12-02 04:00:00,68.38,68.59,68.36,68.49,1890,1,0
2024-12-02 08:00:00,68.49,68.92,68.45,68.8,4955,1,0
2024-12-02 12:00:00,68.8,69.21,68.63,69.05,4433,1,0
2024-12-02 16:00:00,69.05,69.19,67.81,68.12,9457,1,0
2024-12-02 20:00:00,68.12,68.29,67.9,68.26,2947,1,0
2024-12-03 00:00:00,68.28,68.34,68.13,68.14,1102,2,0
2024-12-03 04:00:00,68.14,68.34,68.01,68.32,1415,1,0
2024-12-03 08:00:00,68.32,69.06,68.32,69.01,3087,1,0
2024-12-03 12:00:00,69.01,69.57,68.76,69.33,4306,1,0
2024-12-03 16:00:00,69.33,70.33,68.85,70.06,8170,2,0
2024-12-03 20:00:00,70.06,70.32,69.88,70.06,3163,1,0
2024-12-04 00:00:00,70.04,70.17,69.96,70.0,948,1,0
2024-12-04 04:00:00,70.0,70.25,69.98,70.24,1345,2,0
2024-12-04 08:00:00,70.24,70.45,69.97,70.43,3611,2,0
2024-12-04 12:00:00,70.43,70.61,69.85,70.36,4863,1,0
2024-12-04 16:00:00,70.36,70.46,68.68,68.86,8646,1,0
2024-12-04 20:00:00,68.86,69.07,68.59,68.78,5095,2,0
2024-12-05 00:00:00,68.79,68.91,68.71,68.74,1402,1,0
2024-12-05 04:00:00,68.74,68.79,68.55,68.6,1446,1,0
2024-12-05 08:00:00,68.59,69.09,68.5,68.97,3757,1,0
2024-12-05 12:00:00,68.96,69.24,68.07,69.13,8228,2,0
2024-12-05 16:00:00,69.13,69.2,68.31,68.33,8151,2,0
2024-12-05 20:00:00,68.32,68.8,68.27,68.49,3300,1,0
2024-12-06 00:00:00,68.5,68.58,68.1,68.11,1134,2,0
2024-12-06 04:00:00,68.11,68.46,68.1,68.45,1686,1,0
2024-12-06 08:00:00,68.45,68.49,68.03,68.16,3343,2,0
2024-12-06 12:00:00,68.16,68.2,67.47,67.52,4628,2,0
2024-12-06 16:00:00,67.52,67.83,67.07,67.51,7723,2,0
2024-12-06 20:00:00,67.51,67.76,67.15,67.22,2881,1,0
2024-12-09 00:00:00,67.25,67.61,67.14,67.59,1536,1,0
2024-12-09 04:00:00,67.59,67.7,67.44,67.67,1594,1,0
2024-12-09 08:00:00,67.67,68.33,67.52,68.0,3421,1,0
2024-12-09 12:00:00,68.0,68.47,67.95,68.34,3850,1,0
2024-12-09 16:00:00,68.34,68.95,68.14,68.64,6670,1,0
2024-12-09 20:00:00,68.65,68.7,68.17,68.21,2551,1,0
2024-12-10 00:00:00,68.21,68.42,68.15,68.23,1355,2,0
2024-12-10 04:00:00,68.23,68.33,67.97,68.02,1620,2,0
2024-12-10 08:00:00,68.02,68.47,67.96,68.27,3407,1,0
2024-12-10 12:00:00,68.27,68.41,67.77,68.39,4270,1,0
2024-12-10 16:00:00,68.39,69.11,68.32,68.95,6308,2,0
2024-12-10 20:00:00,68.95,68.95,68.36,68.52,2795,1,0
2024-12-11 00:00:00,68.53,68.95,68.49,68.92,780,1,0
2024-12-11 04:00:00,68.92,69.14,68.9,69.09,1253,1,0
2024-12-11 08:00:00,69.09,69.41,68.73,69.29,3246,1,0
2024-12-11 12:00:00,69.29,69.67,69.18,69.45,4192,1,0
2024-12-11 16:00:00,69.45,70.11,69.14,70.01,7994,2,0
2024-12-11 20:00:00,70.01,70.57,69.86,70.41,3022,1,0
2024-12-12 00:00:00,70.46,70.47,70.2,70.25,1250,2,0
2024-12-12 04:00:00,70.25,70.57,70.22,70.48,1619,2,0
2024-12-12 08:00:00,70.48,70.75,70.36,70.59,2873,2,0
2024-12-12 12:00:00,70.59,70.62,70.15,70.29,4165,1,0
2024-12-12 16:00:00,70.29,70.56,69.18,70.37,9290,2,0
2024-12-12 20:00:00,70.37,70.55,70.0,70.04,3215,1,0
2024-12-13 00:00:00,70.06,70.09,69.91,70.0,1089,1,0
2024-12-13 04:00:00,69.99,70.18,69.98,70.08,1647,1,0
2024-12-13 08:00:00,70.08,70.54,70.01,70.45,3380,1,0
2024-12-13 12:00:00,70.46,70.96,70.27,70.37,3680,1,0
2024-12-13 16:00:00,70.36,71.31,70.26,71.19,6760,2,0
2024-12-13 20:00:00,71.18,71.45,71.08,71.09,2459,1,0
2024-12-16 00:00:00,71.1,71.21,70.95,71.11,1425,2,0
2024-12-16 04:00:00,71.12,71.12,70.82,70.84,1618,1,0
2024-12-16 08:00:00,70.84,71.06,70.53,70.53,3415,1,0
2024-12-16 12:00:00,70.54,70.85,70.38,70.81,3679,1,0
2024-12-16 16:00:00,70.81,71.21,70.49,70.96,6784,2,0
2024-12-16 20:00:00,70.96,71.08,70.53,70.65,2781,2,0
2024-12-17 00:00:00,70.64,70.75,70.55,70.72,1014,2,0
2024-12-17 04:00:00,70.73,70.85,70.56,70.83,1103,2,0
2024-12-17 08:00:00,70.83,70.94,69.95,70.23,3297,1,0
2024-12-17 12:00:00,70.23,70.27,69.78,69.83,3609,1,0
2024-12-17 16:00:00,69.83,70.05,69.24,69.91,7268,1,0
2024-12-17 20:00:00,69.91,70.3,69.77,70.21,2244,2,0
2024-12-18 00:00:00,70.21,70.28,70.02,70.22,788,2,0
2024-12-18 04:00:00,70.22,70.28,70.03,70.08,1102,2,0
2024-12-18 08:00:00,70.08,70.69,70.04,70.57,2805,2,0
2024-12-18 12:00:00,70.56,70.82,70.39,70.67,2725,2,0
2024-12-18 16:00:00,70.67,71.19,70.44,70.58,6192,1,0
2024-12-18 20:00:00,70.58,70.83,69.79,69.86,4014,1,0
2024-12-19 00:00:00,69.92,70.08,69.82,70.01,1438,2,0
2024-12-19 04:00:00,70.01,70.12,69.83,69.93,1397,1,0
2024-12-19 08:00:00,69.93,70.41,69.69,70.38,3362,2,0
