time,open,high,low,close,tick_volume,spread,real_volume
2025-09-22 00:00:00,7.46214,7.46351,7.46214,7.46287,2951,77,0
2025-09-22 06:00:00,7.46287,7.46352,7.46275,7.46316,4044,61,0
2025-09-22 12:00:00,7.46316,7.46329,7.46131,7.46318,3801,61,0
2025-09-22 18:00:00,7.46318,7.46348,7.46284,7.46332,6165,64,0
2025-09-23 00:00:00,7.46319,7.46459,7.46296,7.46435,3297,74,0
2025-09-23 06:00:00,7.46435,7.46455,7.4633,7.46381,6053,61,0
2025-09-23 12:00:00,7.46381,7.46404,7.46336,7.46341,6934,61,0
2025-09-23 18:00:00,7.46341,7.46383,7.46266,7.46361,12349,61,0
2025-09-24 00:00:00,7.46312,7.46371,7.4627,7.46347,3515,77,0
2025-09-24 06:00:00,7.46347,7.46398,7.46329,7.46345,5307,61,0
2025-09-24 12:00:00,7.46345,7.46365,7.46295,7.46352,8332,61,0
2025-09-24 18:00:00,7.46352,7.46362,7.46297,7.46339,6892,61,0
2025-09-25 00:00:00,7.46345,7.46371,7.46274,7.46318,3336,76,0
2025-09-25 06:00:00,7.46318,7.46409,7.4631,7.46383,7094,61,0
2025-09-25 12:00:00,7.46383,7.46396,7.46296,7.46334,9358,61,0
2025-09-25 18:00:00,7.46334,7.464,7.46248,7.46337,5792,61,0
2025-09-26 00:00:00,7.46337,7.46386,7.46278,7.463,3329,77,0
2025-09-26 06:00:00,7.463,7.46364,7.46281,7.46316,4936,61,0
2025-09-26 12:00:00,7.46316,7.46414,7.46309,7.46414,6923,61,0
2025-09-26 18:00:00,7.46414,7.46439,7.46266,7.46374,6624,61,0
2025-09-29 00:00:00,7.46344,7.46416,7.46314,7.46401,5715,77,0
2025-09-29 06:00:00,7.46401,7.46416,7.46378,7.46389,5197,61,0
2025-09-29 12:00:00,7.46389,7.46441,7.46386,7.4641,5589,61,0
2025-09-29 18:00:00,7.4641,7.46413,7.46349,7.46393,3731,61,0
2025-09-30 00:00:00,7.46379,7.46402,7.46375,7.46387,3417,73,0
2025-09-30 06:00:00,7.46387,7.46458,7.4638,7.46445,5036,61,0
2025-09-30 12:00:00,7.46445,7.465,7.46419,7.46419,6178,61,0
2025-09-30 18:00:00,7.46419,7.46502,7.46371,7.46415,6276,61,0
2025-10-01 00:00:00,7.46389,7.46444,7.46379,7.4644,2608,77,0
2025-10-01 06:00:00,7.46439,7.46508,7.46429,7.46501,4207,61,0
2025-10-01 12:00:00,7.46501,7.46626,7.4649,7.46616,4876,61,0
2025-10-01 18:00:00,7.46616,7.46658,7.46496,7.46511,5385,61,0
2025-10-02 00:00:00,7.46486,7.46536,7.46466,7.46517,3055,77,0
2025-10-02 06:00:00,7.46517,7.46636,7.46512,7.46628,4041,61,0
2025-10-02 12:00:00,7.46626,7.46666,7.46569,7.46663,7077,61,0
2025-10-02 18:00:00,7.46663,7.46685,7.46513,7.46574,7880,63,0
2025-10-03 00:00:00,7.46579,7.4661,7.46575,7.46591,2614,73,0
2025-10-03 06:00:00,7.46591,7.46627,7.46488,7.46608,3152,61,0
2025-10-03 12:00:00,7.46608,7.46709,7.46605,7.46688,6348,61,0
2025-10-03 18:00:00,7.46688,7.46745,7.46451,7.46452,9768,61,0
2025-10-06 00:00:00,7.46496,7.46607,7.4642,7.46585,1970,77,0
2025-10-06 06:00:00,7.46585,7.46629,7.46476,7.46606,5162,61,0
2025-10-06 12:00:00,7.46606,7.46649,7.4652,7.4652,7969,61,0
2025-10-06 18:00:00,7.4652,7.46524,7.46411,7.46417,4749,61,0
2025-10-07 00:00:00,7.46434,7.465,7.46409,7.46472,4275,73,0
2025-10-07 06:00:00,7.46472,7.46553,7.46451,7.46495,5858,61,0
2025-10-07 12:00:00,7.46495,7.46638,7.46491,7.46597,11113,61,0
2025-10-07 18:00:00,7.46597,7.4661,7.46553,7.46592,7509,61,0
2025-10-08 00:00:00,7.46581,7.46591,7.46539,7.46545,3667,73,0
2025-10-08 06:00:00,7.46545,7.46628,7.4652899999999995,7.46621,4886,61,0
2025-10-08 12:00:00,7.46621,7.46681,7.46617,7.46655,5944,61,0
2025-10-08 18:00:00,7.46655,7.46698,7.46601,7.4661100000000005,6328,61,0
2025-10-09 00:00:00,7.46607,7.46632,7.46554,7.46569,2884,76,0
2025-10-09 06:00:00,7.46569,7.4665,7.46566,7.46648,2397,61,0
2025-10-09 12:00:00,7.46648,7.46732,7.46634,7.46676,7994,61,0
2025-10-09 18:00:00,7.46676,7.46707,7.4662,7.46653,6799,61,0
2025-10-10 00:00:00,7.46645,7.46676,7.46568,7.46656,3304,77,0
2025-10-10 06:00:00,7.46656,7.46674,7.46634,7.46655,4504,61,0
2025-10-10 12:00:00,7.46655,7.4675,7.4665,7.46739,7018,61,0
2025-10-10 18:00:00,7.46739,7.46819,7.46699,7.46702,2550,61,0
2025-10-13 00:00:00,7.46522,7.46762,7.46522,7.46732,1701,77,0
2025-10-13 06:00:00,7.46732,7.4678,7.46713,7.46732,4461,61,0
2025-10-13 12:00:00,7.46732,7.46818,7.46727,7.46774,8386,61,0
2025-10-13 18:00:00,7.46774,7.46809,7.46699,7.4672,3453,61,0
2025-10-14 00:00:00,7.4663,7.46706,7.46599,7.46697,871,77,0
2025-10-14 06:00:00,7.46697,7.46778,7.46637,7.46755,2843,61,0
2025-10-14 12:00:00,7.46755,7.4682,7.4675,7.46817,4998,61,0
2025-10-14 18:00:00,7.46817,7.46869,7.46813,7.46829,2517,61,0
2025-10-15 00:00:00,7.46801,7.46829,7.46744,7.46766,1103,75,0
2025-10-15 06:00:00,7.46766,7.46863,7.46695,7.46849,5007,61,0
2025-10-15 12:00:00,7.46848,7.46851,7.46807,7.46831,7498,61,0
2025-10-15 18:00:00,7.46831,7.46832,7.4673300000000005,7.46791,6286,61,0
2025-10-16 00:00:00,7.46798,7.4685500000000005,7.46698,7.46823,1742,77,0
2025-10-16 06:00:00,7.46823,7.46865,7.46817,7.4685500000000005,2971,61,0
2025-10-16 12:00:00,7.4685500000000005,7.46886,7.46793,7.46871,6299,61,0
