time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,6009.0,6011.2,6002.5,6007.0,3788,50,0
2024-11-11 06:00:00,6007.0,6018.1,6007.0,6014.6,3827,50,0
2024-11-11 12:00:00,6014.9,6026.6,6002.5,6014.3,10742,30,0
2024-11-11 18:00:00,6014.5,6017.0,5987.3,6001.1,14419,30,0
2024-11-12 00:00:00,5999.5,6005.8,5995.5,5997.5,4415,50,0
2024-11-12 06:00:00,5997.8,6005.0,5993.5,5994.0,5959,50,0
2024-11-12 12:00:00,5993.9,6009.9,5985.5,5988.8,15047,30,0
2024-11-12 18:00:00,5989.0,6000.8,5960.0,5986.4,18409,30,0
2024-11-13 00:00:00,5985.4,5985.5,5975.9,5977.4,4584,50,0
2024-11-13 06:00:00,5977.4,5982.4,5965.9,5981.3,6262,50,0
2024-11-13 12:00:00,5981.4,6003.2,5965.5,5987.7,24217,30,0
2024-11-13 18:00:00,5988.0,6008.5,5981.7,5992.1,22929,30,0
2024-11-14 00:00:00,5991.9,5995.9,5982.9,5984.7,4225,50,0
2024-11-14 06:00:00,5984.5,5998.2,5977.9,5991.9,7768,50,0
2024-11-14 12:00:00,5991.7,5998.4,5966.4,5977.4,20587,30,0
2024-11-14 18:00:00,5977.1,5985.1,5937.5,5946.3,28769,30,0
2024-11-15 00:00:00,5944.8,5945.3,5928.6,5932.8,6371,50,0
2024-11-15 06:00:00,5932.7,5936.6,5905.0,5913.1,10036,50,0
2024-11-15 12:00:00,5913.1,5926.6,5874.0,5878.0,20884,30,0
2024-11-15 18:00:00,5877.7,5887.7,5851.7,5874.6,28275,30,0
2024-11-18 00:00:00,5870.5,5888.6,5866.6,5885.6,5300,50,0
2024-11-18 06:00:00,5885.9,5890.1,5869.1,5871.6,10067,50,0
2024-11-18 12:00:00,5871.9,5895.8,5861.0,5894.8,17895,30,0
2024-11-18 18:00:00,5894.8,5907.9,5882.6,5893.8,17113,30,0
2024-11-19 00:00:00,5894.8,5906.5,5888.3,5904.8,4570,50,0
2024-11-19 06:00:00,5904.9,5909.0,5857.5,5865.3,16108,50,0
2024-11-19 12:00:00,5865.0,5893.3,5830.6,5889.3,33034,30,0
2024-11-19 18:00:00,5889.3,5923.5,5888.6,5914.2,19346,30,0
2024-11-20 00:00:00,5915.6,5930.3,5914.5,5921.0,4671,50,0
2024-11-20 06:00:00,5920.8,5934.0,5920.8,5926.0,10032,50,0
2024-11-20 12:00:00,5925.8,5930.9,5857.3,5885.3,23165,30,0
2024-11-20 18:00:00,5885.4,5921.9,5866.6,5918.4,31109,30,0
2024-11-21 00:00:00,5915.6,5920.1,5889.2,5897.5,8878,50,0
2024-11-21 06:00:00,5897.2,5913.0,5882.7,5893.8,20318,50,0
2024-11-21 12:00:00,5893.7,5949.2,5885.6,5928.4,39759,30,0
2024-11-21 18:00:00,5928.4,5962.8,5921.9,5944.7,32513,30,0
2024-11-22 00:00:00,5941.3,5956.7,5939.7,5945.4,7690,50,0
2024-11-22 06:00:00,5945.3,5955.7,5920.9,5936.4,16144,50,0
