time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,429.69,430.44,428.69,429.94,427,88,0
2024-11-11 08:00:00,429.94,431.44,428.94,429.44,663,88,0
2024-11-11 16:00:00,429.19,431.19,426.19,429.19,914,88,0
2024-11-12 00:00:00,429.44,431.44,429.19,430.94,330,88,0
2024-11-12 08:00:00,430.94,432.69,430.44,432.44,626,88,0
2024-11-12 16:00:00,432.44,432.94,426.19,428.69,978,88,0
2024-11-13 00:00:00,427.94,428.44,426.19,427.69,260,88,0
2024-11-13 08:00:00,427.69,429.19,425.69,426.19,521,88,0
2024-11-13 16:00:00,426.69,427.19,423.94,425.69,768,88,0
2024-11-14 00:00:00,425.44,427.19,424.94,426.94,244,88,0
2024-11-14 08:00:00,426.94,427.44,424.69,424.94,407,88,0
2024-11-14 16:00:00,424.94,425.19,417.69,418.19,742,88,0
2024-11-15 00:00:00,418.19,419.19,417.94,418.69,194,88,0
2024-11-15 08:00:00,418.69,419.69,417.69,417.69,388,88,0
2024-11-15 16:00:00,417.69,424.44,416.69,423.69,789,88,0
2024-11-18 00:00:00,423.31,435.19,422.94,423.69,365,88,0
2024-11-18 08:00:00,423.69,433.94,421.94,422.06,586,88,0
2024-11-18 16:00:00,421.94,436.19,421.94,428.69,882,88,0
2024-11-19 00:00:00,428.44,435.44,427.94,428.44,326,88,0
2024-11-19 08:00:00,435.19,435.94,428.19,428.94,620,88,0
2024-11-19 16:00:00,428.69,437.19,426.19,426.94,971,88,0
2024-11-20 00:00:00,426.69,434.94,426.19,434.44,355,88,0
2024-11-20 08:00:00,434.44,435.94,424.69,432.19,620,88,0
2024-11-20 16:00:00,435.19,441.19,433.19,439.56,849,88,0
2024-11-21 00:00:00,439.19,440.19,436.19,439.94,347,88,0
2024-11-21 08:00:00,439.69,441.81,435.31,435.31,648,88,0
2024-11-21 16:00:00,439.44,439.69,432.19,436.19,801,88,0
2024-11-22 00:00:00,435.94,436.94,432.44,436.44,337,88,0
2024-11-22 08:00:00,436.44,438.44,431.94,437.56,648,88,0
2024-11-22 16:00:00,437.19,438.44,431.44,435.19,722,88,0
2024-11-25 00:00:00,434.19,435.19,431.06,431.19,308,88,0
2024-11-25 08:00:00,431.06,434.69,429.69,429.94,600,88,0
2024-11-25 16:00:00,432.19,434.69,429.19,432.94,911,88,0
2024-11-26 00:00:00,431.94,431.94,427.69,431.19,365,88,0
