time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,0.93584,0.93757,0.93584,0.93757,56,122,0
2024-11-11 00:10:00,0.93758,0.93817,0.93686,0.93742,218,90,0
2024-11-11 00:20:00,0.93743,0.93818,0.93702,0.93753,209,75,0
2024-11-11 00:30:00,0.93749,0.93811,0.93702,0.93727,223,100,0
2024-11-11 00:40:00,0.93726,0.93797,0.93716,0.93755,232,101,0
2024-11-11 00:50:00,0.93754,0.93795,0.9375,0.93765,476,101,0
2024-11-11 01:00:00,0.93778,0.9388,0.93776,0.93879,267,8,0
2024-11-11 01:10:00,0.93878,0.93881,0.93856,0.93867,141,7,0
2024-11-11 01:20:00,0.93867,0.93876,0.93862,0.93869,134,6,0
2024-11-11 01:30:00,0.9387,0.93884,0.93863,0.93864,119,5,0
2024-11-11 01:40:00,0.93864,0.93885,0.93857,0.93875,136,5,0
2024-11-11 01:50:00,0.93877,0.9388,0.93852,0.9386,213,6,0
2024-11-11 02:00:00,0.9386,0.93881,0.93856,0.93881,288,2,0
2024-11-11 02:10:00,0.9388,0.93912,0.93879,0.93909,147,3,0
2024-11-11 02:20:00,0.9391,0.93918,0.93881,0.93891,178,3,0
2024-11-11 02:30:00,0.939,0.93909,0.93884,0.93909,195,4,0
2024-11-11 02:40:00,0.93908,0.93914,0.93896,0.93898,185,3,0
2024-11-11 02:50:00,0.93897,0.93928,0.93881,0.93925,304,0,0
2024-11-11 03:00:00,0.93925,0.9394,0.93919,0.93925,376,1,0
2024-11-11 03:10:00,0.93925,0.93959,0.93922,0.93955,245,4,0
2024-11-11 03:20:00,0.93955,0.93964,0.9393,0.93939,382,3,0
2024-11-11 03:30:00,0.93938,0.93956,0.93937,0.93945,233,4,0
2024-11-11 03:40:00,0.93943,0.93962,0.93928,0.93932,220,3,0
2024-11-11 03:50:00,0.93932,0.93948,0.93931,0.93934,242,5,0
2024-11-11 04:00:00,0.93934,0.93939,0.93922,0.93923,221,5,0
2024-11-11 04:10:00,0.93922,0.93949,0.93922,0.93939,194,4,0
2024-11-11 04:20:00,0.93937,0.93947,0.93931,0.93936,187,3,0
2024-11-11 04:30:00,0.93935,0.93965,0.9393,0.93961,289,1,0
