time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 15:00:00,458.54,464.37,458.54,461.44,99,147,0
2024-11-11 15:10:00,461.44,461.74,458.19,459.92,26,137,0
2024-11-11 15:20:00,459.89,463.04,459.89,460.77,63,127,0
2024-11-11 15:30:00,460.57,460.57,459.39,459.67,19,192,0
2024-11-11 15:40:00,459.62,460.14,458.39,458.39,23,162,0
2024-11-11 15:50:00,458.44,458.99,458.02,458.99,31,177,0
2024-11-11 16:00:00,458.39,458.72,457.89,457.94,14,192,0
2024-11-11 16:10:00,457.94,458.12,457.47,457.99,12,192,0
2024-11-11 16:20:00,458.02,459.49,457.77,458.92,33,137,0
2024-11-11 16:30:00,458.94,458.94,458.84,458.87,13,192,0
2024-11-11 16:40:00,458.87,460.24,458.87,460.04,29,92,0
2024-11-11 16:50:00,460.04,460.12,459.79,459.84,19,152,0
2024-11-11 17:00:00,459.89,460.14,459.49,459.49,21,142,0
2024-11-11 17:10:00,459.54,459.54,458.64,459.09,12,102,0
2024-11-11 17:20:00,458.69,459.24,458.64,458.84,13,87,0
2024-11-11 17:30:00,459.19,459.39,458.04,458.59,29,77,0
2024-11-11 17:40:00,458.59,458.64,457.82,457.82,31,147,0
2024-11-11 17:50:00,457.82,458.17,457.62,457.82,8,192,0
2024-11-11 18:00:00,457.77,457.92,457.14,457.89,20,162,0
2024-11-11 18:10:00,457.94,458.64,457.69,458.49,20,147,0
2024-11-11 18:20:00,458.49,458.49,457.44,458.19,17,142,0
2024-11-11 18:30:00,458.09,458.34,457.94,458.14,13,142,0
2024-11-11 18:40:00,458.09,458.59,457.89,458.14,15,152,0
2024-11-11 18:50:00,458.12,458.74,457.99,458.19,16,137,0
2024-11-11 19:00:00,458.19,458.39,458.19,458.29,8,172,0
2024-11-11 19:10:00,458.19,458.74,457.94,458.74,15,122,0
2024-11-11 19:20:00,458.74,459.69,458.27,458.42,25,67,0
2024-11-11 19:30:00,457.92,458.09,457.44,457.94,24,177,0
2024-11-11 19:40:00,457.89,458.09,455.79,455.79,39,157,0
2024-11-11 19:50:00,455.79,457.52,455.59,457.47,33,152,0
2024-11-11 20:00:00,456.57,457.79,456.57,456.82,30,152,0
2024-11-11 20:10:00,456.87,457.14,456.09,456.67,29,102,0
2024-11-11 20:20:00,456.37,457.19,455.94,456.37,57,97,0
2024-11-11 20:30:00,457.02,457.64,456.52,457.44,38,192,0
2024-11-11 20:40:00,457.49,457.72,457.39,457.42,8,192,0
2024-11-11 20:50:00,457.37,457.72,457.29,457.69,14,192,0
2024-11-12 15:00:00,459.02,465.29,459.02,464.32,54,72,0
2024-11-12 15:10:00,464.22,464.89,464.09,464.34,22,182,0
2024-11-12 15:20:00,464.29,464.69,462.09,462.09,24,167,0
2024-11-12 15:30:00,462.02,462.59,460.94,461.64,31,192,0
2024-11-12 15:40:00,461.67,463.24,461.57,462.79,51,192,0
2024-11-12 15:50:00,462.77,463.02,461.59,461.87,18,192,0
2024-11-12 16:00:00,462.19,463.47,461.67,462.82,36,192,0
2024-11-12 16:10:00,462.82,463.79,462.17,462.44,33,192,0
2024-11-12 16:20:00,462.37,463.97,461.99,463.89,21,192,0
2024-11-12 16:30:00,463.82,464.69,462.59,464.22,18,192,0
2024-11-12 16:40:00,464.22,464.32,462.12,463.07,23,142,0
2024-11-12 16:50:00,463.17,463.54,461.99,462.07,28,132,0
2024-11-12 17:00:00,462.12,463.49,462.12,463.49,10,162,0
2024-11-12 17:10:00,463.49,464.54,461.44,463.64,26,87,0
2024-11-12 17:20:00,463.79,463.79,462.32,462.49,25,132,0
2024-11-12 17:30:00,462.67,464.24,462.67,464.24,18,117,0
2024-11-12 17:40:00,464.24,464.64,462.39,463.59,44,77,0
2024-11-12 17:50:00,463.42,464.84,462.87,462.87,35,132,0
2024-11-12 18:00:00,462.84,463.94,462.49,463.94,21,177,0
2024-11-12 18:10:00,463.94,464.14,462.09,462.62,24,137,0
2024-11-12 18:20:00,463.07,464.19,463.02,463.02,19,152,0
2024-11-12 18:30:00,462.39,462.54,462.04,462.19,12,152,0
2024-11-12 18:40:00,462.24,463.34,461.14,462.39,30,107,0
2024-11-12 18:50:00,462.49,463.59,462.14,462.29,18,142,0
2024-11-12 19:00:00,462.44,463.62,462.44,463.62,33,152,0
2024-11-12 19:10:00,463.59,464.74,462.82,463.67,29,157,0
2024-11-12 19:20:00,463.77,464.44,463.77,464.07,29,192,0
2024-11-12 19:30:00,464.04,464.67,463.74,464.14,31,157,0
2024-11-12 19:40:00,464.19,464.57,463.87,464.29,29,157,0
2024-11-12 19:50:00,464.29,464.54,464.29,464.44,13,157,0
2024-11-12 20:00:00,464.09,464.09,463.24,464.04,18,192,0
2024-11-12 20:10:00,464.04,464.19,463.49,463.97,24,177,0
2024-11-12 20:20:00,463.97,464.44,462.14,462.49,43,122,0
2024-11-12 20:30:00,462.19,462.62,462.19,462.57,10,192,0
2024-11-12 20:40:00,462.49,462.49,462.09,462.22,11,172,0
2024-11-12 20:50:00,462.34,462.94,462.24,462.59,22,192,0
2024-11-13 15:00:00,463.57,466.67,463.57,466.09,40,147,0
