time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 10:30:00,21.83,21.86,21.79,21.85,67,5,0
2024-11-11 10:40:00,21.86,21.93,21.84,21.85,49,5,0
2024-11-11 10:50:00,21.85,21.87,21.82,21.82,29,5,0
2024-11-11 11:00:00,21.81,21.84,21.76,21.79,30,5,0
2024-11-11 11:10:00,21.79,21.81,21.77,21.78,17,5,0
2024-11-11 11:20:00,21.78,21.78,21.71,21.72,40,5,0
2024-11-11 11:30:00,21.72,21.76,21.7,21.72,35,5,0
2024-11-11 11:40:00,21.72,21.72,21.65,21.67,31,5,0
2024-11-11 11:50:00,21.67,21.72,21.67,21.69,28,5,0
2024-11-11 12:00:00,21.69,21.71,21.68,21.71,19,5,0
2024-11-11 12:10:00,21.71,21.72,21.71,21.72,12,5,0
2024-11-11 12:20:00,21.72,21.74,21.72,21.72,18,5,0
2024-11-11 12:30:00,21.72,21.73,21.7,21.73,19,5,0
2024-11-11 12:40:00,21.73,21.73,21.7,21.71,18,5,0
2024-11-11 12:50:00,21.71,21.71,21.68,21.68,15,5,0
2024-11-11 13:00:00,21.68,21.69,21.63,21.65,38,5,0
2024-11-11 13:10:00,21.63,21.66,21.63,21.66,19,5,0
2024-11-11 13:20:00,21.66,21.68,21.6,21.63,31,5,0
2024-11-11 13:30:00,21.63,21.65,21.62,21.65,25,5,0
2024-11-11 13:40:00,21.65,21.65,21.63,21.64,17,5,0
2024-11-11 13:50:00,21.64,21.68,21.64,21.67,26,5,0
2024-11-11 14:00:00,21.67,21.67,21.63,21.63,19,5,0
2024-11-11 14:10:00,21.63,21.66,21.6,21.6,29,5,0
2024-11-11 14:20:00,21.6,21.6,21.58,21.58,25,5,0
2024-11-11 14:30:00,21.58,21.7,21.58,21.65,49,5,0
2024-11-11 14:40:00,21.65,21.65,21.48,21.49,30,5,0
2024-11-11 14:50:00,21.48,21.5,21.39,21.41,68,5,0
2024-11-11 15:00:00,21.42,21.42,21.35,21.37,59,5,0
2024-11-11 15:10:00,21.36,21.37,21.24,21.25,81,5,0
2024-11-11 15:20:00,21.25,21.33,21.24,21.29,57,5,0
2024-11-11 15:30:00,21.27,21.29,21.24,21.25,39,5,0
2024-11-11 15:40:00,21.25,21.27,21.25,21.25,28,5,0
