time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 01:00:00,70.44,70.59,70.26,70.59,208,2,0
2024-11-11 01:10:00,70.59,70.59,70.49,70.52,81,2,0
2024-11-11 01:20:00,70.52,70.52,70.44,70.46,60,2,0
2024-11-11 01:30:00,70.46,70.48,70.44,70.45,33,2,0
2024-11-11 01:40:00,70.45,70.46,70.4,70.42,31,2,0
2024-11-11 01:50:00,70.42,70.44,70.35,70.42,42,2,0
2024-11-11 02:00:00,70.41,70.44,70.41,70.42,31,2,0
2024-11-11 02:10:00,70.42,70.46,70.42,70.46,30,2,0
2024-11-11 02:20:00,70.46,70.47,70.44,70.45,27,2,0
2024-11-11 02:30:00,70.45,70.45,70.41,70.45,33,2,0
2024-11-11 02:40:00,70.45,70.5,70.43,70.5,35,2,0
2024-11-11 02:50:00,70.5,70.5,70.43,70.45,40,2,0
2024-11-11 03:00:00,70.45,70.45,70.24,70.27,227,2,0
2024-11-11 03:10:00,70.26,70.3,70.15,70.17,177,2,0
2024-11-11 03:20:00,70.17,70.26,70.14,70.16,146,2,0
2024-11-11 03:30:00,70.15,70.34,70.15,70.32,211,2,0
2024-11-11 03:40:00,70.32,70.37,70.23,70.26,194,2,0
2024-11-11 03:50:00,70.26,70.32,70.25,70.29,134,2,0
2024-11-11 04:00:00,70.29,70.35,70.25,70.27,148,2,0
2024-11-11 04:10:00,70.27,70.27,70.21,70.21,92,2,0
2024-11-11 04:20:00,70.21,70.24,70.18,70.24,87,2,0
2024-11-11 04:30:00,70.24,70.24,70.17,70.2,161,2,0
2024-11-11 04:40:00,70.2,70.26,70.14,70.24,90,2,0
2024-11-11 04:50:00,70.24,70.35,70.24,70.34,89,2,0
2024-11-11 05:00:00,70.34,70.34,70.29,70.32,69,2,0
2024-11-11 05:10:00,70.32,70.34,70.25,70.26,64,2,0
2024-11-11 05:20:00,70.26,70.28,70.22,70.24,41,1,0
2024-11-11 05:30:00,70.24,70.24,70.16,70.17,63,2,0
2024-11-11 05:40:00,70.17,70.21,70.17,70.21,33,2,0
2024-11-11 05:50:00,70.21,70.24,70.2,70.24,46,2,0
2024-11-11 06:00:00,70.24,70.25,70.22,70.23,35,2,0
2024-11-11 06:10:00,70.23,70.23,70.18,70.19,43,2,0
2024-11-11 06:20:00,70.19,70.21,70.18,70.19,38,2,0
2024-11-11 06:30:00,70.19,70.19,70.16,70.17,28,2,0
2024-11-11 06:40:00,70.17,70.17,70.11,70.13,46,2,0
2024-11-11 06:50:00,70.13,70.15,70.12,70.14,42,2,0
2024-11-11 07:00:00,70.14,70.22,70.14,70.22,47,2,0
2024-11-11 07:10:00,70.22,70.28,70.21,70.26,53,2,0
2024-11-11 07:20:00,70.26,70.32,70.25,70.3,34,1,0
2024-11-11 07:30:00,70.3,70.43,70.19,70.21,195,2,0
2024-11-11 07:40:00,70.21,70.22,70.16,70.2,65,1,0
2024-11-11 07:50:00,70.2,70.26,70.19,70.24,84,2,0
2024-11-11 08:00:00,70.24,70.32,70.21,70.3,84,2,0
2024-11-11 08:10:00,70.3,70.52,70.3,70.5,127,2,0
2024-11-11 08:20:00,70.5,70.5,70.44,70.49,124,2,0
2024-11-11 08:30:00,70.5,70.53,70.48,70.5,119,1,0
2024-11-11 08:40:00,70.51,70.55,70.49,70.54,95,2,0
2024-11-11 08:50:00,70.55,70.55,70.51,70.53,91,2,0
2024-11-11 09:00:00,70.53,70.55,70.51,70.53,75,1,0
2024-11-11 09:10:00,70.53,70.54,70.44,70.44,89,2,0
2024-11-11 09:20:00,70.44,70.46,70.35,70.44,100,1,0
2024-11-11 09:30:00,70.44,70.48,70.39,70.46,115,1,0
2024-11-11 09:40:00,70.46,70.55,70.44,70.47,163,1,0
2024-11-11 09:50:00,70.47,70.55,70.43,70.48,168,1,0
2024-11-11 10:00:00,70.49,70.65,70.49,70.54,238,2,0
2024-11-11 10:10:00,70.54,70.67,70.54,70.66,158,2,0
2024-11-11 10:20:00,70.66,70.67,70.53,70.62,305,2,0
2024-11-11 10:30:00,70.61,70.73,70.41,70.67,387,2,0
2024-11-11 10:40:00,70.67,70.7,70.54,70.6,178,2,0
2024-11-11 10:50:00,70.6,70.65,70.51,70.6,198,1,0
2024-11-11 11:00:00,70.61,70.7,70.52,70.61,311,1,0
2024-11-11 11:10:00,70.61,70.69,70.26,70.28,299,2,0
2024-11-11 11:20:00,70.28,70.3,69.8,69.85,501,1,0
2024-11-11 11:30:00,69.85,69.99,69.75,69.84,377,2,0
2024-11-11 11:40:00,69.84,69.84,69.62,69.72,330,1,0
2024-11-11 11:50:00,69.72,69.82,69.7,69.71,248,1,0
2024-11-11 12:00:00,69.71,69.71,69.43,69.57,348,1,0
2024-11-11 12:10:00,69.57,69.72,69.47,69.68,351,1,0
2024-11-11 12:20:00,69.68,69.69,69.57,69.57,237,2,0
2024-11-11 12:30:00,69.57,69.59,69.48,69.49,282,2,0
2024-11-11 12:40:00,69.49,69.53,69.38,69.51,291,1,0
2024-11-11 12:50:00,69.51,69.53,69.34,69.36,189,2,0
2024-11-11 13:00:00,69.36,69.39,69.24,69.27,188,2,0
2024-11-11 13:10:00,69.27,69.55,69.27,69.5,303,2,0
2024-11-11 13:20:00,69.5,69.51,69.29,69.39,177,1,0
2024-11-11 13:30:00,69.39,69.4,69.16,69.29,232,2,0
2024-11-11 13:40:00,69.29,69.39,69.27,69.3,195,2,0
2024-11-11 13:50:00,69.3,69.47,69.26,69.41,228,2,0
2024-11-11 14:00:00,69.41,69.46,69.36,69.36,214,2,0
2024-11-11 14:10:00,69.36,69.49,69.31,69.34,169,1,0
2024-11-11 14:20:00,69.34,69.4,69.28,69.3,175,2,0
2024-11-11 14:30:00,69.3,69.36,69.24,69.24,168,2,0
2024-11-11 14:40:00,69.24,69.26,68.94,69.01,293,2,0
2024-11-11 14:50:00,69.01,69.06,68.93,68.97,254,1,0
2024-11-11 15:00:00,68.97,69.12,68.89,69.05,496,2,0
2024-11-11 15:10:00,69.05,69.13,68.93,68.98,384,2,0
2024-11-11 15:20:00,68.98,69.01,68.79,68.87,416,2,0
2024-11-11 15:30:00,68.87,68.93,68.8,68.82,266,2,0
2024-11-11 15:40:00,68.82,68.84,68.65,68.69,344,2,0
2024-11-11 15:50:00,68.69,68.9,68.62,68.82,443,2,0
2024-11-11 16:00:00,68.82,68.93,68.71,68.84,500,2,0
2024-11-11 16:10:00,68.84,68.95,68.66,68.68,345,2,0
2024-11-11 16:20:00,68.68,68.74,68.55,68.71,361,2,0
2024-11-11 16:30:00,68.71,68.79,68.61,68.68,513,2,0
2024-11-11 16:40:00,68.68,68.88,68.57,68.85,577,2,0
2024-11-11 16:50:00,68.85,68.91,68.76,68.84,512,2,0
2024-11-11 17:00:00,68.85,68.94,68.79,68.84,432,2,0
2024-11-11 17:10:00,68.84,68.85,68.76,68.79,362,2,0
2024-11-11 17:20:00,68.8,68.8,68.36,68.37,450,2,0
2024-11-11 17:30:00,68.37,68.52,68.31,68.43,448,2,0
2024-11-11 17:40:00,68.43,68.49,68.31,68.36,380,2,0
2024-11-11 17:50:00,68.36,68.46,68.29,68.31,337,2,0
2024-11-11 18:00:00,68.31,68.41,68.22,68.37,372,2,0
2024-11-11 18:10:00,68.37,68.39,68.23,68.27,359,2,0
2024-11-11 18:20:00,68.27,68.48,68.15,68.41,504,2,0
2024-11-11 18:30:00,68.42,68.52,68.28,68.3,507,2,0
2024-11-11 18:40:00,68.3,68.42,68.26,68.3,364,2,0
2024-11-11 18:50:00,68.29,68.31,68.17,68.23,318,2,0
2024-11-11 19:00:00,68.23,68.53,68.21,68.44,301,1,0
2024-11-11 19:10:00,68.44,68.51,68.39,68.49,243,2,0
2024-11-11 19:20:00,68.49,68.52,68.4,68.49,238,2,0
2024-11-11 19:30:00,68.49,68.49,68.31,68.35,227,2,0
2024-11-11 19:40:00,68.35,68.38,68.29,68.34,188,2,0
2024-11-11 19:50:00,68.33,68.38,68.24,68.35,191,2,0
2024-11-11 20:00:00,68.35,68.38,68.25,68.34,240,2,0
2024-11-11 20:10:00,68.34,68.39,68.24,68.25,195,2,0
2024-11-11 20:20:00,68.25,68.3,68.22,68.26,218,2,0
2024-11-11 20:30:00,68.26,68.38,68.22,68.35,206,2,0
2024-11-11 20:40:00,68.35,68.4,68.3,68.32,175,2,0
2024-11-11 20:50:00,68.32,68.38,68.24,68.36,220,2,0
2024-11-11 21:00:00,68.36,68.5,68.27,68.33,347,2,0
2024-11-11 21:10:00,68.33,68.35,68.11,68.31,551,2,0
2024-11-11 21:20:00,68.31,68.37,68.15,68.24,432,2,0
2024-11-11 21:30:00,68.24,68.27,68.18,68.24,175,2,0
2024-11-11 21:40:00,68.24,68.32,68.2,68.3,116,2,0
2024-11-11 21:50:00,68.3,68.38,68.3,68.32,100,2,0
2024-11-11 22:00:00,68.32,68.39,68.31,68.35,94,2,0
2024-11-11 22:10:00,68.35,68.41,68.3,68.33,80,2,0
2024-11-11 22:20:00,68.33,68.41,68.33,68.36,60,2,0
2024-11-11 22:30:00,68.36,68.37,68.32,68.35,39,2,0
2024-11-11 22:40:00,68.35,68.38,68.34,68.35,68,2,0
2024-11-11 22:50:00,68.35,68.43,68.35,68.41,59,2,0
2024-11-11 23:00:00,68.41,68.42,68.37,68.39,64,2,0
2024-11-11 23:10:00,68.39,68.43,68.32,68.33,47,2,0
2024-11-11 23:20:00,68.33,68.34,68.31,68.33,25,1,0
2024-11-11 23:30:00,68.33,68.35,68.3,68.31,47,2,0
2024-11-11 23:40:00,68.31,68.32,68.28,68.29,35,2,0
2024-11-11 23:50:00,68.3,68.32,68.27,68.3,42,2,0
2024-11-12 01:00:00,68.26,68.29,68.22,68.27,54,2,0
2024-11-12 01:10:00,68.27,68.27,68.22,68.22,35,2,0
2024-11-12 01:20:00,68.22,68.27,68.22,68.24,44,1,0
2024-11-12 01:30:00,68.23,68.31,68.23,68.3,52,2,0
2024-11-12 01:40:00,68.3,68.35,68.27,68.33,84,1,0
