time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 01:00:00,21190.22,21209.35,21169.6,21205.72,1800,120,0
2024-11-11 01:15:00,21205.72,21213.97,21201.35,21206.1,921,120,0
2024-11-11 01:30:00,21206.72,21214.72,21203.97,21214.22,816,120,0
2024-11-11 01:45:00,21214.22,21218.72,21208.35,21211.72,971,120,0
2024-11-11 02:00:00,21210.97,21217.72,21200.1,21200.85,1621,120,0
2024-11-11 02:15:00,21201.1,21208.72,21199.97,21202.47,1155,120,0
2024-11-11 02:30:00,21202.6,21205.1,21187.1,21187.85,1358,120,0
2024-11-11 02:45:00,21187.85,21189.85,21180.35,21182.47,1282,120,0
2024-11-11 03:00:00,21182.35,21189.85,21171.22,21176.35,1640,120,0
2024-11-11 03:15:00,21176.47,21178.85,21165.85,21177.35,1494,120,0
2024-11-11 03:30:00,21177.35,21196.6,21175.72,21195.47,1836,120,0
2024-11-11 03:45:00,21195.35,21196.47,21185.72,21190.6,1387,120,0
2024-11-11 04:00:00,21190.6,21191.35,21178.72,21183.47,1402,120,0
2024-11-11 04:15:00,21183.35,21183.85,21176.1,21180.1,1186,120,0
2024-11-11 04:30:00,21180.1,21180.6,21172.97,21177.97,1192,120,0
2024-11-11 04:45:00,21178.22,21180.1,21170.1,21177.47,1055,120,0
2024-11-11 05:00:00,21177.35,21179.47,21173.1,21178.85,971,120,0
2024-11-11 05:15:00,21178.85,21185.1,21177.1,21181.35,949,120,0
2024-11-11 05:30:00,21181.35,21181.72,21174.97,21181.72,711,120,0
2024-11-11 05:45:00,21181.72,21184.85,21178.47,21181.22,520,120,0
2024-11-11 06:00:00,21181.35,21192.47,21181.35,21192.1,797,120,0
2024-11-11 06:15:00,21192.1,21193.47,21188.85,21191.22,670,120,0
2024-11-11 06:30:00,21191.35,21192.6,21186.72,21187.35,545,120,0
2024-11-11 06:45:00,21187.35,21195.97,21187.35,21194.72,600,120,0
2024-11-11 07:00:00,21194.72,21206.72,21193.97,21205.6,1002,120,0
2024-11-11 07:15:00,21205.6,21207.22,21200.22,21202.35,882,120,0
2024-11-11 07:30:00,21202.22,21202.35,21194.72,21198.85,824,120,0
2024-11-11 07:45:00,21198.85,21199.85,21195.47,21196.1,661,120,0
