time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 01:00:00,31.241,31.32,31.203,31.314,460,11,0
2024-11-11 01:15:00,31.312,31.366,31.304,31.349,231,11,0
2024-11-11 01:30:00,31.35,31.386,31.346,31.374,188,9,0
2024-11-11 01:45:00,31.373,31.415,31.371,31.414,199,11,0
2024-11-11 02:00:00,31.414,31.42,31.32,31.326,348,9,0
2024-11-11 02:15:00,31.323,31.363,31.275,31.355,311,9,0
2024-11-11 02:30:00,31.355,31.393,31.348,31.377,317,9,0
2024-11-11 02:45:00,31.379,31.416,31.362,31.386,334,9,0
2024-11-11 03:00:00,31.386,31.414,31.169,31.285,2129,9,0
2024-11-11 03:15:00,31.29,31.295,31.171,31.261,1720,11,0
2024-11-11 03:30:00,31.26,31.378,31.254,31.344,1726,9,0
2024-11-11 03:45:00,31.343,31.352,31.22,31.248,1341,11,0
2024-11-11 04:00:00,31.251,31.324,31.233,31.293,1328,12,0
2024-11-11 04:15:00,31.294,31.299,31.222,31.255,475,9,0
2024-11-11 04:30:00,31.256,31.257,31.096,31.205,1382,9,0
2024-11-11 04:45:00,31.208,31.267,31.181,31.256,1007,9,0
2024-11-11 05:00:00,31.253,31.261,31.189,31.229,687,9,0
2024-11-11 05:15:00,31.229,31.234,31.195,31.224,644,9,0
2024-11-11 05:30:00,31.222,31.229,31.178,31.222,359,9,0
2024-11-11 05:45:00,31.222,31.244,31.199,31.202,315,9,0
2024-11-11 06:00:00,31.202,31.213,31.185,31.191,328,9,0
2024-11-11 06:15:00,31.19,31.215,31.177,31.205,276,9,0
2024-11-11 06:30:00,31.208,31.215,31.173,31.174,204,9,0
2024-11-11 06:45:00,31.175,31.212,31.139,31.208,342,9,0
2024-11-11 07:00:00,31.209,31.328,31.207,31.28,525,10,0
2024-11-11 07:15:00,31.277,31.288,31.181,31.246,703,10,0
2024-11-11 07:30:00,31.243,31.279,31.217,31.259,1147,9,0
2024-11-11 07:45:00,31.263,31.289,31.226,31.251,885,9,0
2024-11-11 08:00:00,31.252,31.299,31.225,31.274,742,9,0
2024-11-11 08:15:00,31.27,31.34,31.266,31.334,731,9,0
2024-11-11 08:30:00,31.333,31.37,31.315,31.336,593,9,0
2024-11-11 08:45:00,31.336,31.376,31.324,31.371,517,9,0
2024-11-11 09:00:00,31.371,31.391,31.265,31.306,491,7,0
2024-11-11 09:15:00,31.306,31.306,31.232,31.275,721,7,0
2024-11-11 09:30:00,31.276,31.29,31.213,31.238,1022,7,0
