time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 01:00:00,4077.28,4080.24,4065.4,4076.67,1846,34,0
2024-11-11 01:15:00,4076.61,4077.97,4074.37,4075.15,1519,34,0
2024-11-11 01:30:00,4075.21,4077.41,4074.83,4075.74,1197,22,0
2024-11-11 01:45:00,4075.65,4078.91,4073.64,4078.9,1193,34,0
2024-11-11 02:00:00,4078.9,4080.1,4073.96,4074.17,1851,6,0
2024-11-11 02:15:00,4074.2,4074.37,4070.19,4070.65,1545,0,0
2024-11-11 02:30:00,4070.68,4072.17,4069.85,4070.5,1244,15,0
2024-11-11 02:45:00,4070.48,4075.26,4069.98,4072.71,1754,0,0
2024-11-11 03:00:00,4072.71,4074.16,4059.84,4060.69,4568,0,0
2024-11-11 03:15:00,4060.92,4061.18,4053.41,4057.25,4310,0,0
2024-11-11 03:30:00,4057.25,4062.22,4055.27,4059.83,4068,0,0
2024-11-11 03:45:00,4059.77,4062.05,4054.91,4055.68,3442,27,0
2024-11-11 04:00:00,4055.74,4056.72,4052.73,4053.99,3328,27,0
2024-11-11 04:15:00,4054.05,4060.63,4053.71,4059.39,2159,0,0
2024-11-11 04:30:00,4059.32,4059.32,4048.07,4053.0,3946,0,0
2024-11-11 04:45:00,4053.03,4054.95,4049.61,4054.3,2802,5,0
2024-11-11 05:00:00,4054.27,4054.28,4048.48,4050.5,2389,0,0
2024-11-11 05:15:00,4050.43,4051.2,4047.46,4048.23,1937,0,0
2024-11-11 05:30:00,4048.25,4052.29,4047.62,4052.03,1573,0,0
2024-11-11 05:45:00,4052.03,4053.0,4049.63,4049.72,1570,0,0
2024-11-11 06:00:00,4049.6,4052.88,4048.44,4050.8,1713,0,0
2024-11-11 06:15:00,4050.68,4052.55,4050.18,4051.95,1959,7,0
2024-11-11 06:30:00,4051.91,4053.27,4050.96,4051.71,1864,0,0
2024-11-11 06:45:00,4051.86,4053.54,4049.19,4053.09,1455,5,0
2024-11-11 07:00:00,4053.06,4054.63,4048.31,4049.05,1995,0,0
2024-11-11 07:15:00,4049.09,4052.26,4045.7,4047.38,1970,0,0
2024-11-11 07:30:00,4047.08,4049.64,4046.64,4048.8,2448,0,0
2024-11-11 07:45:00,4048.75,4050.87,4047.57,4050.24,2873,0,0
2024-11-11 08:00:00,4050.28,4054.48,4048.2,4054.43,2720,0,0
2024-11-11 08:15:00,4054.46,4058.86,4053.93,4054.48,2292,4,0
2024-11-11 08:30:00,4054.53,4055.58,4052.35,4054.12,2207,15,0
2024-11-11 08:45:00,4054.14,4054.92,4052.36,4054.65,2001,15,0
2024-11-11 09:00:00,4054.65,4055.23,4050.12,4054.11,3479,0,0
2024-11-11 09:15:00,4054.18,4060.05,4053.63,4058.08,3025,3,0
2024-11-11 09:30:00,4058.09,4059.52,4056.61,4058.41,3081,0,0
2024-11-11 09:45:00,4058.38,4060.26,4054.43,4055.32,3337,0,0
2024-11-11 10:00:00,4055.08,4060.92,4054.05,4060.18,3205,0,0
2024-11-11 10:15:00,4060.22,4060.35,4055.39,4057.4,2996,10,0
2024-11-11 10:30:00,4057.38,4059.74,4055.55,4056.73,2766,0,0
2024-11-11 10:45:00,4056.72,4059.07,4054.84,4056.53,2781,0,0
2024-11-11 11:00:00,4056.48,4057.33,4054.19,4054.79,2842,0,0
2024-11-11 11:15:00,4054.78,4055.67,4048.47,4052.51,3351,0,0
2024-11-11 11:30:00,4052.51,4055.97,4052.21,4054.05,2626,0,0
2024-11-11 11:45:00,4054.07,4055.46,4046.69,4051.13,2438,0,0
2024-11-11 12:00:00,4051.11,4059.4,4050.76,4058.79,2294,0,0
2024-11-11 12:15:00,4058.8,4060.81,4053.02,4053.28,3168,0,0
2024-11-11 12:30:00,4053.16,4053.54,4051.15,4051.39,2250,0,0
2024-11-11 12:45:00,4051.33,4053.65,4041.98,4043.36,2538,0,0
2024-11-11 13:00:00,4043.3,4049.05,4040.26,4046.27,3222,0,0
2024-11-11 13:15:00,4046.18,4051.61,4046.18,4051.03,2315,0,0
2024-11-11 13:30:00,4050.91,4053.4,4047.72,4048.23,2415,0,0
2024-11-11 13:45:00,4048.24,4049.96,4042.1,4043.17,2662,0,0
2024-11-11 14:00:00,4043.17,4043.66,4037.48,4038.48,3097,0,0
2024-11-11 14:15:00,4038.51,4042.44,4037.79,4041.25,2595,0,0
2024-11-11 14:30:00,4041.22,4042.71,4037.65,4041.47,2541,0,0
2024-11-11 14:45:00,4041.39,4042.11,4036.89,4037.81,2691,0,0
2024-11-11 15:00:00,4037.72,4039.39,4030.7,4037.82,4665,0,0
2024-11-11 15:15:00,4037.87,4043.09,4034.33,4034.42,4301,0,0
2024-11-11 15:30:00,4034.41,4035.92,4014.63,4016.14,5867,0,0
2024-11-11 15:45:00,4016.1,4020.04,4008.33,4010.11,5336,0,0
2024-11-11 16:00:00,4010.15,4010.15,3996.0,4001.25,5548,0,0
2024-11-11 16:15:00,4001.19,4006.08,3993.7,3995.7,4213,0,0
2024-11-11 16:30:00,3995.69,3996.06,3984.3,3988.27,6713,0,0
