time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 03:00:00,429.69,430.44,428.94,428.94,128,88,0
2024-11-11 03:20:00,428.69,429.94,428.69,429.94,37,88,0
2024-11-11 03:40:00,429.94,430.19,429.44,429.69,59,88,0
2024-11-11 04:00:00,429.69,429.69,429.44,429.44,31,88,0
2024-11-11 04:20:00,429.19,429.69,429.19,429.44,21,88,0
2024-11-11 04:40:00,429.44,429.69,429.44,429.69,21,88,0
2024-11-11 05:00:00,429.69,429.94,429.69,429.94,20,88,0
2024-11-11 05:20:00,429.94,429.94,429.69,429.69,17,88,0
2024-11-11 05:40:00,429.69,429.94,429.69,429.94,10,88,0
2024-11-11 06:00:00,429.94,429.94,429.94,429.94,8,88,0
2024-11-11 06:20:00,429.69,429.94,429.69,429.69,18,88,0
2024-11-11 06:40:00,429.69,429.69,429.69,429.69,13,88,0
2024-11-11 07:00:00,429.94,429.94,429.94,429.94,7,88,0
2024-11-11 07:20:00,429.94,430.19,429.94,429.94,19,88,0
2024-11-11 07:40:00,429.94,429.94,429.94,429.94,18,88,0
2024-11-11 08:00:00,429.94,429.94,429.69,429.94,22,88,0
2024-11-11 08:20:00,429.94,430.19,429.94,429.94,18,88,0
2024-11-11 08:40:00,429.94,430.19,429.94,430.19,12,88,0
2024-11-11 09:00:00,430.19,430.19,429.69,429.69,16,88,0
2024-11-11 09:20:00,429.69,429.94,429.69,429.94,17,88,0
2024-11-11 09:40:00,429.94,430.19,429.94,430.19,23,88,0
2024-11-11 10:00:00,430.19,430.44,430.19,430.44,18,88,0
2024-11-11 10:20:00,430.44,430.94,430.19,430.94,24,88,0
2024-11-11 10:40:00,430.94,431.44,430.69,431.31,45,88,0
2024-11-11 11:00:00,431.19,431.44,430.94,431.19,40,88,0
2024-11-11 11:20:00,431.19,431.19,430.81,430.94,24,88,0
2024-11-11 11:40:00,430.94,431.44,430.69,431.19,36,88,0
2024-11-11 12:00:00,431.19,431.44,430.94,431.19,35,88,0
2024-11-11 12:20:00,431.19,431.19,430.94,431.19,23,88,0
2024-11-11 12:40:00,431.19,431.44,430.94,430.94,20,88,0
2024-11-11 13:00:00,430.94,430.94,430.44,430.44,20,88,0
2024-11-11 13:20:00,430.44,430.69,430.19,430.69,48,88,0
2024-11-11 13:40:00,430.69,430.94,430.44,430.69,32,88,0
2024-11-11 14:00:00,430.81,430.81,429.69,429.69,34,88,0
2024-11-11 14:20:00,429.44,429.69,428.94,428.94,28,88,0
2024-11-11 14:40:00,429.06,429.44,428.94,428.94,32,88,0
2024-11-11 15:00:00,428.94,429.44,428.94,429.19,43,88,0
2024-11-11 15:20:00,429.19,429.44,428.94,429.19,38,88,0
2024-11-11 15:40:00,429.19,429.69,429.19,429.44,15,88,0
2024-11-11 16:20:00,429.19,430.69,428.69,430.44,104,88,0
2024-11-11 16:40:00,430.44,431.19,429.69,429.69,78,88,0
2024-11-11 17:00:00,429.69,429.69,428.44,428.44,113,88,0
2024-11-11 17:20:00,428.44,429.44,427.69,428.94,99,88,0
2024-11-11 17:40:00,428.94,428.94,427.44,427.69,62,88,0
2024-11-11 18:00:00,427.69,428.19,426.69,426.94,45,88,0
2024-11-11 18:20:00,426.69,427.69,426.19,427.44,45,88,0
2024-11-11 18:40:00,427.44,427.94,427.19,427.44,46,88,0
2024-11-11 19:00:00,427.44,428.94,427.44,428.19,85,88,0
2024-11-11 19:20:00,428.19,429.19,427.94,429.19,32,88,0
2024-11-11 19:40:00,429.19,429.19,427.94,428.44,40,88,0
2024-11-11 20:00:00,428.19,428.69,427.69,427.69,42,88,0
