time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 00:00:00,7.33189,7.33196,7.33187,7.33187,11,717,0
2025-01-02 00:20:00,7.33187,7.33336,7.33155,7.3331,20,395,0
2025-01-02 00:40:00,7.3331,7.3331,7.3312,7.33307,18,418,0
2025-01-02 01:00:00,7.33307,7.33327,7.33295,7.33295,26,224,0
2025-01-02 01:20:00,7.33295,7.33524,7.33084,7.33468,348,19,0
2025-01-02 01:40:00,7.33467,7.33514,7.33171,7.33323,642,24,0
2025-01-02 02:00:00,7.33323,7.3366299999999995,7.33314,7.33632,795,24,0
2025-01-02 02:20:00,7.3363,7.33672,7.33447,7.33536,852,24,0
2025-01-02 02:40:00,7.33536,7.33559,7.32723,7.3298,1939,24,0
2025-01-02 03:00:00,7.32976,7.33338,7.32628,7.32854,2837,24,0
2025-01-02 03:20:00,7.32864,7.32864,7.31952,7.32049,3241,24,0
2025-01-02 03:40:00,7.32049,7.32126,7.316,7.31979,3899,24,0
2025-01-02 04:00:00,7.31976,7.32031,7.31602,7.3177900000000005,2965,24,0
2025-01-02 04:20:00,7.31782,7.32153,7.31765,7.32009,2243,24,0
2025-01-02 04:40:00,7.32008,7.32098,7.3175,7.31812,2053,24,0
2025-01-02 05:00:00,7.31802,7.31896,7.31663,7.31818,1737,24,0
2025-01-02 05:20:00,7.3181899999999995,7.31822,7.31526,7.31598,1309,24,0
2025-01-02 05:40:00,7.31599,7.31746,7.31592,7.31689,1151,24,0
2025-01-02 06:00:00,7.3169,7.31753,7.31605,7.31665,624,24,0
2025-01-02 06:20:00,7.31665,7.31867,7.31661,7.31751,1006,24,0
2025-01-02 06:40:00,7.3175,7.31784,7.3161,7.31696,1332,24,0
2025-01-02 07:00:00,7.31693,7.31808,7.31609,7.31678,1537,24,0
2025-01-02 07:20:00,7.31674,7.31804,7.31605,7.3173,1254,24,0
2025-01-02 07:40:00,7.31731,7.319,7.31664,7.31818,2641,24,0
2025-01-02 08:00:00,7.31818,7.3189,7.31643,7.31878,2085,24,0
2025-01-02 08:20:00,7.31882,7.32255,7.31851,7.32062,2848,24,0
2025-01-02 08:40:00,7.32061,7.32143,7.31822,7.31989,2709,24,0
2025-01-02 09:00:00,7.31989,7.32059,7.3192,7.31954,1956,21,0
2025-01-02 09:20:00,7.31956,7.32519,7.31955,7.32327,2134,25,0
2025-01-02 09:40:00,7.32327,7.32333,7.32101,7.32243,1698,15,0
2025-01-02 10:00:00,7.32246,7.32664,7.32225,7.32645,2542,24,0
2025-01-02 10:20:00,7.32647,7.32806,7.3227,7.32368,2898,13,0
2025-01-02 10:40:00,7.32367,7.32784,7.32303,7.32571,2647,2,0
2025-01-02 11:00:00,7.3257,7.3281600000000005,7.32449,7.32544,2627,2,0
2025-01-02 11:20:00,7.3254,7.3272,7.32425,7.32665,1635,2,0
2025-01-02 11:40:00,7.32669,7.32784,7.32593,7.32692,1806,6,0
2025-01-02 12:00:00,7.32696,7.32696,7.32471,7.32589,1814,8,0
2025-01-02 12:20:00,7.3259,7.32941,7.32523,7.3289,2541,14,0
2025-01-02 12:40:00,7.3289,7.33515,7.32857,7.33453,3545,16,0
2025-01-02 13:00:00,7.33452,7.33508,7.33282,7.33466,1905,7,0
2025-01-02 13:20:00,7.33467,7.33759,7.3338,7.33755,1915,7,0
2025-01-02 13:40:00,7.33753,7.33869,7.33576,7.33609,2356,14,0
2025-01-02 14:00:00,7.33609,7.33702,7.33503,7.33534,1840,10,0
2025-01-02 14:20:00,7.33533,7.3354800000000004,7.33346,7.33525,1674,9,0
2025-01-02 14:40:00,7.33527,7.33634,7.33363,7.3353,2059,9,0
2025-01-02 15:00:00,7.33524,7.33647,7.33338,7.33424,2858,4,0
2025-01-02 15:20:00,7.33428,7.33958,7.33246,7.33614,3563,4,0
2025-01-02 15:40:00,7.33614,7.33619,7.33366,7.33371,3264,9,0
2025-01-02 16:00:00,7.33368,7.33604,7.33306,7.33536,3397,9,0
2025-01-02 16:20:00,7.33535,7.33544,7.33223,7.33525,3675,9,0
2025-01-02 16:40:00,7.33523,7.33855,7.33462,7.33763,3387,4,0
2025-01-02 17:00:00,7.33773,7.33853,7.33559,7.33615,3182,4,0
2025-01-02 17:20:00,7.33616,7.33625,7.3339,7.33547,4434,9,0
2025-01-02 17:40:00,7.33547,7.33943,7.33494,7.33873,4232,9,0
2025-01-02 18:00:00,7.33872,7.3415099999999995,7.33707,7.33798,5385,12,0
2025-01-02 18:20:00,7.33798,7.34321,7.33793,7.34216,3915,9,0
2025-01-02 18:40:00,7.34217,7.34461,7.34155,7.34232,3438,9,0
2025-01-02 19:00:00,7.34232,7.34397,7.34075,7.34152,2444,8,0
2025-01-02 19:20:00,7.34153,7.34397,7.34095,7.3437,2128,8,0
2025-01-02 19:40:00,7.3437,7.34406,7.34228,7.34322,2041,3,0
2025-01-02 20:00:00,7.3432,7.34446,7.34293,7.34343,1471,3,0
2025-01-02 20:20:00,7.34343,7.34463,7.34306,7.34361,1140,8,0
2025-01-02 20:40:00,7.34363,7.34422,7.34295,7.34323,708,8,0
2025-01-02 21:00:00,7.34323,7.3444,7.34293,7.34387,499,8,0
2025-01-02 21:20:00,7.34385,7.34389,7.34266,7.34302,949,8,0
2025-01-02 21:40:00,7.34301,7.34357,7.3422,7.34228,603,8,0
2025-01-02 22:00:00,7.34226,7.34228,7.3398,7.34088,961,8,0
2025-01-02 22:20:00,7.34086,7.34103,7.33932,7.34088,642,8,0
