time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 01:00:00,74.08,74.25,73.91,74.16,284,1,0
2024-11-11 01:20:00,74.16,74.16,74.08,74.09,77,1,0
2024-11-11 01:40:00,74.09,74.1,73.98,74.04,64,1,0
2024-11-11 02:00:00,74.04,74.07,74.03,74.07,54,1,0
2024-11-11 02:20:00,74.07,74.07,74.03,74.06,40,1,0
2024-11-11 02:40:00,74.06,74.13,74.05,74.07,90,1,0
2024-11-11 03:00:00,74.07,74.07,73.76,73.78,364,1,0
2024-11-11 03:20:00,73.78,73.99,73.76,73.98,292,1,0
2024-11-11 03:40:00,73.98,74.01,73.85,73.9,287,1,0
2024-11-11 04:00:00,73.9,73.96,73.82,73.83,208,1,0
2024-11-11 04:20:00,73.83,73.86,73.78,73.81,183,1,0
2024-11-11 04:40:00,73.81,73.96,73.75,73.94,164,1,0
2024-11-11 05:00:00,73.94,73.95,73.87,73.87,127,1,0
2024-11-11 05:20:00,73.87,73.9,73.79,73.8,112,1,0
2024-11-11 05:40:00,73.8,73.88,73.8,73.87,72,1,0
2024-11-11 06:00:00,73.87,73.88,73.81,73.81,68,1,0
2024-11-11 06:20:00,73.81,73.83,73.78,73.79,60,1,0
2024-11-11 06:40:00,73.79,73.79,73.74,73.77,68,1,0
2024-11-11 07:00:00,73.77,73.89,73.77,73.89,141,1,0
2024-11-11 07:20:00,73.89,74.07,73.81,73.82,222,1,0
2024-11-11 07:40:00,73.82,73.89,73.77,73.88,188,1,0
2024-11-11 08:00:00,73.88,74.18,73.85,74.15,199,1,0
2024-11-11 08:20:00,74.15,74.19,74.09,74.16,258,1,0
2024-11-11 08:40:00,74.17,74.21,74.15,74.19,185,1,0
2024-11-11 09:00:00,74.19,74.21,74.11,74.11,142,1,0
2024-11-11 09:20:00,74.11,74.14,74.02,74.12,226,1,0
2024-11-11 09:40:00,74.12,74.21,74.09,74.14,285,0,0
2024-11-11 10:00:00,74.15,74.33,74.15,74.33,340,0,0
2024-11-11 10:20:00,74.32,74.36,74.05,74.31,612,1,0
2024-11-11 10:40:00,74.31,74.34,74.15,74.24,400,1,0
2024-11-11 11:00:00,74.24,74.33,73.91,73.92,582,1,0
2024-11-11 11:20:00,73.93,73.94,73.41,73.51,808,0,0
2024-11-11 11:40:00,73.51,73.51,73.31,73.39,476,0,0
2024-11-11 12:00:00,73.39,73.39,73.09,73.35,676,1,0
2024-11-11 12:20:00,73.35,73.35,73.14,73.15,445,1,0
2024-11-11 12:40:00,73.15,73.19,73.0,73.02,480,0,0
2024-11-11 13:00:00,73.02,73.21,72.92,73.17,478,1,0
2024-11-11 13:20:00,73.17,73.18,72.85,72.96,415,1,0
2024-11-11 13:40:00,72.96,73.13,72.93,73.08,430,1,0
2024-11-11 14:00:00,73.08,73.15,72.97,73.01,368,1,0
2024-11-11 14:20:00,73.01,73.07,72.89,72.89,394,1,0
2024-11-11 14:40:00,72.89,72.91,72.62,72.65,505,1,0
2024-11-11 15:00:00,72.65,72.82,72.58,72.65,886,1,0
2024-11-11 15:20:00,72.65,72.68,72.45,72.48,601,1,0
2024-11-11 15:40:00,72.48,72.53,72.28,72.46,619,1,0
2024-11-11 16:00:00,72.46,72.57,72.28,72.3,880,1,0
2024-11-11 16:20:00,72.3,72.43,72.19,72.32,846,1,0
2024-11-11 16:40:00,72.32,72.53,72.22,72.47,898,0,0
2024-11-11 17:00:00,72.47,72.56,72.4,72.42,811,1,0
2024-11-11 17:20:00,72.42,72.43,71.99,72.12,829,1,0
2024-11-11 17:40:00,72.12,72.18,71.96,71.98,618,1,0
2024-11-11 18:00:00,71.98,72.09,71.91,71.94,639,1,0
2024-11-11 18:20:00,71.95,72.21,71.85,72.02,859,1,0
2024-11-11 18:40:00,72.02,72.12,71.85,71.93,560,1,0
2024-11-11 19:00:00,71.93,72.21,71.91,72.2,526,1,0
2024-11-11 19:20:00,72.2,72.22,72.02,72.05,412,1,0
2024-11-11 19:40:00,72.05,72.11,72.0,72.09,391,1,0
2024-11-11 20:00:00,72.09,72.11,71.98,71.98,395,1,0
2024-11-11 20:20:00,71.98,72.12,71.95,72.09,360,1,0
2024-11-11 20:40:00,72.09,72.16,72.01,72.14,386,1,0
2024-11-11 21:00:00,72.13,72.29,71.95,72.13,772,1,0
2024-11-11 21:20:00,72.13,72.17,72.01,72.1,504,1,0
2024-11-11 21:40:00,72.1,72.24,72.07,72.18,210,1,0
2024-11-11 22:00:00,72.19,72.25,72.15,72.18,166,1,0
2024-11-11 22:20:00,72.18,72.26,72.18,72.2,124,1,0
2024-11-11 22:40:00,72.2,72.26,72.18,72.24,150,1,0
2024-11-11 23:00:00,72.24,72.27,72.18,72.18,121,1,0
2024-11-11 23:20:00,72.18,72.2,72.15,72.16,57,1,0
2024-11-11 23:40:00,72.17,72.17,72.12,72.15,77,1,0
2024-11-12 00:00:00,72.18,72.19,72.12,72.12,3,1,0
2024-11-12 03:00:00,72.22,72.32,72.15,72.27,380,1,0
2024-11-12 03:20:00,72.27,72.3,72.08,72.18,298,1,0
2024-11-12 03:40:00,72.18,72.26,72.02,72.06,340,1,0
2024-11-12 04:00:00,72.06,72.07,71.89,71.95,211,1,0
2024-11-12 04:20:00,71.96,72.03,71.89,71.92,220,1,0
2024-11-12 04:40:00,71.92,71.93,71.82,71.92,212,1,0
2024-11-12 05:00:00,71.92,72.0,71.9,71.95,223,1,0
2024-11-12 05:20:00,71.95,71.99,71.85,71.87,104,1,0
2024-11-12 05:40:00,71.87,71.98,71.85,71.94,142,1,0
2024-11-12 06:00:00,71.94,72.01,71.92,71.97,98,1,0
2024-11-12 06:20:00,71.97,72.01,71.96,71.98,81,1,0
2024-11-12 06:40:00,71.98,72.03,71.96,71.97,75,1,0
2024-11-12 07:00:00,71.98,72.0,71.9,71.92,78,1,0
