time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 00:00:00,109.162,109.207,109.144,109.192,195,237,0
2025-01-02 00:30:00,109.196,109.325,109.192,109.293,494,64,0
2025-01-02 01:00:00,109.293,109.465,109.268,109.463,1421,3,0
2025-01-02 01:30:00,109.463,109.768,109.463,109.716,1941,2,0
2025-01-02 02:00:00,109.716,109.746,109.478,109.489,2224,2,0
2025-01-02 02:30:00,109.488,109.586,109.436,109.505,2043,2,0
2025-01-02 03:00:00,109.505,109.699,109.493,109.677,2234,2,0
2025-01-02 03:30:00,109.678,109.711,109.584,109.602,1825,2,0
2025-01-02 04:00:00,109.601,109.602,109.477,109.497,1446,2,0
2025-01-02 04:30:00,109.497,109.548,109.435,109.453,1341,2,0
2025-01-02 05:00:00,109.453,109.457,109.317,109.355,1053,2,0
2025-01-02 05:30:00,109.355,109.404,109.329,109.33,1010,2,0
2025-01-02 06:00:00,109.33,109.333,109.248,109.256,1125,2,0
2025-01-02 06:30:00,109.257,109.287,109.223,109.236,1091,2,0
2025-01-02 07:00:00,109.236,109.345,109.205,109.327,1192,2,0
2025-01-02 07:30:00,109.328,109.408,109.32,109.407,926,2,0
2025-01-02 08:00:00,109.406,109.408,109.093,109.109,1319,2,0
2025-01-02 08:30:00,109.107,109.109,108.973,108.976,2220,2,0
2025-01-02 09:00:00,108.976,109.002,108.889,108.95,2838,1,0
2025-01-02 09:30:00,108.951,108.953,108.677,108.775,2985,1,0
2025-01-02 10:00:00,108.78,108.91,108.557,108.575,3647,1,0
2025-01-02 10:30:00,108.575,108.843,108.571,108.81,3254,1,0
2025-01-02 11:00:00,108.809,108.907,108.793,108.822,2999,1,0
2025-01-02 11:30:00,108.823,108.875,108.776,108.789,1850,1,0
2025-01-02 12:00:00,108.792,108.919,108.787,108.869,2099,1,0
2025-01-02 12:30:00,108.868,108.956,108.802,108.943,3034,1,0
2025-01-02 13:00:00,108.943,109.054,108.884,109.046,2542,1,0
2025-01-02 13:30:00,109.047,109.097,108.991,109.047,2376,1,0
2025-01-02 14:00:00,109.047,109.057,108.917,108.972,1952,1,0
2025-01-02 14:30:00,108.972,109.005,108.921,108.923,2586,1,0
2025-01-02 15:00:00,108.923,108.959,108.693,108.743,3276,1,0
2025-01-02 15:30:00,108.736,109.026,108.684,108.762,5433,1,0
2025-01-02 16:00:00,108.762,108.928,108.663,108.711,4545,1,0
2025-01-02 16:30:00,108.71,108.911,108.607,108.834,4959,1,0
2025-01-02 17:00:00,108.83,108.908,108.619,108.78,5731,1,0
2025-01-02 17:30:00,108.779,108.992,108.753,108.978,5585,1,0
2025-01-02 18:00:00,108.978,109.12,108.958,109.114,6219,1,0
2025-01-02 18:30:00,109.114,109.329,109.08,109.324,4176,1,0
2025-01-02 19:00:00,109.324,109.652,109.323,109.544,4079,1,0
2025-01-02 19:30:00,109.544,109.553,109.316,109.414,4046,1,0
2025-01-02 20:00:00,109.415,109.477,109.293,109.343,2973,1,0
2025-01-02 20:30:00,109.343,109.35,109.262,109.326,2600,1,0
2025-01-02 21:00:00,109.327,109.469,109.295,109.435,2324,1,0
2025-01-02 21:30:00,109.435,109.464,109.34,109.34,2414,1,0
