time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 00:00:00,0.82821,0.82961,0.8282,0.82942,208,32,0
2024-11-11 00:30:00,0.82943,0.8296,0.82912,0.82934,1403,25,0
2024-11-11 01:00:00,0.82934,0.82955,0.82915,0.82946,646,0,0
2024-11-11 01:30:00,0.82945,0.82972,0.82944,0.82947,426,0,0
2024-11-11 02:00:00,0.82947,0.82974,0.82941,0.82961,808,0,0
2024-11-11 02:30:00,0.82962,0.82989,0.82956,0.82985,832,0,0
2024-11-11 03:00:00,0.82982,0.83008,0.82968,0.82992,1094,0,0
2024-11-11 03:30:00,0.82992,0.83004,0.82978,0.82983,914,0,0
2024-11-11 04:00:00,0.82982,0.83008,0.82976,0.83005,741,0,0
2024-11-11 04:30:00,0.83006,0.83022,0.82986,0.83006,645,0,0
2024-11-11 05:00:00,0.83006,0.83018,0.82989,0.82995,508,0,0
2024-11-11 05:30:00,0.82993,0.82998,0.82969,0.82981,488,0,0
2024-11-11 06:00:00,0.82981,0.82996,0.82974,0.82987,560,0,0
2024-11-11 06:30:00,0.82986,0.83006,0.82969,0.8297,769,0,0
2024-11-11 07:00:00,0.82969,0.82986,0.82957,0.8298,716,0,0
2024-11-11 07:30:00,0.82979,0.82995,0.8297,0.82981,979,0,0
2024-11-11 08:00:00,0.82979,0.82989,0.82966,0.82976,906,0,0
2024-11-11 08:30:00,0.82975,0.82998,0.82961,0.82992,604,0,0
2024-11-11 09:00:00,0.82992,0.8301,0.82962,0.82966,1297,0,0
2024-11-11 09:30:00,0.82964,0.82975,0.82868,0.82896,2214,0,0
2024-11-11 10:00:00,0.82897,0.82922,0.8285,0.82851,2149,1,0
2024-11-11 10:30:00,0.8285,0.8289,0.82827,0.8285,1505,0,0
2024-11-11 11:00:00,0.8285,0.82877,0.82805,0.82808,1672,0,0
2024-11-11 11:30:00,0.82808,0.82839,0.82795,0.82801,2006,0,0
2024-11-11 12:00:00,0.82802,0.82835,0.82796,0.82816,1290,0,0
2024-11-11 12:30:00,0.82815,0.82834,0.82797,0.82831,1266,0,0
2024-11-11 13:00:00,0.82831,0.82838,0.82756,0.82765,1493,0,0
2024-11-11 13:30:00,0.82765,0.82771,0.82718,0.82746,1607,0,0
2024-11-11 14:00:00,0.82746,0.8276,0.8272,0.82742,1263,0,0
2024-11-11 14:30:00,0.82743,0.82752,0.8268,0.82695,1219,0,0
2024-11-11 15:00:00,0.82695,0.82711,0.82671,0.82698,1660,0,0
2024-11-11 15:30:00,0.82697,0.82772,0.82696,0.82756,1978,0,0
2024-11-11 16:00:00,0.82756,0.82784,0.82742,0.82755,1331,0,0
2024-11-11 16:30:00,0.82755,0.82764,0.82599,0.82708,2489,0,0
2024-11-11 17:00:00,0.82707,0.82745,0.82692,0.82723,1879,0,0
2024-11-11 17:30:00,0.82722,0.82737,0.82672,0.82731,2082,1,0
2024-11-11 18:00:00,0.8273,0.82749,0.82715,0.8272,1594,0,0
2024-11-11 18:30:00,0.8272,0.82774,0.8272,0.82765,960,0,0
2024-11-11 19:00:00,0.82765,0.82793,0.82759,0.82774,949,0,0
2024-11-11 19:30:00,0.82775,0.8279,0.82747,0.82781,910,0,0
2024-11-11 20:00:00,0.82781,0.8281,0.82781,0.82801,826,0,0
2024-11-11 20:30:00,0.82801,0.82803,0.82777,0.82784,637,0,0
2024-11-11 21:00:00,0.82784,0.82817,0.82783,0.82815,660,0,0
2024-11-11 21:30:00,0.82814,0.82833,0.82805,0.82808,484,0,0
2024-11-11 22:00:00,0.82809,0.82822,0.82801,0.8282,511,0,0
2024-11-11 22:30:00,0.82821,0.82825,0.82807,0.82813,453,0,0
2024-11-11 23:00:00,0.82812,0.82823,0.8281,0.82819,245,0,0
2024-11-11 23:30:00,0.8282,0.82822,0.8279,0.82793,254,0,0
2024-11-12 00:00:00,0.82795,0.82803,0.82654,0.82803,382,6,0
2024-11-12 00:30:00,0.82802,0.82808,0.82782,0.82791,474,4,0
2024-11-12 01:00:00,0.82791,0.8283,0.82782,0.82819,479,0,0
2024-11-12 01:30:00,0.82818,0.82832,0.82794,0.82829,418,0,0
2024-11-12 02:00:00,0.82829,0.82843,0.8281,0.82818,811,0,0
2024-11-12 02:30:00,0.82818,0.82837,0.82814,0.82834,723,0,0
2024-11-12 03:00:00,0.82833,0.82855,0.82822,0.82851,854,0,0
2024-11-12 03:30:00,0.8285,0.8285,0.82785,0.8279,1253,0,0
2024-11-12 04:00:00,0.82791,0.82837,0.82791,0.82834,940,0,0
2024-11-12 04:30:00,0.82834,0.82841,0.82818,0.82823,875,0,0
2024-11-12 05:00:00,0.82822,0.82856,0.82822,0.82851,741,0,0
2024-11-12 05:30:00,0.82851,0.82852,0.82824,0.82843,791,0,0
2024-11-12 06:00:00,0.82843,0.82881,0.82843,0.8287,1145,0,0
2024-11-12 06:30:00,0.8287,0.82894,0.82866,0.82867,765,0,0
2024-11-12 07:00:00,0.82867,0.82886,0.82859,0.82867,853,0,0
2024-11-12 07:30:00,0.82868,0.82929,0.82866,0.82908,1058,0,0
2024-11-12 08:00:00,0.82908,0.82924,0.82892,0.82919,1189,0,0
2024-11-12 08:30:00,0.82921,0.82965,0.82907,0.82922,1786,0,0
2024-11-12 09:00:00,0.82922,0.83002,0.82872,0.82977,2955,1,0
2024-11-12 09:30:00,0.82976,0.83021,0.82956,0.82971,2061,0,0
2024-11-12 10:00:00,0.8297,0.83016,0.82943,0.82977,2312,0,0
2024-11-12 10:30:00,0.82978,0.83008,0.82894,0.82898,2254,0,0
2024-11-12 11:00:00,0.82897,0.82924,0.82857,0.82862,1481,0,0
2024-11-12 11:30:00,0.82863,0.82882,0.8283,0.82864,1515,0,0
2024-11-12 12:00:00,0.82865,0.82888,0.82811,0.82876,2289,0,0
2024-11-12 12:30:00,0.82878,0.82878,0.82809,0.82832,1467,0,0
2024-11-12 13:00:00,0.82831,0.82852,0.82801,0.82844,1353,0,0
2024-11-12 13:30:00,0.82846,0.82868,0.82799,0.82823,1328,0,0
2024-11-12 14:00:00,0.82823,0.82823,0.82758,0.8279,2129,2,0
2024-11-12 14:30:00,0.82791,0.82836,0.82784,0.82827,2427,0,0
2024-11-12 15:00:00,0.82827,0.82882,0.82812,0.82865,2204,0,0
2024-11-12 15:30:00,0.82865,0.82953,0.82853,0.82925,2185,0,0
2024-11-12 16:00:00,0.82924,0.83,0.8291,0.82976,1643,0,0
2024-11-12 16:30:00,0.82978,0.83047,0.82976,0.83012,2713,0,0
2024-11-12 17:00:00,0.83012,0.83084,0.83002,0.83055,2881,0,0
2024-11-12 17:30:00,0.83055,0.83145,0.83055,0.83121,3011,0,0
2024-11-12 18:00:00,0.83121,0.83224,0.83104,0.8322,2926,0,0
2024-11-12 18:30:00,0.83219,0.83244,0.83167,0.83235,2399,0,0
2024-11-12 19:00:00,0.83235,0.83299,0.83222,0.83267,2636,0,0
2024-11-12 19:30:00,0.83268,0.83301,0.83251,0.83297,2273,0,0
2024-11-12 20:00:00,0.83298,0.83323,0.83279,0.83304,1749,0,0
2024-11-12 20:30:00,0.83304,0.83315,0.8329,0.83301,1419,0,0
2024-11-12 21:00:00,0.83301,0.8333,0.83289,0.83322,1085,0,0
2024-11-12 21:30:00,0.83324,0.83328,0.83298,0.83321,1098,0,0
2024-11-12 22:00:00,0.8332,0.83333,0.83295,0.83323,1018,0,0
2024-11-12 22:30:00,0.83324,0.83344,0.83317,0.83337,1135,0,0
2024-11-12 23:00:00,0.83338,0.8335,0.83324,0.8333,623,0,0
2024-11-12 23:30:00,0.83331,0.83345,0.83327,0.83334,537,0,0
2024-11-13 00:00:00,0.83329,0.83329,0.83252,0.83301,697,7,0
2024-11-13 00:30:00,0.83301,0.8332,0.83291,0.83296,1137,9,0
2024-11-13 01:00:00,0.83296,0.83341,0.83292,0.83326,519,0,0
2024-11-13 01:30:00,0.83325,0.83352,0.83315,0.83351,449,0,0
2024-11-13 02:00:00,0.83351,0.83353,0.83332,0.83336,718,0,0
2024-11-13 02:30:00,0.83337,0.83348,0.83323,0.83326,676,0,0
2024-11-13 03:00:00,0.83328,0.83334,0.83306,0.8332,1819,0,0
2024-11-13 03:30:00,0.83319,0.83364,0.83318,0.83355,1484,0,0
2024-11-13 04:00:00,0.83354,0.83356,0.83319,0.83328,875,0,0
2024-11-13 04:30:00,0.83329,0.83341,0.83314,0.8332,692,0,0
2024-11-13 05:00:00,0.83321,0.83338,0.83316,0.83331,762,0,0
2024-11-13 05:30:00,0.83331,0.83337,0.83321,0.83326,488,0,0
2024-11-13 06:00:00,0.83326,0.83349,0.83323,0.83335,451,0,0
2024-11-13 06:30:00,0.83334,0.83334,0.83305,0.83306,470,0,0
2024-11-13 07:00:00,0.83306,0.83314,0.83285,0.83291,616,0,0
2024-11-13 07:30:00,0.83291,0.83299,0.83275,0.83283,861,0,0
2024-11-13 08:00:00,0.83283,0.83302,0.83276,0.83302,1251,0,0
2024-11-13 08:30:00,0.83303,0.83308,0.83282,0.83289,993,0,0
2024-11-13 09:00:00,0.83289,0.83318,0.83273,0.83285,1151,0,0
2024-11-13 09:30:00,0.83284,0.83287,0.83236,0.83252,1407,0,0
2024-11-13 10:00:00,0.83253,0.8327,0.83216,0.83248,2117,0,0
2024-11-13 10:30:00,0.83247,0.83276,0.83212,0.83262,1293,0,0
2024-11-13 11:00:00,0.83262,0.83331,0.83241,0.83315,1525,0,0
2024-11-13 11:30:00,0.83314,0.83344,0.83295,0.83339,1846,0,0
2024-11-13 12:00:00,0.8334,0.83364,0.83327,0.83338,1144,0,0
2024-11-13 12:30:00,0.83338,0.83339,0.83292,0.83315,1213,0,0
2024-11-13 13:00:00,0.83315,0.83325,0.83283,0.8331,1011,0,0
2024-11-13 13:30:00,0.83311,0.83402,0.8329,0.834,1992,0,0
2024-11-13 14:00:00,0.834,0.83436,0.83351,0.83369,2177,1,0
2024-11-13 14:30:00,0.8337,0.83433,0.83366,0.83412,1838,2,0
2024-11-13 15:00:00,0.83412,0.83427,0.83389,0.83389,2097,0,0
2024-11-13 15:30:00,0.83373,0.83455,0.83369,0.83393,6217,1,0
2024-11-13 16:00:00,0.83393,0.83409,0.83337,0.83344,3098,1,0
2024-11-13 16:30:00,0.83343,0.83382,0.83269,0.83287,4812,2,0
2024-11-13 17:00:00,0.83288,0.83302,0.83182,0.83261,4565,0,0
2024-11-13 17:30:00,0.83262,0.83311,0.83212,0.83217,4546,0,0
2024-11-13 18:00:00,0.83216,0.83249,0.83148,0.8315,3222,0,0
2024-11-13 18:30:00,0.83151,0.83168,0.83105,0.83143,2847,0,0
2024-11-13 19:00:00,0.83143,0.83195,0.83129,0.8316,2118,0,0
2024-11-13 19:30:00,0.83159,0.83166,0.83119,0.83152,2052,0,0
2024-11-13 20:00:00,0.83151,0.8316,0.83107,0.83119,2215,0,0
2024-11-13 20:30:00,0.83119,0.83128,0.83074,0.83104,1561,0,0
2024-11-13 21:00:00,0.83103,0.83153,0.83091,0.83153,1637,0,0
2024-11-13 21:30:00,0.83154,0.83162,0.83139,0.83159,1315,0,0
2024-11-13 22:00:00,0.83158,0.83164,0.8312,0.83132,830,0,0
2024-11-13 22:30:00,0.83132,0.83149,0.83128,0.83136,833,0,0
2024-11-13 23:00:00,0.83136,0.8315,0.83117,0.83124,713,0,0
2024-11-13 23:30:00,0.83125,0.83129,0.83107,0.83126,944,0,0
2024-11-14 00:00:00,0.83114,0.83126,0.83043,0.83121,675,11,0
2024-11-14 00:30:00,0.83122,0.83152,0.8307,0.83084,998,10,0
2024-11-14 01:00:00,0.83088,0.83139,0.83088,0.83116,412,0,0
2024-11-14 01:30:00,0.83115,0.83146,0.83108,0.83145,289,0,0
2024-11-14 02:00:00,0.83145,0.83152,0.83122,0.83139,632,0,0
2024-11-14 02:30:00,0.8314,0.83156,0.83133,0.83154,716,0,0
2024-11-14 03:00:00,0.83155,0.83158,0.8313,0.83139,1694,0,0
2024-11-14 03:30:00,0.83141,0.83167,0.83123,0.83157,1271,0,0
2024-11-14 04:00:00,0.83157,0.83181,0.83154,0.83168,1288,0,0
2024-11-14 04:30:00,0.83168,0.83197,0.83155,0.83169,997,0,0
2024-11-14 05:00:00,0.8317,0.83172,0.83153,0.83168,904,0,0
2024-11-14 05:30:00,0.83168,0.83182,0.83143,0.83158,787,0,0
2024-11-14 06:00:00,0.83158,0.83174,0.83152,0.83166,556,0,0
2024-11-14 06:30:00,0.83167,0.83172,0.83156,0.83166,559,0,0
2024-11-14 07:00:00,0.83166,0.83169,0.83099,0.83102,996,0,0
2024-11-14 07:30:00,0.83102,0.8313,0.83088,0.83129,1326,0,0
2024-11-14 08:00:00,0.83128,0.83141,0.83113,0.8314,1441,0,0
2024-11-14 08:30:00,0.83139,0.83143,0.83114,0.83129,1093,0,0
2024-11-14 09:00:00,0.83129,0.83148,0.83113,0.8313,1248,0,0
2024-11-14 09:30:00,0.83129,0.83171,0.83113,0.83163,1373,0,0
2024-11-14 10:00:00,0.83163,0.83186,0.83138,0.83138,1918,0,0
2024-11-14 10:30:00,0.83138,0.83203,0.83111,0.83161,2191,0,0
2024-11-14 11:00:00,0.83161,0.83203,0.83102,0.83121,2234,0,0
2024-11-14 11:30:00,0.83121,0.83139,0.83065,0.8312,2129,0,0
2024-11-14 12:00:00,0.8312,0.83168,0.83081,0.83154,2041,0,0
2024-11-14 12:30:00,0.83153,0.83196,0.83137,0.83142,2314,0,0
2024-11-14 13:00:00,0.83142,0.83169,0.83104,0.83149,2590,0,0
2024-11-14 13:30:00,0.8315,0.8322,0.83115,0.83175,2230,0,0
2024-11-14 14:00:00,0.83175,0.83213,0.83171,0.83199,1922,0,0
2024-11-14 14:30:00,0.832,0.83225,0.83171,0.83189,2178,0,0
2024-11-14 15:00:00,0.83188,0.83201,0.83119,0.83138,2269,0,0
2024-11-14 15:30:00,0.83136,0.83196,0.83122,0.83195,4773,1,0
2024-11-14 16:00:00,0.83196,0.83199,0.83137,0.83153,3074,0,0
2024-11-14 16:30:00,0.83152,0.83209,0.8312,0.83155,3218,0,0
2024-11-14 17:00:00,0.83156,0.83234,0.83151,0.83205,3063,0,0
2024-11-14 17:30:00,0.83204,0.83236,0.83177,0.83214,3021,0,0
2024-11-14 18:00:00,0.83213,0.83222,0.83179,0.83198,2331,0,0
2024-11-14 18:30:00,0.83197,0.83201,0.83121,0.83129,1479,0,0
2024-11-14 19:00:00,0.83129,0.83145,0.83116,0.83117,1620,0,0
2024-11-14 19:30:00,0.83116,0.83134,0.83105,0.83122,1752,0,0
2024-11-14 20:00:00,0.83121,0.83128,0.83107,0.83108,1109,0,0
2024-11-14 20:30:00,0.83107,0.83144,0.83106,0.83137,1148,0,0
