time,open,high,low,close,tick_volume,spread,real_volume
2025-01-01,0.55998,0.57267,0.55947,0.56572,1759605,0,0
2025-02-01,0.56086,0.57627,0.55775,0.5602,1535971,1,0
2025-03-01,0.56032,0.56616,0.54892,0.55238,1773798,0,0
2025-04-01,0.5522,0.559,0.49989,0.52902,2161160,0,0
2025-05-01,0.52814,0.5452,0.52649,0.52935,1471927,0,0
2025-06-01,0.52875,0.53727,0.52006,0.5219,1524413,0,0
2025-07-01,0.52174,0.52608,0.51674,0.52182,1543710,0,0
2025-08-01,0.52164,0.52955,0.51556,0.52309,1702936,0,0
2025-09-01,0.52195,0.53093,0.51959,0.5265,1638393,0,0
2025-10-01,0.5261,0.53041,0.50776,0.52652,1805846,0,0
2025-11-01,0.52436,0.52917,0.52009,0.52591,396842,0,0
