time,open,high,low,close,tick_volume,spread,real_volume
2025-01-01,8146.15,8574.99,8137.15,8440.99,0,0,282256
2025-02-01,8450.78,8625.7,8131.6,8175.6,0,0,288608
2025-03-01,8201.7,8280.9,7727.3,7890.0,0,0,751092
2025-04-01,7886.0,8129.4,6978.0,8100.2,0,0,2850663
2025-05-01,8095.25,8496.0,8082.0,8437.3,0,0,1472973
2025-06-01,8412.0,8637.4,8386.9,8540.7,0,0,684520
2025-07-01,8545.8,8776.7,8527.3,8681.4,0,0,165992
2025-08-01,8685.8,9056.0,8584.2,8945.0,0,0,164119
2025-09-01,8948.0,8967.0,8718.3,8834.2,0,0,168162
2025-10-01,8824.4,9116.9,8805.7,8874.8,168105,0,73841
2025-11-01,8873.0,8893.5,8711.9,8858.2,66123,120,0
