time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,1542.77,1549.07,1453.04,1481.89,170464,60,0
2025-01-01,1491.41,1560.96,1464.42,1542.62,204212,60,0
2025-02-01,1516.2,1548.08,1501.92,1531.39,175005,60,0
2025-03-01,1538.51,1543.41,1450.05,1497.78,254116,60,0
2025-04-01,1496.83,1527.34,1337.85,1492.75,328787,60,0
2025-05-01,1492.27,1581.77,1488.88,1568.97,204034,60,0
2025-06-01,1570.32,1599.29,1565.5,1596.72,186065,60,0
2025-07-01,1598.43,1637.52,1589.99,1621.91,180794,80,0
2025-08-01,1602.36,1698.32,1593.91,1695.31,179689,80,0
2025-09-01,1687.57,1774.89,1682.83,1767.94,193610,80,0
2025-10-01,1769.59,1808.92,1754.68,1780.77,227452,80,0
2025-11-01,1785.01,1785.01,1741.74,1779.2,58580,80,0
