time,open,high,low,close,tick_volume,spread,real_volume
2024-12-01,169.804,175.833,168.04,173.198,2856984,0,0
2025-01-01,173.24,174.913,169.173,170.268,3040556,2,0
2025-02-01,168.963,171.056,165.861,166.717,3195658,3,0
2025-03-01,166.894,171.441,166.087,169.543,3603607,0,0
2025-04-01,169.498,176.469,168.099,173.04,3395521,0,0
2025-05-01,173.413,176.183,172.82,174.983,2959197,0,0
2025-06-01,174.478,181.835,174.137,181.555,2927175,0,0
2025-07-01,181.5,186.038,180.853,185.556,3059830,0,0
2025-08-01,185.456,185.628,181.472,183.583,3255514,0,0
2025-09-01,183.825,187.581,183.456,185.655,3094343,0,0
2025-10-01,185.543,192.695,183.983,191.345,3590377,0,0
2025-11-01,191.604,191.835,189.11,191.108,753012,0,0
